customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001864,357152,Sun Oct 22 17:17:10 +0000 2017,"@AdobeCare That’s the biggest bag of horseshit I’ve ever read, firstly it does not work with the phone, I cannot recover it, and I’d like my money back",1001862,AdobeCare,Sun Oct 22 17:36:21 +0000 2017,"@357152 Cody, have you tried the other Photoshop mobile apps listed on this link? https://t.co/TWpNAGClWl
^SV",1001863
1001866,357152,Sun Oct 22 16:46:59 +0000 2017,Ok you know what... @AdobeCare  What’s the deal with PS Touch?,1001865,AdobeCare,Sun Oct 22 17:12:11 +0000 2017,"@357152 Hi Cody, here is a link that provides information regarding the Photoshop Touch app being discontinued. https://t.co/RPrwJhxsXN ^SV",1001864
1002131,357221,Sun Oct 22 18:50:53 +0000 2017,"@AdobeCare Thanks for the link, I'll go through it tomorrow and let you know!",1002133,AdobeCare,Sun Oct 22 19:02:59 +0000 2017,@357221 Please let us know if you have any questions or need further help.^SV,"1002134,1002135"
1002132,357221,Sun Oct 22 14:38:27 +0000 2017,@AdobeCare Need to go back to previous version after update to 2018 - how?,1002130,AdobeCare,Sun Oct 22 14:43:09 +0000 2017,"@357221 Hi Mike, could you please review the information here (https://t.co/fom1NSVipV). Let us know if that helps! Thanks! ^ZA",1002131
1002135,357221,Mon Oct 23 13:42:47 +0000 2017,@AdobeCare Bridge 2018! Why have my settings for the output module gone!? Please STOP doing this! YOU MAKE WORK FOR US!,1002136,AdobeCare,Mon Oct 23 13:44:35 +0000 2017,"@357221 Hi Mike, I am looping in our expert team to help answer your question. Thanks! ^AJ",
1003389,357513,Thu Oct 12 07:40:15 +0000 2017,@AdobeCare Have you tried to recreate the experience?,1003391,AdobeCare,Thu Oct 12 07:50:23 +0000 2017,"@357513 Hi Joe, we're looping in an expert who can help you out here. They will reply as soon as they're available. ^NR https://t.co/iuwZCjz4Or",1003392
1003390,357513,Thu Oct 12 06:50:05 +0000 2017,"@AdobeCare Did not work - please view this screenshot to see how Photoshop is hijacking my cmputer during app launch process
https://t.co/mnGgLS6o6O",1003388,AdobeCare,Thu Oct 12 07:14:37 +0000 2017,"@357513 Joe, are you using a dual monitor display? Have you tired resetting the Photoshop preferences to see if it helps? ^SV",1003389
1003392,357513,Thu Oct 12 07:55:44 +0000 2017,@AdobeCare Thank You,1003393,AdobeCare,Thu Oct 12 09:27:02 +0000 2017,"@357513 Hi Joe, Its a known issue and logged as a bug. Our team working on this issue to get it fix asap, refer: https://t.co/BUs9gTCXeF ^MG",1003394
1003397,357513,Thu Oct 12 06:16:19 +0000 2017,@AdobeCare Please provide a screenshot,1003395,AdobeCare,Thu Oct 12 06:26:54 +0000 2017,"@357513 Hi Joe, I attached a screen shot of my CC desktop app to show you where the Pin to menu bar is located. ^SV https://t.co/6FY23nCFx1","1003390,1003396"
1003399,357513,Thu Oct 12 05:12:51 +0000 2017,"Hey @115777 it would be nice if when I minimized Creative Cloud @117341 upon opening the app, it stayed minimized #ProductFeedback",1003398,AdobeCare,Thu Oct 12 05:52:15 +0000 2017,"@357513 Hi Joe,
 Did you try clicking the 3 dots by your profile pic in the CC desktop app &amp; select Pin to menu bar? That should help you. ^SV",1003397
1005836,278852,Sun Oct 22 19:06:12 +0000 2017,So I have to cancel my #CC subscription to change credit cards and now I have to pay cancellation fees?! Thanks @AdobeCare #EPICFAIL #FAIL,1005835,AdobeCare,Sun Oct 22 19:18:24 +0000 2017,"@278852 Hi Stef, can you please follow us &amp; send us a DM with your Adobe ID email? We can help you with your account issue. ^SV",
1006923,358272,Wed Oct 11 19:13:34 +0000 2017,45+ minutes on support chat with @115777 -- issue unresolved. The absolutely worst of the worst customer service possible.,1006922,AdobeCare,Thu Oct 12 09:03:11 +0000 2017,"@358272 Ryan, we are sorry to hear about the long wait times for our chat support. We can help you here if you still need assistance. ^SV",
1006925,358273,Wed Oct 11 18:53:08 +0000 2017,"I have to hand it to you @115777, you’ve improved Dreamweaver to the point of non-usability.",1006924,AdobeCare,Thu Oct 12 08:52:33 +0000 2017,"@358273 Hi Robert, can you please follow us &amp; send us a DM of your Dreamweaver issue? We can loop in our expert to help you. ^SV",
1006936,357152,Sun Oct 22 19:27:19 +0000 2017,@AdobeCare get used to me..It looks like I’m gonna be annoying you and trashing your apps for a good long while.,1006933,AdobeCare,Sun Oct 22 19:31:57 +0000 2017,"@357152 Here is a link to show you how to request the refund. Did you purchase thru the app store? https://t.co/pDf1f5AYSh
^SV","1006934,1006935"
1009098,358782,Sun Oct 22 20:29:58 +0000 2017,"@AdobeCare i go to https://t.co/XsAoOEXkTQ
i download 1.2 MB setup file
try to run
tries to boot install
in 2 seconds
says ""App initialization error""",1009100,AdobeCare,Sun Oct 22 20:57:25 +0000 2017,@358782 Try downloading again and turn off any antivirus software during the install to see if it helps. The installer is safe to run. ^SV,"1009101,1009102"
1009099,358782,Sun Oct 22 20:01:31 +0000 2017,"@AdobeCare

i had to uninstall Acrobat Reader DC due to corrupt software

now I cant reinstall
please help me....",1009097,AdobeCare,Sun Oct 22 20:25:29 +0000 2017,"@358782 Nido, are you receiving any errors during the install? Which OS are you using? ^SV",1009098
1009099,358782,Sun Oct 22 20:01:31 +0000 2017,"@AdobeCare

i had to uninstall Acrobat Reader DC due to corrupt software

now I cant reinstall
please help me....",1009109,AdobeCare,Sun Oct 22 20:24:41 +0000 2017,"@358782 Hi Nido, what is happening when you try to reinstall the Adobe Reader? Are you installing the updated Reader? https://t.co/m8O2geO0AC ^SV",
1009101,358782,Sun Oct 22 21:37:20 +0000 2017,@AdobeCare frustrated to say the least,1009103,AdobeCare,Sun Oct 22 22:32:03 +0000 2017,"@358782 Nido, which operating system are you using? Have you tried running the installer as an administrator user account? ^SV",1009104
1009102,358782,Sun Oct 22 21:37:10 +0000 2017,"@AdobeCare tried what you said....same result

i also downloaded adobe cleaner to uninstall old version before i tried all of this",1009108,AdobeCare,Sun Oct 22 22:39:21 +0000 2017,"@358782 Nido, which operating system are you using? Have you tried running the installer as an administrator user account? ^SV",
1009104,358782,Sun Oct 22 22:32:43 +0000 2017,"@AdobeCare win 10

i am the admin acct",1009105,AdobeCare,Sun Oct 22 22:56:12 +0000 2017,"@358782 Nido,
Try using this Acrobat cleaner to remove any previous files and try running he installer. https://t.co/Wq8hGZulc1 ^SV",1009106
1009106,358782,Mon Oct 23 01:23:55 +0000 2017,"@AdobeCare i did try that....

see my previous tweet to you",1009107,AdobeCare,Mon Oct 23 01:32:37 +0000 2017,"@358782 Nido, I was not sure if you were referring to our other Adobe Clean tool https://t.co/o2yiQgn7AU ^SV",
1009111,358783,Sun Oct 22 20:26:06 +0000 2017,@AdobeCare I don't even know if the corrupt file is on my computer or your server - it's the new cloud-native Lightroom.,1009115,AdobeCare,Sun Oct 22 20:53:57 +0000 2017,"@358783 Mike, try creating a new catalog of images and import the images to see if that helps. Are you importing many images? ^SV","1009116,1009117,1009118,1009119,1009120,1009121"
1009114,358783,Sun Oct 22 19:54:58 +0000 2017,"@AdobeCare Getting sql database corrupt error in new LR CC, nothing will load on desktop.",1009125,AdobeCare,Mon Oct 23 06:06:11 +0000 2017,"@358783 Hi Mike, Please refer your forum thread: https://t.co/0rGCFfvdrI Thanks. ^MG",
1009114,358783,Sun Oct 22 19:54:58 +0000 2017,"@AdobeCare Getting sql database corrupt error in new LR CC, nothing will load on desktop.",1009110,AdobeCare,Sun Oct 22 20:18:31 +0000 2017,"@358783 Hi, are you able to create a new catalog of images? I found this link that may help. https://t.co/OGMqYEI6I6 ^SV","1009111,1009112,1009113"
1009119,358783,Sun Oct 22 21:02:50 +0000 2017,"@AdobeCare Just tried to import one new image. It refuses, gives SQLite Database Corrupt error.",1009122,AdobeCare,Sun Oct 22 21:28:47 +0000 2017,"@358783 Mike, where are the images stored when you are migrating them? I am looping in our Lightroom expert to help you with this issue. ^SV",
1009121,358783,Sun Oct 22 21:05:53 +0000 2017,"@AdobeCare Problem is listed (under misc) https://t.co/t5Lt85foS6 w/ ""contact support"" as solution. You are only available support. What is solution?",1009123,AdobeCare,Sun Oct 22 21:29:46 +0000 2017,"@358783 Mike, our expert will be in later tonight to help. I have looped him into your issue to help with your corrupt catalog error. ^SV",1009124
1010000,358984,Thu Oct 12 10:29:01 +0000 2017,Що ви знаєте про зручність? @115777 просто боги юзабіліті: при кліку на Why do we need this відкриває нову сторінку де фіг знайдеш відповідь https://t.co/TRHiy1MA5m,1009999,AdobeCare,Thu Oct 12 10:53:36 +0000 2017,"@358984 Hi Kristina, how can we help you? Thanks ^NR https://t.co/iuwZCjz4Or",
1010847,359200,Wed Oct 11 16:53:27 +0000 2017,"@127289 You guys lied to me.  I was told my available images could still be licensed after the first year, if I canceled.  Fix this.",1010846,AdobeCare,Thu Oct 12 11:18:56 +0000 2017,"@359200 Hi, kindly DM us your Adobe ID so that we can check the details and help you better.
Thanks!
^SK https://t.co/iuwZCjz4Or",
1014461,304106,Mon Oct 23 19:37:40 +0000 2017,@AdobeCare It's an extension called BrushBox. It worked in Photoshop CC 2017 but no longer in CC 2018. Win10 64bit is my OS.,1014463,AdobeCare,Mon Oct 23 19:56:12 +0000 2017,@304106 We'll let the team know. Thanks! ^Britt,1014464
1014462,304106,Sun Oct 22 18:10:13 +0000 2017,@44413 Here's my latest advice to @AdobeCare - https://t.co/jPYpeaPkE4,1014468,AdobeCare,Mon Oct 23 22:03:55 +0000 2017,"@304106 Hi Andrew, have you tried reinstalling the brush?     ^SC",
