customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1003462,357523,Sun Oct 22 14:12:30 +0000 2017,@AirAsiaSupport 😑😑 https://t.co/1Vsb0UIkUU,1003460,AirAsiaSupport,Sun Oct 22 15:02:05 +0000 2017,"@357523 Hi Eoin , Could you DM us the passenger name and email used for the booking. We will checked this further for you. Thanks - Khairul",1003461
1004210,357687,Sun Oct 22 14:46:27 +0000 2017,@AirAsiaSupport pls check my DM. Need some clarification. 😀😀😀,1004208,AirAsiaSupport,Sun Oct 22 15:28:18 +0000 2017,"@357687 Hi Dean , We had replied to your concern accordingly. Thanks - Khairul",1004209
1004212,357688,Sun Oct 22 15:04:30 +0000 2017,@AirAsiaSupport hi. Can u reply my dm?,1004211,AirAsiaSupport,Sun Oct 22 15:23:45 +0000 2017,"@357688 Hi , We had replied to your DM. Thanks - Khairul",
1004215,357689,Sun Oct 22 14:26:16 +0000 2017,"@AirAsiaSupport thank you to Anwar, Prabu and Khairul for helping me today. 3 of you did good and efficient job. Now I am happy to fly. 🌊🐠🐟✈",1004214,AirAsiaSupport,Sun Oct 22 15:22:10 +0000 2017,"@357689 You're most welcome, do let us know if any further assistance is needed. Thank you and have a great day - prabu",
1005841,358066,Sun Oct 22 17:44:27 +0000 2017,@AirAsiaSupport Can I link my flight from traveloka to my big member ID?,1005840,AirAsiaSupport,Sun Oct 22 19:27:03 +0000 2017,"@358066 Hi Lit , We are sorry as booking via agent/3rd party cannot be linked to your BIG ID. Thanks - Khairul",
1005856,215887,Sun Oct 22 16:05:14 +0000 2017,@AirAsiaSupport Hi there! May i please ask for your assistance on case no. 00093538? Please and thanks! :),1005855,AirAsiaSupport,Sun Oct 22 19:26:06 +0000 2017,"@215887 Hi Drei , Your case has been received by our team and they will be processing this accordingly. Thanks - Khairul",
1005858,358069,Sun Oct 22 16:03:19 +0000 2017,@AirAsiaSupport hello! The pay via payment center option doesn't load on my payment options. Please help me. thanks.,1005857,AirAsiaSupport,Sun Oct 22 19:21:05 +0000 2017,"@358069 Hi , Could you DM us and elaborate on your concern. We will try to assist as best as possible. Thanks - Khairul",
1006946,358280,Sun Oct 22 16:21:55 +0000 2017,@115802 @AirAsiaSupport Wow bes.. kayu na ang busu https://t.co/rkpxGBoQt4,1006945,AirAsiaSupport,Sun Oct 22 19:35:42 +0000 2017,@358280 We do apologize as we are experiencing numerous request at the moment. Apologies for the inconvenience caused. Thanks - Khairul,
1006948,358281,Sun Oct 22 16:29:21 +0000 2017,@AirAsiaSupport can u help me for reroute flight,1006947,AirAsiaSupport,Sun Oct 22 19:32:09 +0000 2017,"@358281 Hi Hazel, We are sorry as route changes are not allowed once confirmed. Thanks - Khairul",
1007673,358452,Sun Oct 22 19:38:00 +0000 2017,@AirAsiaSupport I5-1458 u guys need 2 hv some justification after causing such trouble 2 my 86 y/o grandmother &amp; father. Crazy 7 hour delay.,1007672,AirAsiaSupport,Sun Oct 22 19:54:15 +0000 2017,@358452 We understand it's a rough situation. Will you DM us the booking number and will further check regarding this. Thanks - Khairul,
1008416,358619,Sun Oct 22 20:12:53 +0000 2017,@AirAsiaSupport LGDEMY  i wanna change from fd 503  to 509,1008418,AirAsiaSupport,Sun Oct 22 20:23:37 +0000 2017,"@358619 Hi Teddy , We had DM you the possible solutions for this. Kindly try and advise us if  it worked for you. Thanks - Khairul",
1008417,358619,Sun Oct 22 16:49:15 +0000 2017,@AirAsiaSupport  have problem change my booking please contact me back,1008415,AirAsiaSupport,Sun Oct 22 20:09:03 +0000 2017,"@358619 Hi Teddy , Could you DM us the booking number and we will further check into this. Thanks - Khairul",1008416
1009127,358784,Sun Oct 22 17:04:01 +0000 2017,@AirAsiaSupport and Moreover if we cancelled to take another way we can't be refound. Even if we want to take a hostel we can't go outside !!,1009126,AirAsiaSupport,Sun Oct 22 20:19:28 +0000 2017,"@358784 Hi , We are sorry for that. Could you DM us the booking number we will look into any possible options for you. Thanks",
1009129,358966,Sun Oct 22 17:13:35 +0000 2017,"@358784 @AirAsiaSupport I'm in the same flight, this is inacceptable",1009925,AirAsiaSupport,Sun Oct 22 20:32:34 +0000 2017,"@358966 Hi Charles , Could you DM us your booking number and we will further check into this. Thanks - Khairul",
1009940,358969,Mon Oct 23 07:15:05 +0000 2017,@AirAsiaSupport Your customer care number never works.,1009942,AirAsiaSupport,Mon Oct 23 07:27:50 +0000 2017,"@358969 Sorry for the inconvenience, kindly submit an official feedback at https://t.co/vGsXPPwHkR for continuous improvement. Thanks",
1009941,358969,Sun Oct 22 17:12:57 +0000 2017,@AirAsiaSupport Booking number: BG3IWY,1009939,AirAsiaSupport,Sun Oct 22 20:31:50 +0000 2017,"@358969 Hi Biswajeeta , We believed you had boarded the flight for booking BG3IWY. How may we assist you regarding this ? Thanks",1009940
1012916,359685,Sun Oct 22 15:24:26 +0000 2017,@AirAsiaSupport Hi my flight Pune to Bangalore on 24th Oct is rescheduled. Can you confirm. Booking Id - HHV2SS,1012915,AirAsiaSupport,Sun Oct 22 18:07:51 +0000 2017,"@359685 Hi Shewta, We apologize for the flight rescheduling . We had DM you the possible options regarding this. Thanks - Khairul",
1015459,360263,Sun Oct 22 16:07:59 +0000 2017,@AirAsiaSupport my flight is tmr Ian's I need to purchased the upsize before 4hours .....hope you can help me...please....,1015458,AirAsiaSupport,Sun Oct 22 18:47:38 +0000 2017,"@360263 Hi Joanna , We had replied to your DM regarding your concern. Thanks - Khairul",
1017291,360703,Sun Oct 22 18:22:17 +0000 2017,"@AirAsiaSupport Also, I am having difficulties in switching seats for my returning inbound flight for next Saturday.",1017290,AirAsiaSupport,Sun Oct 22 21:27:16 +0000 2017,"@360703 Hi , Could you DM us your booking number and we will look into this for you. Thanks - Khairul",
1017294,360704,Sun Oct 22 17:28:15 +0000 2017,@360705 @AirAsiaSupport Customer care pr call kar lo.,1017293,AirAsiaSupport,Sun Oct 22 21:15:56 +0000 2017,"@360704 Hi Amit , How may we assist you ? Thanks - Khairul",
1017944,360848,Sun Oct 22 18:52:15 +0000 2017,Worst experience on @115802 flight from Goa to Kochi. We were kept waiting at multiple airports for over 10 hrs and no hotel provided.,1017943,AirAsiaSupport,Sun Oct 22 21:37:33 +0000 2017,@360848 We understand that it's a rough situation. Will you DM us the booking number and we will further check into this. Thanks,
1019210,361161,Sun Oct 22 20:45:48 +0000 2017,@AirAsiaSupport  - I frgt d name of that person but I wanted to appreciate him for helping me out... Person who took my call @ 1:24 AM .,1019209,AirAsiaSupport,Sun Oct 22 22:08:19 +0000 2017,@361161 Thank you for your feedback Rafiq. We will relay this to the relevant team .Have a nice day =) Yana,
102058,138370,Tue Nov 28 02:17:04 +0000 2017,"@AirAsiaSupport @138371 I have already reported my damage immediately, but I was told my case does not fall within the ambit of policy coverage, it sound kidding.",102057,AirAsiaSupport,Thu Nov 30 17:17:03 +0000 2017,"@138370 Hi there, Sowseng, can you DM us the booking number for further check? -Miza",
102061,138370,Mon Nov 27 13:03:28 +0000 2017,"@60851 

H

I was another wheelchair guy, whose wheelchair was damaged when traveled on Air Asia airline.

I reported the damage immediately after the flight, and was told to fill in the report ID at https://t.co/ooZumDhIGZ. But I couldn't open the website at all.",102059,AirAsiaSupport,Tue Nov 28 02:00:36 +0000 2017,"@138370 Oh no! Sincerest apologies about this, Sowseng. You may contact them directly at @138371 or link at https://t.co/4VFhGxZp5s. Thanks for your patience. -Floi","102058,102060"
1020832,361567,Mon Oct 23 04:56:41 +0000 2017,"@AirAsiaSupport Hi Yana, it's AGVG4P",1020834,AirAsiaSupport,Mon Oct 23 05:33:28 +0000 2017,"@361567 Sorry Hashim, meals menu updated to new, kindly refer https://t.co/URnsHYzmGU shall you wish to change meals. Thanks-Mich","1020835,1020836"
1020833,361567,Sun Oct 22 21:04:31 +0000 2017,@AirAsiaSupport My meals have been updated without me giving any choice to choose from the updated menu. I am charged more now. Reply,1020831,AirAsiaSupport,Sun Oct 22 22:36:00 +0000 2017,"@361567 Hi Hashim, may we have your booking number for a check please? -Yana",1020832
1020836,361567,Mon Oct 23 05:43:10 +0000 2017,"@AirAsiaSupport I would like Corn Fried Rice with Manchurian in Sxr - Del flight

And Chicken Tikka Sandwich in Masala Bread in Del - Sxr flight",1020837,AirAsiaSupport,Mon Oct 23 06:04:37 +0000 2017,"@361567 Hi, not to worry it will not be charged. Kindly select other meal as Chicken Tikka Sandwich in Masala Bread is not available.","1020838,1020839"
1020839,361567,Mon Oct 23 06:12:36 +0000 2017,@AirAsiaSupport Just confused since I have booked the flight months ago and paid for everything. Could you please check. https://t.co/XnkxufBbIr,1020841,AirAsiaSupport,Mon Oct 23 06:32:46 +0000 2017,"@361567 Sorry about this, Hashim. The new meals are at 220.00 INR each, thus has balance due of 62.00 INR. You may actually change &gt;&gt;",
1020839,361567,Mon Oct 23 06:12:36 +0000 2017,@AirAsiaSupport Just confused since I have booked the flight months ago and paid for everything. Could you please check. https://t.co/XnkxufBbIr,1020840,AirAsiaSupport,Mon Oct 23 06:33:15 +0000 2017,@361567 &gt;&gt;the meals online via Manage my Booking still up to 24 hours before departure. Thanks for your patience. -Floi,1020842
1021269,361682,Sat Nov 25 15:11:48 +0000 2017,"@AirAsiaSupport hi i wanna ask ive just doing a web check-in but why it state that "" this is not a boarding pass "" ? https://t.co/U2t5UuGIbX",1021270,AirAsiaSupport,Sat Nov 25 17:36:31 +0000 2017,@361682 The notification ‘THIS IS NOT A BOARDING PASS’ printed on it. You will need to proceed to the document check/baggage &gt;&gt;&gt;,
1021269,361682,Sat Nov 25 15:11:48 +0000 2017,"@AirAsiaSupport hi i wanna ask ive just doing a web check-in but why it state that "" this is not a boarding pass "" ? https://t.co/U2t5UuGIbX",1021268,AirAsiaSupport,Sat Nov 25 17:36:39 +0000 2017,"@361682  drop counters, after which a valid boarding pass will be issued. Thanks-Sha",
