customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001668,357123,Sun Oct 22 17:29:15 +0000 2017,It really made my blood boil when I saw what the host said.I just want to konw whether can we stay in her home @115783 @AirbnbHelp https://t.co/7L9uSQnVXP,1001667,AirbnbHelp,Sun Oct 22 17:35:21 +0000 2017,@357123 Can you DM us the email address associated your Airbnb account so we can have a team member follow up? Thank you. (2/2),
1001668,357123,Sun Oct 22 17:29:15 +0000 2017,It really made my blood boil when I saw what the host said.I just want to konw whether can we stay in her home @115783 @AirbnbHelp https://t.co/7L9uSQnVXP,1001669,AirbnbHelp,Sun Oct 22 17:34:09 +0000 2017,"@357123 We're very sorry to hear about this. Airbnb does not condone discrimination. You can review our policy, here: https://t.co/Q9thKdvn33 (1/2)",
1001671,357124,Sun Oct 22 17:10:29 +0000 2017,4 days later and still no word from @115783 @AirbnbHelp.  Didn't even get an email.  What is going on with this #terribleservice #travel,1001670,AirbnbHelp,Sun Oct 22 17:22:04 +0000 2017,@357124 that we have the correct information to follow up with you about? Thanks in advance. 2/2 https://t.co/WCQEFGIlXC,
1001671,357124,Sun Oct 22 17:10:29 +0000 2017,4 days later and still no word from @115783 @AirbnbHelp.  Didn't even get an email.  What is going on with this #terribleservice #travel,1001672,AirbnbHelp,Sun Oct 22 17:21:53 +0000 2017,"@357124 We are so sorry to hear this, can you please DM us with your email &amp; phone number associated with your account so that we can make sure 1/2",
1001674,357125,Sun Oct 22 17:13:43 +0000 2017,"@AirbnbHelp don't worry, just celebrating!",1001673,AirbnbHelp,Sun Oct 22 17:16:46 +0000 2017,@357125 We are happy to hear you are celebrating being a Superhost. Congratulations!,
1001676,357125,Sun Oct 22 17:09:55 +0000 2017,@115783 #superhost,1001675,AirbnbHelp,Sun Oct 22 17:12:21 +0000 2017,"@357125 Hi Ceci, we received your post and wanted to see what assistance we can be of at this time, please let us know, we are standing by to help.",1001674
1002447,357297,Thu Oct 12 06:12:55 +0000 2017,@AirbnbHelp You guys asked for ID and cancelled my reservation while I was asleep. Refund issued but now have to wait ~15 days to rebook WTF,1002446,AirbnbHelp,Thu Oct 12 06:14:26 +0000 2017,"@357297 We are sorry to hear this, we have received your DM and will be replying there shortly.",
1003672,357563,Thu Oct 12 06:40:22 +0000 2017,@115783 our hosts aren't answering our calls and we can't check into our location! What should I do?,1003671,AirbnbHelp,Thu Oct 12 07:20:22 +0000 2017,"@357563 Hi Tara, we're here to help! Please DM us your email and reservation code, we'll have our team follow up, thank you.",
1006676,358212,Sun Oct 22 19:29:58 +0000 2017,Thank you @115783 for the great customer service!,1006675,AirbnbHelp,Sun Oct 22 19:30:48 +0000 2017,@358212 We're glad we can help. Please don't hesitate to let us know if there is ever anything you need.,
1006678,358213,Sun Oct 22 19:19:25 +0000 2017,@AirbnbHelp Don't mention me @115783  you need to mention @358214,1006681,AirbnbHelp,Sun Oct 22 19:23:01 +0000 2017,@358213 We will address DesignGears concerns accordingly but would like to resolve yours as well. Please DM us if you have any questions.,1006682
1006679,358213,Sun Oct 22 19:16:16 +0000 2017,@358214 @115783 I won't be using @115783 anymore if they don't offer transparency to the customer.,1006677,AirbnbHelp,Sun Oct 22 19:18:28 +0000 2017,@358213 We are sorry to hear this and would like the opportunity to resolve your concerns. Please DM us with any questions you have.,1006678
1006682,358213,Sun Oct 22 19:25:43 +0000 2017,@AirbnbHelp I want transparency. I used Airbnb once and it was gross.,1006683,AirbnbHelp,Sun Oct 22 19:28:38 +0000 2017,@358213 We really want to help improve your experience. Please DM your account email and reservation code so we can follow up &amp; assist you directly.,
1006684,358214,Sun Oct 22 19:13:30 +0000 2017,"How many bad reviews has your @115783 host had removed, in our case, 115, subtract shown reviews from total reviews. https://t.co/7V2jvwH7Zv",1006685,AirbnbHelp,Sun Oct 22 19:24:41 +0000 2017,@358214 the 133 have given star ratings. Star ratings are not mandatory when leaving a review. We hope this helps clarify things for you. 2/2,
1006684,358214,Sun Oct 22 19:13:30 +0000 2017,"How many bad reviews has your @115783 host had removed, in our case, 115, subtract shown reviews from total reviews. https://t.co/7V2jvwH7Zv",1006686,AirbnbHelp,Sun Oct 22 19:24:29 +0000 2017,"@358214 Hello there, we sorry for the confusion. What you see is not that that 115 reviews have been removed. What you see is that only 18 of 1/2",
1008006,207797,Thu Oct 12 09:43:35 +0000 2017,@AirbnbHelp Yup I did my only question is why don't your host keep up with maintenance in their buildings why do customers have to find out the hard way,1008008,AirbnbHelp,Thu Oct 12 09:59:44 +0000 2017,@207797 We have a team that investigates reports like this. Rest assured we'll take appropriate action to ensure a high standard is maintained.,"1008009,1008010,1008011"
1008007,207797,Thu Oct 12 09:34:28 +0000 2017,I'm having the worse luck with @115783 lately first roaches and now the power which has been out 7 hrs 😑 homeaway or hotel from here out!,1008014,AirbnbHelp,Thu Oct 12 09:40:03 +0000 2017,"@207797 Hi Josh, we're sorry to hear that and we can only imagine how you must be feeling right now. Have you tried contacting your host about 1/2",
1008007,207797,Thu Oct 12 09:34:28 +0000 2017,I'm having the worse luck with @115783 lately first roaches and now the power which has been out 7 hrs 😑 homeaway or hotel from here out!,1008005,AirbnbHelp,Thu Oct 12 09:40:11 +0000 2017,@207797 this? Do DM us more details so we can assist you further. 2/2,1008006
1008011,207797,Thu Oct 12 10:03:47 +0000 2017,@AirbnbHelp That's the thing why doesn't your team mandate these things be coordinated before the booking let the customer know before we BOOK!,1008012,AirbnbHelp,Thu Oct 12 10:22:15 +0000 2017,@207797 we do not proactively check every individual listing worldwide. We may decide to have that account removed after our investigation. 2/2,
1008011,207797,Thu Oct 12 10:03:47 +0000 2017,@AirbnbHelp That's the thing why doesn't your team mandate these things be coordinated before the booking let the customer know before we BOOK!,1008013,AirbnbHelp,Thu Oct 12 10:21:04 +0000 2017,"@207797 We're a third party platform that introduces guests and hosts. Although we do mediate and and take responsibility in some situations, 1/2",
1008260,358581,Sun Oct 22 20:12:20 +0000 2017,@AirbnbHelp,1008259,AirbnbHelp,Sun Oct 22 20:13:32 +0000 2017,"@358581 Hi Francesco, how can we help you today? DM us with your email address and more information. We're standing by.",
1009484,210116,Thu Oct 12 10:51:59 +0000 2017,@AirbnbHelp Denise from Customer Experience KILLING IT! 😁,1009483,AirbnbHelp,Thu Oct 12 10:54:31 +0000 2017,@210116 We're happy to see that everything is sorted now Mark! All the best 🙂,
1009742,358922,Sun Oct 22 20:19:40 +0000 2017,@AirbnbHelp you got a dm from me :),1009740,AirbnbHelp,Sun Oct 22 20:32:08 +0000 2017,@358922 We've just replied to your DM with further instructions. Please don't hesitate to let us know if there is ever anything you need.,1009741
1009744,358922,Sun Oct 22 20:11:30 +0000 2017,@AirbnbHelp i Booked an accommodation last year and payed for the first month. Now I have a different credit card and also updated it on my,1009743,AirbnbHelp,Sun Oct 22 20:15:13 +0000 2017,"@358922 Hi, can you give us more information? We'd like to help! Please send us a DM with the email to your account and we'll follow up. Thank you.",1009742
1010284,359056,Thu Oct 12 10:27:40 +0000 2017,Host of airbnb has large mutt... get to walk him sometimes...  dog hair now a regular accessory to all dark clothing... #lifewithfourfoots,1010283,AirbnbHelp,Thu Oct 12 11:17:46 +0000 2017,@359056 The host or the dog Jo? 🐕🚶‍♀️ #Airbnpets,
1010991,190210,Sat Oct 14 12:14:47 +0000 2017,@115783 your @29992 rating is 1.3 out of 10. You are failing at refunds and customer service.It will only become more obvious in time.,1010990,AirbnbHelp,Sat Oct 14 14:20:56 +0000 2017,"@190210 Hi Lale, please rest assured our team are looking into it and you'll receive an update shortly. Thank you",
1010993,359214,Sat Oct 14 14:50:25 +0000 2017,"@AirbnbHelp I appreciate the fast twitter response, but I first contacted customer service about this yesterday AM and this issue is still not resolved.",1010995,AirbnbHelp,Sat Oct 14 15:34:17 +0000 2017,"@359214 Apologies Bonnie, a case manager will be reaching out shortly to assist further. Thank you",
1010993,359214,Sat Oct 14 14:50:25 +0000 2017,"@AirbnbHelp I appreciate the fast twitter response, but I first contacted customer service about this yesterday AM and this issue is still not resolved.",1010996,AirbnbHelp,Sat Oct 14 15:36:25 +0000 2017,"@359214 In the meantime, we recommend clearing the cookies and cache from your browser and load the site in Google Chrome or Mozilla Firefox.",
1010994,359214,Sat Oct 14 13:58:33 +0000 2017,"@AirbnbHelp While we're at it, if my problem is I'm locked out of my account, why is your response ""login to your account""?",1010992,AirbnbHelp,Sat Oct 14 14:09:13 +0000 2017,@359214 to continue assisting. Thank you 2/2,1010993
1010994,359214,Sat Oct 14 13:58:33 +0000 2017,"@AirbnbHelp While we're at it, if my problem is I'm locked out of my account, why is your response ""login to your account""?",1010997,AirbnbHelp,Sat Oct 14 14:09:02 +0000 2017,"@359214 Hi Bonnie, we're here to help! We can see you're being assisted by Percy, we've requested he follows up with you shortly 1/2",
1011016,359218,Sat Oct 14 14:01:52 +0000 2017,@AirbnbHelp for some reason I can't change the address of my apartment? Can you help? https://t.co/eJzDhknnKw,1011015,AirbnbHelp,Sat Oct 14 14:09:01 +0000 2017,@359218 Hi there! Please DM us your email address. We will be happy to help!,
1011145,359245,Sun Oct 22 18:23:12 +0000 2017,"@AirbnbHelp Didn't take a screenshot, but will do so next time. Happens with every booking.",1011144,AirbnbHelp,Sun Oct 22 20:51:33 +0000 2017,@359245 Thanks for letting us know! We'll be here  to help when it happens next. Take care!,
1011147,359245,Sun Oct 22 17:59:37 +0000 2017,"@115783 why to prices suddenly change to USD when I’m about to pay, and then state “You are paying EUR” ?",1011146,AirbnbHelp,Sun Oct 22 18:22:27 +0000 2017,@359245 Hmm...That's strange 🤔  Can you please DM us with your email address and a screenshot of the issue you're experiencing?,1011145
1012212,359509,Thu Oct 12 12:23:14 +0000 2017,"@AirbnbHelp Hi there, I have a Q on an upcoming reservation I have in Sonoma. Can you please message me?",1012211,AirbnbHelp,Thu Oct 12 12:25:37 +0000 2017,"@359509 Hi Rachel, we are here to help. Can you please DM us with your question? Thank you.",
