customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001498,357083,Thu Oct 12 05:37:01 +0000 2017,@AlaskaAir Sitting on a flight to Detroit...but no pilot. Its gonna be a long night.,1001497,AlaskaAir,Thu Oct 12 05:38:39 +0000 2017,"@357083 I apologize for the delay, Edward. We hope to have you on your way soon! -Sara",
1001954,357172,Sat Oct 14 12:30:28 +0000 2017,"@AlaskaAir -Sick people are leaving the plane, the yappy dog remains",1001953,AlaskaAir,Sat Oct 14 12:32:15 +0000 2017,@357172 Hi Julie. Can you DM your confirmation code and some additional details about this situation?  -Maeghan https://t.co/t4ooDR29zz,
1001956,357173,Sat Oct 14 12:28:42 +0000 2017,@AlaskaAir so your plane won’t start and now I’m gunna miss all my flights. Dope,1001955,AlaskaAir,Sat Oct 14 12:30:16 +0000 2017,@357173 I'm sorry to hear this. Can you DM your confirmation code so I can look into this for you.  -Maeghan https://t.co/t4ooDR29zz,
1002646,357329,Sun Oct 22 14:49:42 +0000 2017,"@AlaskaAir ok, how about a bit more space to store some things? I can barely fit my wallet and one phone in there! https://t.co/E1rojxsulD",1002645,AlaskaAir,Sun Oct 22 14:51:48 +0000 2017,@357329 Hello. I'll share your feedback with leadership. We do appreciate you choosing to fly with us. I hope you have a nice trip. -Kimball,
1004095,357660,Sun Oct 22 15:11:37 +0000 2017,@AlaskaAir @151272 1. Make sure @AlaskaAir has the correct gates on the boards &amp; flights posted at gates 2. Make sure I'm notified via text as I signed up for,1004094,AlaskaAir,Sun Oct 22 15:17:12 +0000 2017,@357660 Are you able to DM me your 6-letter conf. code? I'd like to look into this for you. -Kimball https://t.co/t4ooDR29zz,
1004097,357660,Sun Oct 22 11:05:30 +0000 2017,"@AlaskaAir at @151272 is the worst. Gate changes, no updates on the boards, 800 number no help #worstAirlineEver",1004096,AlaskaAir,Sun Oct 22 11:08:26 +0000 2017,@357660 @151272 I'm really sorry to hear about your experience. That is not the service we are known for. Is there something I can help you with?-Jordan,1004095
1004421,357734,Sat Oct 14 13:05:01 +0000 2017,On board @AlaskaAir Flight 782 to Orlando! Thankful for Pre Check. Hoping for a smooth flight and early arrival! #BAONPDX #MakeItADouble https://t.co/LQyS4yIpaQ,1004420,AlaskaAir,Sat Oct 14 13:14:14 +0000 2017,@357734 Have a great flight with us this morning! -Maeghan,
1004423,357735,Sat Oct 14 13:14:22 +0000 2017,"@AlaskaAir Totally get it, but after a 6:30 AM flight home from DFW yesterday, would’ve loved this news last night so I could sleep in today. 😉",1004425,AlaskaAir,Sat Oct 14 13:17:26 +0000 2017,"@357735 We understand, we apologize for the short notice. -Maeghan",1004426
1004424,357735,Sat Oct 14 13:00:27 +0000 2017,"Left house at 4:45 AM to catch this flight, only to find out as I get to SeaTac I’m delayed 95 minutes. Could have slept in... @AlaskaAir https://t.co/Q1BHWH4npE",1004422,AlaskaAir,Sat Oct 14 13:09:36 +0000 2017,@357735 I apologize for the delay. It is due to Air Traffic Control. -Maeghan,1004423
1004428,357172,Sat Oct 14 13:05:36 +0000 2017,Thanks @AlaskaAir for getting us rebooked so fast! You’re a rockstar Meagan!,1004427,AlaskaAir,Sat Oct 14 13:07:24 +0000 2017,@357172 You're welcome! Happy I could help. -Maeghan,
