customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1003305,357492,Sun Oct 22 14:41:43 +0000 2017,@AldiUK I don’t tend to keep food shopping receipts and needed meat today? Aldi is the other side of york and my husband was at work with car,1003303,AldiUK,Sun Oct 22 14:54:23 +0000 2017,"@357492 Please could you send us a DM about this so that our customer services team can discuss this with you further, Julie? Thanks.",1003304
1003307,357492,Sun Oct 22 12:10:45 +0000 2017,Not happy @AldiUK  bought a pork joint with best before date 27/10/2017 and its off!!,1003306,AldiUK,Sun Oct 22 14:36:43 +0000 2017,"@357492 We're sorry to hear this, Julie. If you still have your receipt, you can return the packaging to store and we'll provide a full refund.",1003305
1003309,357493,Sun Oct 22 14:35:10 +0000 2017,Just came across this gem in @AldiUK! Love the branding and the scent #No4 #Diffuser https://t.co/dAw1JM1Cor,1003308,AldiUK,Sun Oct 22 14:53:38 +0000 2017,"@357493 Thank you, Fiona! ❤️",
1003311,357494,Sun Oct 22 14:07:09 +0000 2017,@AldiUK is a v unpleasant experience on a Sunday. Why can’t your staff wait til the store is closed until they stand and block the isles,1003310,AldiUK,Sun Oct 22 14:45:24 +0000 2017,@357494 Hi Aimz. Please could you send us a DM letting us know which store you visited so we can flag this with the manager there? Thanks.,
1003758,357578,Wed Oct 11 18:55:24 +0000 2017,"@AldiUK hiya, do you know yet when your salted caramel mince pies will be in stores this year?",1003757,AldiUK,Thu Oct 12 07:09:25 +0000 2017,"@357578 Hi Tina, if you send us a DM, our Customer Services team will be happy to advise. Thanks.",
1004320,357715,Sat Oct 14 12:41:54 +0000 2017,Sublime #snack  thanks to @AldiUK with hot dog relish &amp; crisps and @sainsburys for #vegan #gary with chives. #delicious #saturdaysnacktime https://t.co/XOiJrRB5Qs,1004321,AldiUK,Sat Oct 14 17:08:04 +0000 2017,"@357715 @sainsburys That’s our kind of Saturday #snack, Kathryn!",
1004941,357852,Wed Oct 11 22:43:45 +0000 2017,The thing what i want to know is if @AldiUK are going to make a builders proof dab radio to go with the other builders gear 🤔,1004940,AldiUK,Thu Oct 12 08:12:27 +0000 2017,"@357852 Thanks for the suggestion, Danny. We'll pass it on!",
1004944,357853,Thu Oct 12 07:59:54 +0000 2017,When @AldiUK's Super 6 is everything you needed for your stew 😂🙏🏻👯👍🏻 #stewseasonisback #stewqueen #bloodyloveastew,1004942,AldiUK,Thu Oct 12 08:00:37 +0000 2017,"@357853 What stew are you making, Beth?",1004943
1004947,357854,Wed Oct 11 20:32:31 +0000 2017,@AldiUK who do I need to contact to complain about gone off baby yoghurt? Only bought it 4 days ago bb oct 2018?!!,1004946,AldiUK,Thu Oct 12 07:57:18 +0000 2017,"@357854 Hi Matt, please send us a DM and Customer Services will look into this. Thanks.",
1004955,296433,Wed Oct 11 20:22:14 +0000 2017,Another winner from @AldiUK Thai green curry paste😊 https://t.co/J4GSznlXni,1004954,AldiUK,Thu Oct 12 07:54:00 +0000 2017,"@296433 Looking good, Jamie! Glad you love our curry paste 👍",
1004957,357857,Wed Oct 11 20:02:32 +0000 2017,Weekly @AldiUK shop for essentials - now have too much food &amp; gin + a bonus sewing box...don't even sew but it was a BARGIN #foodandfunny,1004956,AldiUK,Thu Oct 12 07:51:14 +0000 2017,@357857 You never know what you will find in store! #AldiPlotTwists,
1004965,357860,Wed Oct 11 19:45:17 +0000 2017,"@AldiUK hey Aldi, have you stopped selling the vive cherry  coca cola zero?",1004964,AldiUK,Thu Oct 12 07:49:10 +0000 2017,"@357860 Hi there, if you send us a DM, our Customer Services team will be happy to advise. Thanks.",
1004967,357861,Wed Oct 11 19:33:20 +0000 2017,@AldiUK my wife went to romfordmarket to get water.But couldnt cos the fizzy was on top.Had twin babies &amp; 2yr old with her &amp; no staff helped,1004966,AldiUK,Thu Oct 12 07:43:44 +0000 2017,"@357861 Hi Richard, we're sorry to hear that. We'll make sure your feedback is passed on to the store. Thanks.",
1004982,357864,Wed Oct 11 19:13:01 +0000 2017,"@AldiUK beef burrito has not been stocked in my local store since it's come out! Been waiting forever 😞 
#epicfail#disappointed#hanger",1004981,AldiUK,Thu Oct 12 07:39:26 +0000 2017,"@357864 Hi Jakki, we're sorry to hear that. Please send us a DM or call 0800 042 0800 to find out about local stock levels. Thanks.",
1005192,357915,Sun Oct 22 14:01:11 +0000 2017,"@AldiUK i really really wanna try ur big daddy rump steak but i am house bound with torn knee ligaments, dislocated knee cap how can i get 1",1005189,AldiUK,Sun Oct 22 15:15:29 +0000 2017,"@357915 Hi KellyMarie. We're very sorry, but unfortunately the Big Daddy steaks can only be purchased in store and not online.","1005190,1005191"
1006273,358159,Wed Oct 11 21:05:17 +0000 2017,@AldiUK could you tell me which day your Durham / Arnison Centre store restocks its tool /diy range please?,1006272,AldiUK,Thu Oct 12 08:20:15 +0000 2017,"@358159 Hi there, if you send us a DM, our Customer Services team will be happy to advise. Thanks.",
1006283,358163,Wed Oct 11 21:15:55 +0000 2017,@AldiUK ... but unfortunately your supply has not kept up been to 4 stores tonight but no size 2’s! will have 2 use pampers! (shock horror!),1006282,AldiUK,Thu Oct 12 08:18:00 +0000 2017,@358163 Thanks for letting us know about this. We'll make sure your feedback is passed on to the store. Thanks.,
1006285,358164,Wed Oct 11 21:32:34 +0000 2017,@AldiUK Me thinks nobody actually wins these - like ever @AldiUK,1006284,AldiUK,Thu Oct 12 08:17:21 +0000 2017,"@358164 There's always a winner, Annette!",
1006460,546325,Sun Oct 15 16:00:11 +0000 2017,@AldiUK 🎃,1818897,AldiUK,Mon Oct 16 15:06:09 +0000 2017,"@546325 Congrats! You're a winner of our Trick or Tweet competition! DM us your name, number &amp; full postal address &amp; we can send you a prize!",
1007432,358389,Sat Oct 14 09:31:50 +0000 2017,"@AldiUK your checkouts may seem overly quick at times....but going to another supermarket now, feels like swapping a lambo for a 3 wheeler! https://t.co/9wBoSukWy5",1007431,AldiUK,Sat Oct 14 13:28:47 +0000 2017,"@358389 Once you’ve had a workout at our checkouts, nothing else really compares! 😉",
1007435,358390,Sat Oct 14 10:08:26 +0000 2017,@AldiUK Why are some of your stores refusing to accept the £ coins that are still legal tender until tomorrow?,1007434,AldiUK,Sat Oct 14 13:27:13 +0000 2017,@358390 Hi James. Please could you send us a DM about this with details of the store you visited? Thanks.,
1007438,358391,Sat Oct 14 11:19:14 +0000 2017,Damn you @AldiUK making us buy multipacks... https://t.co/bYjRRYXB0Z,1007436,AldiUK,Sat Oct 14 13:24:44 +0000 2017,"@358391 Thanks for your feedback, Martin. We’ll make sure that your comments are passed on to the team here.",1007437
1007440,358392,Sat Oct 14 11:27:08 +0000 2017,4 days after buying. Not even had one yet! Terrible fruit lifespan yet again @AldiUK (no receipt to take back) #disappointed https://t.co/JyAGUbp6zW,1007439,AldiUK,Sat Oct 14 13:24:04 +0000 2017,"@358392 We’re sorry to see this, Chrissy. Please could you send us a DM so we can discuss this with you further? Thanks.",
