customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000419,194745,Sun Oct 22 17:08:08 +0000 2017,wtf? @116450 has a lounge at MSP but @AmericanAir doesn’t?!,1000418,AmericanAir,Sun Oct 22 17:25:28 +0000 2017,"@194745 We're always looking at new places to add, here's a list of where we currently offer clubs: https://t.co/oEYHhbsqOI",
1000421,256648,Sun Oct 22 16:54:38 +0000 2017,@151271 bumping @43773 “Shoulder Lean” in the @AmericanAir terminal #classicsong #sundaymotivation,1000420,AmericanAir,Sun Oct 22 17:24:03 +0000 2017,@256648 Stay motivated! Always a joy to have travel with you.,
1000424,356842,Sun Oct 22 16:52:00 +0000 2017,@AmericanAir SAN today.,1000423,AmericanAir,Sun Oct 22 17:22:09 +0000 2017,@356842 It sounds like there's a lot of folks that want to fly to SAN with us today!,
1000426,356842,Sun Oct 22 15:30:47 +0000 2017,.@AmericanAir just successfully offered $1800/person + meals/hotel to get 2 people 2 take same flt 2mrw from ORD—&gt;SAN. $AAL,1000425,AmericanAir,Sun Oct 22 15:41:57 +0000 2017,"@356842 That's #AAwesome, Mike! Where are we going?",1000424
1000428,314830,Sun Oct 22 16:53:54 +0000 2017,@AmericanAir I didn't need a pair... it's others who think it's ok to listen to music/watch movies/play games without using earphones. #rude #annoying,1000427,AmericanAir,Sun Oct 22 17:21:51 +0000 2017,@314830 If there's a disturbance you can always speak with a flight attendant and they'll be happy to address whatever you may need.,
1000430,314830,Wed Oct 18 17:15:42 +0000 2017,"Looking @ you, @Delta @AmericanAir!",1000429,AmericanAir,Wed Oct 18 17:17:22 +0000 2017,"@314830 Our apologies. If you're traveling with us today and need a pair, please check with our team on board.",1000428
1000434,356843,Sun Oct 22 20:53:05 +0000 2017,@AmericanAir I got half way to my destination then had to book another flight to complete the trip.What about reimbursement for the cost of that ticket?,1000436,AmericanAir,Sun Oct 22 23:33:57 +0000 2017,@356843 We're only able to offer a refund for the unused segment of our ticket. if you were affected by a delay or cancellation.,1000437
1000435,356843,Sun Oct 22 17:05:33 +0000 2017,@AmericanAir worst service ever today. Ended up having to get an Uber to Love field and buy a southwest ticket. Per your cs desk suggestion!,1000433,AmericanAir,Sun Oct 22 17:17:53 +0000 2017,"@356843 We're sorry if you weren't able to fly with us today, John. You can submit for a refund via this link: https://t.co/xM8Vkc7BvM",1000434
1000437,356843,Mon Oct 23 19:00:25 +0000 2017,@AmericanAir Because I did not use my last segment is there anything I need to do about my return flight? Or just proceed as usual?,1000438,AmericanAir,Mon Oct 23 19:24:45 +0000 2017,@356843 Could you please DM your record locator so that we can have a look at your itinerary?,1000439
1000439,356843,Fri Nov 03 15:36:39 +0000 2017,@AmericanAir How can I get a copy of my checked baggage receipts?,1000440,AmericanAir,Fri Nov 03 15:39:24 +0000 2017,@356843 You can use the document number on your credit card statement starting with 001 and request a receipt here: https://t.co/xM8Vkc7BvM,1000441
