customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1064628,371350,Sat Oct 21 15:49:34 +0000 2017,"Went to @119158 to try the venison sandwich today. Manager glares at me and asks, “so you want a little slice of bambi, huh?” @ArbysCares",1064626,ArbysCares,Mon Oct 23 14:10:20 +0000 2017,"@371350 We apologize, Michael. Which restaurant did you visit?",1064627
1064632,371351,Sat Oct 21 17:30:10 +0000 2017,@119158 @ArbysCares no amount of arbsy sauce can overcome how bad this “venison” tastes. #arbyssucks https://t.co/sKLsoOUWJq,1064631,ArbysCares,Mon Oct 23 14:09:31 +0000 2017,@371351 We apologize. Please email us more details about your visit to __email__ &amp; we will make it right.,
1064635,371352,Sat Oct 21 17:34:52 +0000 2017,@119158 @ArbysCares Eating one of your amazing #venison sandwiches right now. Pls make this permanent! 🙏🏼#WeHaveTheMeats #Arbys #DeerMeat,1064633,ArbysCares,Mon Oct 23 14:09:12 +0000 2017,@371352 Glad you enjoyed your venison sandwich!,1064634
1064637,371353,Mon Oct 23 15:57:18 +0000 2017,@ArbysCares I just sent an email. Thank you for reaching out. I appreciate it very much!!,1064639,ArbysCares,Mon Oct 23 18:08:01 +0000 2017,"@371353 You are most welcome, Sheila!",
1064638,371353,Sat Oct 21 18:52:27 +0000 2017,@ArbysCares I drove to the nearest Arby’s 15mins away today for my birthday. Ordered the Cajun Turkey &amp; got the Turkey Club! #epicfailArbys,1064636,ArbysCares,Mon Oct 23 14:08:38 +0000 2017,@371353 We apologize. Please email us more details about your visit to __email__ &amp; we will make it right.,1064637
1064641,371354,Sat Oct 21 19:12:29 +0000 2017,@ArbysCares American fork in Utah,1064640,ArbysCares,Mon Oct 23 14:07:39 +0000 2017,@371354 Thanks. We will address with the restaurant.,
1064643,371354,Tue Oct 17 03:26:12 +0000 2017,"was just rlly excited for that Arby's.. even asked for xtra sauce, get home and there's ZERO sauce, ya vry triggered @119158",1064642,ArbysCares,Tue Oct 17 17:44:33 +0000 2017,@371354 Sorry to hear that. Which restaurant location did you visit?,1064641
1064645,371355,Sat Oct 21 17:26:17 +0000 2017,@ArbysCares this was $7. WHAT THE FUCK? https://t.co/Ug8Ov54jT0,1064644,ArbysCares,Mon Oct 23 14:07:05 +0000 2017,@371355 We apologize. Please email us more details about your visit to __email__ &amp; we will make it right.,
1064654,371356,Sat Oct 21 19:48:02 +0000 2017,@ArbysCares Chicken tenders were mostly breading with very little meat. Very disappointed https://t.co/yeEIPHhXPP,1064652,ArbysCares,Mon Oct 23 13:55:57 +0000 2017,@371356 We apologize. Please email us more details about your order/visit to __email__ &amp; we will make this right.,1064653
1064656,371357,Sun Oct 22 00:43:14 +0000 2017,"@ArbysCares Got Hilsa to give feedback and she offered a free combo meal, we really would like Arbys to adhere to your policy of offering a refund",1064655,ArbysCares,Mon Oct 23 13:53:44 +0000 2017,@371357 We apologize. Please email us more details about your visit to __email__ &amp; we will make it right.,
