customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001647,357120,Sun Oct 22 17:29:58 +0000 2017,@ArgosHelpers This is VERY inconvenient for me,1001649,ArgosHelpers,Sun Oct 22 17:39:59 +0000 2017,"@357120 I can only apologise for any inconvenience caused.  As this item has been purchased in store, it would need to be returned to store. - David",
1001648,357120,Sun Oct 22 17:23:17 +0000 2017,@ArgosHelpers Reserved it online but paid in store,1001646,ArgosHelpers,Sun Oct 22 17:29:23 +0000 2017,@357120 You would need to return to the store in regards to this. - David,1001647
1001651,357120,Sun Oct 22 17:14:59 +0000 2017,@ArgosHelpers just got my new Google Chrome cast and the code for free now tv is not in there,1001650,ArgosHelpers,Sun Oct 22 17:22:36 +0000 2017,"@357120 Hi Lisa, I am sorry to hear this, was the item purchased online for home delivery, or in store? - David",1001648
1001653,356684,Sun Oct 22 17:16:53 +0000 2017,"@ArgosHelpers PS I'm v.grateful to argos for their flatpack bookcases. My house is &amp; always has been less shamblolic as a result, w/o debt! https://t.co/UhizOsat8n",1001652,ArgosHelpers,Sun Oct 22 17:26:29 +0000 2017,@356684 Glad you got someone to help you and I'm also happy that we were able to help you :) - Carl,
1001657,228355,Sun Oct 22 17:15:02 +0000 2017,How does @116245 survive? - It's like they want me to use @115830,1001654,ArgosHelpers,Sun Oct 22 17:23:22 +0000 2017,"@228355 @115830 Hi Johnny, can you please explain what happened? - Carl","1001655,1001656"
1001660,228355,Mon Oct 23 16:54:58 +0000 2017,"@357121 @ArgosHelpers @115830 @116245 Thanks Kik - only partially true. Yes it was the lingerie section, but the last time was this spring. #feelingfrisky",1001661,ArgosHelpers,Mon Oct 23 17:11:35 +0000 2017,"@228355 @357121 @115830 Hi Johnny, can you explain what is the difficulty with the app? - Ric","1001662,1001663"
1001666,357122,Sun Oct 22 17:10:36 +0000 2017,Reebok ZR9 Treadmill - £342.94 @ Argos - https://t.co/MJF4RCqhCw https://t.co/GMSZz0bUpU,1001665,ArgosHelpers,Sun Oct 22 17:15:29 +0000 2017,@357122 😎 - Carl https://t.co/zRxx3CiJOq,
1003240,134621,Sun Oct 22 14:55:09 +0000 2017,"@ArgosHelpers 700/1569 can you please confirm if these have hush button as described, as I can only see test button?",1003239,ArgosHelpers,Sun Oct 22 15:06:48 +0000 2017,"@134621 Hey, Just looked into this for you and it would seem the test and hush are the same button - Georgia",
1003242,244657,Sun Oct 22 14:42:59 +0000 2017,"@ArgosHelpers Hi, is 699/0554 likely to come into stock in Great Yarmouth or Lowestoft (or Norwich) any time soon please?",1003241,ArgosHelpers,Sun Oct 22 14:51:50 +0000 2017,"@244657 Hi there, we're expecting more stock of this item at the beginning of next month. - Stephen",
1003297,357490,Sat Oct 14 12:47:32 +0000 2017,@116245 Can you return a console?,1003296,ArgosHelpers,Sat Oct 14 12:49:44 +0000 2017,"@357490 Hey Mel, if its faulty or it is unused and sealed you can return it with the receipt to your local store ~ Emily",
1003299,357491,Sat Oct 14 12:43:16 +0000 2017,@ArgosHelpers Ok but I think you need to follow me first.,1003298,ArgosHelpers,Sat Oct 14 12:45:58 +0000 2017,@357491 Please DM  now ~ Affy,
1003316,296445,Sat Oct 14 12:38:28 +0000 2017,@116245 The furniture is still outside my apartment (day 4) #johnwalden  @argosHelpers don't help. Any Update?,1003313,ArgosHelpers,Sat Oct 14 12:45:08 +0000 2017,"@296445 Hi, a collection was raised yesterday for today. Yodel will collect any time today until 8pm this evening. ~ Jess","1003314,1003315"
1005159,357908,Sun Oct 22 15:33:48 +0000 2017,@116245 had an email saying if I use fast track I would get a £10 voucher to use in November within 72 hrs but nothing at present?,1005158,ArgosHelpers,Sun Oct 22 15:35:12 +0000 2017,"@357908 Hello Kris, I do apologise for this, Can you DM us and I can look into this for you. Thank you - Carolina",
1005162,357909,Sun Oct 22 15:19:56 +0000 2017,i have a free delivery code is that delivered from any where in uk or my local only @116245 ?,1005160,ArgosHelpers,Sun Oct 22 15:27:45 +0000 2017,"@357909 Hi Tez, can you please DM us with the code you have received so we can look into this for you? - David",1005161
1005591,358016,Thu Oct 12 08:20:44 +0000 2017,"@116245 my buy now later period on my Argos card runs out Sun. I am stuck in hospital, unable to pay. What can i do??",1005590,ArgosHelpers,Thu Oct 12 08:21:52 +0000 2017,@358016 I would have to advise contacting our Card Services team on 0345 640 0700 for further assistance. - PD,
1005593,358017,Thu Oct 12 08:20:06 +0000 2017,@ArgosHelpers I assume it's meant for someone else and I doubt they will now know their parcel is there.....,1005592,ArgosHelpers,Thu Oct 12 08:21:26 +0000 2017,@358017 It could be a type o error when someones entered their mobile details? - Sonia,
