customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000028,356757,Fri Nov 03 22:51:20 +0000 2017,@Ask_Spectrum What do you need to know is that Spectrum is nowhere near the kind of company Time Warner Cable was... Spectrum is about $ gouging. @136958,1000030,Ask_Spectrum,Fri Nov 03 22:53:12 +0000 2017,@356757 I apologize for the inconvenience. If there is anything I can do to assist you in the future please feel free to ... https://t.co/DTNL9YWqNG,1000031
1000029,356757,Fri Nov 03 22:45:33 +0000 2017,"@Ask_Spectrum It's called lower our bill... And no, your people don't seem to be able to do anything about that.... it's called #gouging @136958",1000027,Ask_Spectrum,Fri Nov 03 22:48:30 +0000 2017,@356757 I apologize but I do not have access to adjust the services or billing on your account. In order to do so you wou... https://t.co/DTNL9YWqNG,1000028
1000033,356757,Fri Nov 03 04:49:42 +0000 2017,@136958 it's time for cable deregulation- @115955 screws customers with unfair pricing- offers no relief.  We need open competition.,1000032,Ask_Spectrum,Fri Nov 03 11:30:24 +0000 2017,"@356757 Let us know if there's anything we may be able to help you with, we'll be glad to assist via DM. -CP",1000029
1000066,356762,Thu Oct 12 01:37:37 +0000 2017,I swear @115955 is terrible! Please come pick up yall equipment cuz I'm over the bs and giving y'all my money! 👎🏾,1000065,Ask_Spectrum,Thu Oct 12 04:59:46 +0000 2017,@356762 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,
1000068,351044,Thu Oct 12 04:56:01 +0000 2017,@Ask_Spectrum did u get my msm,1000067,Ask_Spectrum,Thu Oct 12 04:57:05 +0000 2017,@351044 I have not yet received the verification of your account number. ^MO,
1000084,356767,Fri Nov 03 22:54:27 +0000 2017,"@Ask_Spectrum people are saying the internet outage has been solved, I've restarted the modem and my pc is not getting the connection",1000083,Ask_Spectrum,Fri Nov 03 22:55:34 +0000 2017,@356767 I apologize for the inconvenience. I can look into that for you. Can you please send me your account or phone num... https://t.co/izymf5H3wA,
1000086,356767,Fri Nov 03 00:56:17 +0000 2017,"@Ask_Spectrum I have restarted by modem multiple times and the internet has till not turned on, reply asap",1000085,Ask_Spectrum,Fri Nov 03 04:46:01 +0000 2017,@356767 I apologize for the inconvenience. If you are still experiencing an issue with your services please feel free to ... https://t.co/izymf5H3wA,1000084
1000088,356768,Fri Nov 03 21:35:26 +0000 2017,@115955 is there something going onlower Manhattan. By delancey and Houston. We have no cable or phone service,1000087,Ask_Spectrum,Fri Nov 03 22:51:37 +0000 2017,"@356768 My apologies for the interruption in your services Millie. If you can DM me and provide me with the full address,... https://t.co/v1db1ykZsq",
1000487,356854,Thu Oct 12 02:02:20 +0000 2017,"@115955 (out of 1-100) I have to turn my tv from 60 down to 10 for ur damn commercials. When my neighbors complain, u ready to respond?",1000486,Ask_Spectrum,Thu Oct 12 05:08:25 +0000 2017,@356854 I apologize for the inconvenience. You can find information regarding this here https://t.co/SFxVruLiJv . ^AS,
1000489,356855,Thu Oct 12 01:45:00 +0000 2017,@115955 can’t get through one 30 minute show without buffering multiple times! #WHY,1000488,Ask_Spectrum,Thu Oct 12 05:02:07 +0000 2017,@356855 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,
1000489,356855,Thu Oct 12 01:45:00 +0000 2017,@115955 can’t get through one 30 minute show without buffering multiple times! #WHY,1000490,Ask_Spectrum,Thu Oct 12 15:04:59 +0000 2017,@356855 @115955 Thank you for your message. Would you mind following us back so we may reply to your DM? -CP,
1000492,356856,Thu Oct 12 01:41:22 +0000 2017,@Ask_Spectrum why does it cost $5 to turn on the WiFi option in a modem? Why did I have to make 5 phone calls to upgrade?,1000491,Ask_Spectrum,Thu Oct 12 05:01:22 +0000 2017,@356856 Our apologies for the frustrations getting the wireless services activated. Wireless services are $4.99 per month. ^LG,
1000626,356890,Sun Oct 22 17:23:28 +0000 2017,@Ask_Spectrum my internet is not working,1000625,Ask_Spectrum,Sun Oct 22 17:28:45 +0000 2017,"@356890 Good afternoon, could you private message me the service address and phone number so I can look into this? ^CC",
1000628,356891,Sun Oct 22 17:21:15 +0000 2017,"@Ask_Spectrum I know that, but my TV is showing that Springfield of Dreams is on",1000630,Ask_Spectrum,Sun Oct 22 17:22:28 +0000 2017,@356891 We do not control what games air in each market. This is determined by the NFL and the television networks. We ar... https://t.co/ODGrlu6xDv,
1000629,356891,Sun Oct 22 17:10:41 +0000 2017,I’m tired of hearing that the Cowboys game is on Fox but @115955 isn’t showing it 😒,1000627,Ask_Spectrum,Sun Oct 22 17:20:19 +0000 2017,"@356891 Good afternoon, thanks for reaching out. The Cowboys vs. 49ers game does not start until 4pm eastern time. -MS",1000628
1000632,356892,Sun Oct 22 17:09:39 +0000 2017,@Ask_Spectrum my Wi-Fi isn't working. ive reset the router 5 times now. This isn't a me issue its a you issue. Explain w/o coorpate bullshit,1000631,Ask_Spectrum,Sun Oct 22 17:17:05 +0000 2017,"@356892 We can take a closer look into any connection issues you're having, Elise. Can I please have the acct/ph # by DM? ^TL",
1000800,356935,Thu Oct 12 02:24:14 +0000 2017,Trying to watch #ALDS on @Ask_Spectrum 😡😡😡 https://t.co/WMKJBFBMOs,1000799,Ask_Spectrum,Thu Oct 12 05:28:11 +0000 2017,@356935 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/K72UK2kbx1,
1000804,356937,Thu Oct 12 03:05:20 +0000 2017,I give up for the night. @115955 just sucks.,1000802,Ask_Spectrum,Thu Oct 12 05:26:15 +0000 2017,@356937 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/89x3cG18Im,1000803
1000810,356939,Thu Oct 12 02:11:02 +0000 2017,@Ask_Spectrum trying to watch tv and this annoying message has been on the screen for hours wtf https://t.co/yeMr6idoNq,1000809,Ask_Spectrum,Thu Oct 12 05:18:36 +0000 2017,@356939 Spectrum is currently working with Viacom to reach an agreement that is fair for everyone. -JB,
1000814,356940,Thu Oct 12 05:15:51 +0000 2017,@115955 What the fuck are you guys doing...spectrum is the worst cable provider ever. https://t.co/RiUVHX25La,1000811,Ask_Spectrum,Thu Oct 12 05:16:50 +0000 2017,@356940 Spectrum is currently working with Viacom to reach an agreement that is fair for everyone ^AS,"1000812,1000813"
1001315,357052,Thu Oct 12 02:40:14 +0000 2017,@Ask_Spectrum FS1 is blacked out for a premium subscriber in NYC. And it's the Yankees playoffs? WTF?! Unacceptable.,1001314,Ask_Spectrum,Thu Oct 12 05:41:43 +0000 2017,@357052 There is an issue with the broadcast. We are aware of the issue and working to resolve the issue. -JB,
1001318,357054,Thu Oct 12 02:34:28 +0000 2017,WHY IS INTERNET OUT IN 10013 @115955 💀💀💀💀💀,1001317,Ask_Spectrum,Thu Oct 12 05:38:27 +0000 2017,@357054 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/jPnTP81p5R,
1001320,357055,Thu Oct 12 02:26:49 +0000 2017,Why am I tweeting you this via LTE and not the WiFi I pay for @Ask_Spectrum ????,1001319,Ask_Spectrum,Thu Oct 12 05:30:34 +0000 2017,@357055 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/j8JXEjGG4S,
1001321,539056,Thu Oct 12 03:14:16 +0000 2017,@357055 @Ask_Spectrum Spectrum is ass,1793775,Ask_Spectrum,Thu Oct 12 06:10:44 +0000 2017,@539056 If there is something specific I can assist you with please feel free to send me your phone or account number in a private message. ^AS,
1001616,357115,Sun Oct 22 17:46:27 +0000 2017,"@Ask_Spectrum No, How does one do a Private Message???",1001618,Ask_Spectrum,Sun Oct 22 17:48:46 +0000 2017,"@357115 Follow our page, then go to the top of the page and click message. ^CC",
1001617,357115,Sun Oct 22 17:43:03 +0000 2017,"@Ask_Spectrum Sorry, new to this Twitter thing....  Private message you?",1001615,Ask_Spectrum,Sun Oct 22 17:44:40 +0000 2017,@357115 Yes please. ^CC,1001616
1001620,357115,Sun Oct 22 17:30:30 +0000 2017,"@115955 Trying to stream a movie and it keeps pausing (a lot)  I used to have 200 Mhz Download speed, but was told you don't do that speed anymore, now I have 100 Mhz...  (it SUCKS)  I want my 200 back!",1001619,Ask_Spectrum,Sun Oct 22 17:38:26 +0000 2017,"@357115 Good afternoon, I can certainly help with the internet trouble. Could you private message me the service address and phone number? ^CC",1001617
1001622,357116,Sun Oct 22 17:33:45 +0000 2017,"@Ask_Spectrum Never mind, it’s back",1001621,Ask_Spectrum,Sun Oct 22 17:37:57 +0000 2017,@357116 Thank you for updating us.  I'm happy to hear it is working for you again.  Have a good day. ^JF,
1002119,357217,Thu Oct 12 03:15:28 +0000 2017,@115955 I can’t use my 5g connection? It keeps saying my password is incorrect when it isn’t.,1002118,Ask_Spectrum,Thu Oct 12 06:11:46 +0000 2017,@357217 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/791kHvj74J,
1002122,357218,Thu Oct 12 03:07:21 +0000 2017,@Ask_Spectrum explain https://t.co/SsuUz3Ie6a,1002120,Ask_Spectrum,Thu Oct 12 06:10:15 +0000 2017,@357218 Spectrum is currently working with Viacom to reach an agreement that is fair for everyone ^AS,1002121
1002589,354511,Sun Oct 22 14:46:25 +0000 2017,@Ask_Spectrum would rather lose me as a customer than re-consider its Hotspot policy! 👎 #ThatsBadForBusiness #NotCustomerCentered https://t.co/qw9ODPzkNk,1002587,Ask_Spectrum,Sun Oct 22 14:47:48 +0000 2017,@354511 I do apologize. There is no way override this unless you have our Standard tier of service. ^SS,1002588
1003231,357474,Sun Oct 22 15:04:22 +0000 2017,"@121828, why is the internet so freaking slow?  I really don’t like having to use data at home just to get basic things done.",1003230,Ask_Spectrum,Sun Oct 22 15:14:16 +0000 2017,"@357474 Good morning, could you private message me the service address and phone number so I can help? ^CC",
1004046,286724,Sun Oct 22 15:17:53 +0000 2017,"Sorry for all the grief, @Ask_Spectrum! It's seldom the router. But I replaced @236406 router with @122986 Wifi everything works GREAT now.",1004045,Ask_Spectrum,Sun Oct 22 15:18:58 +0000 2017,"@286724 That's great to hear, if you encounter anymore trouble, let me know. ^CC",
1004087,331912,Thu Oct 12 06:22:15 +0000 2017,@357657 @Ask_Spectrum they dont care dude theyll just send u some automated response,1004086,Ask_Spectrum,Thu Oct 12 07:35:57 +0000 2017,@331912 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/5zaNtCl5or,
1004088,357657,Thu Oct 12 03:49:43 +0000 2017,@Ask_Spectrum when is my internet coming back? This is ridiculous.,1004089,Ask_Spectrum,Thu Oct 12 06:13:02 +0000 2017,@357657 Hello. I apologize for the service issue and I would like to check on this for you. Please send the phone number ... https://t.co/K9CR7hSyZ3,
1004091,357658,Thu Oct 12 04:58:07 +0000 2017,I can't even finish this application thanks @115955,1004090,Ask_Spectrum,Thu Oct 12 07:33:31 +0000 2017,@357658 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here ... https://t.co/A7IHWHDJIY,
1004093,357659,Thu Oct 12 05:07:00 +0000 2017,@115955 how are you worse than #TimeWarnerCable? How is that possible??? #GetItTogether,1004092,Ask_Spectrum,Thu Oct 12 07:33:21 +0000 2017,@357659 Our apologies for any frustrations. Is there anything we can assist you with? ^LG,
1004179,563788,Sun Oct 22 18:16:53 +0000 2017,@357680 @121151  not available by @Ask_Spectrum,1890524,Ask_Spectrum,Sun Oct 22 18:18:54 +0000 2017,@563788 Thank you for reaching out. We do not have the OANN. You can put in a request to our marketing team for the chann... https://t.co/Xx7EfSQjhg,
