customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1002766,357361,Sun Oct 22 03:38:49 +0000 2017,Trying to make online &amp; phone payment since 4 pm ET today (Saturday). Sys upgrade a day early? Late fees should be waived. @140153 @117176 https://t.co/jmlLYz91Ei,1002765,AskCiti,Sun Oct 22 14:57:35 +0000 2017,"@357361 For assistance pls call Macy's Credit Customer Service 1-888-257-6757, Mon–Sat 9AM–9PM EST Sunday 11AM–8PM EST. Thanks ^PT",
1002769,357362,Sun Oct 22 14:43:24 +0000 2017,"@AskCiti Tx! But, yr India support said not possible. Wen oth banks offer dis option, y is this a big deal for your bank? am sure yr IT flks r smart!",1002767,AskCiti,Sun Oct 22 14:49:03 +0000 2017,"@357362 So sorry 2 hear this. Since you have already spoke to our India Partners, we will b glad to provide your feedback. Thanks ^PT",1002768
1002771,357362,Sun Oct 22 14:34:03 +0000 2017,"@AskCiti Give an option to disable Int'l usage of Citibank India 💳 Fradulent tx reported on yr Credit Cards, other Indian Banks hv this optn",1002770,AskCiti,Sun Oct 22 14:36:41 +0000 2017,"@357362 Saw ur tweet! 4 any assistance with ur India account, you're welcome to complete the contact request at https://t.co/W7g6iN7ahv. ^ PT",1002769
1002773,357363,Sun Oct 22 13:52:24 +0000 2017,"@117157 She has a sister in Rhode Island with diabetes, recently amputated leg. Son in Rhode Island. Daughter in New York. No one in Texas.",1002774,AskCiti,Sun Oct 22 14:17:00 +0000 2017,"@357363 Pls click to DM if ur listed on the acct or have a Power of Attorney. For acct privacy, pls do not post acct #'s or PINs. ^JJ 2/2 https://t.co/gvC4jAOA9c",
1002773,357363,Sun Oct 22 13:52:24 +0000 2017,"@117157 She has a sister in Rhode Island with diabetes, recently amputated leg. Son in Rhode Island. Daughter in New York. No one in Texas.",1002772,AskCiti,Sun Oct 22 14:16:27 +0000 2017,"@357363 Hi Ken, We regret any inconvenience and frustration you and the card holder have experienced. We want to help address this. 1/2",
1006128,358125,Sat Oct 14 08:09:19 +0000 2017,"@AskCiti How do I close my Citibank account in the USA from another country? I moved out and the fees keep accumulating, deficit now..",1006127,AskCiti,Sat Oct 14 13:00:02 +0000 2017,@358125 Hello. I can try to help. Pls click and DM acct type and country (No acct#/PIN’s) ^YC https://t.co/gvC4jAOA9c,
1006130,358126,Sat Oct 14 03:28:36 +0000 2017,@117176 Please remove me from this site.,1006132,AskCiti,Sun Oct 15 21:47:36 +0000 2017,"@358126 Hello there, I'm reaching out to see if you still need help. If so, pls click &amp; DM only the previously requested info. ^CJ https://t.co/gvC4jAOA9c",
1006130,358126,Sat Oct 14 03:28:36 +0000 2017,@117176 Please remove me from this site.,1006131,AskCiti,Mon Oct 16 21:57:05 +0000 2017,"@358126 Since we haven't heard back, we are considering your concern resolved. Let us know if you have further questions. TY! ^KC",
1006130,358126,Sat Oct 14 03:28:36 +0000 2017,@117176 Please remove me from this site.,1006129,AskCiti,Sat Oct 14 13:00:01 +0000 2017,"@358126 Your tweet is unclear. Please clarify your request, acct type and country (No acct#/PIN’s) ^YC https://t.co/gvC4jAOA9c",
1006135,358127,Sat Oct 14 21:32:56 +0000 2017,@AskCiti Thank you.,1006137,AskCiti,Sat Oct 14 21:38:24 +0000 2017,"@358127 You are very welcome! Please let us know if we can help in the future. Have a nice weekend! TY, ^MM",
