customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1190805,399892,Mon Oct 23 18:11:18 +0000 2017,@AskDSC @122358 How do I DM you?,1190804,AskDSC,Mon Oct 23 18:13:21 +0000 2017,@399892 @122358 Click here to DM us: https://t.co/viHbnoBgMT,
1190807,399892,Sun Oct 22 14:38:31 +0000 2017,@122358 how do I get a replacement white razor?  Mine isn't working for me and I have many blades to use with it.   Thanks,1190806,AskDSC,Mon Oct 23 17:52:18 +0000 2017,"@399892 @122358 DM us your email/shipping address, we'll help you out.",1190805
1190809,399893,Sat Oct 21 12:00:50 +0000 2017,@122358 cool company.. do you have plans to come to ireland?,1190808,AskDSC,Mon Oct 23 17:31:04 +0000 2017,"@399893 @122358 Not at this time, but we definitely hope to expand in the future.",
1267529,416790,Wed Oct 25 04:07:29 +0000 2017,@416791 @122358 Yes! That's my razor that broke! I need to ask for a new handle in my next shipment.,1267528,AskDSC,Wed Oct 25 16:04:59 +0000 2017,@416790 Sorry to hear about the broken handle. Direct message us your email/shipping address and we'll help you out.,
1293684,422526,Sat Nov 25 04:02:53 +0000 2017,@AskDSC the promo code I just got in an email don’t work.,1293683,AskDSC,Sat Nov 25 16:26:15 +0000 2017,"@422526 Sorry to hear that, DM us with your email/shipping address. We'll help you out.",
1293686,422527,Fri Nov 24 02:51:40 +0000 2017,@AskDSC hi I cancelled my account and I have a pending charge and was hoping I could get it removed?,1293685,AskDSC,Sat Nov 25 16:18:37 +0000 2017,"@422527 Sorry to see you go, DM us your email and shipping address, we'll help you out.",
1293733,422541,Thu Nov 23 21:06:23 +0000 2017,"@122358 yo, twice in a row your executive blades sliced me. New blade and a second use blade. It’s not you it’s me and the slice in my chin. #backtogillette",1293732,AskDSC,Sat Nov 25 16:16:27 +0000 2017,"@422541 @122358 Sorry to hear that, DM us your email/shipping address. We'll make it right.",
1293735,422542,Thu Nov 23 16:17:45 +0000 2017,@122358 so after 1 year of use it finally broke down. I'm extremely happy with the life span it had but now I must get another https://t.co/u8CxZWyTWK,1293734,AskDSC,Sat Nov 25 16:13:16 +0000 2017,"@422542 @122358 Sorry to see that, DM us your email and shipping address, we'll help you out.",
1293741,266421,Fri Nov 24 13:30:10 +0000 2017,@122358 @AskDSC Happy Thanksgiving. I think my package has been lost. It was shipped out on the 17th and no activity on it since Tuesday. Hoping I see some activity this weekend.,1293740,AskDSC,Sat Nov 25 16:11:04 +0000 2017,"@266421 @122358 Sorry to hear about that, send us a DM with your email/shipping address. We'll help you out.",
1293749,422545,Thu Nov 23 04:52:36 +0000 2017,"@AskDSC I've been sent a link to update my credit card info, and there is nowhere for me to be able to change the card information on your site. Any help would be appreciated. This is what I was sent: https://t.co/lmDNBxCC6f",1293748,AskDSC,Sat Nov 25 16:07:32 +0000 2017,"@422545 Sorry to hear that, DM us your email/shipping address and the device/browser you're using, we'll help you out.",
1594571,489998,Fri Nov 03 13:45:35 +0000 2017,Cheap ass dollar shave club razor broke again https://t.co/tHI3DNTQED,1594570,AskDSC,Fri Nov 03 15:19:34 +0000 2017,"@489998 Sorry to hear that, DM us your email and shipping address, we'll help you out.",
1594573,489999,Fri Nov 03 11:33:21 +0000 2017,@122358 I love many of your products. Any chance a deodorant is in the works?,1594572,AskDSC,Fri Nov 03 15:16:13 +0000 2017,"@489999 @122358 Nothing in the works at this time, stay tuned to our Twitter for any future updates.",
1772783,532810,Tue Nov 07 22:11:02 +0000 2017,"Soooo, I don’t shave much. Can I get a second handle? @122358 https://t.co/NJFRN2AtwC",1772782,AskDSC,Wed Nov 08 00:38:36 +0000 2017,@532810 Sure thing. You can purchase an extra handle through your Account Page at anytime: https://t.co/sYYREWbEQy,
1772785,532811,Tue Nov 07 22:10:54 +0000 2017,After 2+ years I 100% regret throwing away my Mach 3 razor and switching to Dollar Shave Club. Bad quality every shipment lately,1772784,AskDSC,Wed Nov 08 00:37:12 +0000 2017,@532811 Sorry to hear that. Shoot us a DM with your email/shipping address and we'll make it right. https://t.co/viHbnoBgMT,
1772787,532812,Tue Nov 07 20:34:20 +0000 2017,My @122358 hasn’t come in yet 😩 my pits can’t take it anymore,1772786,AskDSC,Tue Nov 07 21:50:13 +0000 2017,@532812 Oh no. Shoot us a DM with your email/shipping address and we'll see where your order is.,
1772789,532813,Tue Nov 07 19:51:48 +0000 2017,"Hey @122358, do you guys have stickers? If so, how can I go about getting some!? #DSC #shavethoughts",1772788,AskDSC,Tue Nov 07 21:48:44 +0000 2017,@532813 Shoot us a DM. We'll see what we can do. https://t.co/viHbnoBgMT,
1772791,161508,Tue Nov 07 18:35:37 +0000 2017,@122358 I gave it a shot but too many nicks and cuts. Love the idea but the razor itself needs some improvement to compete with Gilette blades.,1772790,AskDSC,Tue Nov 07 21:45:42 +0000 2017,@161508 Sorry to hear that. DM us your email/shipping address and we'll make it right. https://t.co/viHbnoBgMT,
1772793,532814,Mon Nov 06 12:27:21 +0000 2017,@AskDSC Y’all. This is the second razor that has broken in the exact same way. Getting tired of rebuying razors bc of the same flaw. https://t.co/lprLLFmZg8,1772792,AskDSC,Mon Nov 06 17:57:18 +0000 2017,@532814 Sorry to hear that. DM us your email/shipping address so we can help you out.,
1772795,532815,Sat Nov 04 23:18:48 +0000 2017,@122358 And the button that you press to change the heads broke off. When i did it once.,1772794,AskDSC,Mon Nov 06 17:50:58 +0000 2017,"@532815 DM us your email/shipping address, we'll help you out.",
1772799,532816,Sun Nov 05 17:48:36 +0000 2017,@122358 is the blue plastic razor cartridge container recyclable? Just want to know which bin to use.,1772797,AskDSC,Mon Nov 06 17:50:35 +0000 2017,@532816 It is.,1772798
1772801,532817,Sat Nov 04 15:30:04 +0000 2017,"@122358 Do you guys have any plans to offer beard care products? My dependency on razors has decreased, but I like the service.",1772800,AskDSC,Mon Nov 06 17:42:26 +0000 2017,"@532817 No plans right now, but we appreciate the suggestion.",
1772803,532818,Sat Nov 04 15:28:57 +0000 2017,@122358 Your @11597 application isn't working on your site. I get a message that says Missing translation (en-US)...,1772802,AskDSC,Mon Nov 06 17:42:00 +0000 2017,@532818 Sorry to hear that. You can always email us at __email__.,
1825846,548064,Tue Oct 17 16:25:26 +0000 2017,Just shaved with a @122358 razor and I'm only bleeding from 3 places!,1825845,AskDSC,Tue Oct 17 17:11:02 +0000 2017,"@548064 Sorry to hear that, send us a DM with your email/shipping address. We'll help you out.",
1825850,548066,Tue Oct 17 00:05:39 +0000 2017,"@AskDSC hey, I included a promo code that would give me $5 off my first order. It said it was accepted, but I was still charged full amount.",1825849,AskDSC,Tue Oct 17 17:01:12 +0000 2017,"@548066 Sorry for any confusion, no promos like that at this time. DM us your email/shipping address we’d be happy to help you out.",
1825852,548067,Tue Oct 17 16:17:07 +0000 2017,Ugh. DHL sucks. Where is our package? Suppose to be here yesterday. No updates since Friday. WHY IS DHL EVEN AN OPTION? @122358,1825851,AskDSC,Tue Oct 17 16:59:41 +0000 2017,"@548067 Sorry to hear about that, DM us with your email/shipping address, we'll help you locate your box.",
1825860,548069,Mon Oct 16 00:12:14 +0000 2017,@122358 why does it take a week and a half to get from KY to VA? Poor first impression!!,1825859,AskDSC,Mon Oct 16 17:19:14 +0000 2017,"@548069 @122358 Sorry to hear that. DM us your email/shipping address, we'll help you out.",
1825862,194874,Sat Oct 14 18:01:03 +0000 2017,"@122358 what happens if my razor handle should ever break, specifically the ejection mechanism as I switch blades?",1825861,AskDSC,Mon Oct 16 17:17:38 +0000 2017,"@194874 @122358 If you ever have an issue with a DSC product, DM us your email/shipping address and we'll help you out.",
1825870,548071,Sun Oct 15 21:12:05 +0000 2017,@122358 when should I consider my starter kit purchase as lost?,1825869,AskDSC,Mon Oct 16 17:16:20 +0000 2017,"@548071 @122358 If it's been longer than 5 business days, DM us your email/shipping address. We'll help you out.",
1868693,558191,Fri Oct 20 09:58:55 +0000 2017,@122358 Does your Calming Amber and lavender body wash have any artificial perfumes/scents? I'm highly allergic and want to try it,1868692,AskDSC,Fri Oct 20 16:00:25 +0000 2017,"@558191 @122358 Our Body Cleansers are made from naturally derived ingredients, but always recommend consulting a physician with any allergy concerns.",
