customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001744,357137,Sun Oct 22 17:18:17 +0000 2017,Rare customer service success: @AskLyft responded within minutes &amp; fixed it! @115879,1001743,AskLyft,Sun Oct 22 17:44:30 +0000 2017,@357137 Happy we could help! Please reach out to us anytime. :),
1001746,166585,Sun Oct 22 17:51:53 +0000 2017,@AskLyft How?,1001748,AskLyft,Sun Oct 22 18:10:24 +0000 2017,"@166585 To be immediately connected with our Critical Response Line, click the ""Call Me"" button and enter your number at https://t.co/93jojKlTCK.",
1001747,166585,Sun Oct 22 07:43:16 +0000 2017,@115879 3 but it was a very uncomfortable ride. He tried to take us the wrong way at every intersection. Such a nightmare!,1001749,AskLyft,Sun Oct 22 17:41:19 +0000 2017,"@166585 To be immediately connected with our Critical Response Line, click the ""Call Me"" button and enter your number at https://t.co/93jojKlTCK.",
1001747,166585,Sun Oct 22 07:43:16 +0000 2017,@115879 3 but it was a very uncomfortable ride. He tried to take us the wrong way at every intersection. Such a nightmare!,1001745,AskLyft,Sun Oct 22 17:41:34 +0000 2017,@166585 Please report this ride to our team as soon as possible. We're so sorry for this experience.,1001746
1001753,357138,Sun Oct 22 16:42:58 +0000 2017,@AskLyft Lmao we good lyft I’m not tryna speak to a manager rn,1001752,AskLyft,Sun Oct 22 17:34:18 +0000 2017,@357138 We'd appreciate you reporting this ride as soon as you can and when most convenient. Our team will be happy to assist.,
1001755,357138,Sun Oct 22 03:27:39 +0000 2017,hello my lyft driver is yelling over everything and the dude I’m sharing a ride with is def too drunk pls pray for me,1001754,AskLyft,Sun Oct 22 03:32:58 +0000 2017,"@357138 To be immediately connected with our Critical Response Line, click the ""Call Me"" button and enter your number at https://t.co/93jojKlTCK.",1001753
1001757,295172,Sun Oct 22 17:04:01 +0000 2017,@115879 @AskLyft I do everything for every passenger I just don’t understand why rate just keeps dropping only thing left is to give free ride,1001756,AskLyft,Sun Oct 22 17:30:32 +0000 2017,@295172 Please DM us if you'd like us to provide more insight into some of your ratings. https://t.co/SXpdictw1A,
1003217,357470,Sat Oct 14 02:12:47 +0000 2017,@AskLyft need help contacting my last ride for lost item. app not connecting,1003216,AskLyft,Sat Oct 14 12:52:00 +0000 2017,@357470 Hey there! Can you send us a DM with a description of your item? https://t.co/SXpdictw1A,
1003364,357506,Sun Oct 22 14:54:57 +0000 2017,"@AskLyft I have a promo for $5 off my next ten rides. However, it didn't apply to 2 of my rides. Any help? Thanks.",1003363,AskLyft,Sun Oct 22 15:13:42 +0000 2017,"@357506 Hey Dalton, we're happy to look into this for you. Can you DM us the phone number on your account? https://t.co/SXpdictw1A",
1003366,357507,Sun Oct 22 14:59:49 +0000 2017,"@AskLyft ... drivers being shady, non working comment submit field in your app. What is this?",1003365,AskLyft,Sun Oct 22 15:01:09 +0000 2017,"@357507 Hi there, we have responded to your DM. Please follow up with us there. Thank you!",
1004271,357701,Thu Oct 12 07:38:16 +0000 2017,@115879 they fixed it and it ended up being $11 thanks sm,1004270,AskLyft,Thu Oct 12 07:39:47 +0000 2017,@357701 Glad to hear it! Let us know if you have any questions!,
1004273,357701,Thu Oct 12 06:49:18 +0000 2017,@115879 @AskLyft,1793891,AskLyft,Thu Oct 12 06:50:35 +0000 2017,"@357701 Hi there. If you DM us the phone number associated with your account, we can look into that ride for you. https://t.co/SXpdictw1A",
1004908,357844,Sat Oct 14 11:15:23 +0000 2017,@AskLyft sent y’all a dm at 8 pm. it’s now 4 am and no reply. thanks for the help!,1004907,AskLyft,Sat Oct 14 13:08:35 +0000 2017,"@357844 So sorry about the delayed response, can you send us another DM? We will be happy to take a look at your account.",
1005335,355466,Sun Oct 22 15:14:47 +0000 2017,@AskLyft Idk what happened to ride credit?,1005334,AskLyft,Sun Oct 22 15:31:57 +0000 2017,@355466 Can you DM us the phone number associated with your account so we can look into this for you? Thanks! https://t.co/SXpdictw1A,
1005761,358053,Sun Oct 22 19:15:37 +0000 2017,Y’all I shit you not I just opened the door and rolled out of my @115879 who was in fact not my Lyft but a poser,1005760,AskLyft,Sun Oct 22 19:28:54 +0000 2017,@358053 Please report this to our Critical Response Line by tapping the pink 'Call Me' button at https://t.co/93jojKlTCK.,
1005764,358054,Sun Oct 22 19:19:28 +0000 2017,@AskLyft Does this count as a UM/UIM situation? Does your UM/UIM cover damages to my car?,1005762,AskLyft,Sun Oct 22 19:27:49 +0000 2017,@358054 Please reach out to our Support Team at https://t.co/mSGO64yDdd for more help with this!,1005763
1005767,358054,Sun Oct 22 07:51:41 +0000 2017,@AskLyft how does your insurance cover someone rearending a driver (while they have passengers) and running.,1005766,AskLyft,Sun Oct 22 12:06:48 +0000 2017,@358054 Hey there! You can check out more information on our insurance policy at https://t.co/BXGdDiq38x. Let us know how else we can help!,1005765
1006859,358259,Sun Oct 22 19:40:15 +0000 2017,@AskLyft it's multiple rides!,1006861,AskLyft,Sun Oct 22 20:01:48 +0000 2017,@358259 Feel free to send us a DM whenever you can.,
1006860,358259,Sun Oct 22 19:30:36 +0000 2017,"@AskLyft Lyft needs a customer service line!!Being charged almost $100 for rides I nvr took &amp; their ""Email Customer Service"" never replies!!",1006858,AskLyft,Sun Oct 22 19:39:32 +0000 2017,"@358259 Hi there, can you send us a DM with your phone number? We will be happy to take a look at your ride.",1006859
1006865,324514,Sun Oct 22 19:47:02 +0000 2017,"@AskLyft Is that a ""no""? Because your response does not answer my question.",1006867,AskLyft,Sun Oct 22 19:51:26 +0000 2017,@324514 You can submit an email to our Support Team at https://t.co/mSGO64yDdd.,1006868
1006866,324514,Sun Oct 22 19:29:52 +0000 2017,@AskLyft Is there a way to submit this electronically? I prefer to file my complaint in writing.,1006864,AskLyft,Sun Oct 22 19:35:48 +0000 2017,@324514 This will be sent directly to the appropriate Support Team.,1006865
1006866,324514,Sun Oct 22 19:29:52 +0000 2017,@AskLyft Is there a way to submit this electronically? I prefer to file my complaint in writing.,1006869,AskLyft,Sun Oct 22 19:35:40 +0000 2017,@324514 Please feel free to send this through our Help Center ticket request form at https://t.co/mSGO64yDdd.,
1006871,324514,Sun Oct 22 14:07:46 +0000 2017,@115879 And here I thought yesterday's ride was awful. Running late af with dangerous driver.,1006870,AskLyft,Sun Oct 22 14:11:35 +0000 2017,"@324514 Please report this to our Critical Response Line by clicking the ""Call Me"" button and entering your number at https://t.co/93jojKlTCK.",1006866
1007062,358308,Sat Oct 14 06:08:13 +0000 2017,@115879 @AskLyft Charged more than $20 more than Uber charged with a 5 minute wait as I was being picked up..,1007061,AskLyft,Sat Oct 14 13:28:46 +0000 2017,@358308 We'd be happy to look into this for you. Can you DM us the phone number on your account?,
1007065,358309,Sat Oct 14 03:19:26 +0000 2017,@AskLyft and this fool had the audacity to actually charge me https://t.co/8FclnZTKwa,1007064,AskLyft,Sat Oct 14 13:27:39 +0000 2017,@358309 We will follow-up to you in your DM's.,
1007067,358310,Sat Oct 14 03:05:50 +0000 2017,@AskLyft with my number being grayed out suddenly (not new #) I can still pick up customers but can't call if I can't find them? Help!,1007066,AskLyft,Sat Oct 14 13:25:55 +0000 2017,@358310 Can you please DM us the phone number attached to your Lyft account so we can better assist you? https://t.co/SXpdictw1A,
1007069,358311,Sat Oct 14 13:08:01 +0000 2017,My lyft declined my line once because I had my service dog with me. A little chihuahua. In a bag. https://t.co/oCGPNekHBh,1007068,AskLyft,Sat Oct 14 13:21:48 +0000 2017,@358311 Please report this to our Service Animal Hotline at 1-844-250-3174.,
1007071,358312,Sat Oct 14 04:05:44 +0000 2017,@115879 @AskLyft Your service/ app has gone down the drain. Driver skips me but it charges $2 to cancel and reorder? Going back to #uber https://t.co/4DyFtNp0v3,1007070,AskLyft,Sat Oct 14 13:16:25 +0000 2017,@358312 We're sorry to hear this. Can you DM us the phone number associated with your account?,
1007591,358433,Sun Oct 22 19:44:35 +0000 2017,"Had an issue with @115879. Spoke to @AskLyft and they solved it in less than 5 minutes, including research and conclusion. Wow! #thanks",1007590,AskLyft,Sun Oct 22 19:54:48 +0000 2017,"@358433 @115879 We're glad we could help, Jesse! :)",
1007593,358434,Sun Oct 22 19:48:06 +0000 2017,"Lyft charging $19.40 for a 4,5 mile ride who tf do you think you are? @115879",1007592,AskLyft,Sun Oct 22 19:50:23 +0000 2017,"@358434 Hi there, we're happy to look into this for you, will you DM us the phone number associated with your Lyft account?",
1008372,358608,Sun Oct 22 20:09:58 +0000 2017,@AskLyft Is there any way i could know as to why my account was disabled??,1008371,AskLyft,Sun Oct 22 20:12:02 +0000 2017,"@358608 Hey there, can you please send us the phone number associated with your account so we can look into this for you?",
1008996,358757,Sun Oct 22 20:21:18 +0000 2017,@AskLyft left my phone in my lyft - any chance you guys can help me contact my driver ASAP?,1008995,AskLyft,Sun Oct 22 20:26:40 +0000 2017,"@358757 You can also DM us with the phone number associated with your Lyft account, and we can assist you. :) https://t.co/SXpdictw1A",
1008996,358757,Sun Oct 22 20:21:18 +0000 2017,@AskLyft left my phone in my lyft - any chance you guys can help me contact my driver ASAP?,1008997,AskLyft,Sun Oct 22 20:26:21 +0000 2017,"@358757 Hi, there! We're sorry to hear this, but happy to help. You can reach out to our Lost and Found Team directly at https://t.co/iW0UZ3dgLX.",
1009000,358758,Sun Oct 22 20:17:19 +0000 2017,@AskLyft I refuse to since it's going to be negative. I've worked in customer service for 6 yrs myself. I know it'll just hurt your rating. I'll deal,1008998,AskLyft,Sun Oct 22 20:21:41 +0000 2017,@358758 We just wrote you back! Please check your direct messages.,1008999
1009004,358758,Sun Oct 22 20:09:58 +0000 2017,Kind of irritated with Lyft but hey you win some you lose some.,1009003,AskLyft,Sun Oct 22 20:10:53 +0000 2017,"@358758 Hi there, we're happy to look into this for you, will you DM us the phone number associated with your Lyft account? https://t.co/SXpdictw1A",1009002
1009735,249606,Sat Oct 14 05:03:55 +0000 2017,@AskLyft I'm having problem with my payment. Please help,1009734,AskLyft,Sat Oct 14 14:13:07 +0000 2017,"@249606 Hi, can you DM us the phone number on your account along with specifics of your issue?",
1009737,358920,Sat Oct 14 13:52:00 +0000 2017,Almost hit by 2 @115879 drivers &amp; 1 @115873 driver this morning over an 8 mile run. #yesterdaywasthe13th,1009736,AskLyft,Sat Oct 14 13:52:37 +0000 2017,@358920 Please report this to our Critical Response Line by tapping the 'Call Me' button at https://t.co/93jojKlTCK.,
1010543,359122,Thu Oct 12 09:23:27 +0000 2017,@115879 Also they don't pick up phone calls to communicate what the hell @115879,1010542,AskLyft,Thu Oct 12 11:21:03 +0000 2017,@359122 Can you please send us a DM so we can better assist you? https://t.co/SXpdictw1A,
