customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001891,357154,Sun Oct 22 16:53:54 +0000 2017,"I love waiting almost an hour for ""rapid"" pick up @116253",1001890,askpanera,Sun Oct 22 16:56:14 +0000 2017,@357154 That doesn't sound quite right. Mind sharing some more details with us in a DM so we can help?,
1003581,357539,Sun Oct 22 14:35:56 +0000 2017,mmm i love it when my avocado still has the skin on it! @askpanera is batting 0 for 2 for my last two visits. https://t.co/AIHIUPXrRs,1003579,askpanera,Sun Oct 22 14:44:53 +0000 2017,@357539 That doesn't make for a very tasty treat! Which bakery-cafe did you visit? We'll let the team know.,1003580
1008420,335160,Sun Oct 22 19:22:04 +0000 2017,Way to mess up my order @116253,1008419,askpanera,Sun Oct 22 19:26:04 +0000 2017,@335160 We're sorry we missed our mark today. Mind sharing some more details with us in a DM so we can help? https://t.co/gaHEULV2QW,
1008702,358693,Sat Oct 14 13:10:39 +0000 2017,The consistency with which @116253 botches app orders is amazing. Today's special - sausage egg and cheese without the egg,1008701,askpanera,Sat Oct 14 13:33:41 +0000 2017,@358693 We're so sorry about the mix-up! Mind sharing your order number and bakery-cafe location so we can look into this with our team?,
1008704,358694,Sat Oct 14 12:55:14 +0000 2017,@askpanera WHAT HAPPENED TO HAZELNUT CREAM CHEESE 🙁,1008703,askpanera,Sat Oct 14 13:10:36 +0000 2017,@358694 We had to say goodbye - We'll let our product development team know that you are missing your fave.,
1008706,358695,Sat Oct 14 12:48:55 +0000 2017,@358696 @116253 And the girl working (Victoria) was not friendly ✌🏼,1008705,askpanera,Sat Oct 14 13:05:52 +0000 2017,@358695 We're sorry we dropped the ball. We'd love to help - Let's chat more here: https://t.co/gaHEULV2QW,
1016680,360545,Mon Oct 23 00:51:45 +0000 2017,"""Only soup &amp; salads because we close in 30 minutes. And we have no sides. Oh, and we close in 30 minutes."" — Manager @116253 #DoBetter",1016679,askpanera,Mon Oct 23 00:54:04 +0000 2017,@360545 Hi Rob - That doesn't sound quite right. Mind sharing some more details with us in a DM so we can help?,
1016682,360546,Mon Oct 23 00:51:14 +0000 2017,@askpanera 158964239 at the 1601 Brinker Rd in Denton Texas. I hope they can fix things and make it better!,1016681,askpanera,Mon Oct 23 00:52:55 +0000 2017,"@360546 Thanks for following up, Laura - Let's chat more here :: https://t.co/gaHEULV2QW",
1016684,360546,Mon Oct 23 00:45:08 +0000 2017,Just want to thank @116253 for really stale bread and an avocado that’s as hard a rock. 🤙🏼,1016683,askpanera,Mon Oct 23 00:46:39 +0000 2017,@360546 Hi Laura - We can do better than that. Mind sharing your bakery-cafe location &amp; order number with us so we can share this with the team?,1016682
1016686,360547,Mon Oct 23 00:10:00 +0000 2017,@360548 @360549 @116253 You're lucky you got Mac in your mac and cheese the way Panera fills orders.,1016685,askpanera,Mon Oct 23 00:11:24 +0000 2017,@360547 Hi Mick - We're sorry about the mix-up. Mind sending us your bakery-cafe location &amp; order number so we can help?,
