customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000791,356934,Sun Oct 22 22:42:24 +0000 2017,@AskPapaJohns i already provided the store details!!! store #849 but the problem happens at EVERY papa johns CUSTOMER SERVICE SUCKS!!!!,1000793,AskPapaJohns,Sun Oct 22 22:49:57 +0000 2017,"@356934 We'll submit your concerns to the operators, so the can look address with the staff.  Thank you!",
1000792,356934,Sun Oct 22 16:12:23 +0000 2017,@AskPapaJohns why NO RESPONSE?????,1000790,AskPapaJohns,Sun Oct 22 16:54:00 +0000 2017,"@356934 Please let us know the store details so we can submit your concerns. If you'd like to be contacted, we'll need your contact info.",1000791
1000796,356934,Tue Oct 17 17:53:51 +0000 2017,@AskPapaJohns store #849 but the problem happens at EVERY papa johns. i always say NO PEPPERCINIS but i get them anyway WTF???,1000795,AskPapaJohns,Tue Oct 17 18:24:00 +0000 2017,@356934 We're sorry this happened! Please DM us your contact info and we will look into this. Thanks!,1000794
1000798,356934,Sun Oct 15 19:43:13 +0000 2017,@116076 why do you all get my order wrong EVERY TIME??? customer service sucks!!!,1000797,AskPapaJohns,Sun Oct 15 19:46:00 +0000 2017,@356934 Oh no!  We are sorry about that.  DM us your phone # and store location so we can look into this.,1000796
1003369,357508,Sun Oct 22 14:46:48 +0000 2017,@AskPapaJohns Awesome! Thanks! 🍕😋,1003368,AskPapaJohns,Sun Oct 22 14:51:02 +0000 2017,"@357508 You're welcome, Danielle!",
1003371,357508,Sun Oct 22 13:32:58 +0000 2017,@AskPapaJohns any coupon codes for 29615??,1003370,AskPapaJohns,Sun Oct 22 14:33:25 +0000 2017,"@357508 Try the code, 'FURMAN50'.",1003369
1003373,357509,Sun Oct 22 04:59:48 +0000 2017,When you order papa johns and they didn't cut your pizza 🙃,1003372,AskPapaJohns,Sun Oct 22 14:49:53 +0000 2017,@357509 We're sorry your pizza wasn't cut. Please DM us w/ the store details and we'll let your local store know. Thanks.,
1003375,357510,Sun Oct 22 05:54:23 +0000 2017,@116076 does it take 40+ minute to deliver a pizza? The estimated time was 25- 15 minutes ago,1003374,AskPapaJohns,Sun Oct 22 14:45:40 +0000 2017,"@357510 We're sorry for the delay, Bella. Please DM w/ the store details and your contact #. We'll open an incident ticket. Thanks!",
1003377,357511,Sun Oct 22 14:36:15 +0000 2017,@AskPapaJohns Why? Are you unable to send them when I have already supplied them?,1003376,AskPapaJohns,Sun Oct 22 14:44:26 +0000 2017,@357511 This is support for US locations.  The email we provided is for assistance with UK concerns.,
1003379,357511,Sun Oct 22 12:23:55 +0000 2017,@116076 how do I pay? There’s no option and when I called up I pay £36 instead..... massive con 😡 https://t.co/zY4AvitRRM,1003378,AskPapaJohns,Sun Oct 22 14:35:01 +0000 2017,@357511 We're sorry you had an issue. Please email the your screenshots to __email__  for assistance.  Thanks.,1003377
1003401,357514,Sun Oct 22 06:05:35 +0000 2017,I experienced the most unprofessional service of my life tonight @116076,1003400,AskPapaJohns,Sun Oct 22 14:42:01 +0000 2017,"@357514 We hate to hear about this type of service, Blake.  Can you please DM us with more details?  Thank you.",
1003403,357515,Sun Oct 22 07:09:50 +0000 2017,@116076 I had to call the store to find out. This is ridiculous.,1003402,AskPapaJohns,Sun Oct 22 14:37:00 +0000 2017,"@357515 We're sorry, Jessica. Please DM the store details and your contact info, we'll open an incident ticket about this. Thank you.",
1003407,357516,Sun Oct 22 07:31:06 +0000 2017,"@116076 buy one get one free .... not true being hoodwinked,  led a stray ... do the math 🤔🤔🤔🤔🤔🤔🤔",1003406,AskPapaJohns,Sun Oct 22 14:37:00 +0000 2017,@357516 We're sorry you're unhappy with the special. Please DM us with more details.  Thank you!,
1003409,357517,Sun Oct 22 10:24:52 +0000 2017,@116076 why you being tight and only giving me one pineapple chunk per slice on my ham and pineapple pizza,1003408,AskPapaJohns,Sun Oct 22 14:36:00 +0000 2017,@357517 We're sorry you weren't happy with your pizza. Please DM w/ the store details and your contact info.  Thank you.,
1006886,358264,Sun Oct 22 19:12:49 +0000 2017,@116076 are your large pizzas like 25.00 each cause I paid $30 for 2 pizzas when it was a BOGO Free promo. $60 for 2 pizzas? Expensive.,1006885,AskPapaJohns,Sun Oct 22 19:26:00 +0000 2017,@358264 We can check the pricing for your local store. Can you DM us with your email address?,
1006888,358265,Sun Oct 22 17:26:54 +0000 2017,@116076 My XL 16 inch pizza is clearly not 16 inches : ( https://t.co/UtsEYIvmFc,1006887,AskPapaJohns,Sun Oct 22 19:21:39 +0000 2017,"@358265 We're sorry to disappoint you, Andrew. Please DM the store details and your contact info. Thanks!",
1006893,358266,Sun Oct 22 19:00:09 +0000 2017,@AskPapaJohns Yes. But then when I asked where was my points it was oh carryout orders don't get reward points. But they told me I would,1006889,AskPapaJohns,Sun Oct 22 19:24:00 +0000 2017,@358266 Please DM your email address. We'll submit this to the operators of the store and have them follow-up with you. Thanks.,"1006890,1006891,1006892"
1006896,358266,Sun Oct 22 17:39:45 +0000 2017,@AskPapaJohns ... Not get them. Why would they tell me I would and now I don't. I would of just did my order online can you help?,1006894,AskPapaJohns,Sun Oct 22 18:37:00 +0000 2017,@358266 Was this something your local store told you?,"1006895,1006893"
