customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1004306,357709,Sun Oct 22 14:27:09 +0000 2017,Spoke to @118821 rep Stephanie abt an issue with my acct. A painless &amp; great conversation. Thanked me for being client for so long #happyclient,1004305,AskRBC,Sun Oct 22 14:42:00 +0000 2017,"@357709 Thank you for sharing, Moe! We love hearing stuff like this. Enjoy your Sunday! ^SL",
1004308,357710,Sun Oct 22 14:14:03 +0000 2017,@AskRBC how do I find RBC's IBAN?,1004307,AskRBC,Sun Oct 22 14:37:06 +0000 2017,"@357710 Hi there, for the IBAN u would use ur 5-digit transit and 7-digit account #. We're a tweet away if u have any more Qs :) ^M",
1004310,357711,Sun Oct 22 05:25:10 +0000 2017,"@AskRBC I am trying to use the mobile app to deposit a cheque and its saying 'sorry, we are having technical issues@the moment try againl8r😟",1004309,AskRBC,Sun Oct 22 12:24:32 +0000 2017,"@357711 Are u still experiencing issues w/ the app? If so, pls call our digital team @ 1-800-769-2555 so they can look into this ^SL",
1006971,358286,Sun Oct 22 19:17:29 +0000 2017,@5163 any advice for someone who just got scammed on an in-person international retail purchase (they lied about the exchange)?,1006970,AskRBC,Sun Oct 22 19:28:07 +0000 2017,"@358286 Hi Lee, was the purchase on a credit card? If so, you can speak with an expert about your options at 1-800-769-2512 ^SL",
1006973,358287,Sun Oct 22 17:36:49 +0000 2017,Thank you so much @118821 for your credit card investigative work. Card compromised. You guys caught it before I knew! So very thankful.,1006972,AskRBC,Sun Oct 22 17:57:00 +0000 2017,@358287 Our Secret agents are always on the lookout for those fraudsters ;) We will always have your back. Take care! ^M,
1019314,361187,Sat Oct 14 12:20:13 +0000 2017,"Thx @118821 for leaving me stranded. Your cs leaves a 20+yr client out in the cold. Unreal, disgusting &amp; unacceptable. Changing banks. #brutal",1019313,AskRBC,Sat Oct 14 14:05:32 +0000 2017,"@361187 Definitely not how we want you to feel about us, and certainly don't want to see you leave. Can you DM details? Incl ph# ^DH",
1025493,362663,Sun Oct 22 22:16:41 +0000 2017,"Opened a bank account with RBC, they gave me a free Apple Watch. So lit",1025491,AskRBC,Sun Oct 22 22:22:00 +0000 2017,"@362663 Glad you like it, Andrea! Tweet @ us if ever there is anything you need :) ^EC",1025492
1044087,366878,Sat Oct 14 17:24:49 +0000 2017,@askrbc @118821 Please contact me via DM. Having issues accessing our account despite doing what we were told.,1044086,AskRBC,Sat Oct 14 18:13:26 +0000 2017,@366878 We'll certainly look into it - can you pls either follow us or send the first DM? It's not allowing us to send one. Thx! ^DH,
1044090,366879,Sat Oct 14 17:20:18 +0000 2017,@118821 I have never in my life been lied to and deceived as much as I have today. Being mansplained to on top of it...thanks RBC :(,1044088,AskRBC,Sat Oct 14 17:51:00 +0000 2017,"@366879 Hi Julie, we'd like to find out more about what happened to try to help. Please send us a DM with more details. Thanks ^JL",1044089
1049787,368112,Thu Oct 12 22:52:55 +0000 2017,@5163 How am I supposed to unlink my phone from a previous bank account? Helpdesk told me to logon on another device... Help! https://t.co/0cw190uUO8,1049785,AskRBC,Thu Oct 12 23:21:00 +0000 2017,"@368112 Have u tried deleting cookies then uninstalling/reinstalling app? If still linked, reach out to our mobile pros at 1-800-769-2555 ^A",1049786
