customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1049343,368010,Mon Oct 23 03:40:18 +0000 2017,@AskRobinhood How's this coming along?,1049345,AskRobinhood,Mon Oct 23 13:31:23 +0000 2017,@368010 Hey Scott! We do not support trailing stop loss orders at this time.,
1049344,368010,Mon May 23 22:24:05 +0000 2016,"@122481 Trailing stops coming soon, or nah?",1049342,AskRobinhood,Tue May 24 00:07:23 +0000 2016,"@368010 Hey Scott! We don't have an ETA to share, but we would love to offer trailing stops in the future! 😄",1049343
1117937,383779,Fri Oct 20 15:32:45 +0000 2017,@AskRobinhood Is there a timeframe of RH ever coming to Canada?,1117936,AskRobinhood,Mon Oct 23 13:40:21 +0000 2017,@383779 Hey Rond! We hope to make it up North one day!  No ETA at this time!,
1117939,383780,Fri Oct 20 16:38:05 +0000 2017,@AskRobinhood any dates for when we should expect robinhood to being expanded to Europe?,1117938,AskRobinhood,Mon Oct 23 13:39:35 +0000 2017,@383780 Hey Michael! We have not announced an ETA at this time!,
1117941,383781,Fri Oct 20 19:08:20 +0000 2017,I TRANSFERRED FUNDS TO THE WRONG ACCOUNT PLEASE HELP ME @122481 @AskRobinhood,1117940,AskRobinhood,Mon Oct 23 13:36:10 +0000 2017,@383781 Hey! Send us an email and we would be happy to help!,
1117943,383782,Sat Oct 21 08:56:47 +0000 2017,@AskRobinhood Ukraine? Somehow?,1117942,AskRobinhood,Mon Oct 23 13:34:37 +0000 2017,@383782 Hey! We hope to make it to Europe one day!,
1117946,383783,Sun Oct 22 22:03:16 +0000 2017,@122481 @AskRobinhood it’d be nice to connect my account with @12278 please!,1117944,AskRobinhood,Mon Oct 23 13:32:40 +0000 2017,@383783 Hey Jovan! No plans to integrate with Personal Capital.,1117945
1117949,383785,Mon Oct 23 13:31:13 +0000 2017,@AskRobinhood Can you please share the email address ?,1117947,AskRobinhood,Mon Oct 23 13:31:34 +0000 2017,@383785 __email__,1117948
1117951,383785,Mon Oct 23 13:26:29 +0000 2017,@AskRobinhood I had ETRM which changed to RSLS now and currently untradeable . Can you tell me when it will up ?,1117950,AskRobinhood,Mon Oct 23 13:30:13 +0000 2017,@383785 Hey Abhraneel! Send us an email and we can take a look!,1117949
1117953,383786,Sun Oct 22 15:39:14 +0000 2017,@AskRobinhood Any updates on div reinvest? Would love to transfer stocks in but that's a deal breaker.,1117952,AskRobinhood,Mon Oct 23 13:29:08 +0000 2017,@383786 Hey Eric! We hope to offer DRIP one day!,
1117955,383787,Sun Oct 22 17:25:31 +0000 2017,"@AskRobinhood hello. Is there a way to place a trailing stop order on your app?
PS, huge fan of your product !!!",1117954,AskRobinhood,Mon Oct 23 13:28:37 +0000 2017,@383787 Hey Michael! We do not offer trailing stop-loss orders at this time.,
1117958,383788,Sun Oct 22 17:11:35 +0000 2017,@AskRobinhood Why can't I trade from your website?  As a professional I'm on my computer all day.   I'd rather trade from the same device.,1117956,AskRobinhood,Mon Oct 23 13:27:52 +0000 2017,@383788 Hey! We are working on a desktop version!,1117957
1164692,393971,Thu Nov 30 01:16:56 +0000 2017,@122481 Does anyone work there? Nobody answers my email inquiries. One of the emails was sent a year ago.,1164691,AskRobinhood,Thu Nov 30 19:42:32 +0000 2017,"@393971 Please direct message us your username or ticket number, we'd be happy to help you!",
1164843,394010,Thu Nov 30 06:17:31 +0000 2017,"@122481 your support asks for social security, DOB and other personal information over email.  I hope you guys update (all) of your security processes soon!",1164842,AskRobinhood,Thu Nov 30 19:30:42 +0000 2017,"@394010 Send us an e-mail __email__, we'd be happy to help!",
1171427,395504,Thu Nov 30 17:13:44 +0000 2017,@122481 ridiculous how I can’t re-open my account with same email when YOU closed my account by mistake. I don’t want to create new email just to create a new profile. I want to use my existing email...,1171426,AskRobinhood,Thu Nov 30 19:16:07 +0000 2017,@395504 We'd be happy to help you! Send us an e-mail __email__.,
1171534,395532,Thu Nov 30 18:36:56 +0000 2017,"@122481 Probably don't offer gift certificates for account credits, do you? I think it would make a good Secret Santa gift.",1171533,AskRobinhood,Thu Nov 30 19:13:06 +0000 2017,@395532 Not at this time.,
1171612,395554,Wed Nov 29 14:52:43 +0000 2017,@AskRobinhood why is my robinhood instant deposit restricted? I got a message when I was trying to deposit $20?,1171611,AskRobinhood,Wed Nov 29 17:03:50 +0000 2017,@395554 We'd be happy to help you! Send us an e-mail __email__,
1187010,399120,Tue Oct 24 20:48:41 +0000 2017,@AskRobinhood @122481 signed up and added funds to my account through a friend’s referral. Didn’t get the free stocks. Help?,1187008,AskRobinhood,Tue Oct 24 22:16:55 +0000 2017,@399120 Hey Pushpak! Send us an email and we would be happy to help!,1187009
1187013,399121,Mon Oct 23 15:38:33 +0000 2017,@399122 @AskRobinhood Ok. This time it did... But now could be stuck??,1187011,AskRobinhood,Tue Oct 24 17:47:23 +0000 2017,@399121 Hey! Send us an email and we would be happy to help!,1187012
1187017,399123,Mon Oct 23 18:30:14 +0000 2017,@AskRobinhood how many people do I have to get to sign up to get a shirt or hat? Will work for swag.,1187016,AskRobinhood,Tue Oct 24 17:44:46 +0000 2017,@399123 Hey Kirk! We can send you some Robinhood stickers! DM us your residential address and we would be happy to help!,
1187019,253791,Mon Oct 23 20:23:08 +0000 2017,@AskRobinhood I’m shocked you ask for my internet banking login. Can’t I just transfer money into RH w/o giving you the keys to my kingdom??,1187018,AskRobinhood,Tue Oct 24 17:43:54 +0000 2017,@253791  You can link your account manually by following the Manuel steps on our help center https://t.co/tExDeloYED,
1187021,399124,Tue Oct 24 12:11:42 +0000 2017,@AskRobinhood Any plans to release the platform in the Europe region? Based in the UK and would be very interested #stocks #broker,1187020,AskRobinhood,Tue Oct 24 17:39:34 +0000 2017,@399124 Hey Louis! We hope to make it to Europe one day!,
1187023,399125,Tue Oct 24 17:34:34 +0000 2017,Hey @AskRobinhood I initiated a transfer from TD Ameritrade to @122481 but still nothing. Any updates?,1187022,AskRobinhood,Tue Oct 24 17:37:37 +0000 2017,@399125 Hey Rosel! Send us an email and we can take a look!,
130563,145460,Wed Aug 09 05:49:47 +0000 2017,@AskRobinhood @145462 How long is this going to take? We need the Mint integration please.,130561,AskRobinhood,Wed Aug 09 12:53:57 +0000 2017,"@145460 No plans on integrating with Mint or Personal Capital at the moment, but we'll let you know if that changes! 👍",130562
130565,145462,Fri Jun 02 08:08:24 +0000 2017,@AskRobinhood @145463 Haven't seen any new features after gold. Share some new plans. Can we get IRA accounts 🙏,130564,AskRobinhood,Fri Jun 02 16:42:26 +0000 2017,@145462 We are working on a web platform! Not ETA yet 🛠,130563
130567,145463,Wed Apr 05 18:18:47 +0000 2017,@AskRobinhood @145464 why do you keep pushing back on @5738 integration? clearly a lot of people want it. disappointing for a co that touts being tech-forward.,130566,AskRobinhood,Wed Apr 05 20:56:29 +0000 2017,@145463 We are focussing on improving our own platform at this time!,130565
130569,145464,Sun Apr 02 00:27:40 +0000 2017,@122481 @145465 Is it still on your radar or is not going to happen?,130568,AskRobinhood,Mon Apr 03 13:32:25 +0000 2017,"@145464 No plans on integrating with Mint or Personal Capital at the moment, but we'll let you know if that changes! 👍",130567
130571,588348,Tue Oct 31 19:33:51 +0000 2017,@122481 @145465 I'm a software engineer. I will build this for you for free. Please DM. Lack of this feature only reason all my investments not at RH,1987782,AskRobinhood,Thu Nov 02 00:57:10 +0000 2017,@588348 No plans to integrate! Sorry!,
1322621,428666,Tue Oct 17 14:10:16 +0000 2017,@AskRobinhood My portfolio value is &gt;$25k limit yet I am still marked as a Pattern Day Trader. Do I wait or can you please clear this?,1322620,AskRobinhood,Tue Oct 17 23:50:05 +0000 2017,@428666 Hey Emal! Send us an email to __email__ and we can take a look!,
1331917,430722,Sun Oct 15 21:33:09 +0000 2017,@AskRobinhood Hi this is a year later. Do you have short selling yet,1331919,AskRobinhood,Wed Oct 18 16:15:15 +0000 2017,@430722 Hey Cameron! There is no ETA for when that will be available.,
1331918,430722,Sat May 14 03:14:53 +0000 2016,@122481 please allow shares to short,1331916,AskRobinhood,Mon May 16 13:52:33 +0000 2016,@430722 Hey Cameron! We hope to offer short selling in the future and will let you know if we have any updates to share. 🙂,1331917
1332037,430752,Mon Oct 16 04:20:10 +0000 2017,@AskRobinhood Any changes? Would still love this integration!,1332039,AskRobinhood,Wed Oct 18 01:01:19 +0000 2017,@430752 Hey Walter! No plans to integrate!,1332040
1332038,430752,Fri Jul 15 23:05:08 +0000 2016,@122481 when are y'all going to let Personal Capital track my money?,1332036,AskRobinhood,Sun Jul 17 02:48:43 +0000 2016,@430752 Hi Walter! We don't have plans to integrate with Personal Capital but we'll let you know if this changes!,1332037
1379492,441145,Thu May 18 02:15:01 +0000 2017,@AskRobinhood SOON PLEASE,1379490,AskRobinhood,Thu May 18 14:07:16 +0000 2017,"@441145 No ETA at this time, but stay tuned!! 📻",1379491
1479368,463518,Sun Oct 29 15:18:49 +0000 2017,@122481 you guys need to implement dividend reinvestment #HolyGrail,1479366,AskRobinhood,Wed Nov 01 18:29:18 +0000 2017,@463518 Hey! We hope to offer DRIP one day! 🎉,1479367
1479371,463520,Sun Oct 29 02:56:38 +0000 2017,@5738 is @122481 integration coming anytime soon? Robinhood seems to have their apis ready. I have been waiting for a while now.,1479369,AskRobinhood,Wed Nov 01 18:26:47 +0000 2017,@463520 Hey! No plans to integrate with Mint!,1479370
1479373,463521,Sat Oct 28 20:48:48 +0000 2017,@122481 any plans to create a web app or desktop app?,1479372,AskRobinhood,Wed Nov 01 18:23:13 +0000 2017,@463521 Its on the way! 🎉,
1479375,463522,Sat Oct 28 17:31:30 +0000 2017,"@122481 You said in 2016 you guys were working on a desktop app for Robinhood, what's the progress on it?  Is it on the backburning?",1479374,AskRobinhood,Wed Nov 01 18:19:02 +0000 2017,@463522 Its on the way! 🎉,
1479378,463523,Sat Oct 28 14:30:54 +0000 2017,"@332805 @122481 and why won't you tell me when you will come to canada after telling me in 2015 you are working on it?

https://t.co/K7nyOOIs45",1479376,AskRobinhood,Wed Nov 01 18:17:52 +0000 2017,@463523 Hey Amber! There is no ETA for when we will be available in Canada! 🇨🇦,1479377
1479381,463524,Fri Oct 27 17:39:39 +0000 2017,"@122481, any updates on @5738 integration? Thanks! 😀",1479380,AskRobinhood,Wed Nov 01 18:12:05 +0000 2017,@463524 Hey Abel! No plans to integrate with Mint! Sorry 😬,
1479383,463525,Wed Nov 01 15:55:26 +0000 2017,Just got in line for @122481 for Web 🤸‍♂️ excited to see what the UI will be like 🧐 #ui #design,1479382,AskRobinhood,Wed Nov 01 18:06:09 +0000 2017,@463525 Hope you like it! It's glam 💃🏼,
1479385,463526,Wed Nov 01 15:58:47 +0000 2017,@AskRobinhood does #RobinhoodWeb mean @5738 integration is happening soon?,1479384,AskRobinhood,Wed Nov 01 18:05:41 +0000 2017,@463526 No plans to work with Mint right now :(,
1479387,463527,Fri Oct 27 14:49:37 +0000 2017,@337123 I was ripped off by @122481 &amp; need legal advice. They destroyed evidence from my account illegally. What can I do?,1479386,AskRobinhood,Wed Nov 01 18:05:36 +0000 2017,@463527   Hey Lamont! Feel free to send us your ticket number and we can escalate your account.,
1479389,463528,Wed Nov 01 16:06:41 +0000 2017,News of @122481 introducing a web version of the platform makes me very happy,1479388,AskRobinhood,Wed Nov 01 18:05:05 +0000 2017,@463528 Yay! We're happy you're happy.,
1479392,463529,Wed Nov 01 16:15:25 +0000 2017,@AskRobinhood any idea when you may support OTC ?,1479390,AskRobinhood,Wed Nov 01 18:04:29 +0000 2017,"@463529 No plans right now, but we know it's a popular request!",1479391
