customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1007409,358384,Thu Oct 12 08:35:20 +0000 2017,"@asksalesforce hi, case id is 17449151. Does it help when I open the case under my partner account, that we can skip the 1st level support's small talk?",1007411,asksalesforce,Thu Oct 12 09:00:58 +0000 2017,"@358384 Hi Martin, I'm sharing your feedback with the case owner's manager. With regards to the level of support, it depends on the issue type. ^MS",
1007410,358384,Wed Oct 11 16:05:18 +0000 2017,.@asksalesforce just told me I provided them with install link for managed package and not upgrade link. Till today I thought it is the same,1007408,asksalesforce,Thu Oct 12 07:14:47 +0000 2017,"@358384 Hi Martin, if you've have an existing case number, do DM me I will be glad to assist you further. ^PK",1007409
1019308,361186,Sat Oct 14 17:17:00 +0000 2017,@asksalesforce That would be great! We’ve ask a number of times to have contacts updated and submitted this case twice.,1019310,asksalesforce,Mon Oct 16 03:49:03 +0000 2017,"@361186 Are you still seeing this issue, Jean? Do Let us know I'll be happy to help. ^PK",1019311
1019309,361186,Fri Oct 13 22:44:20 +0000 2017,When @117070 support closes your case without helping you with an urgent issue.... https://t.co/IP4NzYj0ac,1019307,asksalesforce,Sat Oct 14 15:50:24 +0000 2017,@361186 Im sorry about that Jean! Want me to look into the case? ^KI,1019308
1019311,361186,Mon Oct 16 03:50:02 +0000 2017,@asksalesforce Yes still an issue.,1019312,asksalesforce,Mon Oct 16 04:00:05 +0000 2017,"@361186 I apologize for the inconvenience caused, Jean. kindly DM me the case number &amp; I'll be happy to help. ^PK",
1031858,364154,Sat Oct 21 08:01:28 +0000 2017,@asksalesforce It took over an hour after attempting to login to https://t.co/mZCabi9B9f . I had given up and went to lunch!,1031856,asksalesforce,Mon Oct 23 04:55:58 +0000 2017,"@364154 Hi Carrie, are you still seeing this issue? Do Let us know I'll be happy to help. ^PK",1031857
1031860,364154,Thu Oct 19 16:20:21 +0000 2017,@asksalesforce where's my code? That's my number. https://t.co/BlUcPOTAEq,1031859,asksalesforce,Thu Oct 19 16:38:11 +0000 2017,"@364154 Hi Carrie, you have not received your code via text message? ^RG",1031858
1043066,366657,Fri Nov 10 16:02:12 +0000 2017,@asksalesforce This isn’t a single isolated case. It is a systemic issue affecting roughly half to two thirds of the cases we file.,1043068,asksalesforce,Fri Nov 10 17:11:50 +0000 2017,@366657 If you can DM your username I can give this feedback to our management team. ^RG,
1043067,366657,Fri Nov 10 15:40:35 +0000 2017,"@148213 Your company is consistently rated one of the best to work at, but real inner reflection needs to be put into loving thy customers as thy employees. The poor support from some staff is unconscionably frustrating &amp; shows lack of training in both products &amp; basic English. https://t.co/jhWX0p9EHG",1043065,asksalesforce,Fri Nov 10 15:50:23 +0000 2017,"@366657 Hi, Sorry for the inconvenience. Can you please share the case no with me? I'll get this checked asap ^MS",1043066
1043070,366658,Fri Nov 10 14:40:43 +0000 2017,HEY @148213 why is my #salesforce glitching?! #fail,1043069,asksalesforce,Fri Nov 10 14:45:12 +0000 2017,"@366658 Hi Rob, Is there anything I can assist you with? Can you please DM me your email and more info? cc @148213 ^MS",
1045978,367277,Mon Oct 23 10:15:50 +0000 2017,"@asksalesforce Thank you. This needs to be on the roadmap for sure. It’s a basic function of RTF in many platforms, and there is a specific need",1045977,asksalesforce,Mon Oct 23 10:28:31 +0000 2017,@367277 Thank you Ben. Your feedback has been shared with the team.,
1045980,367277,Fri Oct 20 20:30:17 +0000 2017,@5514 @148213 This issue has been outstanding for 7 YEARS. Please revisit; much needed for support teams https://t.co/j2jZ9vXHfu,1045979,asksalesforce,Mon Oct 23 05:29:35 +0000 2017,"@367277 The current status of the idea is ""No Plans to Implement"" however, I'll share the feedback with the team. ^PK",1045978
1045982,168564,Mon Oct 23 09:03:24 +0000 2017,"@asksalesforce It's not a technical issue, it's an issue with features not being available outside the US yet. It's on the ""long term"" roadmap.",1045981,asksalesforce,Mon Oct 23 09:42:01 +0000 2017,"@168564 Yes, its available in the US at the moment https://t.co/w8wzRZBp1o. ^PK",
1045984,168564,Thu Oct 19 22:25:00 +0000 2017,"If Australia can get LiveMessage in SMS with #Salesforce, why can't we get Lightning Dialler yet?",1045983,asksalesforce,Mon Oct 23 09:01:32 +0000 2017,"@168564 Hi Jodie, are you still seeing this issue? Do Let us know I'll be happy to help. ^PK",1045982
1045987,367278,Mon Oct 23 08:18:12 +0000 2017,@asksalesforce I know it won't be down for long.  It is up already earlier.  Quite rare to go down too. Thanks,1045985,asksalesforce,Mon Oct 23 08:38:18 +0000 2017,@367278 Great! Do let us know if you require assistance and I will be happy to help. ^PK,1045986
1045989,367278,Mon Oct 23 08:05:46 +0000 2017,oh no!  How rare!!!!! @117070 @asksalesforce https://t.co/s5lbMzOXtd,1045988,asksalesforce,Mon Oct 23 08:16:50 +0000 2017,"@367278 Hi Manish, We apologize for any service interruption, please check https://t.co/tJPTlCwb19  for the latest system status. ^PK",1045987
1048932,367904,Thu Oct 12 17:34:02 +0000 2017,@117070 just ran into a weird bug in Lightening. My Cases are showing up on a page instead of my implementations page. Any ideas?,1048931,asksalesforce,Thu Oct 12 22:04:34 +0000 2017,"@367904 Hi Reynaldo, If you would like to DM us your contact details we can get a support case started on your behalf.  ^RG",
1080763,374951,Fri Oct 13 14:19:07 +0000 2017,"@asksalesforce @148213 Thanks, i have sent you the email i had sent. Things have become very frustrating and look forward to your response on this. cc @148213",1080762,asksalesforce,Fri Oct 13 14:21:54 +0000 2017,"@374951 I'm on it, Suleman. I'll share more information on the progress via DM. cc @148213 ^MS",
1080765,374951,Fri Oct 13 13:36:01 +0000 2017,"@148213 Really need some help Marc, sent several emails to salesforce including your CEO one and are now struggling. #help #nosupport",1080764,asksalesforce,Fri Oct 13 14:01:08 +0000 2017,"@374951 Hi Suleman, Can you pls DM me your email and more information on the issue? I'll get this checked for you asap. cc @148213 ^MS",1080763
