customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1019225,361166,Sun Oct 22 19:02:13 +0000 2017,@127908 someone has mistakenly block my Tigo cash account.Im trying to get to ur customer service Bt no response,1019224,AskTigogh,Sun Oct 22 19:31:07 +0000 2017,"@361166 Hi there SAMMY, kindly DM your number, current Tigo cash balance and a picture of your ID card for further assistance.",
1030107,363726,Sat Oct 14 09:11:36 +0000 2017,@127908 Any price for him?,1030105,AskTigogh,Sat Oct 14 09:15:47 +0000 2017,"@363726 Sure there is Gademor, he wins an airtime from us.",1030106
1057930,369786,Mon Oct 23 09:44:04 +0000 2017,@168941 @127908 galaxy tab 4,1057929,AskTigogh,Mon Oct 23 09:46:11 +0000 2017,"@369786 @168941 Good morning Kokovelly, have you tried restarting the phone today?",
1057936,369787,Mon Oct 23 09:30:04 +0000 2017,@127908 please how.much is your wifi,1057935,AskTigogh,Mon Oct 23 09:32:01 +0000 2017,"@369787 Good morning Sampson, the wireless router is going for GHC 190.",
1057938,369788,Mon Oct 23 06:19:20 +0000 2017,surprisingly most of the @136248 and @127908 subscribers ain't aware of the merger. These telecommunication people though ...,1057939,AskTigogh,Mon Oct 23 06:42:41 +0000 2017,@369788 @127908 We sent broadcast messages to our customers in March. This has been approved by NCA. You may read more on,
1057938,369788,Mon Oct 23 06:19:20 +0000 2017,surprisingly most of the @136248 and @127908 subscribers ain't aware of the merger. These telecommunication people though ...,1057937,AskTigogh,Mon Oct 23 06:42:55 +0000 2017,@369788 @127908 https://t.co/bxiircUAF9,
107694,139923,Thu Nov 23 18:12:01 +0000 2017,@AskTigogh fix your network!,107693,AskTigogh,Thu Nov 23 18:19:49 +0000 2017,"@139923 Thanks for contacting us please, trust you are fine?.
Do share with us what exactly the challenge is please.",
107696,139924,Thu Nov 23 13:51:04 +0000 2017,@139925 @AskTigogh You this boy koraa why!! You dey job for tigo now,107695,AskTigogh,Thu Nov 23 13:53:10 +0000 2017,@139924 You may have to choose a bundle that gives you more data volume.,
107699,139924,Thu Nov 23 13:41:53 +0000 2017,@AskTigogh How can 1gig finish in 3 days.No downloads...😭😭😭😭😭,107700,AskTigogh,Thu Nov 23 13:50:56 +0000 2017,"@139924 Gideon, this is very possible depending on the sites you visited even if you did not download anything.",
107702,139924,Thu Nov 23 13:35:24 +0000 2017,@127908 My bundle😭😭😭😭😭,107701,AskTigogh,Thu Nov 23 13:40:11 +0000 2017,@139924 What's up Gideon?,107699
