customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1010708,359169,Sun Oct 22 13:03:15 +0000 2017,"@AskVirginMoney Hey, I'm all sorted! I was expecting a super long wait on the phone but it was really quick so I'm back in my account now 👍",1010707,AskVirginMoney,Sun Oct 22 13:07:15 +0000 2017,"@359169 Fantastic, glad you managed to get sorted straight away. Enjoy the rest of your weekend Katie! ^AR",
1010710,359169,Sun Oct 22 12:34:33 +0000 2017,@AskVirginMoney Please can you help me update the mobile number?,1010709,AskVirginMoney,Sun Oct 22 12:37:01 +0000 2017,@359169 Let's see if I can help Katie! What type of account is this for? ^AR,1010708
1010713,359170,Sat Oct 21 20:33:47 +0000 2017,?? @122467 travel insurance £90 on own site... go through @32804 and its £45... im certainly confused !?!?!?!,1010712,AskVirginMoney,Sun Oct 22 13:06:15 +0000 2017,"@359170 Thanks for getting in touch Adam, you'd you like us to look into this at our end for you? ^AR",
1010731,311001,Sun Oct 22 12:31:15 +0000 2017,@AskVirginMoney Hi yes it's all fine credit team says it's accepted and will appear in roughly 3 days,1010730,AskVirginMoney,Sun Oct 22 12:34:59 +0000 2017,@311001 Ah brilliant- just shout up if you need anything else Jordan! ^AR,
1010733,311001,Sun Oct 22 12:06:39 +0000 2017,@AskVirginMoney Would it be easier for me to withdraw the 675 into my debit account? It's with NatWest,1010732,AskVirginMoney,Sun Oct 22 12:12:45 +0000 2017,"@311001 Ah it sounds like you'll be best having a chat with our Credit Card experts on 0800 011 3210, is that alright? ^AR",1010731
1010736,311001,Sun Oct 22 11:52:35 +0000 2017,@AskVirginMoney It was yeah on my transactions it says pending,1010734,AskVirginMoney,Sun Oct 22 12:00:09 +0000 2017,"@311001 Fab, it'll best chatting with the new provider as if it was with us, you can only transfer a balance that's in your name. ^AR","1010733,1010735"
1010738,311001,Sun Oct 22 11:35:22 +0000 2017,@AskVirginMoney How long does a balance transfer to another card that's not in my name usually take? I processed it Friday 19th value is 675,1010737,AskVirginMoney,Sun Oct 22 11:46:02 +0000 2017,"@311001 Good question Jordan, was the balance transferred from a card with us to another provider? ^AR",1010736
1031980,168610,Thu Oct 12 17:28:26 +0000 2017,@AskVirginMoney keep getting emails saying you've sent me a secure message on my credit card account but when I log in there's nothing there,1031979,AskVirginMoney,Thu Oct 12 17:32:03 +0000 2017,"@168610 Hi, can your try looking under 'View Service Request' and see if your reply is in there?  ^LB",
1056527,369448,Mon Oct 23 11:00:38 +0000 2017,@AskVirginMoney you had a mortgage application on a property we are dealing with. Who was the surveyor please? I can DM you details,1056526,AskVirginMoney,Mon Oct 23 11:25:19 +0000 2017,@369448 Hi Adnan. If you'd like to email more details to __email__ we'd be happy to look into this for you. ^PM,
1056530,369449,Mon Oct 23 05:17:31 +0000 2017,@AskVirginMoney Usure if you can answer for Aus but looking at FF card and the $ to spend to get bonus points-only in shops or all spending?,1056528,AskVirginMoney,Mon Oct 23 09:37:00 +0000 2017,"@369449 Hi Sarah, we can't, but if you contact @45983 they'll be happy to help. ^PM",1056529
1056532,292681,Mon Oct 23 09:15:59 +0000 2017,@AskVirginMoney Current account!,1056531,AskVirginMoney,Mon Oct 23 09:22:18 +0000 2017,"@292681 Thanks Laura, can you email your details over to __email__ and we'll see what we can do? ^PM",
1056534,292681,Mon Oct 23 08:36:30 +0000 2017,"@AskVirginMoney my cards blocked abroad again, and I've been locked out of my internet banking again! Can you please help? Screwed w/o it!",1056533,AskVirginMoney,Mon Oct 23 08:49:25 +0000 2017,"@292681 Hi Laura, we'll be happy to see what we can do to help. What type of account do you hold with us? ^PM",1056532
1056536,369450,Sun Oct 22 14:30:05 +0000 2017,"@122467 when ur staff gets challenged  from a cold call re bank details, tell them not to put the phone down to suggest a scam call",1056535,AskVirginMoney,Mon Oct 23 09:17:30 +0000 2017,"@369450 Hi Lee, would you like us to investigate this further and see what's happened? ^PM",
1056542,369452,Sun Oct 22 17:32:34 +0000 2017,@AskVirginMoney Trying to get view my pin online...but the one time access code isn't being sent to my phone? Number seems correct.,1056541,AskVirginMoney,Mon Oct 23 08:46:40 +0000 2017,"@369452 Hi Andrew, let's see what we can to help! What type of account do you hold with us? ^PM",
1076103,373912,Mon Oct 23 16:39:03 +0000 2017,@AskVirginMoney A credit card,1076102,AskVirginMoney,Mon Oct 23 16:54:41 +0000 2017,"@373912 Brill, you'll be best having a chat with the Credit Card experts to double check! Would you like their number? ^AR",
1076105,373912,Mon Oct 23 16:15:05 +0000 2017,@AskVirginMoney For my application you've asked for a more recent bill as proof of address. Does is have to be printed and posted or to save time and paper can I send an electronic copy? Many thanks!,1076104,AskVirginMoney,Mon Oct 23 16:33:34 +0000 2017,@373912 Thanks for getting in touch Amy! What type of account have you applied for? ^AR,1076103
1076107,373913,Mon Oct 23 16:05:13 +0000 2017,@AskVirginMoney Thanks but this is very disheartening considering that we were told repeatedly when we switched over that it was going to happen.,1076110,AskVirginMoney,Tue Oct 24 14:20:04 +0000 2017,"@373913 We appreciate it’s a long time coming, we’re aware of the ask from our customers and it is something we are looking at ^AD",
1076108,373913,Mon Oct 23 15:18:45 +0000 2017,@AskVirginMoney https://t.co/76CuNCqiXd,1076106,AskVirginMoney,Mon Oct 23 15:23:47 +0000 2017,@373913 We've got no updates for now but if that changes in the future we'll be sure to let you know! ^AR,1076107
1076112,373914,Mon Oct 23 14:43:18 +0000 2017,@AskVirginMoney Do you know if you will support Apple Pay in the near future?,1076111,AskVirginMoney,Mon Oct 23 15:09:37 +0000 2017,@373914 Good question Rebecca! There's no news of this yet but we'd be sure to let you know if that changes. ^AR,
1076114,373915,Mon Oct 23 20:00:29 +0000 2017,@AskVirginMoney we have opened up a 1 year fixed cash isas from the 25 oct when our previous halifax 1 runs out we have got a tesco isa runs out on nov 18th can we put that in the same isa,1076116,AskVirginMoney,Tue Oct 24 07:08:16 +0000 2017,"@373915 Good Morning Bob, let's take a look!  Do you know the issue number of the account you opened?  ^LB",
1076115,373915,Mon Oct 23 12:30:18 +0000 2017,@AskVirginMoney just opened a new cash isa with money from previous years isas can i put another one into the same account when it expires in 4 weeks time,1076113,AskVirginMoney,Mon Oct 23 12:40:21 +0000 2017,@373915 Good question Bob! What type of Cash ISA did you open with us? ^AR,1076114
108681,140119,Thu Nov 23 21:05:17 +0000 2017,@AskVirginMoney E Access ISA Issue 1 if that helps? Ta,108683,AskVirginMoney,Fri Nov 24 08:08:54 +0000 2017,"@140119 Perfect, with the system having an overnight refresh the funds would now be available to withdraw. Do you want to give that a go? ^AR",
108682,140119,Thu Nov 23 19:24:09 +0000 2017,"@AskVirginMoney I'm trying to withdraw money from my savings account and I get the message: ""This account is now maturing. The maturity process will normally be complete by the following business day.""  Help! What do I need to do!",108680,AskVirginMoney,Thu Nov 23 19:28:13 +0000 2017,@140119 Let's see what we can do to help Richard! Which type of Savings account do you have with us? ^JB,108681
108685,140120,Thu Nov 23 19:16:15 +0000 2017,@AskVirginMoney where can I find the sort code for my Defined Access Cash E-ISA so that I can transfer to a new provider?,108684,AskVirginMoney,Thu Nov 23 19:23:52 +0000 2017,@140120 Let's take a look at this for you Emily! When did you apply for your ISA with us? ^JB,
108687,140121,Thu Nov 23 19:06:42 +0000 2017,@AskVirginMoney Ok,108686,AskVirginMoney,Thu Nov 23 19:09:50 +0000 2017,"@140121 Thank you, we'll pick it up now for you! ^JB",
108689,140121,Thu Nov 23 18:54:55 +0000 2017,@AskVirginMoney can someone message me as noone is replying to my messages.,108688,AskVirginMoney,Thu Nov 23 19:02:16 +0000 2017,"@140121 Thanks for your DM! Looks like we've replied to that now, are you happy to continue the conversation over there? ^JB",108687
108691,140122,Thu Nov 23 16:56:50 +0000 2017,"I've always thought that the best way to complain is in written form; perhaps a strongly worded letter or email outlining the issue you have.

But @122467 is the first company that's ever made me consider that I should just shit in an envelope and post that instead.

AVOID",108690,AskVirginMoney,Thu Nov 23 17:19:47 +0000 2017,@140122 Let's get this sorted for you John. Which type of account do you have with us? ^JB,
108693,140123,Thu Nov 23 15:53:17 +0000 2017,@AskVirginMoney Got will reply ASAP thanks,108692,AskVirginMoney,Thu Nov 23 16:10:11 +0000 2017,"@140123 Great, thanks Ryan! I'll take a look across there now for you ^JB",
108695,140123,Thu Nov 23 15:47:14 +0000 2017,@AskVirginMoney you have DM.  Thanks,108694,AskVirginMoney,Thu Nov 23 15:51:40 +0000 2017,"@140123 Thanks for getting in touch Ryan! Looks like I've just replied to your DM, can you see that? ^JB",108693
108697,140124,Thu Nov 23 14:58:25 +0000 2017,@AskVirginMoney Fantastic service from Mark the Geordie on your credit card helpline earlier today. Please pass on my thanks! #lookaftergoodpeople!,108696,AskVirginMoney,Thu Nov 23 15:31:27 +0000 2017,"@140124 Thanks for your feedback Danny, we'll be sure to pass on your lovely comments! Just let us know if there's anything else we can help with ^JB",
