customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1017593,301483,Wed Oct 11 23:11:21 +0000 2017,"What up? Was at @115858 yesterday my phone has a 3rd party display &amp; has SCREWS MISSING. Know what refurb'ed means, SCREWS MISSING? @ATT https://t.co/yKv69Alcl7",1017592,AsurionCares,Thu Oct 12 13:49:27 +0000 2017,@301483 Many replacements come w/ a 1 yr limited warranty. Can you tell us more about what's going on with your replacement device? ^AW,
101838,138309,Thu Nov 30 17:42:33 +0000 2017,@AsurionCares coming your way,101840,AsurionCares,Thu Nov 30 17:55:00 +0000 2017,@138309 We have received your DM and we will continue to assist you from there. ^KF,101841
101839,138309,Thu Nov 30 17:10:44 +0000 2017,@AsurionCares U break we I Fix broke the ear piece on my daughter's phone. Waiting to hear back from them. Argh,101837,AsurionCares,Thu Nov 30 17:41:01 +0000 2017,@138309 We want to be sure you've been taken care of. Can you please DM us the claim number or mobile number associated and carrier. ^AW,101838
101841,138309,Thu Nov 30 17:59:43 +0000 2017,@AsurionCares Thank you so very much - really appreciate it!,101842,AsurionCares,Thu Nov 30 18:03:35 +0000 2017,@138309 You're welcome Trudy! ^KF,101843
101843,138309,Thu Nov 30 18:40:29 +0000 2017,@AsurionCares You guys are going to make a girl REALLY happy - thank-you!,101844,AsurionCares,Thu Nov 30 18:54:25 +0000 2017,@138309 You're welcome Trudy! That's what we're here for. ^KF,
101846,138309,Thu Nov 30 16:50:16 +0000 2017,@138310 No effing clue. It's at a local joint repair covered by Asurion - a third party who provides insurance for phones. Get a vibe that the tech - who is still in training - messed phone. Been on this roller coaster since yesterday.,101845,AsurionCares,Thu Nov 30 17:06:00 +0000 2017,@138309 We are here to assist you anyway we can. Can you tell us more about your experience? ^AW,101839
101850,138311,Thu Nov 30 16:50:00 +0000 2017,"@AsurionCares My claim was postponed, and my carrier is Verizon.",101849,AsurionCares,Thu Nov 30 17:05:00 +0000 2017,"@138311 It can typically take 7-10 business days for the device to ship. As we do not manufacture the devices, we are subject to the same supply constraints as retailers. Please know we are processing shipments as quickly as possible, as inventory becomes available. ^AW",
101852,138311,Thu Nov 30 16:00:37 +0000 2017,@AsurionCares The jet black iPhone 7 plus 128gb is out of stock according to the website,101851,AsurionCares,Thu Nov 30 16:33:39 +0000 2017,@138311 Have you already filed a claim? Who's your carrier? ^AW,101850
101854,138311,Thu Nov 30 14:25:01 +0000 2017,My phone is useless and is also  out of stock with Asurion. They owe me an iPhone X for my trouble.,101853,AsurionCares,Thu Nov 30 15:48:00 +0000 2017,@138311 We are here to help you anyway we can. Can you tell us more about what's going on? ^AW,101852
101856,138312,Thu Nov 30 16:43:16 +0000 2017,@117735  and @116297 have  given me the run around since October! Ridiculous service by two large companies. Time to make a switch in carriers,101855,AsurionCares,Thu Nov 30 17:03:49 +0000 2017,@138312 We're here to help anyway we can and always just a tweet away if we can be of any assistance. ^AW,
101858,138313,Thu Nov 30 16:01:48 +0000 2017,"@AsurionCares hey, i’m trying to reach your hotlines and it’s not recognizing my sprint phone..",101857,AsurionCares,Thu Nov 30 16:34:25 +0000 2017,@138313 You can get a direct person here. Can you tell us more about what's going on? ^AW,
101860,138314,Thu Nov 30 15:52:29 +0000 2017,IM GOING TO SCREAM THIS NEW ASURION PHONE IS ALSO ALREADY NOT WORKING this is literally like #7 because I keep being sent bad phones :(,101859,AsurionCares,Thu Nov 30 16:30:00 +0000 2017,"@138314 We're here to help you anyway we can. To confirm, is this device associated with mobile number ending in 7940?",
101862,138315,Thu Nov 30 18:10:28 +0000 2017,@AsurionCares Your representatives are rude,101864,AsurionCares,Thu Nov 30 18:14:36 +0000 2017,"@138315 Rest assured, it's our goal to offer our customers the best customer service. Can you tell us a little more about your experience? We're here to help. ^KF",101865
