customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000015,209328,Sun Oct 22 16:16:12 +0000 2017,"Never going back to @ATT and @115955 promotion is ending (not paying $70/mo), what company would people recommend for internet?",1000013,ATT,Sun Oct 22 16:34:30 +0000 2017,"@209328 Hi, Sara! We never want to lose a member of the AT&amp;T family! Let get to the bottom of this. Please send us a DM! ^EdwinE",1000014
1003491,357530,Sat Oct 14 12:37:14 +0000 2017,@ATT Roflol! Is this related to the supposedly fast (extremely slow) @126768 that won’t let me use Skype in @43978 ?,1003487,ATT,Sat Oct 14 12:50:30 +0000 2017,@357530 We apologize for the extremely slow internet speeds you are experiencing. Please DM us with details. Here for you! ^ChristiM,"1003488,1003489,1003490"
1003492,357530,Sun Oct 15 20:10:15 +0000 2017,"@ATT 3) (done), 4) stop streaming &amp; data intensive stuff (no one here was), 5) replace router (done, multiple times), etc.  Still very slow.",1003493,ATT,Sun Oct 15 20:14:32 +0000 2017,"@357530 Hey There KSmith, Could you dm us the account number to further assist the issue.
Thanks!
DannyB",
1003503,357533,Sat Oct 14 11:41:51 +0000 2017,@ATT Love your AT&amp;T finer at our sticks and bricks house. So fast! And I never stress about data cap. Now how can I get it in my RV? #GoRVing,1003501,ATT,Sat Oct 14 12:47:30 +0000 2017,@357533 we understand your looking to get internet in your RV. Please DM us  your account number so we can further assist you.^NicJ,1003502
1003514,384482,Sat Oct 14 02:54:42 +0000 2017,@ATT Will u be extending the 'no extra charge' for overages for #hurricanemaria folk? I believe it ends today ?,1121146,ATT,Tue Oct 17 22:43:43 +0000 2017,@384482 Hello! Folks from Puerto Rico/USVI will have extensions on no overage charge until October 31st. DM us for more support! ^MG,1778382
1003515,384437,Sat Oct 14 05:22:06 +0000 2017,@ATT I am lucky to have 12mbs download and 1mbs upload,1120935,ATT,Sat Oct 14 12:07:00 +0000 2017,@384437 Hey! We hate to hear that you are experiencing problems with your internet/data. DM us details so we can assist you! ^MarM,
1003518,372662,Sat Oct 14 23:08:31 +0000 2017,@ATT A bit pricey plus not available in my area.,1070692,ATT,Sat Oct 14 23:15:00 +0000 2017,"@372662 Good evening, Kyle! Help us understand what you're experiencing. DM us for further assistance. We're here for you! ^NSmart",
1003520,393936,Sun Oct 15 00:55:32 +0000 2017,@ATT Why pay more when my normal @ATT internet can’t keep up. Don’t say message me either. I’ve already had someone come out and not fix it,1164547,ATT,Sun Oct 15 11:25:00 +0000 2017,"@393936 Hi Kevin. We regret to hear your internet speed is a bit slow, can you please DM us so we can better assist you? ^QB",
1003528,404605,Wed Oct 25 12:32:21 +0000 2017,@ATT Garbage service and garbage prices,1212590,ATT,Wed Oct 25 12:37:44 +0000 2017,"@404605 Hi there, Bryce, we're sorry to hear that you're not 100% satisfied with your service. Please DM us more details. ^JWillie",
1003538,502665,Tue Oct 17 13:23:52 +0000 2017,"@ATT @ATT when will you get fiber in my area? I can barely make a phone call, and forget streaming. #waitingforyesrs!",1644967,ATT,Tue Oct 17 13:34:02 +0000 2017,"@502665 Good morning we apologize for the inconvenience, our technicians are out in areas restoring services as of now. ^DreB",1644968
1003539,545994,Tue Oct 17 20:53:18 +0000 2017,@ATT Don’t be fooled...  we pay for 1Giga service and have never had better than 68MB connection,1817693,ATT,Wed Oct 18 02:38:26 +0000 2017,@545994 Slow internet?Try troubleshooting slow internet speeds here: https://t.co/fi8EZzFar4. Let us know if this helps! ^TinaT,1817694
1003550,274540,Thu Oct 19 04:58:29 +0000 2017,@ATT For some reason since the technician changed my modem my WiFi range has shrunk.,1022313,ATT,Sun Oct 22 22:33:00 +0000 2017,@274540 Sorry about your WiFi issues. I'd like to take a look and help. Follow/DM me the acct#/ph#. Thanks ^DanG. Social Media Mgr.,1022311
1005444,357977,Sat Oct 14 15:00:16 +0000 2017,"@att my internet is not working since yesterday, called multiple times but haven’t got any appointment with technician",1005443,ATT,Sat Oct 14 15:09:27 +0000 2017,"@357977 Hey, Himanshu, thanks for reaching out! Could you please send us a DM so we can better assist you! We are always here! ^WhitK",
1006031,358104,Sat Oct 14 12:49:51 +0000 2017,why do I spend so much money for 4g every other hour @att what's going on,1006030,ATT,Sat Oct 14 13:08:00 +0000 2017,@358104 Hey! We would love to help you here! DM us with more information! We will be here for you!^RonH,
1008422,358620,Sun Oct 22 20:07:14 +0000 2017,My lovely setup for #DecisionDay. Catch me over @358621 holding it down on the Western Conference side of things https://t.co/SGP1KhRIIW,1008421,ATT,Sun Oct 22 20:14:54 +0000 2017,@358620 Nicely done! Enjoy #DecisionDay https://t.co/YAj9sjQKjZ,
1008424,358622,Sun Oct 22 19:54:29 +0000 2017,"#DTID Good luck, boys #DecisionDay https://t.co/KZjMYS4yg0",1008423,ATT,Sun Oct 22 20:07:26 +0000 2017,@358622 Thank you for sharing the great photo! Enjoy the #DecisionDay match ⚽️ https://t.co/C9URcDPTlm,
