customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1008536,358655,Sat Oct 14 12:19:04 +0000 2017,@123644 What all should we consider if we want to use SQS in place of RabbitMQ?,1008535,AWSSupport,Sat Oct 14 13:16:03 +0000 2017,"@358655 Hi, you may find the following docs helpful https://t.co/FksmAoDB2F. For assistance, contact us here: https://t.co/P4U5aBltAk ^KM",
1008538,373217,Sat Oct 14 11:42:35 +0000 2017,"@123644 I am your client, how can I get in contact with you about  change of delivering address? Thanks.",1073082,AWSSupport,Sat Oct 14 23:36:52 +0000 2017,"@373217 For help with your AWS account: https://t.co/P0rri1jEGJ Or for retail assistance, go here: https://t.co/uha69t6fRt 😊 ^TI",
1008540,358656,Sat Oct 14 11:42:30 +0000 2017,"@AWSSupport Hi, I have just created account on AWS but I ran into such problem(( I need it for MLH challenge on @72588 https://t.co/DPhkP67TyC",1008539,AWSSupport,Sat Oct 14 12:05:52 +0000 2017,@358656 Oh no! Please fill out this form &amp; we'll be in touch to assist: https://t.co/UqVdYTXur4 ^CM,
101180,138140,Thu Nov 30 16:31:05 +0000 2017,That DJ tho! #AWS #reInvent @123644,101178,AWSSupport,Thu Nov 30 17:02:54 +0000 2017,"@138140 Hi, Darryl! I'm glad you like what you hear from @138141! 🎵🎧 ^ET",101179
101183,138142,Thu Nov 30 15:31:02 +0000 2017,AWS IoT 1-Click for @123644 looks really cool.  Don't try to  sign up for the preview as the link is broken! https://t.co/EmXBeWgyUP,101181,AWSSupport,Thu Nov 30 17:02:00 +0000 2017,"@138142 Hello, Simon! The provided link seems to be working. Please try to clear your cache/cookies and try the link again. You can also try using a different browser. ^ET",101182
101185,138143,Thu Nov 30 17:19:02 +0000 2017,"@AWSSupport That link is correct, but the the links on the page don't work. For example, if you click on ""Documentation"" it takes you to: https://t.co/yOFwyFHKa3. Confirmed on Safari, Firefox, and Chrome",101187,AWSSupport,Thu Nov 30 18:25:36 +0000 2017,"@138143 Thanks for the clarification, Matthew! I have shared this information internally to be reviewed. ^ET",
101186,138143,Thu Nov 30 13:47:35 +0000 2017,"@123644 The link for the Neptune documentation on https://t.co/jYiSC7vqsq is broken. Looks like the links start with ""docs-"" instead of ""docs.""",101184,AWSSupport,Thu Nov 30 16:59:00 +0000 2017,"@138143 The provided link seems to be in working order, Matthew. ✔️ Mind trying the doc again after you clear your cache/cookies? You can also try using a different browser. ^ET",101185
101189,138144,Thu Nov 30 13:47:16 +0000 2017,@AWSSupport Hi. When configuring an AWS ALB HTTPS listener is it possible to select a cert from another accounts ACM store? We run a multi-account setup and would like to manage all certs in a central Ops AWS account.,101188,AWSSupport,Thu Nov 30 15:35:00 +0000 2017,"@138144 Lloyd, Our engineers can help. Would you mind posting more details in our forums so they can take a look? https://t.co/pNsXomNRdE ^ET",
101192,138145,Thu Nov 30 13:42:19 +0000 2017,Yay! Passed my final @123644 exam - #AWS Certified Solutions Architect - Professional - this one was hard but worth it! 😊,101190,AWSSupport,Thu Nov 30 15:01:29 +0000 2017,@138145 🎶 You're taking care of business (every day). 🎶 I'm glad to hear the hard work paid off. Congrats on passing your exam! 🎉 ^ET,101191
101194,138146,Thu Nov 30 11:52:25 +0000 2017,"@123644, I really liked the layout for AmazonMQ, the only thing that I'm kinda disappointed is that there is not TAG option :(",101193,AWSSupport,Thu Nov 30 14:56:35 +0000 2017,@138146 Thanks for your insight! We are always looking for ways to improve. You can provide us more feedback any of the following ways: https://t.co/8gbca1j4qn 😊 ^ET,
101196,138147,Thu Nov 30 04:01:25 +0000 2017,@131019 Did we break the world record? #tatonka #reInvent,101195,AWSSupport,Thu Nov 30 14:46:34 +0000 2017,"@138147 Hi, Andy! Yes, a Guinness World Record 🏆 for largest wing eating contest was set. 😋^ET",
1012929,359690,Sun Oct 22 16:46:01 +0000 2017,@AWSSupport except my 2FA device isn’t lost or broken. I set it up just yesterday.,1012931,AWSSupport,Sun Oct 22 22:09:01 +0000 2017,"@359690 I found this thread in our Forums that may help: https://t.co/JYTgzgPXl9 For guidance from our experts, create a new thread. ^RH",
