customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1004885,357841,Sat Oct 14 06:39:53 +0000 2017,@117196 I ordered a phone and my order was cancelled an hour later? I can't contact customer care because I don't have a boost account.,1004884,BoostCare,Sat Oct 14 12:17:47 +0000 2017,@357841 Hmm – that doesn’t sound right. Let's to take a closer look! Please send us a DM so we may work directly with you. -E.M.,
1005867,358071,Sun Oct 22 16:29:02 +0000 2017,I could move a boulder thru a Boost Mobile 📞📲,1005866,BoostCare,Sun Oct 22 18:57:12 +0000 2017,@358071 Hi there championbwoi. Anything we may help you with today? -VG,
1005873,358073,Sun Oct 22 13:36:16 +0000 2017,@358074 Aboutta get a boost mobile phone so my bill ain’t so high just texting the same 3 ppl everyday,1005872,BoostCare,Sun Oct 22 18:34:47 +0000 2017,@358073 Hi there Jay. Are you switching over? Please DM us and we will let you know of a great promotion going on. -VG,
1005877,358075,Sun Oct 22 13:16:01 +0000 2017,@117196 when will i be able to use my ZTE Axon 7 with boost. love the service but phone selection is crap,1005876,BoostCare,Sun Oct 22 18:28:29 +0000 2017,"@358075 Hi there That Guy.  No word on that just yet, but please keep checking back for updates. -VG",
1005879,358076,Sun Oct 22 14:07:29 +0000 2017,@358077 Thank u,1005878,BoostCare,Sun Oct 22 18:26:45 +0000 2017,@358076 Hi there Illegirl. Anything we may help you with? -VG,
1005883,358078,Sun Oct 22 18:10:09 +0000 2017,@BoostCare cause  the roaming data  is so expensive  and  the best  is  use  it  with  a carrier  from that country. can i request  the unlock?,1005882,BoostCare,Sun Oct 22 18:17:43 +0000 2017,"@358078 Understood. To unlock a phone, it needs to be activated with Boost for 12 months. -VG",
1005886,358078,Sun Oct 22 18:04:23 +0000 2017,@117196 is this prepaid iphone 6 unlocked  to be used  with another carriers  over seas?,1005884,BoostCare,Sun Oct 22 18:07:43 +0000 2017,@358078 Hi there Jeancarlos. Thank you for your interest in our devices. Our phones are branded for usage with Boost Mobile. -VG,"1005885,1005883"
1005888,326810,Sun Oct 22 17:40:39 +0000 2017,@BoostCare So the $110 would be gone?,1005887,BoostCare,Sun Oct 22 17:43:02 +0000 2017,@326810 That's right! We cannot transfer a balance from another company or account to your Boost account. -RE.,
1005890,326810,Sun Oct 22 16:44:52 +0000 2017,@VMUcare can I transfer my Virginmobile Broadband to Go account to Boost Mobile including remaining top-up dollars ($110)?,1005889,BoostCare,Sun Oct 22 17:37:04 +0000 2017,"@326810 Hi Gus™! There's no BYOD between Virgin Mobile and Boost. As a result, VM devices are not compatible with our service. Sorry about that! -RE",1005888
1005892,358079,Sun Oct 22 04:44:23 +0000 2017,@167781 me acabo de cambiar con ustedes el mes pasado y en donde vivo tengo problemas con la señal o se pone muy lento,1005891,BoostCare,Sun Oct 22 17:40:05 +0000 2017,@358079 Lamentamos escuchar eso. Con gusto le ayudamos. Envienos un mensaje directo para que podamos trabajar con usted. -E.M.,
