customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1135818,387591,Mon Oct 23 20:04:55 +0000 2017,"Since 10/1, I've tried to reach @CarlsJr via their website, app, &amp; replying to a promo email.
No response
I have questions
You have answers?",1135817,CarlsJr,Mon Oct 23 20:08:43 +0000 2017,@387591 Hi Sean. Happy to help you find the answers to those questions! Please DM us.,
1251605,413612,Wed Oct 25 15:48:15 +0000 2017,@413613 Hmmmm....how about never?,1251603,CarlsJr,Wed Oct 25 19:53:10 +0000 2017,@413612 @413613 Agree w/ @121385 on this one. Our $5 All Star Meal is the best value around....especially in a Subway.,1251604
1251689,413615,Tue Oct 24 19:31:15 +0000 2017,Damn @CarlsJr u saved my from my hunger,1251688,CarlsJr,Wed Oct 25 16:38:14 +0000 2017,"@413615 All in a day's work, Zam!",
136542,146782,Thu Nov 23 23:20:27 +0000 2017,@CarlsJr In LA we don’t have it till 5 Bruh . This isn’t Nebraska,136540,CarlsJr,Fri Nov 24 02:29:04 +0000 2017,@146782 How was your dinner,136541
136544,146782,Thu Nov 23 22:51:22 +0000 2017,@CarlsJr Bruh . People had thanksgiving dinner . Fuck off .,136543,CarlsJr,Thu Nov 23 23:12:47 +0000 2017,@146782 why you on twitter during thanksgiving dinner,136542
136546,146783,Thu Nov 23 23:41:38 +0000 2017,@CarlsJr Is this tweet from 1997?,136550,CarlsJr,Fri Nov 24 00:40:42 +0000 2017,@146783 Haha nice try wise guy furbies were released in 1998,
136552,146784,Thu Nov 23 16:52:26 +0000 2017,@CarlsJr Wiping the tears of joy away!!! When are you coming to Florida?,136551,CarlsJr,Thu Nov 23 19:56:05 +0000 2017,@146784 lemme check my calendar but in the meantime have you tried @146785 bc yum,
136561,146786,Thu Nov 23 17:55:07 +0000 2017,"With the help of @CarlsJr and their $5 Meal Deals, I’m warming up the stomach this morning for the Thanksgiving feast later today. @7773 understands :) https://t.co/04baKbPKT7",136560,CarlsJr,Thu Nov 23 18:03:14 +0000 2017,"@146786 @7773 you can't have Thanksgiving without Carl's Jr. - that's like Fourth of July without apple pie, or Friday with no two pizzas",
1477924,463177,Wed Nov 01 22:00:46 +0000 2017,"Cause we just sprayed this morning"" wtf @CarlsJr. Seriously wtf",1477923,CarlsJr,Wed Nov 01 22:32:59 +0000 2017,"@463177 Hi Lexi. We're concerned, could you DM us?",
2032411,600994,Thu Nov 02 22:06:55 +0000 2017,Thinking about ordering @CarlsJr for dinner tonight. What should I get? 🤖 #AskRandomizer,2032409,CarlsJr,Thu Nov 02 23:15:29 +0000 2017,@600994 WHAT A DAY! RANDOMIZER SENT YOU A RESPONSE! TYPING IN ALL CAPS IS LIKE YELLING WITH YOUR FINGERS! #AskRandomizer https://t.co/qpiLYPq7nq,2032410
2032413,600995,Thu Nov 02 20:50:21 +0000 2017,Does the tomato go above or below the hamburger patty? @CarlsJr #AskRandomizer,2032412,CarlsJr,Thu Nov 02 22:54:32 +0000 2017,@600995 Randomizer decided your question needed answering. It's only Thursday but you should feel weekend excited RN. #AskRandomizer https://t.co/KARGAlZG8O,
2032416,600996,Thu Nov 02 21:06:16 +0000 2017,@CarlsJr Whats the best burger ever? #AskRandomizer,2032415,CarlsJr,Thu Nov 02 22:52:51 +0000 2017,@600996 The Taco Randomizer's programming has calculated the answer to your question. #AskRandomizer https://t.co/M42PDvkDuo,
2032419,600997,Thu Nov 02 20:18:02 +0000 2017,@CarlsJr I have a question.. can you send me some food? Nearest location is over 150 miles away.. #desperate #AskRandomizer,2032417,CarlsJr,Thu Nov 02 22:30:23 +0000 2017,@600997 Great news! Your question has been deemed worthy of answering by an 80's style talking taco robot. #AskRandomizer https://t.co/8znN2ikzJE,2032418
2032422,600998,Thu Nov 02 19:55:13 +0000 2017,Hey @CarlsJr may I have a free burger today the best burgers I’ve tried in a while #AskRandomizer,2032420,CarlsJr,Thu Nov 02 22:24:56 +0000 2017,@600998 Tomorrow morning you'll wake up as the girl who got their question answered by a robot. Tell the world! #AskRandomizer https://t.co/SCn2UtOMeZ,2032421
2032424,600999,Thu Nov 02 18:13:20 +0000 2017,@601000 @CarlsJr How much would a double cheeseburger weigh in space?,2032423,CarlsJr,Thu Nov 02 22:14:48 +0000 2017,@600999 @601000 Mount Rushmore. Pumpkin. 83. Those are all random answers. Here is another one. #AskRandomizer https://t.co/uz63RAInAA,
2032444,601001,Thu Nov 02 19:44:17 +0000 2017,Why doesmt my mom love me. #AskRandomizer https://t.co/EgBooE4B3T,2032443,CarlsJr,Thu Nov 02 22:04:25 +0000 2017,@601001 Ask and you shall receive a twitter message from a talking robot. #AskRandomizer https://t.co/obFzAcg9xW,
2032446,601002,Thu Nov 02 19:10:39 +0000 2017,@CarlsJr Where did your amazing soft cookies go? They were the best! #AskRandomizer,2032445,CarlsJr,Thu Nov 02 22:02:08 +0000 2017,@601002 A robot that makes random tacos has decided to answer your question because Internet. #AskRandomizer https://t.co/0ZpzyUZgOn,
2032450,601010,Thu Nov 02 17:49:19 +0000 2017,@CarlsJr Which is better: Onion rings or CrissCuts? #AskRandomizer,2032472,CarlsJr,Thu Nov 02 18:39:20 +0000 2017,"@601010 Literally billions of people have tweeted out questions, and you, lucky Twitter user, have received an answer. #AskRandomizer https://t.co/ORoPKzGk93",
2032455,601003,Thu Nov 02 18:33:37 +0000 2017,"Whats my favorite color? :)
#AskRandomizer",2032454,CarlsJr,Thu Nov 02 21:09:37 +0000 2017,"@601003 Feel free to put ""Got a personal video from a handsome robot"" on your resume. But don't list me as a reference. #AskRandomizer https://t.co/n1KAvYWBFz",
2032457,601004,Thu Nov 02 19:50:28 +0000 2017,"#AskRandomizer Halloween or #DiaDeMuertosMexico ?
https://t.co/TMlzi2yha0",2032456,CarlsJr,Thu Nov 02 20:46:06 +0000 2017,"@601004 When you repost this on Facebook, try not to bring up politics. It's never a good idea. #AskRandomizer https://t.co/ZUPARbnMFN",
2032459,601005,Thu Nov 02 18:39:13 +0000 2017,What should I eat at the Jr? #AskRandomizer https://t.co/oz6dvgpamY,2032458,CarlsJr,Thu Nov 02 19:54:17 +0000 2017,@601005 The Taco Randomizer's programming has calculated the answer to your question. #AskRandomizer https://t.co/px9WErdwQl,
