customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000730,356921,Sun Oct 22 17:28:09 +0000 2017,"@ChipotleTweets sweet, what's happenin Gabe? I need a new Twitter name/Handle. I was thinking ""Swamp Donkey"", that cool?",1000732,ChipotleTweets,Sun Oct 22 17:57:49 +0000 2017,"@356921 Just kickin' it. Eh, it's alright. I'd give it a solid 6 on a scale of 1-10. -Gabe",1000733
1000731,356921,Sun Oct 22 17:21:46 +0000 2017,@ChipotleTweets is this Becky,1000729,ChipotleTweets,Sun Oct 22 17:26:28 +0000 2017,"@356921 Nah, Becky is off doing something cool. It's Sunday Funday. -Gabe",1000730
1000733,356921,Sun Oct 22 17:59:10 +0000 2017,"@ChipotleTweets I thank you for the honesty, Gabe. I will brainstorm a few others then ask your feedback on them",1000734,ChipotleTweets,Sun Oct 22 18:09:30 +0000 2017,@356921 You got it. -Gabe,
1000737,260190,Sun Oct 22 17:27:14 +0000 2017,@ChipotleTweets Free quac,1011928,ChipotleTweets,Sun Oct 22 17:48:29 +0000 2017,@260190 What's quac? -Gabe,1011929
1000740,359658,Sun Oct 22 17:39:12 +0000 2017,@ChipotleTweets This always my order,1012780,ChipotleTweets,Sun Oct 22 18:00:31 +0000 2017,"@359658 Same, dude. -Gabe",
1000741,169623,Sun Oct 22 17:30:11 +0000 2017,"@ChipotleTweets Brown rice, triple fajitas, pico with 2 guacs chios and a Pibb Xtra. That's my fantasy Chipotle team.",1011924,ChipotleTweets,Sun Oct 22 17:58:30 +0000 2017,@169623 Pibb is a sleeper. -Gabe,
1000744,359269,Sun Oct 22 20:54:40 +0000 2017,@ChipotleTweets You won this time @ChipotleTweets #YouWinEverytimeActually https://t.co/pzx5rSStgF,1011239,ChipotleTweets,Sun Oct 22 21:07:28 +0000 2017,@359269 One tally in the victory column. Too bad you can't select us in your fantasy sports league. -Shawn,
1000752,374678,Mon Oct 23 19:31:57 +0000 2017,@ChipotleTweets Y’all make me hungry too much,1079692,ChipotleTweets,Mon Oct 23 19:35:19 +0000 2017,@374678 Sorry 'bout it. -James,
1000753,376495,Mon Oct 23 18:35:07 +0000 2017,@ChipotleTweets I HATE black beans &gt;:(,1087304,ChipotleTweets,Mon Oct 23 18:39:04 +0000 2017,"@376495 Lucky we serve pinto beans, too. -James",1087305
1000754,379622,Mon Oct 23 22:22:00 +0000 2017,@ChipotleTweets Can you sponsor me? I’ll tell some friends about how good your food is and in return you give me money.,1100384,ChipotleTweets,Mon Oct 23 22:31:31 +0000 2017,"@379622 That'd be the life, huh? -Tara",
1000756,358042,Sun Oct 22 18:49:23 +0000 2017,@ChipotleTweets Do you mean gristle and fat in every bite of steak? Not sure what's up but your meat has been lacking lately! #thatswhatshesaid,1005680,ChipotleTweets,Sun Oct 22 19:21:29 +0000 2017,@358042 I'm sorry to hear that. Please let a manager know next time you're in or write us with details at https://t.co/nrhUDiEk7G.,1005681
1000758,335524,Mon Oct 23 21:58:59 +0000 2017,"@ChipotleTweets Brown rice, black beans, fajita veggies, steak, mild, medium, and hot salsa (corn salsa is for noobs), queso, and guac. #FullyLoaded",1098410,ChipotleTweets,Mon Oct 23 22:11:28 +0000 2017,@335524 Fully loaded is right. -Tara,
1000760,356922,Sun Oct 22 17:19:36 +0000 2017,@ChipotleTweets fix your servings because your employees act like their life depends on if they give you more or not.,1000759,ChipotleTweets,Sun Oct 22 17:25:44 +0000 2017,@356922 I'm sorry you ran into trouble. Please share details with us at https://t.co/nrhUDiEk7G. -Gabe,
1000762,356923,Sun Oct 22 17:17:36 +0000 2017,Where to eat? @ChipotleTweets or @118625 ? Help!,1000761,ChipotleTweets,Sun Oct 22 17:19:30 +0000 2017,@356923 How about a burrito for lunch and tacos for an afternoon snack? -Gabe,
1000765,356924,Sun Oct 22 19:23:41 +0000 2017,"@ChipotleTweets Done. Thanks for the quick response, Gabe.",1000767,ChipotleTweets,Sun Oct 22 19:46:00 +0000 2017,@356924 You're welcome. -Gabe,
1000766,356924,Sun Oct 22 17:14:36 +0000 2017,"@ChipotleTweets Tried your queso and I hope it’s a bad batch because it’s terrible. Grainy, bland. Served with stale, soggy chips too.",1000764,ChipotleTweets,Sun Oct 22 17:18:50 +0000 2017,@356924 I'm sorry to hear that. Share details with our CS team so we can follow up more appropriately: https://t.co/nrhUDiEk7G -Gabe,1000765
10010,117861,Wed Nov 01 00:04:32 +0000 2017,breaks my heart that I cannot be at $3 @ChipotleTweets day,10009,ChipotleTweets,Wed Nov 01 00:19:56 +0000 2017,"@117861 It breaks mine, too. Where will you be? -Becky",
10012,117862,Wed Nov 01 00:04:22 +0000 2017,Just got a burrito from @ChipotleTweets for $3. Haha 😛😛,10011,ChipotleTweets,Wed Nov 01 00:19:56 +0000 2017,@117862 Thanks for stopping by! -Becky,
10014,117863,Wed Nov 01 00:54:54 +0000 2017,@ChipotleTweets a Becky with the good hair,10016,ChipotleTweets,Wed Nov 01 01:13:55 +0000 2017,@117863 I see what you did there... -Becky,
10015,117863,Wed Nov 01 00:03:37 +0000 2017,I am here for all of the half-ass costumes at @ChipotleTweets for half-price boo-ritos,10013,ChipotleTweets,Wed Nov 01 00:19:26 +0000 2017,@117863 What's been the best one you've seen? -Becky,10014
1001733,309983,Sun Oct 22 17:23:43 +0000 2017,"Between the message and the spelling, this is the worst day of my life @ChipotleTweets https://t.co/Jn4HTRgG5F",1001732,ChipotleTweets,Sun Oct 22 17:31:00 +0000 2017,@309983 I'm sorry for the trouble. We're following up on this right now. -Gabe,
