customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000786,356932,Sun Oct 22 17:17:20 +0000 2017,Why do cable boxes not have buttons 2 manually change the channel now days? Lost my remote &amp; stuck on 1 channel during NFL Sunday🙄 @116021,1000783,CoxHelp,Sun Oct 22 17:28:22 +0000 2017,@356932 You can pickup a replacement Cox Universal remote from a Cox Solution Store for $20. https://t.co/feWaMrc183 map of stores.-Dustin,"1000784,1000785"
1000788,356933,Sun Oct 22 17:05:38 +0000 2017,@116021 thanks once again for a weather outage for the Saints kickoff. And you say Dish is unreliable. #coxstinks #unplug,1000787,CoxHelp,Sun Oct 22 17:20:43 +0000 2017,@356933  We can look into this for you. Please DM your full address. -Brenda,
1000900,314692,Thu Oct 12 03:20:11 +0000 2017,@116021 you guys are the absolute worst!! I haven't had cable in 5 years. I give it a try to watch hockey and you screw that up! YOU SUCK!,1000899,CoxHelp,Thu Oct 12 05:04:21 +0000 2017,"@314692 Hello, this does not sound good.  Can you DM us with the account name and full service address. We would like to help. -Dan",
1001804,357145,Thu Oct 12 03:49:55 +0000 2017,@CoxHelp why isn’t my service working,1001803,CoxHelp,Thu Oct 12 05:53:32 +0000 2017,"@357145 Mikel, I can help! I can check for outages in your area. Please DM your full address. Thanks -Karen",
1001806,357146,Thu Oct 12 04:23:01 +0000 2017,@CoxHelp internet outage in 23188/23168?,1001805,CoxHelp,Thu Oct 12 05:46:14 +0000 2017,"@357146 Hi Rasheed, we can check. DM us your full address.  -Dee https://t.co/ovAKPb0TYC",
1003710,357570,Thu Oct 12 06:24:14 +0000 2017,@116021 appreciate you guys doing maintenance with no ETA on bring back up. Cool.,1003709,CoxHelp,Thu Oct 12 07:17:06 +0000 2017,"@357570 Hi Tyler, I can look into this for you. DM us the full service address.  -Dee https://t.co/ovAKPb0TYC",
1004175,357679,Sun Oct 22 14:36:23 +0000 2017,"@357680 I would love to watch OANN, but @116021 won't put it in their line up.",1004174,CoxHelp,Sun Oct 22 15:03:32 +0000 2017,"@357679 Hey, we can put in a channel request 4 u. Pls DM ur address.  -Shariel",
1005769,358055,Sun Oct 22 19:21:33 +0000 2017,"and we don't watch @136083 much anymore either. Wish @116021 would
bring @121151 to Phoenix. https://t.co/X9pwyKDaGV",1005768,CoxHelp,Sun Oct 22 19:28:29 +0000 2017,@358055  Please share your address in a dm so that we can submit a channel request.  -Latitia,
1005775,352244,Sun Oct 22 19:15:12 +0000 2017,@CoxHelp i can’t even play a game properly without lag lol what the fuck,1005774,CoxHelp,Sun Oct 22 19:26:44 +0000 2017,@352244 Please share your address in a dm.  I can check the modem for any packet loss.  -Latitia,
1005777,352244,Sun Oct 22 18:46:17 +0000 2017,@CoxHelp around 40 Mbps (download) and now i don’t,1005776,CoxHelp,Sun Oct 22 19:10:02 +0000 2017,@352244 Seems like you are getting the correct speeds. You have the essential internet package which you get up to 15 Mbps down / 2 Mbps up.   -Dee,1005775
