customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000070,356763,Fri Nov 03 22:19:30 +0000 2017,@Delta Your #CX agent is a great compliment to you! Gate agent just as great. #OnlyDelta for me from now on.,1000069,Delta,Fri Nov 03 22:45:02 +0000 2017,"@356763 Hi, Jace. Thx for publicly complimenting our coworkers. It's comforting to hear such wonderful accolades. We're proud of them too. *HJH",
1000072,356763,Fri Nov 03 21:59:10 +0000 2017,Just had an amazing #CX experience with @Delta for nearly 3 hours here on Twitter through DM. Job well done.,1000071,Delta,Fri Nov 03 22:17:56 +0000 2017,@356763 Your satisfaction is a great compliment to us. *AFC,1000070
1000096,356772,Sat Oct 14 11:47:43 +0000 2017,@DELTA the agent I spoke with never sent my reset email so I cannot use the Delta App. Please resend to email address on file.,1000095,Delta,Sat Oct 14 13:18:49 +0000 2017,"@356772 Hi, Victoria. Please DM your SkyMiles number. I'll be happy to help.  *TJH https://t.co/6iDGBJAc2m",
1000106,356775,Fri Nov 03 22:34:21 +0000 2017,@Delta I've flown u 6 times in the last month &amp; had delays 4 times.  Twice because of a lack of flight attendants. U're not doing it right.,1000105,Delta,Fri Nov 03 22:51:06 +0000 2017,"@356775 We are continuously striving to provide the best service, thank you for sharing your feedback. We are a tweet away if you need us. *AFC",
1000106,356775,Fri Nov 03 22:34:21 +0000 2017,@Delta I've flown u 6 times in the last month &amp; had delays 4 times.  Twice because of a lack of flight attendants. U're not doing it right.,1000107,Delta,Fri Nov 03 22:50:45 +0000 2017,"@356775 Delays are never a part of our plan, and we regret the frustration we've caused you.  *AFC",
1000227,325994,Fri Nov 03 22:45:59 +0000 2017,@Delta I️ had the BEST customer experience from Felecia at T40 in JFK 🙌🏿,1000226,Delta,Fri Nov 03 22:51:16 +0000 2017,@325994 Thanks for recognizing Felecia. We're proud of our gate agents too. Every day our team is working to make flying with us better! 😃 *TMB,
1000271,356816,Wed Oct 11 14:54:09 +0000 2017,.@delta $4.2 billion and y'all still managed to break the handle off my bag. Smh... https://t.co/ag9ucSEzxn,1000272,Delta,Thu Oct 12 05:05:02 +0000 2017,"@356816 Hello Chad, Please accept our sincerest apology for your experience. It is never our goal to disappoint or dissatisfy our customers.  *HCK",
1000271,356816,Wed Oct 11 14:54:09 +0000 2017,.@delta $4.2 billion and y'all still managed to break the handle off my bag. Smh... https://t.co/ag9ucSEzxn,1000273,Delta,Thu Oct 12 05:05:14 +0000 2017,@356816 They're available daily 7:00 am - 3:00 am EST. Please let us know if we can further assist you. Thanks for choosing Delta.   *HCK,
1000271,356816,Wed Oct 11 14:54:09 +0000 2017,.@delta $4.2 billion and y'all still managed to break the handle off my bag. Smh... https://t.co/ag9ucSEzxn,1000270,Delta,Thu Oct 12 05:05:10 +0000 2017,@356816 Were you able to file a complaint with our Baggage Service Team. If not you may contact them at (800) 325 8224.  *HCK,
1000358,356833,Sun Oct 22 17:35:45 +0000 2017,@Delta what if I have 2 laptops?,1000360,Delta,Sun Oct 22 17:43:11 +0000 2017,@356833 If they fit in the same bag you will not have any problem.  *AOS,
1000359,356833,Sun Oct 22 16:51:13 +0000 2017,"Hi @Delta l,want to put my laptop in check in luggage, is it ok, or I should remove battery first?",1000361,Delta,Sun Oct 22 17:24:30 +0000 2017,@356833 Hello! please give me a moment to review.  *HKS,
1000359,356833,Sun Oct 22 16:51:13 +0000 2017,"Hi @Delta l,want to put my laptop in check in luggage, is it ok, or I should remove battery first?",1000362,Delta,Sun Oct 22 17:28:09 +0000 2017,"@356833 Thank you for your patience. Please see the following: Computers, Computers or computer-related equipment are not allowed (cont...) *HKS",
1000359,356833,Sun Oct 22 16:51:13 +0000 2017,"Hi @Delta l,want to put my laptop in check in luggage, is it ok, or I should remove battery first?",1000357,Delta,Sun Oct 22 17:28:16 +0000 2017,"@356833 as checked baggage. You can, of course, bring your laptop computers as carry-on.  *HKS",1000358
1000364,141424,Sun Oct 22 16:44:50 +0000 2017,@Delta check DM please,1000363,Delta,Sun Oct 22 17:27:44 +0000 2017,"@141424 Hi , can you please DM me your skymiles number so I can furhter assist you? *TMC https://t.co/6iDGBJAc2m",
1000366,300808,Sun Oct 22 17:01:59 +0000 2017,"Thanks @Delta for your amazing support of @10927. We just donated on board and your match, with AMEX, amounted to $9,600. Amazing.",1000365,Delta,Sun Oct 22 17:27:19 +0000 2017,"@300808 Andy, thank you for supporting an end to breast cancer with your donation! *TBW",
