customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000451,356845,Fri Nov 17 18:40:34 +0000 2017,@DropboxSupport i want one of my files to be accessible by a Netherlands resident,1000450,DropboxSupport,Mon Nov 20 14:27:36 +0000 2017,"@356845 Hi Earl, you can share a file, or share a link to a file using the steps in the following article: https://t.co/EQNBI73LUd. Hope this helps!",
1000453,356846,Fri Nov 17 18:18:06 +0000 2017,@DropboxSupport I need to know how to sync two separate dropbox accounts to my computer. Or if this is possible.,1000452,DropboxSupport,Mon Nov 20 14:26:49 +0000 2017,"@356846 Hey Rebecca, luckily it's possible! You can follow these steps to connect your accounts online: https://t.co/KbgTIQutWF &amp; across devices: https://t.co/Ptuxsk9cF8. Let us know if you need further assistance &amp; we’ll do our best to follow-up. Happy Monday!",
1000455,356847,Sun Nov 19 17:55:03 +0000 2017,"Thanks, for the tips and timely responses, @DropboxSupport. Played around with it and I think I’m  back on track for easy public sharing. Thank you. 👍🏼 https://t.co/EgToyS3CQw",1000454,DropboxSupport,Mon Nov 20 14:25:54 +0000 2017,"@356847 Hi there, glad to hear you have sorted things out! Feel free to reach back should you need anything else! Take care!",
1000471,57203,Mon Nov 20 13:26:25 +0000 2017,oh do fuck off @118189 - why is there no 'don't show me around I want my files' button here https://t.co/BlO3W04YdS,1000470,DropboxSupport,Mon Nov 20 14:24:12 +0000 2017,"@57203 Hi Kevin, we appreciate your feedback on this matter and will let our team know in future regarding offering an option to cancel this display. Have a great week ahead!",
1000473,356849,Mon Nov 20 11:44:09 +0000 2017,@356850 @118189 Muchas gracias por compartir cracks,1000472,DropboxSupport,Mon Nov 20 14:15:03 +0000 2017,"@356849 Hi there, could you let us know more details about these cracks? If they’re referring to illegal content and stored on Dropbox, please forward any details to __email__ for our team to investigate further, thanks!",
1000476,356851,Fri Nov 17 17:36:35 +0000 2017,@DropboxSupport I'm dumb and never log out of my account. I got logged out and now I can't remember which email I used to originally log into my account with. Can you help me figure that out?,1000475,DropboxSupport,Mon Nov 20 14:00:14 +0000 2017,"@356851 ...team may be able to help through our support platform. You can submit a support ticket here https://t.co/aixbBeAWNx, and an agent will be happy to investigate. Thanks! 2/2",
1000476,356851,Fri Nov 17 17:36:35 +0000 2017,@DropboxSupport I'm dumb and never log out of my account. I got logged out and now I can't remember which email I used to originally log into my account with. Can you help me figure that out?,1000477,DropboxSupport,Mon Nov 20 14:00:13 +0000 2017,"@356851 Oops! Justin, you can attempt to log in using your different email addresses, until one works 😉. If you don’t remember your password, you can also click on Forgot your password, and a reset email will be sent to you at that email address. If this is a paid account, our... 1/2",
1000497,356858,Fri Nov 17 16:59:14 +0000 2017,"@DropboxSupport Ok, thanks for the response!",1000495,DropboxSupport,Mon Nov 20 13:34:08 +0000 2017,"@356858 Anytime, Joni. Have a great week ahead 🙂",1000496
1000499,356858,Thu Nov 16 20:21:41 +0000 2017,@DropboxSupport I love Paper but can't use it for most of my projects because I absolutely cannot let people to comment the doc. Is there any way to disable comments? Even in Plus/Professional? I'd even love to pay for that. As a student I'd appreciate if Plus had that feature.,1000498,DropboxSupport,Fri Nov 17 15:57:05 +0000 2017,"@356858 Hi Joni, currently it isn’t possible to disable commenting on Paper docs. We can forward this request to our dev team to see if this is something they can add to the pipeline for improving our services!",1000497
1000501,356859,Fri Nov 17 16:34:06 +0000 2017,"@DropboxSupport still getting ""iphone locked cannot download photos ""messages from iphone5 &amp; ios11.1. Is this ever going to get fixed??",1000500,DropboxSupport,Mon Nov 20 13:33:51 +0000 2017,"@356859 Hey David, have you downloaded the latest Dropbox mobile version (72.2.2)? Could you DM us a screenshot (omitting personal info) of what you’re seeing, so as to check the case together? Thanks in advance &amp; we're looking forward to your next reply!",
1000504,356860,Fri Nov 17 16:47:47 +0000 2017,"@DropboxSupport 
For some reason, some mysterious files were uploaded to our receipts folder at 10:59AM and 11:00 AM, under my account, today. They all start with the name ""#photos-3"" and are URL files that don't load anything. Was my account hacked? Is this a Drop Box error?",1000503,DropboxSupport,Mon Nov 20 13:30:21 +0000 2017,"@356860 Hi Seth, thanks for reaching out about this. It sounds like an issue that needs to be further investigated by our team at https://t.co/iIc938jY1e. Please let them know and if you want, DM us the ticket ID so we can follow up on the case. Thanks!",
