customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1015180,360186,Sun Oct 08 11:26:02 +0000 2017,"While at LAX awaiting our flight, my sister was trying to ask a question at the @DunkinDonuts shop but she was treated very rudely. So sad!",1015179,DunkinDonuts,Thu Oct 12 11:57:00 +0000 2017,@360186 Sorry to hear this! Please have your sister email us through the Contact Us page on https://t.co/h4wXQcOIzc so we can help!,
1046004,367283,Sat Oct 14 16:55:57 +0000 2017,All of my teeth fell out @DunkinDonuts thanks for your GREAT FOOD. I HAVE ONE TOOTH in the front and that’s IT! #tooth am I right.,1046003,DunkinDonuts,Sat Oct 14 17:50:30 +0000 2017,@367283 Hi! Can you please message us so we can get more information? Thanks!,
1072299,373036,Fri Oct 13 09:43:32 +0000 2017,It's friday and my mission today is to spoil myself with a box of @DunkinDonuts 🍩🍩,1072298,DunkinDonuts,Fri Oct 13 11:06:32 +0000 2017,@373036 Happy Friday!! 🍩,
1076130,373918,Mon Oct 16 13:16:17 +0000 2017,"@DunkinDonuts I paid for a bacon, egg and cheese croissant but got a damn muffin?! Who can I complain to at your Totowa NJ location?",1076128,DunkinDonuts,Mon Oct 23 16:03:44 +0000 2017,@373918 sorry to hear about that. Plz DM us so we can assist.,1076129
1076132,373919,Mon Oct 16 13:22:27 +0000 2017,Hey @DunkinDonuts why is this egg green? 😷🤢 happy Monday! https://t.co/UpppyUyvN8,1076131,DunkinDonuts,Mon Oct 23 16:02:42 +0000 2017,@373919 Sorry to hear about this. Please DM us so we can assist.,
1076134,373920,Mon Oct 16 14:13:49 +0000 2017,@DunkinDonuts hi I just bit into my bagel &amp; there was tin foil mixed into the cream cheese &amp; I wanna cry https://t.co/b9H2YNRb64,1076133,DunkinDonuts,Mon Oct 23 16:02:01 +0000 2017,"@373920 Very sorry to hear about this. Please DM us so we can assist,",
1076137,373921,Mon Oct 16 21:51:37 +0000 2017,Thanks @DunkinDonuts for giving me 1/2 a tea!! https://t.co/z1EjaFE1bn,1076135,DunkinDonuts,Mon Oct 23 16:00:38 +0000 2017,@373921 We want your DD trips to be awesome. We do apologize for any inconvenience! ^GS,1076136
1076141,373922,Sat Oct 21 15:26:57 +0000 2017,@DunkinDonuts Fix your customer service. Super disappointed this morning!,1076140,DunkinDonuts,Mon Oct 23 15:05:01 +0000 2017,@373922 Sry to hear this! Plz DM us so we can make this right! ^GS,
1076143,373923,Wed Oct 18 21:32:26 +0000 2017,@DunkinDonuts: Every time the Lightning play here in Tampa we get $1 coffee. App doesn’t work most of the time and I feel cheated. Very mad,1076142,DunkinDonuts,Mon Oct 23 14:27:00 +0000 2017,@373923 Hi Laura! Please DM us your perks email so we can take a look. Thank you!,
1076146,373924,Wed Oct 18 21:13:58 +0000 2017,Hey @DunkinDonuts how am I supposed to get my double points when my app didn’t work earlier?,1076145,DunkinDonuts,Mon Oct 23 14:26:00 +0000 2017,@373924 Hi Matt! Please DM us your perks email so we can help. Thanks!,
1076149,373925,Wed Oct 18 14:42:56 +0000 2017,Can someone @DunkinDonuts PLEASE put everything bagels in the on the go ordering! #PleaseHelp,1076147,DunkinDonuts,Mon Oct 23 14:11:33 +0000 2017,@373925 We will be happy to share this feedback!,1076148
1076153,373927,Wed Oct 18 14:12:28 +0000 2017,@DunkinDonuts can I get help with my DD card. It says it’s not active but I’ve been charged. 😫,1076151,DunkinDonuts,Mon Oct 23 14:08:52 +0000 2017,@373927 We would be happy to help with this! Please DM us your perks email so we can take a look. Thanks!,1076152
1076161,373929,Wed Oct 18 13:54:53 +0000 2017,@DunkinDonuts your app is not working today so now i cant get my points 😣😤🍩🍵 please fix!!! https://t.co/jKSuhWUPyj,1076160,DunkinDonuts,Mon Oct 23 14:06:33 +0000 2017,@373929 Hi there! Please DM us your perks email so we can help. Thanks!,
1076163,373930,Sat Oct 21 15:03:59 +0000 2017,@DunkinDonuts not cool that your machines are down. Was so looking forward to having a frozen pumpkin coffee today. #dunkindonuts #pumpkin,1076162,DunkinDonuts,Mon Oct 23 13:54:01 +0000 2017,@373930 We want your DD trips to be awesome. We do apologize for any inconvenience! ^GS,
1076165,373931,Sat Oct 21 14:24:58 +0000 2017,"The worst @DunkinDonuts Busy St Midlothian Va cars loosing LOTS of business! Rude, dirty, non existent cust. srvc customers leaving the stor",1076164,DunkinDonuts,Mon Oct 23 13:51:00 +0000 2017,@373931 Sry to hear this! Plz DM us so we can get more info! ^GS,
1076167,373932,Mon Oct 23 12:57:25 +0000 2017,Parenting win! Crazy hair day at school for Kaelyn! #dunkin @DunkinDonuts https://t.co/Gu9UA1PXyt,1076166,DunkinDonuts,Mon Oct 23 13:45:00 +0000 2017,@373932 This is awesome!! Thanks for sharing! 🍩,
1076169,373933,Mon Oct 23 12:06:36 +0000 2017,Best way to start the week with a burnt bagel.. thanks @DunkinDonuts https://t.co/yOQ1D0XqTT,1076168,DunkinDonuts,Mon Oct 23 13:43:28 +0000 2017,@373933 Oh no! Sry to hear this! Plz DM us so we can make this right! ^GS,
1076171,373934,Sat Oct 21 11:11:27 +0000 2017,@DunkinDonuts Really?!? Does America run on BURNT bagels?? &amp; someone thought that this was acceptable... #dunkindonuts #dunkinburntbagels https://t.co/eWYrstOCC5,1076170,DunkinDonuts,Mon Oct 23 12:45:01 +0000 2017,@373934 Sry to hear this! Plz DM us your email address so we can assist. Thx! ^GS,
1076173,373935,Sat Oct 21 13:33:10 +0000 2017,When you order a box of jelly munchkins and they give you PUMPKIN SPICE instead. 😤 #morningruined @DunkinDonuts,1076172,DunkinDonuts,Mon Oct 23 12:43:00 +0000 2017,@373935 Sry to hear this! Plz DM us so we can assist! ^GS,
1076175,373936,Sat Oct 21 12:04:44 +0000 2017,"Hey @DunkinDonuts, 3rd day in a row at 3 seperate stores the Drive-Thru has messed up my coffee order. Come on now.",1076174,DunkinDonuts,Mon Oct 23 12:34:30 +0000 2017,@373936 Oh no! Sry to hear this! Plz DM us so we can make this right! ^GS,
1076182,373939,Sat Oct 21 11:54:30 +0000 2017,@DunkinDonuts im officially done with you 4 times this week you messed up my coffee order,1076181,DunkinDonuts,Mon Oct 23 12:29:00 +0000 2017,@373939 Oh no! Sry to hear this! Plz DM us so we can make this right! ^GS,
