customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000277,356819,Mon Nov 20 14:36:05 +0000 2017,@GloCare I went to retrieve my sim today and the registration agent there informed me that it had been registered under another name. A Yoruba man that I recognized as the as the registration agent I went to back in 2015.,1000279,GloCare,Mon Nov 20 14:47:18 +0000 2017,"@356819 The reason is that the sim was not registered at our office. For this to be rectified,you will have to visit our Gloworld outlet with a sworn affidavit ,so it will be changed to your name.CA",1000280
1000278,356819,Mon Nov 20 14:02:34 +0000 2017,@GloCare Hello Good afternoon. My phone was stolen so I tried to retrieve my sim. Only for me to find out today that one of your attendants at a sim registration centre at Ajah registered my sim in his name. IN HIS NAME!,1000276,GloCare,Mon Nov 20 14:27:45 +0000 2017,"@356819 Kindly confirm also,how you found out the sim was registered in the sim registration agent's name. CA",1000277
1000280,356819,Mon Nov 20 14:48:41 +0000 2017,"@GloCare A sworn Affidavit. That's all i require to change the name and retrieve my sim, right?",1000281,GloCare,Mon Nov 20 14:57:02 +0000 2017,@356819 ...and a valid ID card. CA,1000282
1000282,356819,Mon Nov 20 15:16:49 +0000 2017,@GloCare Does a school ID card count? It's government issued so. Does it count?,1000283,GloCare,Mon Nov 20 15:34:17 +0000 2017,"@356819 No it doesn't. You need a Drivers license, or National ID (new),or e-passport. CA",
1000284,356819,Mon Nov 20 14:05:31 +0000 2017,"@GloCare You guys should seriously look into this. It doesn't make sense. It's unethical, unprofessional and down right stupid.That number was connected to EVERYTHING. Do you have any idea how much stress have to start going through to start changing everything to new number?",1000285,GloCare,Mon Nov 20 14:26:14 +0000 2017,"@356819 May we have the number in question,the name of the original owner,and when the sim was misplaced.",1000286
1000299,356820,Mon Nov 20 14:01:55 +0000 2017,@glocare I have my glo when I inserted to my 4Glte phone Pantech adr8995vw there is no network but shows that this sim card is from unknown secure,1000298,GloCare,Mon Nov 20 14:21:26 +0000 2017,"@356820 We kindly request you explain more,so we may be able to respond appropriately. CA",
1000301,356821,Mon Nov 20 14:21:04 +0000 2017,@GloCare @117627 I have 3G for now and not the regular GSM. Please can't I have LTE?,1000303,GloCare,Mon Nov 20 14:31:45 +0000 2017,"@356821 @117627 It depends on your location,for now. Kindly confirm your exact location. CA",1000304
1000302,356821,Mon Nov 20 14:01:22 +0000 2017,I decided to join @117627 and I was eventually allowed to tweet after several tries. @GloCare please work on your internet service 🙏🏾,1000300,GloCare,Mon Nov 20 14:19:38 +0000 2017,@356821 @117627 Our sincere apologies about the issue. May we know the current status? CA,1000301
1000304,356821,Mon Nov 20 14:32:31 +0000 2017,"@GloCare @117627 NYSC Orientation Camp, Sagamu. Ogun State.",1000305,GloCare,Mon Nov 20 14:53:59 +0000 2017,"@356821 @117627 4G is not available at that location,currently. CA",1000306
1000310,356822,Mon Nov 20 13:58:28 +0000 2017,@GloCare  Hello Glo. Can you let me know why i can't make use of my Glo line no 08150836225 since last 2 weeks,1000308,GloCare,Mon Nov 20 14:09:55 +0000 2017,"@356822 May we know if the line was just purchased /replaced,and the error message you receive when trying to make calls? CA",1000309
1000313,356823,Mon Nov 20 13:55:28 +0000 2017,"@GloCare pls can you explain what those digit mean cox it has been accumulating, and if its bonus why I can't make use of it. D agents I spoke with fail to understand me. https://t.co/KlXvcJAsf1",1000311,GloCare,Mon Nov 20 14:07:35 +0000 2017,@356823 The bonus is used for Glo to Glo calls . CA,1000312
1000315,356822,Tue Nov 21 13:01:56 +0000 2017,@GloCare You can't make outgoing calls while call barring is on.,1000316,GloCare,Tue Nov 21 14:17:48 +0000 2017,@356822 Kindly call 200 or send a mail to __email__ for assistance. ET.,
1000318,356824,Mon Nov 20 14:28:20 +0000 2017,"@GloCare Nope. It's not!
I have been watching my BMC/BMD lately and I top up accordingly.
I have cleared that balance before this one...",1000320,GloCare,Mon Nov 20 14:39:23 +0000 2017,@356824 Here is the breakdown of money borrowed/recovered. CA https://t.co/LLhjpxu6ha,
1000319,356824,Mon Nov 20 13:43:56 +0000 2017,"@GloCare 
I have cleared that balance this morning when I recharged. Only for me to get another msg
Pls see attached https://t.co/Pe55CYj28Q",1000317,GloCare,Mon Nov 20 13:52:25 +0000 2017,@356824 That is for the one borrowed on 2017-11-18 at 11:26. CA,1000318
1000322,356824,Mon Nov 20 13:21:59 +0000 2017,@GloCare 08077524802,1000321,GloCare,Mon Nov 20 13:41:08 +0000 2017,@356824 You borrowed N200 on 2017-11-19 at 16:33. We were able to recover N80 on 2017 at 11-20 12:07. CA,1000319
1000324,356824,Mon Nov 20 12:50:32 +0000 2017,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check",1000323,GloCare,Mon Nov 20 13:13:59 +0000 2017,"@356824 Kindly send in your number ,for a check. CA",1000322
1000334,206557,Mon Nov 20 13:27:28 +0000 2017,Glo please check your network  @glocare,1000333,GloCare,Mon Nov 20 13:43:51 +0000 2017,@206557 May we know the issue you are encountering? CA,
1002371,357282,Sat Oct 14 12:35:16 +0000 2017,@GloCare @117627 Thanks for reaching out. Can you follow so I can DM?,1002369,GloCare,Sat Oct 14 12:37:17 +0000 2017,@357282 @117627 Please send info via DM. Thank you. SO,1002370
1002373,357282,Sat Oct 14 11:56:21 +0000 2017,I fear @GloCare. Did @117627 deduct my data balance? How come. 10gb data just vanished in 2 weeks,1002372,GloCare,Sat Oct 14 12:24:55 +0000 2017,"@357282 @117627 Good afternoon, may we have your number for clarification on the issue. Thank you. SO",1002371
1002376,357283,Sat Oct 14 12:22:06 +0000 2017,"@GloCare this handle takes ages to attend to problems now, and even calls d Customer care reps wont pick",1002375,GloCare,Sat Oct 14 12:26:10 +0000 2017,@357283 Already replied via DM. Thank you. SO,
1002378,357284,Sat Oct 14 11:53:22 +0000 2017,@GloCare How can I deactivate my caller tune,1002377,GloCare,Sat Oct 14 12:24:28 +0000 2017,"@357284 Good afternoon, please text DEREG to 7728. Thank you. SO",
1006645,358205,Thu Oct 12 08:47:23 +0000 2017,@GloCare Which LTE Bands do you network support?,1006644,GloCare,Thu Oct 12 08:54:59 +0000 2017,"@358205 Hauwie Y5ii, Y3ii, Gr, or any 4G device with band 28. Please click this link. https://t.co/l4iQT90ex4. SO",
1012859,359672,Sun Oct 22 16:58:30 +0000 2017,@GloCare plz I don't know what wrong with my Glo line I can't call out but I can receive help me out because I called you people no respond,1012858,GloCare,Sun Oct 22 17:44:46 +0000 2017,"@359672 Good evening Anigilaje. We apologize for the inconveniences. May we have your number, error message, location and landmark?",
1012861,359673,Sun Oct 22 17:47:49 +0000 2017,"@GloCare Its jst as if d line hs bn blocked. I cnt comunic8 @25740. I trust this wl b rsolvd speedily, as I am heavily reliant on my Glo line",1012863,GloCare,Sun Oct 22 18:34:24 +0000 2017,"@359673 @25740 We understand. It is being resolved. Please, exercise patience. Thank you. FA",
1012862,359673,Sun Oct 22 16:33:40 +0000 2017,"@GloCare Suddenly, I can't make calls, text or check my airtime balance. Is it going to be another week in the dark? Pls do the needful",1012860,GloCare,Sun Oct 22 17:40:36 +0000 2017,"@359673 Good evening Otexi. We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA",1012861
1012866,359674,Sun Oct 22 16:23:19 +0000 2017,@117627 @GloCare @5368 Done over and over still same story!😡😡😡😡😡😡,1012864,GloCare,Sun Oct 22 17:38:47 +0000 2017,@359674 @117627 @5368 May we have an alternate number to reach you? May we also know the error message received? FA,1012865
1012871,359674,Sun Oct 22 15:40:53 +0000 2017,"@117627 @5368 @GloCare what happen na?
Can't make calls for hours unending kilonshele gaan gan na?
Is dis how u repay loyalty?",1012870,GloCare,Sun Oct 22 16:03:15 +0000 2017,"@359674 @117627 @5368 Good evening. We apologize for the inconveniences. May we have your number, error message, location and landmark? FA",1012869
1012873,359675,Sun Oct 22 16:16:19 +0000 2017,@GloCare I can't make use my Data on this line 08075252323 please check it for me,1012872,GloCare,Sun Oct 22 17:36:57 +0000 2017,@359675 Good evening. You don't have data on your line. Kindly subscribe and browse. FA,
1016150,360435,Sun Oct 22 18:21:04 +0000 2017,What's happening... Can't make calls @glocare,1016148,GloCare,Sun Oct 22 18:39:46 +0000 2017,"@360435 Good evening. We apologize for the inconveniences. May we have your number, error message, location and landmark? FA",1016149
1016155,360437,Sun Oct 22 18:18:14 +0000 2017,@GloCare I don't know why have not been able to recharge my account,1016152,GloCare,Sun Oct 22 18:38:42 +0000 2017,"@360437 Good evening Adebayo. We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA","1016153,1016154"
1016156,360437,Sun Oct 22 21:24:39 +0000 2017,@GloCare I complained few hours ago yet my complained has not been attended to,1884710,GloCare,Mon Oct 23 07:36:25 +0000 2017,"@360437 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",
1016158,360438,Sun Oct 22 19:09:40 +0000 2017,@GloCare I know but please how can i check my balance i recharged with *323*pin# how can I  check my balance,1016160,GloCare,Mon Oct 23 07:25:16 +0000 2017,"@360438 Good morning, dial #122*30#. Thank you. SO","1016161,1016162,1016163"
1016159,360438,Sun Oct 22 18:15:54 +0000 2017,@GloCare why i can't make call with my sim any problem @44602,1016157,GloCare,Sun Oct 22 18:37:57 +0000 2017,@360438 Good evening Hussain. Your airtime balance is low. Kindly recharge your line. FA,1016158
1016163,360438,Mon Oct 23 08:24:07 +0000 2017,"@GloCare Please why i can't make call yesterday you told me that I don't have sufficient amount,  but I have been trying to recharge but still no",1016164,GloCare,Mon Oct 23 11:01:11 +0000 2017,"@360438 Hello Hussain, we apologize for the inconveniences experienced. The issue has been resolved. Please restart your device and try again. SO","1016165,1016166"
1016166,360438,Mon Oct 23 14:39:11 +0000 2017,"@GloCare I have been trying to recharge this is what you sent to me, that's why I had another alternative (mtn) what if i depend solely wiz u https://t.co/dnO4SUiR7s",1016167,GloCare,Mon Oct 23 16:04:45 +0000 2017,@360438 We sincerely apologize for any inconveniences you may have experienced. The issue has been resolved. Kindly restart your device and use. FA,1016168
1016168,360438,Tue Oct 24 18:46:41 +0000 2017,@GloCare It's happening again why i can't make call why?,1016169,GloCare,Wed Oct 25 04:31:00 +0000 2017,@360438 We sincerely apologize for the inconvenience. Kindly switch off and on your device after five minutes then try again. PE,
1016171,360439,Sun Oct 22 18:37:14 +0000 2017,@GloCare Any idea on how soon cos' I rely solely on glo and I have urgent calls to make?,1016173,GloCare,Mon Oct 23 06:28:43 +0000 2017,"@360439 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",
1016172,360439,Sun Oct 22 17:58:41 +0000 2017,@GloCare I'm having issues recharging my glo line. I need help pls,1016170,GloCare,Sun Oct 22 18:35:58 +0000 2017,"@360439 Good evening. We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA",1016171
1016177,142132,Sun Oct 22 17:48:04 +0000 2017,@GloCare  good evening have been trying to recharge my phone but network  not allowing me.  Trying 123 same thing #smh,1016175,GloCare,Sun Oct 22 18:35:33 +0000 2017,"@142132 Good evening. We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA",1016176
1016178,142132,Mon Oct 23 09:17:41 +0000 2017,@GloCare glo card I bought yesterday .. I bought another one these morning . but not going thou,1016179,GloCare,Mon Oct 23 11:13:45 +0000 2017,"@142132 Good afternoon, we apologize for the inconveniences experienced. The issue has been resolved. Please restart your device and try again. SO",
1016181,359672,Sun Oct 22 17:46:23 +0000 2017,@GloCare my line is 08057826517 from ibadan Omi adio,1016180,GloCare,Sun Oct 22 18:32:25 +0000 2017,@359672 Kindly thread the tweets for necessary assistance. FA,
1016184,360440,Sun Oct 22 17:42:19 +0000 2017,"@GloCare Three days now, no network to text, browse or make calls and you guys have done absolutely nothing abt it? Wow.. smh",1016182,GloCare,Sun Oct 22 18:31:18 +0000 2017,@360440 Good evening Oluwadamilare. We apologize for the inconveniences. May we have your number and location? FA,1016183
1016186,360441,Sun Oct 22 19:02:15 +0000 2017,@GloCare 08078989111 Sauka Airport Road . Airport,1016190,GloCare,Mon Oct 23 06:34:09 +0000 2017,"@360441 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",1016191
1016188,360441,Sun Oct 22 17:16:38 +0000 2017,@GloCare Cant seem to make calls on my glo line . So much for having one phone 😏🤦‍♂️,1016185,GloCare,Sun Oct 22 18:29:01 +0000 2017,"@360441 Good evening Iyere. May we have your cellphone number, error message, location and landmark? FA","1016186,1016187"
1016191,360441,Mon Oct 23 08:03:08 +0000 2017,@GloCare Na wa ...Since yesterday . I still can't make calls,1016192,GloCare,Mon Oct 23 10:43:01 +0000 2017,"@360441 Hello Iyere, we apologize for the inconveniences experienced. The issue has been resolved. Please restart your device and try again. SO",1016193
1016194,360441,Tue Oct 24 18:06:55 +0000 2017,@GloCare And again I can't make calls . The same exact problem you worked on . 08078989111 NSCDC NHQ Sauka Airport Road Abuja . Airport,1016195,GloCare,Wed Oct 25 04:18:41 +0000 2017,@360441 We sincerely apologize for the inconvenience. Kindly switch off and on your device after five minutes then try again. PE,
1016198,360442,Sun Oct 22 18:31:56 +0000 2017,@GloCare 08156294824,1016200,GloCare,Mon Oct 23 06:28:06 +0000 2017,"@360442 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO","1016201,1016202,1016203"
