customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000879,356957,Sun Oct 22 12:07:33 +0000 2017,@116068 hi do you have an email address that I can email my query to please? A UK one.,1000878,GoDaddyHelp,Sun Oct 22 17:28:38 +0000 2017,"@356957 If you're unable to call, you're welcome to try chat Mon-Fri 5AM - 6PM (UTC-7) through our US help page. ^CG",
1000879,356957,Sun Oct 22 12:07:33 +0000 2017,@116068 hi do you have an email address that I can email my query to please? A UK one.,1000880,GoDaddyHelp,Sun Oct 22 17:28:10 +0000 2017,@356957 We don't offer email as we've transitioned to live support. The best number to call will be listed at https://t.co/vomwiVNC9j.,
1000882,356958,Sun Oct 22 11:25:04 +0000 2017,@116068 @godaddyhelp How come you are preventing me from transferring my domain away from you? (https://t.co/rXNuX4aVpJ) https://t.co/VuvGV3VBfk,1000881,GoDaddyHelp,Sun Oct 22 17:24:03 +0000 2017,"@356958 Since this is a .UK domain, you'll need to reach out to our live support at https://t.co/vomwiVNC9j so they can assist further. ^CG",
1000884,181097,Sun Oct 22 17:18:35 +0000 2017,"@GoDaddyHelp NO issue right now, but site dramatically goes down for half an hour everyday",1000886,GoDaddyHelp,Mon Oct 23 13:51:25 +0000 2017,"@181097 If the issue is intermittent, I suggest calling Support while the issue is occurring so it can be reviewed in detail. ^G",
1000885,181097,Sun Oct 22 11:07:11 +0000 2017,@GoDaddyHelp what the hell you offering after getting paid for hosting? Worst.. terrible. Site down once again. https://t.co/WIdKIEKV20,1000883,GoDaddyHelp,Sun Oct 22 17:17:29 +0000 2017,@181097 Not seeing any issue w/ the site from here. Did you still need help with your account? ^CG,1000884
1000888,356959,Sun Oct 22 16:47:25 +0000 2017,"Hilarious: #Godaddy is down:  ""You don't have permission to access ""https://t.co/jQfF2j7KTX"" on this server.""  #serverfail #fail #failure",1000887,GoDaddyHelp,Sun Oct 22 17:14:08 +0000 2017,@356959 No issues reporting on our end. Have you tried clearing local cache settings or using another browser to visit? ^CG,
1000890,356960,Sun Oct 22 08:47:55 +0000 2017,@GoDaddyHelp Can you please reply to my DM,1000889,GoDaddyHelp,Sun Oct 22 17:13:30 +0000 2017,@356960 Just replied to your earlier DM. ^CG,
1000892,356960,Mon Oct 16 09:56:08 +0000 2017,"@116068 @61989 I bought an email for more than a month. Not able to use it, no support from customer care. What a pathetic service.",1000891,GoDaddyHelp,Mon Oct 16 21:37:31 +0000 2017,@356960 I'm sorry you feel that way. Can you DM your customer number and the details of what's going on? ^Heather https://t.co/rYq25s2Pfj,1000890
1000894,356961,Mon Oct 23 04:00:19 +0000 2017,"@GoDaddyHelp I have proof and screenshot that I was charged. Tried calling the Philippine hotline, but unable to reach.",1000896,GoDaddyHelp,Mon Oct 23 18:25:28 +0000 2017,@356961 What is the receipt number? ^KayJay,1000897
1000895,356961,Sun Oct 22 10:30:50 +0000 2017,"Transaction failed, but you took money from my card. How is that possible, @116068? Unable to reach CSR hotline. Unbelievable!",1000893,GoDaddyHelp,Sun Oct 22 16:58:23 +0000 2017,"@356961 Do you have a receipt number confirming the payment that was charged? If there is no receipt, you'll need to call 480-505-8855.",1000894
1000897,356961,Mon Oct 23 22:35:42 +0000 2017,@GoDaddyHelp 729507080014,1000898,GoDaddyHelp,Tue Oct 24 17:15:29 +0000 2017,@356961 That is not a receipt from our system. Please contact our Billing team by telephone. Can't help here 😞 https://t.co/U4qiMPKR4C ^W https://t.co/rYq25s2Pfj,
1000912,356963,Wed Oct 25 07:03:58 +0000 2017,@GoDaddyHelp How about direct cash payment?,1000914,GoDaddyHelp,Wed Oct 25 19:02:58 +0000 2017,@356963 All payments must be made online. There isn't a way for you to pay with cash.^W https://t.co/rYq25s2Pfj,
1000913,356963,Sun Oct 22 06:36:30 +0000 2017,@116068 What payment do you accept for students based on Asia?,1000911,GoDaddyHelp,Sun Oct 22 15:53:24 +0000 2017,@356963 We accept the method of payments we have listed on https://t.co/AbQSjAKiTf. ^CG,1000912
1003467,147976,Sun Oct 22 03:21:53 +0000 2017,@116068 hi i want to start a blog not sure how want to use my g mail.  i am legally blind i hope do not have to pay monthly fee?,1003466,GoDaddyHelp,Sun Oct 22 15:05:03 +0000 2017,@147976 Some services offer monthly or yearly purchase options. You're welcome to call us at https://t.co/vomwiVNC9j for more details.,
1003469,357525,Sun Oct 22 13:45:48 +0000 2017,@116068 wow. what happened to you. worst customer service experience ever.,1003468,GoDaddyHelp,Sun Oct 22 14:59:29 +0000 2017,@357525 Sorry to hear about your recent experience w/ our support. Did you still need help w/ something in your account? ^CG,
1003471,357526,Sun Oct 22 14:48:31 +0000 2017,@GoDaddyHelp Looks like it was resolved when I tried again this morning. Thanks!,1003470,GoDaddyHelp,Sun Oct 22 14:52:33 +0000 2017,@357526 Anytime! Let us know if you need anything else. 😄,
1003473,357526,Sun Oct 22 03:19:30 +0000 2017,@GoDaddyHelp Hey guys- trying to purchase a domain but getting a captcha error. Am 100% typing in the right captchas &amp; tried from 2 comps. 🤔,1003472,GoDaddyHelp,Sun Oct 22 13:48:26 +0000 2017,"@357526 If you are still seeing this issue, please reach out to our support so they can help investigate. https://t.co/vomwiVNC9j.",1003471
1003475,357527,Sun Oct 22 13:53:08 +0000 2017,@GoDaddyHelp Spoke to a supervisor and got the situation handled. Thank you.,1003474,GoDaddyHelp,Sun Oct 22 13:56:51 +0000 2017,@357527 Glad to hear it got worked out in the end! Let us know if you need anything else. 😄,
1003478,357528,Sun Oct 22 11:59:36 +0000 2017,"@116068 Hey guys is there anyway I can chat to you regarding a problem on my blog, apart from phone? If you follow me I can DM you my issue",1003477,GoDaddyHelp,Sun Oct 22 13:53:29 +0000 2017,@357528 You're welcome to send us a DM at anytime. ^CG https://t.co/rYq25s2Pfj,
1005895,358080,Sun Oct 22 19:06:28 +0000 2017,@GoDaddyHelp On another note can i get any discount in redemption for https://t.co/XsZXMwaN1U ?,1005897,GoDaddyHelp,Sun Oct 22 21:00:15 +0000 2017,@358080 I won't be able to provide any discounts for the redemption fee. ^CG,
1005895,358080,Sun Oct 22 19:06:28 +0000 2017,@GoDaddyHelp On another note can i get any discount in redemption for https://t.co/XsZXMwaN1U ?,1005898,GoDaddyHelp,Sun Oct 22 21:00:03 +0000 2017,"@358080 As mentioned, privacy can't be removed if already in redemption.If you're trying to recover the name, it must be included. +",
1005896,358080,Sun Oct 22 18:11:18 +0000 2017,@GoDaddyHelp I am talking about expired domains that have gone in redemption?,1005893,GoDaddyHelp,Sun Oct 22 18:58:00 +0000 2017,"@358080 If the domain is no longer available in your account, it cannot be removed. Redemption will require privacy in this state.","1005894,1005895"
1005900,358080,Sun Oct 22 17:58:27 +0000 2017,hi can i remove privacy of expired domain?@GoDaddyHelp,1005899,GoDaddyHelp,Sun Oct 22 18:10:33 +0000 2017,@358080 You should be able to remove privacy w/ https://t.co/XDDWqmH4Bs. ^CG,1005896
1005902,358081,Sun Oct 22 16:28:44 +0000 2017,"@GoDaddyHelp my site https://t.co/kIswh4DiG0 is offline. ""Service Unavailable"" can you check on it",1005901,GoDaddyHelp,Sun Oct 22 18:08:31 +0000 2017,@358081 Seeing the site up from this end. No reporting issues on the server. ^CG,
1005904,358082,Sun Oct 22 16:25:21 +0000 2017,@GoDaddyHelp I'm getting an internal server error message trying to sign in and start building my gocentral website,1005903,GoDaddyHelp,Sun Oct 22 18:07:00 +0000 2017,"@358082 If the error is persisting across browsers, you'll need to contact our live support so they can further investigate. ^CG",
1005904,358082,Sun Oct 22 16:25:21 +0000 2017,@GoDaddyHelp I'm getting an internal server error message trying to sign in and start building my gocentral website,1005906,GoDaddyHelp,Sun Oct 22 18:06:52 +0000 2017,@358082 Try clearing local cache settings or using another internet browser to open the new account through. +,
1005908,358083,Sun Oct 22 17:53:37 +0000 2017,@GoDaddyHelp https://t.co/lhbYi31SAG,1005910,GoDaddyHelp,Mon Oct 23 14:14:05 +0000 2017,@358083 I'm not seeing that at this time. Were you able to get this sorted out? ^G,
1005909,358083,Sun Oct 22 15:44:10 +0000 2017,"@GoDaddyHelp bought domain with you, hosting at wix. My site still goes to green page, been more than 2 days plz help",1005907,GoDaddyHelp,Sun Oct 22 17:52:51 +0000 2017,@358083 What is the domain name you're pointing to Wix? ^CG,1005908
1005912,358084,Sun Oct 22 15:36:34 +0000 2017,Is Godaddy email down???,1005911,GoDaddyHelp,Sun Oct 22 17:51:54 +0000 2017,"@358084 No alerts w/ email on our end. If you are still seeing an issue on your end, please contact support https://t.co/vomwiVNC9j.",
1005914,358085,Sun Oct 22 15:41:21 +0000 2017,I always get the fuzzies when I speak to @GoDaddyHelp. Thank you! 😍,1005913,GoDaddyHelp,Sun Oct 22 17:49:26 +0000 2017,@358085 Anytime! We're always happy to help out.  😄,
1007495,358408,Sat Oct 14 11:59:53 +0000 2017,"Just now Experienced:  Once the customer signs up for @116068 hosting, need to contact customer support to get nameserver details so that he/she can point the domain to Godaddy hosting 😏 and customer chat support will be only from 9AM-3AM 👌👌",1007493,GoDaddyHelp,Sat Oct 14 12:17:00 +0000 2017,@358408 Hi! We have 24/7 live support. They can be reached at any of the numbers listed here https://t.co/dse2y0EiCU. ^DJ,1007494
1015713,360323,Thu Oct 12 12:16:30 +0000 2017,@GoDaddyHelp I’ve received what I think is a spam email from someone claiming to be GoDaddy. Where can I report it?,1015712,GoDaddyHelp,Thu Oct 12 12:57:41 +0000 2017,@360323 You can email details and a copy of the email to __email__ . ^G,
1019109,287960,Thu Oct 12 00:13:19 +0000 2017,"@116068 Just did a GoCentral remake of my website, says published, I'm still seeing old page when it's searched Any idea updates will show?",1019108,GoDaddyHelp,Thu Oct 12 14:59:06 +0000 2017,"@287960 If you're still seeing the old site, please send us a DM with your customer number &amp; the domain name.  We'll check it out.  ^M",
1023693,362247,Wed Oct 25 00:13:25 +0000 2017,@GoDaddyHelp Thanks!,1023696,GoDaddyHelp,Wed Oct 25 00:26:22 +0000 2017,@362247 You're welcome. ^KayJay,
