customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1022388,361922,Sun Oct 22 17:56:48 +0000 2017,"@GooglePlayMusic i have too many devices in my play music account, but somehow i cant remove old devices 😒can you help me ?",1022386,GooglePlayMusic,Sun Oct 22 18:19:34 +0000 2017,"@361922 Hi Jonas. Just to confirm, have you tried these troubleshooting steps: https://t.co/uGjDsezcpd? Keep us posted.",1022387
1023788,362267,Tue Oct 24 23:34:25 +0000 2017,"@GooglePlayMusic It worked, thank you customer service person",1023787,GooglePlayMusic,Tue Oct 24 23:48:36 +0000 2017,@362267 Awesome! We're glad it worked. Reach out to us if you have any other question.,
1023790,362267,Tue Oct 24 23:23:36 +0000 2017,"@GooglePlayMusic I open music on my android and non of my playlists are updated(there) but they are on my iPhone
How do I fix this?",1023789,GooglePlayMusic,Tue Oct 24 23:29:10 +0000 2017,"@362267 Hi there, just to confirm, have you tried refreshing the library? Here's how: https://t.co/ydap5LeQmd. Let us know if it works!",1023788
1031452,364069,Mon Oct 23 03:21:18 +0000 2017,"@GooglePlayMusic Thanks, will do tonight 😀",1031450,GooglePlayMusic,Mon Oct 23 03:56:54 +0000 2017,@364069 You're welcome! Give us a shout if you have any questions.,1031451
1031454,364069,Mon Oct 23 02:59:19 +0000 2017,"@GooglePlayMusic I’m in Australia, no idea if that means anything (3/2)",1031453,GooglePlayMusic,Mon Oct 23 03:14:50 +0000 2017,@364069 Thanks for the info. Have you tried using a computer to sign up? Learn more here: https://t.co/O1kvjhcFZK. Hope it helps!,1031452
1031458,364069,Mon Oct 23 01:36:17 +0000 2017,"Trying to sign up for Google
Play Music using PayPal has turned out to be _impossible_ on the phone.",1031455,GooglePlayMusic,Mon Oct 23 02:10:05 +0000 2017,"@364069 Hi David, what seems be the issue? Can you share screenshots and additional info to help us investigate? Thanks!","1031454,1031456,1031457"
1031460,364070,Sun Oct 22 23:26:22 +0000 2017,"@GooglePlayMusic Help please .. search won't load artist, like Madonna or 
George Benson .. thank you ..!!",1031459,GooglePlayMusic,Sun Oct 22 23:34:00 +0000 2017,@364070 Hi Rene. Let's try to refresh your music library. Here's how: https://t.co/ydap5LeQmd. Let us know if it works.,
1040981,366223,Tue Oct 31 16:21:55 +0000 2017,"@133716 I really like to play my music by song title (not shuffle), is there a reason that the list will suddenly change to artist name?",1040980,GooglePlayMusic,Tue Oct 31 17:02:40 +0000 2017,@366223 Thanks for letting us know. We recommend sharing feedback with the team directly: Play Music app &gt; Menu &gt; Send feedback.,
1048338,367769,Fri Oct 13 00:04:29 +0000 2017,@GooglePlayMusic The GPM webapp &amp; iOS apps still work perfectly. Just no icon in Google menu.,1048341,GooglePlayMusic,Fri Oct 13 00:18:33 +0000 2017,"@367769 Ah, got it. Thanks for letting us know. We recommend leaving a feedback for our team directly: Play Music app &gt; Menu &gt; Help &amp; Feedback.",
1048340,367769,Thu Oct 12 23:37:49 +0000 2017,Did @GooglePlayMusic simply *disappear* from the Google App menu for anyone else? GPM is gone for both of my @203263 accounts. https://t.co/iCpN3NIA6d,1048337,GooglePlayMusic,Thu Oct 12 23:57:55 +0000 2017,"@367769 Hi there. Does it happen across devices? Also, let us know if signing out and signing back in fixes the issue.","1048338,1048339"
1048943,367905,Sat Oct 14 15:42:24 +0000 2017,@GooglePlayMusic @133716 Hi. I can’t delete some items on my wish list. 3 of them lead to 404 and 1 of them is an artist. Can you help?,1048942,GooglePlayMusic,Sat Oct 14 17:02:20 +0000 2017,"@367905 Hi Ryan, let's connect you with a Play Music specialist to sort this out: https://t.co/lhUprF5HQe. Hope this gets resolved!",
1049710,368093,Fri Dec 01 03:09:23 +0000 2017,@GooglePlayMusic I'm having a issue I've been having for the past week now!,1049708,GooglePlayMusic,Fri Dec 01 03:13:08 +0000 2017,"@368093 Hi there, can you share more info about the issue? We'll look into it!",1049709
1088585,376777,Mon Oct 23 18:24:43 +0000 2017,"@GooglePlayMusic my app, it actually shows this of when my subscription will be cancelled. So what's my real billing date? Is there any way to get a refund? https://t.co/Wnx8ju8J51",1088584,GooglePlayMusic,Mon Oct 23 18:34:17 +0000 2017,@376777 Hi Wendy. We definitely want to sort this for you. Let's connect you to one of our specialists here: https://t.co/y9KELfklCX,
109744,140371,Thu Nov 23 16:22:41 +0000 2017,@GooglePlayMusic Thanks guys. Will give them a call ASAP.,109742,GooglePlayMusic,Thu Nov 23 16:24:06 +0000 2017,@140371 You're very welcome! Reach out if you run in to any questions in the future. We are just a tweet away!,109743
109746,140371,Thu Nov 23 15:54:44 +0000 2017,"@GooglePlayMusic Still getting the unexpected error message. It shows the 4 month free offer, I select payment option. Input data of payment, save and constantly get error message. Please help ☺️",109745,GooglePlayMusic,Thu Nov 23 16:21:27 +0000 2017,@140371 Thanks for the info. Let’s connect you with our Google Play Music support team for in-depth help: https://t.co/N9fXdl4YRa. Hope this helps!,109744
