customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000573,356882,Sun Oct 22 16:58:36 +0000 2017,@GWRHelp @GWRHelp another rubbish journey cancelled and delayed trains best of all still have the wonderful bus service ahead of me.,1000572,GWRHelp,Sun Oct 22 17:27:43 +0000 2017,@356882 Hello Jo. Which service are you referring to please? - Jordan,
1000574,356882,Sun Oct 22 18:17:41 +0000 2017,@GWRHelp London to Cardiff today. Left on 15.20 to Bristol Temple Meads jus pulling up in Cardiff on the replacement bus 3hs and 45mins,1013322,GWRHelp,Sun Oct 22 18:23:12 +0000 2017,@356882 My apologies for the disruption today and extended journey time. The railway is being upgrade in South Wales. - Jordan,
1000575,356882,Sun Oct 15 16:25:23 +0000 2017,@GWRHelp Well Done Bristol Parkway well organise lots of knowledgeable staff directing people to buses. Didcot and Maidenhead this is how it’s done.,1000576,GWRHelp,Sun Oct 15 16:28:13 +0000 2017,@356882 Hi Jo. Really glad to hear our staff at Parkway were helpful. I will make sure your feedback is passed on - Josh,
1000578,356882,Sun Oct 15 16:00:04 +0000 2017,"@GWRHelp On way to Bristol Parkway then a bus to complete my 4 and a half hour journey to Cardiff.
#donthavetheoptiontotraveltomorrow",1000577,GWRHelp,Sun Oct 15 16:02:06 +0000 2017,"@356882 There is a bus at 1720 from the car park at Bristol Parkway, staff on hand and signage in place to help at Bristol Parkway. Phil.",1000575
1000580,356882,Sun Oct 15 16:04:21 +0000 2017,@GWRHelp ‘Replacement bus service’ 3 words  guaranteed to bring normally strong people to their knees,1135459,GWRHelp,Sun Oct 15 16:08:15 +0000 2017,"@356882 Hopefully it all runs smoothly Jo! Any issues though, please let us know. Phil.",
1000581,356882,Sun Oct 15 15:28:38 +0000 2017,@GWRHelp Cardiff,1000579,GWRHelp,Sun Oct 15 15:38:09 +0000 2017,@356882 Are you travelling to Bristol Temple Meads to change please?  - Josh,"1000580,1000578"
1000583,356882,Sun Oct 15 15:23:37 +0000 2017,@GWRHelp Thank you. I’m on it with fingers firmly crossed.,1000582,GWRHelp,Sun Oct 15 15:26:51 +0000 2017,@356882 Glad to hear it Jo - What's your final destination? Phil.,1000581
1000585,356882,Sun Oct 15 15:19:03 +0000 2017,@GWRHelp Platform 3 Didcot to catch 16.13 to Bristol Temple Meads,1135458,GWRHelp,Sun Oct 15 15:21:41 +0000 2017,@356882 The 1613 departed platform 3 at Didcot so it seems you are on the right train. Apologies fr the lack of info at the station. Phil.,
1000586,356882,Sun Oct 15 15:11:16 +0000 2017,@GWRHelp Given the major upheaval on the route to Cardiff today. I would expect extra announcements and staff interacting with customers more,1000584,GWRHelp,Sun Oct 15 15:14:34 +0000 2017,"@356882 Sorry for the difficulty you've experienced Jo. Which station and platform did you board, and at what time? Phil.","1000585,1000583"
1000588,356882,Sun Oct 15 15:03:55 +0000 2017,Hope I’m on the right train. Didcot staff chatting to each other instead of being proactive #donthavetheoptiontotraveltomorrow @GWRHelp,1000587,GWRHelp,Sun Oct 15 15:06:41 +0000 2017,@356882 Hi Jo. Sorry to hear this. Which train are you on please and where are you heading? - Josh,1000586
1000590,356883,Sun Oct 22 16:54:54 +0000 2017,@GWRHelp Disappointed that 1537 Pdn-bri cancelled. Live in Wales but parked bpw cos no trains. Extra hour on journey.,1000589,GWRHelp,Sun Oct 22 17:25:47 +0000 2017,"@356883 Sorry for the cancellation, Julian. If delayed by an hour you can claim compensation here: https://t.co/kZncdam7bx. - Jordan",
1000593,127831,Sun Oct 22 16:54:43 +0000 2017,"@GWRHelp Hi, I have an advance ticket for 16:21 from Cardiff on  27/10 but there is no 16:21 now just 16:26! has this changed?",1000591,GWRHelp,Sun Oct 22 17:25:13 +0000 2017,"@127831 Hello Sam. Yes, your ticket will be valid on this service. - Jordan",1000592
1000595,151146,Sun Oct 22 16:50:25 +0000 2017,@GWRHelp Where will the replacement bus from Cardiff to Bristol be?,1000594,GWRHelp,Sun Oct 22 17:21:57 +0000 2017,@151146 Hello. Replacement buses are expected to leave from the Car Park on Penarth Road. - Jordan,
1000597,356884,Sun Oct 22 16:52:35 +0000 2017,@GWRHelp hi have advanced fares been stopped for bristol temple meads to Paddington services between 6am and 7am on Monday's ?,1000596,GWRHelp,Sun Oct 22 17:18:53 +0000 2017,@356884 Hello. I'm not aware of this. Advance Tickets are subject to availability and fares will vary due to different factors. - Jordan,
1000599,356885,Sun Oct 22 16:50:40 +0000 2017,"@GWRHelp How far in advance do you release advance fares? Can't find any £15 bristol-london fares at all, regardless of date",1000598,GWRHelp,Sun Oct 22 17:15:15 +0000 2017,@356885 Hello Mark. Our booking horizons can be found here: https://t.co/4BYUNd7mJY - Jordan,
