customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1007671,358451,Sun Oct 22 16:06:57 +0000 2017,.@HiltonHelp new Hampton in Flagstaff doesn’t have check-in aval through app. Had to use web browser. Wanted to let you know.,1007670,HiltonHelp,Sun Oct 22 19:02:23 +0000 2017,@358451 Thank you for the information! We will pass this on to our tech team. -CM,
1012695,359629,Sat Oct 14 12:05:59 +0000 2017,please give me a reason why you closed my hilton account ?My points and reservation can not be use ! I am a diamond member @161498,1012694,HiltonHelp,Sat Oct 14 12:42:08 +0000 2017,"@359629 Our apologies. Please follow and DM with your full name, account number, and email for assistance. Thank you. –CM",
1019138,361145,Thu Oct 12 13:22:06 +0000 2017,@161498  hellow,1019137,HiltonHelp,Thu Oct 12 14:03:33 +0000 2017,"@361145 Hello. If we may be of assistance, please follow and DM your query. Thank you! -MW",
1024155,362374,Sun Oct 22 18:17:52 +0000 2017,"@HiltonHelp app is still giving me errors, when will this get fixed?!",1024154,HiltonHelp,Sun Oct 22 22:52:40 +0000 2017,@362374 We are truly sorry to hear about this. Please follow and DM us for further communication. Thank you. MD,
1027321,123566,Sat Oct 14 15:59:04 +0000 2017,@161609 why will the Nashville Hampton in not give an upgrade for status members when there are plenty of rooms available.,1027320,HiltonHelp,Sat Oct 14 16:38:30 +0000 2017,"@123566 Our apologies. Please follow and DM with your full name, confirmation number, and email for assistance. Thank you. –CM",
1027322,123566,Sat Oct 14 15:59:36 +0000 2017,@161609 They said they don’t have any and when asked what would happen if I booked one online the rep said I would have to pay for it,1114178,HiltonHelp,Sun Oct 15 09:45:58 +0000 2017,@123566 Please kindly contact us at __email__ with your reservation details. Many thanks - LH,"1114179,1114180,1114181"
1027324,338196,Sat Oct 14 15:54:26 +0000 2017,@117372 @161498  what an absolute disgrace #disappointed I would not have my dog stay here https://t.co/chK8YmW0j3,1027323,HiltonHelp,Sat Oct 14 16:15:22 +0000 2017,@338196 We sincerely apologize for this situation. Please follow and DM us for further communication. Thank you. MD,
1028026,363283,Thu Oct 12 14:38:29 +0000 2017,@117372 has some of the worst customer service representatives 🤦🏾‍♂️,1028025,HiltonHelp,Thu Oct 12 15:38:52 +0000 2017,@363283 We sincerely apologize for this situation. Please follow and DM us for further communication. Thank you. MD,
1029583,363592,Sun Oct 22 22:46:26 +0000 2017,@117372 is there a way that I can dm you about a recent visit to a Hilton hotel?,1029582,HiltonHelp,Mon Oct 23 02:20:50 +0000 2017,@363592 We are happy to assist you. Please follow and DM us for further communication. Thank you. MD,
1029585,363593,Sun Oct 22 23:52:08 +0000 2017,Things that make me never want to stay at a hotel brand again—&gt; forcing me to sign into an “honors” program for internet. @117372,1029584,HiltonHelp,Mon Oct 23 03:09:57 +0000 2017,"@363593 We are sorry to learn of this experience. Please follow and DM your full name, contact, and stay details for assistance. -HD",
1029587,363594,Sun Oct 22 23:45:08 +0000 2017,There was a pair of boxers in my hotel sheets. Right now. At the @117372. What in the actual hell 🤢. THESE AREN’T MINE https://t.co/eSXv2O0dkP,1029586,HiltonHelp,Mon Oct 23 03:05:38 +0000 2017,@363594 Our apologies. Your experience is our priority. Please DM us your booking details and contact for further assistance. –TY,
1029589,363595,Sun Oct 22 23:30:17 +0000 2017,@117372 what happnd 2 the days when people were professional and hospitable? Shame on your staff...as if I am not going thrgh enough.,1029588,HiltonHelp,Mon Oct 23 02:38:19 +0000 2017,@363595 Our apologies. Please follow and DM with full name and location on booking to share your concerns with management. Thanks-KL,
1033609,364535,Mon Oct 23 02:36:34 +0000 2017,@117372 $300+ for a loud room that smells like smoke and overlooks the highway. Would never recommend  @63710 to anyone.,1033608,HiltonHelp,Mon Oct 23 05:26:10 +0000 2017,@364535 Our apologies for your troubles. Please DM us with your booking details and contact information for further assistance. -TY,
1036463,211342,Sun Oct 22 21:22:12 +0000 2017,@117372 I always talk to waitstaff in restaurants as they usually are quite knowledgeable on the menus. Some people need some improvement though...,1036462,HiltonHelp,Mon Oct 23 01:15:26 +0000 2017,@211342 We sincerely apologize for this situation. Please follow and DM us for further communication. Thank you. MD,
1036476,365183,Sun Oct 22 21:07:04 +0000 2017,@117372 My account is closed for some unknown reasons. Would you please take a look at it? Thanks.,1036475,HiltonHelp,Mon Oct 23 01:13:34 +0000 2017,@365183 We are happy to assist you. Please follow and DM us for further communication. Thank you. MD,
1044919,149760,Mon Oct 23 07:51:26 +0000 2017,@HiltonHelp A bit disappointed in my room. I'd appreciate a DM (to explain)so you can let management know because I'll be at work this AM,1044918,HiltonHelp,Mon Oct 23 08:33:55 +0000 2017,@149760 We're sorry for the inconvenience. Please follow and DM us your confirmation number so that we may assist. Thank you. IR,
1047874,367669,Sat Oct 14 16:42:52 +0000 2017,Gotta love @117372 #HamptonInn testing fire alarms when a group of customers are sleeping all day for work at night! #wrongwakeupcall,1047873,HiltonHelp,Sat Oct 14 17:54:03 +0000 2017,@367669 We are truly sorry to hear about this. Please follow and DM us for further communication. Thank you. MD,
1050635,368290,Mon Oct 23 05:34:51 +0000 2017,@117372 @20481 @12214 Received attitude when asked for sheets for the fold out couch. #regret this stay,1050634,HiltonHelp,Mon Oct 23 06:49:58 +0000 2017,@368290 Our apologies. Please follow and DM with full name and email address on booking to share your concerns with management. -HD,
1050639,321858,Mon Oct 23 03:50:33 +0000 2017,@117372 Why in the name of common sense would a hotel put a Diamond member staying alone in a connecting room?,1050638,HiltonHelp,Mon Oct 23 06:10:28 +0000 2017,@321858 Your experience is our priority. Please DM us your booking details and concerns for further assistance. –TY,
1052246,368666,Thu Oct 12 22:02:35 +0000 2017,@117372 please don’t spam call me since I booked a reservation with you. I don’t want your spam complimentary stay phone calls.,1052245,HiltonHelp,Thu Oct 12 23:47:15 +0000 2017,@368666 Our apologies. Please follow and DM with your full name and phone number so we can look into this. Thank you. -AM,
1063870,371173,Mon Oct 23 12:27:53 +0000 2017,@117372 what is your customer service number? The @64117 provided THE WORST service one could possibly imagine,1063869,HiltonHelp,Mon Oct 23 13:49:33 +0000 2017,@371173 We will be happy to assist. Please follow and DM us with your confirmation number and details of your stay. Thank you. - FG,
1063872,371174,Mon Oct 23 11:54:51 +0000 2017,@HiltonHelp is there an issue with the new app after update?  Can't sign in? Keep getting the message below https://t.co/aIoRwqwpGQ,1063873,HiltonHelp,Mon Oct 23 13:12:43 +0000 2017,@371174 We are sorry to hear this. Please contact us at 800-774-1500 so that we can assist you better. We have had no reports of,
1063872,371174,Mon Oct 23 11:54:51 +0000 2017,@HiltonHelp is there an issue with the new app after update?  Can't sign in? Keep getting the message below https://t.co/aIoRwqwpGQ,1063871,HiltonHelp,Mon Oct 23 13:13:00 +0000 2017,@371174 issues with the Hilton Honors app. Thanks. - FG,
1072400,373058,Mon Oct 23 14:33:37 +0000 2017,16th floor. Still no elevator. Hope we make the airport.  Thanks @117372,1072399,HiltonHelp,Mon Oct 23 16:08:50 +0000 2017,@373058 We are sorry for your troubles. Please follow and DM us with your confirmation number so we can forward your feedback. Thanks. -FG,
1072402,373059,Mon Oct 23 16:08:16 +0000 2017,@HiltonHelp It is every #hilton hotel in the U.S. which you know as your hotels have to be brand compliant,1072405,HiltonHelp,Mon Oct 23 18:05:04 +0000 2017,"@373059 Thank you for your comments, we have sent your feedback to our Brand Management. If you need further assistance, let us know.",1072406
1072403,373059,Tue Oct 24 06:31:34 +0000 2017,@HiltonHelp I did DM you months ago and you’ll notice that no one replied,1072407,HiltonHelp,Tue Oct 24 10:08:17 +0000 2017,"@373059 Thank you for your response, we will reach out to you shortly via DM. -MCF",
1072404,373059,Mon Oct 23 14:30:36 +0000 2017,@117372 it’s a shame that you choose to contribute to so much waste in your use of disposables in all of your hotels,1072401,HiltonHelp,Mon Oct 23 16:06:34 +0000 2017,"@373059 We appreciate your feedback. Please DM your full name, contact details, and the hotels in question for assistance. Regards,HD","1072402,1072403"
1072415,373061,Mon Oct 23 13:08:22 +0000 2017,@117372 I could justify this BS in a Motel 6 but not for what you charge! Thanks!,1072414,HiltonHelp,Mon Oct 23 14:43:32 +0000 2017,"@373061 Our apologies. Please follow and DM with full name and location on booking to share your concerns with management. Thanks, HD",
1076252,373957,Sat Oct 14 21:08:46 +0000 2017,"Hey, @117372, we put a man on the moon nearly 50 yrs ago,  it’s 2017 how can you not guarantee connecting rooms yet????",1076251,HiltonHelp,Sat Oct 14 22:21:16 +0000 2017,@373957 We are sorry for your troubles. Should you require assistance please follow and DM us for further communication. Thank you. MD,
1076254,373958,Sat Oct 14 20:54:24 +0000 2017,@117372 SHAME ON U HILTON BKLYN NY FOR BEING SO INSENSITIVE. U COULDNT REIMBURSE MY BOSSE RSV EVEN THOUGH HE IS CURRENTLY HOSPITALIZED,1076253,HiltonHelp,Sat Oct 14 22:19:59 +0000 2017,@373958 We are truly sorry to hear about this. Please follow and DM us for further communication. Thank you. MD,
1095093,378416,Fri Oct 13 22:05:09 +0000 2017,@HiltonHelp Thanks,1095095,HiltonHelp,Sat Oct 14 01:24:08 +0000 2017,@378416 Our pleasure to assist! -KL,
1095094,378416,Fri Oct 13 17:21:25 +0000 2017,@HiltonHelp Hello! I need to contact the Hampton Inn Manhattan 35st. Dou you have a mail? thanks.,1095092,HiltonHelp,Fri Oct 13 20:11:05 +0000 2017,"@378416 The email address is __email__. Regards, HD",1095093
1100768,379714,Mon Oct 23 17:31:02 +0000 2017,@117372 breach of confirmed rate reservations: Hilton London Waldorf is making changes to confirmed room rate without any consent,1100767,HiltonHelp,Mon Oct 23 21:15:40 +0000 2017,"@379714 We are sorry to hear this. Please follow and DM us with your confirmation number, email address and last 4 digits of the card",
1105685,137192,Sun Oct 15 05:24:58 +0000 2017,Never staying at a @117372 ever again. Someone from the bell staff decided to steal my suitcase (I got it back thankfully).,1105684,HiltonHelp,Sun Oct 15 08:36:37 +0000 2017,@137192 Please kindly contact us at __email__ with your reservation number and email address. Many thanks - LH,
1108447,381590,Mon Oct 23 20:27:23 +0000 2017,@117372 you might want to do something about the endless scam calls I get in your name.,1108446,HiltonHelp,Mon Oct 23 23:50:42 +0000 2017,@381590 We are sorry for your frustration. We have shared your feedback with our Brand Management team. Thank you. -AM,
1108449,381591,Mon Oct 23 19:35:24 +0000 2017,No understanding from @65049 @117372 full payment+taxes but offered a discount for our next stay #thanksbutnothanks https://t.co/ZlkXGJEiIL,1108448,HiltonHelp,Mon Oct 23 23:27:41 +0000 2017,"@381591 Please follow and DM your full name, email address, and stay dates along with more details of concern to further assist. -HD",
1108451,381592,Mon Oct 23 19:22:34 +0000 2017,@117372 I’ve been ringing Hilton Croydon London and no one picks up! What’s front desk’s direct number?,1108450,HiltonHelp,Mon Oct 23 23:18:22 +0000 2017,@381592 Our apologies. Please contact 44-208-680-3000 to reach the front desk. Thanks-KL,
1108457,130403,Mon Oct 23 19:20:42 +0000 2017,@117372 Sure to what handle,1108456,HiltonHelp,Mon Oct 23 23:17:05 +0000 2017,@130403 Our apologies. Please follow and DM your phone number to this handle so we may remove you from our systems. Thanks-KL,
1108461,381593,Mon Oct 23 18:43:14 +0000 2017,"@HiltonHelp Oh, and I am told that reception says it’s ok.",1108460,HiltonHelp,Mon Oct 23 23:05:32 +0000 2017,"@381593 We have called the hotel on your behalf and a member of management will follow up with you in the morning. Regards, HD",
1114165,382959,Sun Oct 15 09:19:47 +0000 2017,@117372 Yawn and false alarm..... at 4 something in the morning. Ahhh😫😭😒 c’mon man. Alarms been going off for 15 mins plus.  #StLouis,1114164,HiltonHelp,Sun Oct 15 09:35:02 +0000 2017,@382959 Please kindly contact us at __email__ with your reservation details. Many thanks - LH,
1114174,172586,Sun Oct 15 07:24:14 +0000 2017,@161609 I spoke to a woman for about 45 minutes and then was disconnected. I need help finding a Hilton property to transfer our wedding contract,1114173,HiltonHelp,Sun Oct 15 10:23:39 +0000 2017,@172586 We are truly sorry for any issues. Please kindly contact us at __email__ with your details. Many thanks - LH,
1114177,382961,Sat Oct 14 23:09:09 +0000 2017,"@161609 @161498 @117372

Hilton Makkah Convention Hotel 

Do you really mean that! https://t.co/UgHrozadMu",1114176,HiltonHelp,Sun Oct 15 10:11:10 +0000 2017,@382961 We will make it right for you. Please kindly contact us at __email__ so we can assist. Many thanks - LH,
1114179,123566,Sun Oct 15 12:07:04 +0000 2017,@HiltonHelp And get it corrected immediately after that,1114182,HiltonHelp,Sun Oct 15 13:01:16 +0000 2017,@123566 Our apologies for the delay in response. We will DM you shortly as we are eager to assist. -CM,1114183
1114183,123566,Sun Oct 15 13:27:06 +0000 2017,@HiltonHelp We are checking out today. Hiltonhelp said they would contact the hotel last night but I got nothing out of it,1114184,HiltonHelp,Sun Oct 15 15:11:16 +0000 2017,@123566 We're sorry for your displeasure and will continue to share your comments with management. Thank you! -GO,1114185
1114187,382962,Sun Oct 15 09:02:29 +0000 2017,@hiltonhelp Waiting on last 2 stays to post for Diamond.  Check in 2morrow for 5nt stay in Osaka.  How can I get Diamond benefits on day 1?,1114186,HiltonHelp,Sun Oct 15 09:31:37 +0000 2017,@382962 Please kindly contact us at __email__ so we can assist. We look forward to hearing from you - LH,
1114276,382979,Mon Oct 23 23:51:57 +0000 2017,"@117372 would you please help with a reservation, can I send you a DM?",1114275,HiltonHelp,Tue Oct 24 02:43:53 +0000 2017,"@382979 Please follow and DM with your full name, email address and inquiry so we can better assist. Thanks-KL",
1114288,382982,Mon Oct 23 21:58:50 +0000 2017,"@117372 Hi, I would like to know if the hotel Hilton Grand Vacations On The Las Vegas Strip charge fee for receive package. Thanks",1114287,HiltonHelp,Tue Oct 24 01:15:04 +0000 2017,@382982 This property does have a receiving fee starting at $5 for package up to 5lbs. Thanks-KL,
1119010,384016,Tue Oct 24 02:02:48 +0000 2017,"@HiltonHelp ridiculous, I can't even stream a TV show on my laptop at LOW quality, your ""high speed"" internet continues to be atrocious",1119009,HiltonHelp,Tue Oct 24 04:38:08 +0000 2017,"@384016 Our apologies. Please follow and DM with full name, location on reservation and your email address. Thank you. -AM",
