customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1055203,369328,Sun Oct 22 13:13:38 +0000 2017,"@148884 Hey, I absolutely love your app, but these days these service fees are creeping in and are NOT clear. Please sort this out.",1055202,HotelTonightCX,Sun Oct 22 14:26:52 +0000 2017,"@369328 Thank you, Tom! We have replied to your DM with more information.",
1055203,369328,Sun Oct 22 13:13:38 +0000 2017,"@148884 Hey, I absolutely love your app, but these days these service fees are creeping in and are NOT clear. Please sort this out.",1055204,HotelTonightCX,Sun Oct 22 13:40:13 +0000 2017,@369328 Thank you! https://t.co/jYAehWk8BH,
1055203,369328,Sun Oct 22 13:13:38 +0000 2017,"@148884 Hey, I absolutely love your app, but these days these service fees are creeping in and are NOT clear. Please sort this out.",1055205,HotelTonightCX,Sun Oct 22 13:39:40 +0000 2017,"@369328 Hi Tom! We list all fees on the description of our hotels. If we've missed something, DM us the deets, so we can take a look.","1055206,1055207"
1109153,381760,Fri Oct 13 21:19:18 +0000 2017,"Got totally screwed by @148884. Support could care less about the issue. Member since 2012, but not anymore.

#buyerbeware",1109152,HotelTonightCX,Fri Oct 13 23:21:45 +0000 2017,@381760 Hey Mathew – that isn’t what we like to hear. Email __email__ so we can learn more,
1122635,384767,Sun Oct 15 01:24:16 +0000 2017,"Out $215 for a hotel room I can't use thanks to a cancelled flight, and @148884 won't refund 😡. Another reason to always book direct!",1122634,HotelTonightCX,Sun Oct 15 05:12:20 +0000 2017,"@384767 Cindy, we'd love to look further into this. Pls, direct message us the booking details. https://t.co/jYAehWk8BH",
1210651,404175,Wed Oct 25 06:06:38 +0000 2017,The @148884 app booked me a hotel that was sold out. Showed multiple sold out rooms. Not sure whether they’re magic or just mistaken…,1210649,HotelTonightCX,Wed Oct 25 09:28:27 +0000 2017,@404175 Oh no! Could you please DM us your booking  information so that we can look into this?,1210650
1210655,141977,Tue Oct 24 19:13:33 +0000 2017,@HotelTonightCX is it possible to book more than 1 person via the app? Looking to book accommodation for a family of 2 adults &amp; 2 kids. Thx,1210653,HotelTonightCX,Tue Oct 24 20:09:42 +0000 2017,"@141977 Hi! We can guarantee a room with 2 beds, more than 2 guests are the hotel’s discretion. Shoot us an email __email__",1210654
1309041,425919,Thu Oct 26 14:34:09 +0000 2017,"@HotelTonightCX looking to book for 3 people. Aware it's at the hotel's discretion to allow 3rd person, but how can I check before booking?",1309040,HotelTonightCX,Fri Oct 27 03:01:16 +0000 2017,"@425919  Hi Natalie, Give us a call 800.995.6698 and we’ll  reach out to confirm with our hotel partner once you have your location!",
1402794,446159,Sat Oct 28 03:43:46 +0000 2017,It would be AWESOME if @148884 could ask about the wifi as part of its standard post-stay survey. Bad wifi while working really messes me up and it's damned frequent. #HTLevel3,1402793,HotelTonightCX,Sat Oct 28 09:08:17 +0000 2017,@446159 Sorry to hear you stayed somewhere with a bad connection! Thank you for the improvement suggestion. Feel free to DM us too!,
1405891,446789,Mon Nov 06 22:58:17 +0000 2017,@HotelTonightCX I need support regarding issues i ran into with a hotel stay booked via your app. can you message me directly,1405890,HotelTonightCX,Tue Nov 07 02:59:33 +0000 2017,@446789 https://t.co/jYAehWk8BH,
