customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1107418,381372,Sat Nov 25 05:08:44 +0000 2017,"@JackBox I just poured my fries onto a plate and there was two beetles in it, what's going on here 🤢",1107417,JackBox,Sat Nov 25 16:00:21 +0000 2017,@381372 Can you DM me with details? Which location did you go to?,
1107420,381373,Sat Nov 25 02:56:38 +0000 2017,@JackBox You lost a loyal cust tonight. Store @ Maryland/Trop in Vegas harassed mom w/ autistic son 4 using women's restroom.,1107419,JackBox,Sat Nov 25 15:59:29 +0000 2017,@381373 Can you DM me with details? Which location did you go to?,
1107553,381410,Sat Nov 25 01:56:34 +0000 2017,"Hey @JackBox I just got an awesome like... inspection tag or something on the bun of my sandwich. I'm glad to know it's an okay bun, but kinda ew?",1107552,JackBox,Sat Nov 25 15:59:02 +0000 2017,@381410 Can you DM me with details? Which location did you go to?,
1107555,381411,Fri Nov 24 22:28:12 +0000 2017,Fuck @JackBox I’ve only thrown up like 100+ times since this morning 🤢,1107554,JackBox,Sat Nov 25 15:57:24 +0000 2017,@381411 Can you DM me with details? Which location did you go to?,
1107557,381412,Fri Nov 24 15:28:43 +0000 2017,Thanks for the food poisoning @JackBox 🤢🤮 I should’ve gone to @159344,1107556,JackBox,Sat Nov 25 15:46:36 +0000 2017,@381412 Can you DM me with details? Which location did you go to?,
1213248,404766,Tue Oct 24 20:24:27 +0000 2017,Green eggs and ham literally. Disgusting food safety at @JackBox in Del Mar. @404767 food safety investigation tip for you! Dangerous https://t.co/hoh1LSr4jt,1213247,JackBox,Wed Oct 25 14:23:28 +0000 2017,@404766 Can you DM me with details? Which location did you go to?,
1296750,423087,Thu Oct 26 14:49:25 +0000 2017,@JackBox  Oscar  Fantastic Worker   he  did  a fantastic  Job  on my  oder  100%  two thumbs up  Fantastic Job Oscar😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎 https://t.co/6viwu1aCMb,1296748,JackBox,Thu Oct 26 19:50:43 +0000 2017,@423087 ...your feedback! 2/2,1296749
1296750,423087,Thu Oct 26 14:49:25 +0000 2017,@JackBox  Oscar  Fantastic Worker   he  did  a fantastic  Job  on my  oder  100%  two thumbs up  Fantastic Job Oscar😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎 https://t.co/6viwu1aCMb,1296751,JackBox,Thu Oct 26 19:50:42 +0000 2017,"@423087 Thank you for your Positive Feedback! We will be sending the report over to the appropriate management, and letting them know about... 1/2",
1296753,423089,Thu Oct 26 06:16:03 +0000 2017,@JackBox @163021 I have a midterm tomorrow and your burger gave me food poisoning. Fuck you jack off in the box!!,1296752,JackBox,Thu Oct 26 19:50:27 +0000 2017,@423089 Can you DM me with details? Which location did you go to?,
1296759,601335,Wed Oct 25 17:56:45 +0000 2017,"@JackBox My Grandkids LOVE Those Mini's
But I Promised Their Parents They'd Eat  The Eggs 1ST 
#YaRight 
🤣 https://t.co/NTBY1sN6AZ",2033716,JackBox,Wed Oct 25 19:34:55 +0000 2017,@601335 PANCAKES!,
