customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1004837,357829,Sat Oct 14 10:10:33 +0000 2017,Sweet suite alexishotel kimpton #Seattle #kimptonkarma @ Kimpton… https://t.co/vZrL43mesU,1004836,Kimpton,Sat Oct 14 11:55:00 +0000 2017,"@357829 Looks like Benji found his bed. But where will you sleep, Peter?",
1012918,359686,Sun Oct 22 17:20:06 +0000 2017,Wow @Kimpton I knew I loved you but just reading the @119782 best hotels and apparently everyone else loves you too!,1012917,Kimpton,Sun Oct 22 18:04:13 +0000 2017,"@359686 Aww, we really feel the love, Pam; the feeling's mutual!",
1012920,359687,Sun Oct 22 16:50:11 +0000 2017,When your fantastic hotel @Kimpton #amsterdam teaches you more during a press trip @66321 @66322 @66323 https://t.co/K16V2EFeXg,1012919,Kimpton,Sun Oct 22 17:51:54 +0000 2017,"@359687 Thanks, Hélène; you can never have too much knowledge!",
1012922,359688,Sun Oct 22 15:58:17 +0000 2017,Finally a hotel which understands my yoga passion. Way to go Kimpton!! en Kimpton De Witt https://t.co/qqSnUmmRj9,1012921,Kimpton,Sun Oct 22 17:26:45 +0000 2017,"@359688 That's just how we roll, Alfonso; we love sharing the same passion as you. Namaste.",
1018770,361058,Sun Oct 22 22:33:40 +0000 2017,@Kimpton Your team here are great. Kudos.,1018772,Kimpton,Mon Oct 23 00:13:57 +0000 2017,"@361058 Thanks, Deirdre! We just so happen to think so, too, but we may be biased. We'll be sure to pass the kudos along.",
1018771,361058,Sun Oct 22 20:57:07 +0000 2017,"Beautiful day here in Hollywood, Los Angeles. This is from the @Kimpton Everley hotel. https://t.co/eGR8q85lf3",1018769,Kimpton,Sun Oct 22 21:53:08 +0000 2017,"@361058 Looks like it's a bright, bright, sun-shiny day, Ireland. Glad you're enjoying the rooftop views; wish we were there, too!",1018770
1018774,137291,Sun Oct 22 20:56:16 +0000 2017,Monaco near Independence Hall is a great @Kimpton hotel in Philadelphia https://t.co/B4i4XBRyJ8,1018773,Kimpton,Sun Oct 22 21:48:26 +0000 2017,"@137291 We really appreciate your love, Jack; thanks once again for the shout-out.",
1018776,361059,Sun Oct 22 19:22:34 +0000 2017,@Kimpton 'I have a feeling you'll be happy' is *not* an answer to 'how many nights do I need to earn a free night?',1018775,Kimpton,Sun Oct 22 21:16:26 +0000 2017,@361059 (2/2) We can talk specifics about earning/redeeming points based on your stay history &amp; what that means for free nights in '18.,
1018778,361059,Sun Oct 22 19:21:19 +0000 2017,@Kimpton Sorry for blowing up your FB page this weekend. Very frustrated by the team's responses to the questions being asked by IC members.,1018777,Kimpton,Sun Oct 22 21:14:27 +0000 2017,"@361059 Hi Martha, we replied to one of your comments on Facebook (more room). Pls shoot us an email at __email__? (1/2)",
1036452,365177,Sun Oct 22 22:48:17 +0000 2017,"No wonder @63375 @63376 , Jack and I love @Kimpton hotels.  They always make us feel so welcome.  Thanks, Ms. Goldberg! https://t.co/DBxf7eH8z3",1036451,Kimpton,Mon Oct 23 01:09:24 +0000 2017,"@365177 Shana is the best! Always trying to keep things fresh. We'll make sure she gets your shout out, Aneil.",
