customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000923,356966,Sun Oct 22 15:17:14 +0000 2017,@marksandspencer Ok I think the packaging is long gone but I took a photo of the label/expiry etc and have receipt. Thank you,1000922,marksandspencer,Sun Oct 22 17:23:59 +0000 2017,@356966 No problem and we hope to see you in store soon so we can help.,
1000925,356966,Sat Oct 21 19:43:45 +0000 2017,@marksandspencer When I say raw sweetcorn I mean it was rock hard!,1000924,marksandspencer,Sun Oct 22 11:11:45 +0000 2017,"@356966 This sweetcorn does look hard, we're sorry about this. If you take the packaging/receipt back into store, we can get this resolved for you.",1000923
1000928,356967,Sun Oct 22 17:27:17 +0000 2017,@marksandspencer Shoreham by sea and to be honest I’ve heard all this before - the cafe was disgusting and had hardly any self service food,1000930,marksandspencer,Sun Oct 22 17:31:54 +0000 2017,"@356967 Thanks for the extra details, Bernard - we do get busy at the weekends but we should be keeping on top of things.",1000931
1000929,356967,Sun Oct 22 17:22:16 +0000 2017,@marksandspencer I don’t see why not - it’s the same products. You also need to get enough staff to clean the tables - yet again it was disgusting,1000927,marksandspencer,Sun Oct 22 17:23:20 +0000 2017,"@356967 Which store did you visit, Bernard and we'll get things improved straight away?",1000928
1000931,356967,Sun Oct 22 17:33:38 +0000 2017,@marksandspencer All cafes get busy at weekends - at shoreham it happens regularly,1000932,marksandspencer,Sun Oct 22 17:46:01 +0000 2017,"@356967 We're on to it, Bernard.",
1000935,356967,Sun Oct 22 14:40:57 +0000 2017,@marksandspencer - when u run out of simple stock in the cafe y don’t u get stuff from the food section next door - #frustrating,1000933,marksandspencer,Sun Oct 22 17:16:41 +0000 2017,"@356967 We can't take items from the Food Hall, Bernard and we understand this is frustrating and we're sorry for any inconvenience.","1000934,1000929"
1000937,356968,Sun Oct 22 15:01:10 +0000 2017,"Only thing gotten me through work this morning was @marksandspencer madagascan custard with a bit of apple crumble 
#cheatmeal",1000936,marksandspencer,Sun Oct 22 17:22:01 +0000 2017,"@356968 Yum, yum! 👍",
1000940,356969,Sun Oct 22 14:51:20 +0000 2017,Clearly another year of claim free driving has made Jui a greater risk for @marksandspencer - one less customer https://t.co/Rv8aqBg0ji,1000938,marksandspencer,Sun Oct 22 17:19:21 +0000 2017,@356969 Please contact our dedicated team for more advice 0344 871 2349,1000939
1000942,356970,Sun Oct 22 17:20:54 +0000 2017,@marksandspencer It started with the pillows with letters on that can light up... then the fluffy blankets... &amp; then all the decorations &amp; lights. https://t.co/QXNsxztyde,1000944,marksandspencer,Sun Oct 22 17:49:11 +0000 2017,"@356970 You obviously have great taste, Gem 😂 We've got lots in our 3 for 2 offer at the moment so there's some great bargains too!",1000945
1000943,356970,Sun Oct 22 13:26:07 +0000 2017,The @marksandspencer Christmas collection is too much for my Christmas loving heart! I want ALL the decorations &amp; ALL the snugly things!! 😍😍,1000941,marksandspencer,Sun Oct 22 17:16:14 +0000 2017,"@356970 We've got some gorgeous decorations for this year, Gem! What have you especially got your eyes on? 🎄🎄",1000942
1000945,356970,Sun Oct 22 18:58:32 +0000 2017,@marksandspencer Oh don't you worry I'll be taking advantage of that! Is it too keen to wear these now? #ilovechristmas! https://t.co/Tl4epIhp6g,1000946,marksandspencer,Sun Oct 22 19:21:45 +0000 2017,@356970 Definitely not too keen! After all you want to get the wear out of them 😄 #64daystogo!,
1000968,337307,Thu Jan 12 19:55:12 +0000 2017,@marksandspencer any idea when #Chippenham food hall is going to open?,1000966,marksandspencer,Fri Jan 13 10:13:09 +0000 2017,"@337307 Hi Jules our Chippenham store will be opening towards the end of 2017, keep an eye out in your local press nearer the time :)",1000967
1000969,356977,Sat Oct 14 11:57:41 +0000 2017,@356976 @marksandspencer @337307 Is this still happening?! Not seen anything on the new  Chippenham store apart from this tweet! M&amp;S please let us know more!!,1000971,marksandspencer,Sat Oct 14 13:52:23 +0000 2017,@356977 @356976 @337307 Hi Jess. We've checked this out for you and all is going ahead. It should be opening at the end of November. ☺️,"1000972,1000973,1000974"
1001893,357155,Sun Oct 22 15:29:16 +0000 2017,The flower girls looked amazing in their m&amp;s dresses @marksandspencer dresses https://t.co/mxU5ExwnPJ,1001892,marksandspencer,Sun Oct 22 17:41:31 +0000 2017,@357155 Wow - looks like they stole the show!! 😄,
1001896,357156,Mon Oct 23 08:27:26 +0000 2017,"@marksandspencer I bought it ages ago, haven't got the receipt now!",1001898,marksandspencer,Mon Oct 23 12:08:26 +0000 2017,"@357156 Hi, we've just sent you a DM.",
1001897,357156,Sun Oct 22 15:21:48 +0000 2017,"Bought my daughter a @marksandspencer kids puzzle, can't finish it as two of the pieces are missing! #disappointed https://t.co/IQhKhpP1o1",1001895,marksandspencer,Sun Oct 22 17:31:39 +0000 2017,"@357156 Oh no :( This is such a shame, please return to store and a refund/exchange will be offered. Thanks",1001896
1001900,134059,Sun Oct 22 15:23:28 +0000 2017,@marksandspencer Hi - I called yesterday to make a complaint; was told I'd get a call from the Sparks complaints team by 3pm today latest.,1001899,marksandspencer,Sun Oct 22 17:30:58 +0000 2017,"@134059 We're sorry to hear this, Kate. Please can you DM your email address and contact number and we'll look into it for you? Thanks.",
1001923,357164,Sat Oct 14 12:44:20 +0000 2017,"@marksandspencer thanks for asking but the matter is closed, rude customer service which you weren't prepared to compensate for.",1001925,marksandspencer,Sat Oct 14 12:52:14 +0000 2017,"@357164 Okay, Tamsin - please get back in touch if we can help further.",1001926
1001924,357164,Sat Oct 14 10:11:45 +0000 2017,If @marksandspencer had been a nicer company to do business with I would have bought lots of these! Something to look for elsewhere. https://t.co/xuZA7zakNb,1001922,marksandspencer,Sat Oct 14 12:42:35 +0000 2017,"@357164 Oh no, why what's happened, Tamsin?",1001923
1001926,357164,Sat Oct 14 12:54:03 +0000 2017,"@marksandspencer thanks, I believe the relevant team manager is going to be advised so training can be given. Not a big deal.",1001927,marksandspencer,Sat Oct 14 12:55:41 +0000 2017,"@357164 That's good news, Tamsin - we never want you to have a bad experience in store :(",1001928
1001928,357164,Sat Oct 14 13:03:55 +0000 2017,"@marksandspencer not in store, it was your web chat team..terrible service.",1001929,marksandspencer,Sat Oct 14 13:13:04 +0000 2017,"@357164 Oh no, really! This doesn't sound like our usual service at all!",
1001932,357166,Sat Oct 14 10:07:11 +0000 2017,It must be Christmas if @marksandspencer have their sandwiches out already @43914 #MerryChristmas #sandwich #m&amp;s #71days https://t.co/8AEycfpPWy,1001931,marksandspencer,Sat Oct 14 12:38:25 +0000 2017,@357166 @43914 We couldn't hold back these delicious delights anymore! We hope you enjoyed it :),
1001935,357167,Sat Oct 14 09:48:37 +0000 2017,@marksandspencer Not forgetting the Halloween Percy Pigs obvs 🐷 https://t.co/R4gzUFwW8u,1001934,marksandspencer,Sat Oct 14 12:27:50 +0000 2017,"@357167 Obvs, Becki :) We're so pleased you're a happy customer and we hope you enjoy your treats!",
1001938,357168,Sat Oct 14 14:00:27 +0000 2017,@marksandspencer staff were making reductions although their personal lives were taking precedence! Queues can wait-convos can't clearly!,1001941,marksandspencer,Sat Oct 14 14:05:40 +0000 2017,"@357168 Thanks, Dawn and we'll raise the issue with our Store Manager to get things improved straight away.",
1001940,357168,Sat Oct 14 09:33:29 +0000 2017,@243989 @marksandspencer Never need to normally check dates as M&amp;S are on it. Obvs not at this store No discount!2/2 https://t.co/6VdEmg3mai,1001937,marksandspencer,Sat Oct 14 12:26:33 +0000 2017,"@357168 @243989 We're sorry you're disappointed, Dawn and most items are reduced at the end of the day but not all.","1001938,1001939"
1001945,357169,Sat Oct 14 12:21:50 +0000 2017,"@marksandspencer Hi, will this still be ok if the order was not placed by us but sent to us?",1001944,marksandspencer,Sat Oct 14 12:25:18 +0000 2017,"@357169 Absolutely fine, Rosie. All they'd need is your name and address as the label shows to find the order and help you :)",
1001947,357169,Sat Oct 14 08:58:20 +0000 2017,@marksandspencer thank you flowers arrived looking like this 😡 - how do we make a complaint? https://t.co/PADSphlkwT,1001946,marksandspencer,Sat Oct 14 12:17:35 +0000 2017,"@357169 This just isn't good enough, Rosie. If you speak to our Ordering Team on &gt; 0333 014 8000 - they can help you further",1001945
1001949,357170,Sat Oct 14 08:47:36 +0000 2017,Why @marksandspencer? We are in England and must not forsake the #oxfordcomma #eatyourfeelings 😭 https://t.co/t9Ccgsgv0P,1001948,marksandspencer,Sat Oct 14 12:25:06 +0000 2017,"@357170 Hi there Jenn, thanks for raising this with us. We've passed this over to the right people. Have a nice weekend! ☺️",
1001952,357171,Sat Oct 14 09:15:29 +0000 2017,New shirt @marksandspencer and next to #newcastleunitedfc and I'm the ⭐️ of anything… https://t.co/X2JbHpT64r,1001951,marksandspencer,Sat Oct 14 12:18:39 +0000 2017,"@357171 This sounds like a great day, Andrew! :)",
1002540,357308,Sun Oct 22 12:37:25 +0000 2017,M&amp;S the left hand side is Asda 6-9 and the right pink dress is M&amp;S 9-12. I think something is VERY wrong here @marksandspencer https://t.co/NygxW8sduG,1002541,marksandspencer,Sun Oct 22 14:48:20 +0000 2017,"@357308 We can't comment on sizing used by other companies, S. Some of our girls babywear is designed to be shorter in length but comes with...1/2",
1002540,357308,Sun Oct 22 12:37:25 +0000 2017,M&amp;S the left hand side is Asda 6-9 and the right pink dress is M&amp;S 9-12. I think something is VERY wrong here @marksandspencer https://t.co/NygxW8sduG,1002539,marksandspencer,Sun Oct 22 14:48:26 +0000 2017,@357308 ...tights or leggings as an outfit. We'll let our Girlswear team know what you've said. 2/2,
1002545,357310,Sun Oct 22 11:54:10 +0000 2017,"@marksandspencer, pls thank Vincent in your South Bank store for looking after my shopping whilst I nipped home as I’d left my card behind",1002544,marksandspencer,Sun Oct 22 14:37:34 +0000 2017,"@357310 We've been sure to pass on your thanks to the Store Manager, who'll share your tweet with Vincent! :)",
1004020,357640,Sun Oct 22 12:53:49 +0000 2017,"@marksandspencer can you please start putting forks IN YOUR SALADS, this will eliminate the risk of the cashier forgetting to give you one!!",1004021,marksandspencer,Sun Oct 22 15:18:21 +0000 2017,"@357640 We don't pack with our salads as not all our customers are eating on the move, Nia. We'll let our Food team know what you've said. 1/2",
1004020,357640,Sun Oct 22 12:53:49 +0000 2017,"@marksandspencer can you please start putting forks IN YOUR SALADS, this will eliminate the risk of the cashier forgetting to give you one!!",1004019,marksandspencer,Sun Oct 22 15:18:27 +0000 2017,@357640 We're sorry you've not had a fork today. 2/2,
1004375,357721,Sat Oct 14 10:46:04 +0000 2017,@marksandspencer Can I just say I had excellent customer service from Karolina at the M4 W-bound services at Reading Well Done Karolina!!,1004374,marksandspencer,Sat Oct 14 13:09:33 +0000 2017,@357721 Hey there. Thanks for your kind words! We'll make sure this is passed on. ☺️,
1004377,357722,Sat Oct 14 13:09:34 +0000 2017,@marksandspencer I didn't get a receipt as was self service. Am I OK to take the picture and packaging back to the store?,1004379,marksandspencer,Sat Oct 14 13:23:08 +0000 2017,@357722 Hi - the staff will be able to help with the pictures if you also show them these tweets :) Thanks,1004380
1004378,357722,Sat Oct 14 10:41:48 +0000 2017,Morning @marksandspencer bought flowers for my mum's birthday and some are always dead. Bought from West Hampstead yesterday https://t.co/LpL1lh1jzh,1004376,marksandspencer,Sat Oct 14 13:05:19 +0000 2017,@357722 Sorry about this :( Please take your receipt/packaging to store so this can be sorted for you. Thanks,1004377
1004382,220374,Sat Oct 14 10:29:10 +0000 2017,@marksandspencer love that all your Halloween sweets are veggie! Amazing! #veggiepercy 🐖🌿🎃,1004381,marksandspencer,Sat Oct 14 13:01:33 +0000 2017,@220374 We're so pleased you're a fan! Enjoy 👻,
1004389,357724,Sat Oct 14 10:16:20 +0000 2017,@357725 @marksandspencer Cancel all Saturday plans it's time for a trip to M&amp;S,1004388,marksandspencer,Sat Oct 14 12:55:27 +0000 2017,@357724 @357725 Happy shopping Kelley! Hope you have a wonderful day. :),
1004400,357728,Sat Oct 14 21:02:18 +0000 2017,@marksandspencer Thanks...just seems bizarre if you are fully online and have it in stock that as a customer I can't purchase it remotely?! https://t.co/tQ41jc673N,1004402,marksandspencer,Sun Oct 15 10:20:13 +0000 2017,@357728 Thanks for your feedback - we'll get this forwarded on to our team for the future.,
1004401,357728,Sat Oct 14 10:12:23 +0000 2017,"@marksandspencer please help coat I love out of stock online&amp;Aintree can't ship to Altrincham,is this right?Bizarre can't purchase remotely",1004399,marksandspencer,Sat Oct 14 12:49:15 +0000 2017,"@357728 Hi Donna, which coat is it? We can't transfer goods from store to store as we don't offer this service :(",1004400
1005034,357879,Wed Oct 11 20:48:58 +0000 2017,@marksandspencer so disappointed that you have ignored my tweets,1005033,marksandspencer,Thu Oct 12 07:40:22 +0000 2017,"@357879 Hi Jessica, we replied to you at 12:14 AM on 10 Oct 2017. You can see it here &gt; https://t.co/EqYc9KWDhC",
1005863,254308,Sun Oct 22 19:12:06 +0000 2017,@marksandspencer Thx also some basil would be nice,1005862,marksandspencer,Sun Oct 22 19:24:52 +0000 2017,"@254308 Our recipes are regularly reviewed, Mary. We'll let the team know you'd like to see some basil included.",
1005865,254308,Sun Oct 22 17:40:30 +0000 2017,@marksandspencer bad English grammar- it should read finish IT yourself!! I expect better than pigeon English from m&amp;s https://t.co/orvstZsLAJ,1005864,marksandspencer,Sun Oct 22 17:51:10 +0000 2017,"@254308 We'll let our Food team know what you've said, Mary. Thanks for the feedback.",1005863
