customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000635,356893,Sun Oct 22 06:22:20 +0000 2017,Late night mcdonalds run,1000633,McDonalds,Sun Oct 22 17:28:30 +0000 2017,@356893 Swing by anytime to tackle your craving. We love seeing you!,1000634
1000637,356894,Sun Oct 22 08:42:18 +0000 2017,I want a McGriddle 😭,1000636,McDonalds,Sun Oct 22 17:23:25 +0000 2017,@356894 Fingers crossed you get to stop by sometime soon!,
1000640,356895,Sun Oct 22 05:32:24 +0000 2017,Can we go back to the those late night trips to McDonald’s to get frappes and apples pies at 2 in the morning ?,1000638,McDonalds,Sun Oct 22 17:18:28 +0000 2017,@356895 Late night dates with you are the best! Swing by for those faves soon.,1000639
1000642,356896,Sun Oct 22 06:35:34 +0000 2017,This mcdonalds line rn,1000641,McDonalds,Sun Oct 22 17:18:28 +0000 2017,"@356896 We hope you enjoyed some tasty treats, Erykah!",
1000644,356897,Sun Oct 22 07:17:39 +0000 2017,I could really go for some McDonald’s right now #HUNGRY,1000643,McDonalds,Sun Oct 22 17:03:27 +0000 2017,"@356897 A visit from you would make our day, Leo! Stop by soon if you haven't already.",
1000646,356898,Sun Oct 22 06:57:58 +0000 2017,I want McDonald's :/,1000645,McDonalds,Sun Oct 22 17:03:27 +0000 2017,"@356898 Stop by soon and crush those cravings with us, Destiny!",
1004027,357643,Sun Oct 22 02:54:47 +0000 2017,McFlurry craving has been satisfied 😊,1004026,McDonalds,Sun Oct 22 15:23:28 +0000 2017,"@357643 Happy to hear you were able to crush that craving with us, pal! Stop by again soon. :)",
1004029,357644,Sun Oct 22 13:48:24 +0000 2017,A baby-free morning means pancakes in bed for the wifey. Thanks for the hook-up @McDonalds!,1004028,McDonalds,Sun Oct 22 15:28:27 +0000 2017,"@357644 No better way to start your day, Keith. Excellent choice!",
1005549,358000,Sat Oct 21 20:47:05 +0000 2017,McDonald's sprite do be tasting crispy,1005547,McDonalds,Sun Oct 22 19:28:25 +0000 2017,"@358000 Only the best for you, bud!",1005548
1005551,358001,Sat Oct 21 08:59:16 +0000 2017,McDonald’s cookies at 4 in the morning is the best medicine 😩😌,1005550,McDonalds,Sun Oct 22 19:28:25 +0000 2017,"@358001 We sure could use a visit from you, Rosey! Cookies party soon?",
1005553,358002,Sun Oct 22 19:00:02 +0000 2017,When bae buys you McDonald's 😍😍,1005552,McDonalds,Sun Oct 22 19:23:23 +0000 2017,"@358002 You have a McD's MVP on your hands, Jessica! Give them a hug for us.",
1005561,358004,Sat Oct 21 20:39:15 +0000 2017,"Pumpkin 🎃 picking, park flow and McDonalds playscape",1005560,McDonalds,Sun Oct 22 19:18:25 +0000 2017,@358004 Sounds like a great day! We're so happy to be part of it.,
1005564,358005,Sat Oct 21 20:38:11 +0000 2017,also I want 2 say I finally tried mcdonalds ice cream + french fries combo yesterday and 💯💯💪✨💪😩😩😩😩😩💯💯💕💕💕❤😍❤🍟🍟🍟🍦🍦🍦🍦💯💯💯✨😍💪❤❤,1005562,McDonalds,Sun Oct 22 19:18:25 +0000 2017,@358005 *checks box* Day made! Thanks for sharing.,1005563
1005566,358006,Sat Oct 21 20:36:34 +0000 2017,@McDonalds May we please get the southern style chicken biscuit again. Y’all lost a customer every since it was taking off ☹️,1005565,McDonalds,Sun Oct 22 19:13:26 +0000 2017,@358006 We are always evolving our menu. Change is good from time to time!,
1005568,358007,Sat Oct 21 20:36:45 +0000 2017,"I'm at McDonald's in Fayetteville, NC https://t.co/tNWNSW87EM",1005567,McDonalds,Sun Oct 22 19:13:26 +0000 2017,"@358007 We're so happy to be part of your day, Yessie!",
1005570,358008,Sat Oct 21 20:30:48 +0000 2017,"Can someone bring me some McDonald’s, please 😕",1005569,McDonalds,Sun Oct 22 19:13:26 +0000 2017,@358008 Who's ready to grab their keys and get our pal some McDonald's?,
1005573,358009,Sun Oct 22 06:07:54 +0000 2017,McDonald's sounds so good right now 😩,1005571,McDonalds,Sun Oct 22 19:08:26 +0000 2017,"@358009 We love crushing those cravings with you, Jessica! Stop by if you haven't yet. :)",1005572
