customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1057185,369621,Thu Oct 12 10:57:31 +0000 2017,@mediatemplehelp my ticket is still awaiting agent response. :(,1057186,mediatemplehelp,Thu Oct 12 22:57:06 +0000 2017,@369621 The best way to receive a follow up on a support request is to respond to it directly. An agent will then respond as soon as possible.,
1057185,369621,Thu Oct 12 10:57:31 +0000 2017,@mediatemplehelp my ticket is still awaiting agent response. :(,1057184,mediatemplehelp,Thu Oct 12 22:57:28 +0000 2017,"@369621 If you require immediate assistance, feel free to open a chat or call at 310-841-5500.",
1057189,369621,Thu Oct 12 07:29:54 +0000 2017,@124462 follow up on this one please - 4690144,1057187,mediatemplehelp,Thu Oct 12 08:00:56 +0000 2017,@369621 Thank you for contacting (mt) Media Temple!  Someone will review your request and get back to you shortly.,"1057185,1057188"
1057191,369622,Thu Oct 12 21:02:01 +0000 2017,@mediatemplehelp We can’t even log in to our account after resetting our passwords three times today. Very frustrating,1057190,mediatemplehelp,Thu Oct 12 21:04:53 +0000 2017,"@369622 If you require further assistance, please give us a call at 310-841-5500.",
1057191,369622,Thu Oct 12 21:02:01 +0000 2017,@mediatemplehelp We can’t even log in to our account after resetting our passwords three times today. Very frustrating,1057192,mediatemplehelp,Thu Oct 12 21:04:40 +0000 2017,"@369622 If you successfully updated your password, you may need to clear your browser cache or try another browser: https://t.co/iwnBvaxvrg",
1209425,213876,Wed Oct 25 02:06:47 +0000 2017,@mediatemplehelp Tried that. But I’m getting an error saying I need to flush the cache when I’m updating some plugins on my Wordpress install. Why is that?,1209426,mediatemplehelp,Wed Oct 25 02:09:41 +0000 2017,"@213876 If you are using a third party caching plugin, then you may need to flush cache within that plugins settings.",1209429
1209425,213876,Wed Oct 25 02:06:47 +0000 2017,@mediatemplehelp Tried that. But I’m getting an error saying I need to flush the cache when I’m updating some plugins on my Wordpress install. Why is that?,1209424,mediatemplehelp,Wed Oct 25 02:10:01 +0000 2017,"@213876 If you require further assistance, please open a chat or call at 310-841-5500.",
1209428,213876,Wed Oct 25 01:51:52 +0000 2017,@124462 how do I flush the cache on GRID? There’s no more button anymore.,1209427,mediatemplehelp,Wed Oct 25 02:02:07 +0000 2017,@213876 The Grid does not have a built in caching which you can flush. You may want to try clearing your browser cache: https://t.co/iwnBvaxvrg,1209425
1209429,213876,Wed Oct 25 02:10:14 +0000 2017,@mediatemplehelp I’m not using any third party caching plug-in. What else could be done?,1209430,mediatemplehelp,Wed Oct 25 02:11:17 +0000 2017,@213876 The grid does not have a built in caching function so you can not flush the cache through our systems. Please reach out to us via phone/chat,
1216404,318175,Sun Oct 15 14:08:25 +0000 2017,@124462 Every week.... https://t.co/93hsTQwpqN,1216403,mediatemplehelp,Sun Oct 15 14:15:04 +0000 2017,"@318175 I certainly apologize for the inconvenience, our admins are currently investigating and should have the issue resolved shortly.",
1216406,318175,Sun Oct 15 13:56:38 +0000 2017,"Any of my fellow bloggers, friends use @124462 grid server service for web hosting? Migrated my website from Godaddy (which was not great) to Media Temple 2 months ago and I have had server issues every week....any recommendations for new server??",1216407,mediatemplehelp,Sun Oct 15 14:04:18 +0000 2017,"@318175 My apologies, If you can contact us by chat or phone, we can certainly look into the issue occurring with the site.",
1249674,413203,Thu Oct 26 00:39:10 +0000 2017,@mediatemplehelp We create a support request. Request number: 4704473. We need your soon answer back.,1249673,mediatemplehelp,Thu Oct 26 01:03:15 +0000 2017,"@413203 Thanks, we will update you via the open support request as soon as possible.",
1249676,413203,Wed Oct 25 23:11:25 +0000 2017,"@mediatemplehelp I have problems with my emails from my account https://t.co/L4FpaXYjNV, Can we chat in private?",1249675,mediatemplehelp,Wed Oct 25 23:13:53 +0000 2017,"@413203 We are limited in what we can discuss via Twitter. I would recommend opening a chat, support request, or calling us at 310-841-5500",1249674
