customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1011526,359331,Thu Oct 12 08:21:41 +0000 2017,@MOO you send the best marketing emails! Genuinely awesome.,1011525,MOO,Thu Oct 12 09:18:04 +0000 2017,@359331 Yay! Glad you like them :),
1019150,361149,Thu Oct 12 11:00:17 +0000 2017,A bit of good old-fashioned #guerillamarketing @MOO @1644 https://t.co/tHzVAWKtoP,1019149,MOO,Thu Oct 12 13:06:11 +0000 2017,@361149 @1644 There is no shame in your guerilla game! #getit,
1025773,362717,Sat Oct 14 11:19:55 +0000 2017,"Decided to mix things up with a new design (and shape) for my next batch of cards...thanks, @MOO! #hiptobesquare #realestate #interiordesign https://t.co/2uewFiThwd",1025772,MOO,Sat Oct 14 14:28:00 +0000 2017,"@362717 Fan to the tastic, looking good!",
1039154,365851,Thu Oct 12 20:11:20 +0000 2017,SO happy with my new business cards from @MOO 😍😍😍 #novabunny https://t.co/9Wjc5OsTk8,1039152,MOO,Thu Oct 12 20:15:16 +0000 2017,@365851 Stellar Cards! :-),1039153
1045995,356876,Sun Oct 22 15:41:56 +0000 2017,i did that mix of different photos on my latest @MOO business cards but a bunch came out blank on one side. Did I do something wrong? #help,1045994,MOO,Mon Oct 23 10:11:03 +0000 2017,"@356876 Oh no, sorry to hear that! Please DM us your order number and we'll check what happened.",
1045997,367280,Sat Oct 21 21:25:40 +0000 2017,First @MOO order not so good. All 200 cards peeling and their contact form modal doesn’t work on mobile. https://t.co/L7rnIkPjmI,1045996,MOO,Mon Oct 23 08:48:44 +0000 2017,@367280 We've DMed you!,
1046000,367281,Sat Oct 21 14:53:47 +0000 2017,I'm impressed w/the delightful unwrapping experience of my new business cards from @MOO (notice the box has more than one use) #design #ux https://t.co/2IRcVJtEzm,1045998,MOO,Mon Oct 23 08:30:22 +0000 2017,@367281 ( Weirdly ) satisfying video :),1045999
1067568,371930,Fri Oct 13 03:28:30 +0000 2017,sooo are my @MOO business cards here yet. LOL,1067566,MOO,Fri Oct 13 10:41:42 +0000 2017,"@371930 Sorry Kevin, your cards are still in production, you will receive an email with tracking info once they have been sent out. :)",1067567
109735,140367,Thu Nov 23 16:12:13 +0000 2017,Now have no access to my parcel &amp; needed it ASAP hence paid xtra. Wasn't left with my neighbour but a complete stranger...@140368 @MOO,109734,MOO,Thu Nov 23 16:21:24 +0000 2017,@140367 @140368 That's not good! Can you DM us the order reference??,
109737,140369,Thu Nov 23 13:56:50 +0000 2017,Nothing like some printed goodness. These turned out great. Thanks @MOO #print #christmas #invite #circus #cirque https://t.co/sbxZwnI4DC,109736,MOO,Thu Nov 23 15:11:33 +0000 2017,"@140369 Fan to the tastic, looking good :)",
109740,140370,Thu Nov 23 11:52:01 +0000 2017,I love it when an @MOO arrives - colourful ways to say a huge thank you to our amazing @6355 customers #tribaltouches #startup https://t.co/tRjK7sQ5l9,109738,MOO,Thu Nov 23 14:29:19 +0000 2017,"@140370 @6355 They look amazing, thanks for sharing!",109739
1099507,379463,Mon Oct 23 09:07:05 +0000 2017,My new biz cards from @MOO https://t.co/lEGt61Ts21,1099506,MOO,Mon Oct 23 10:37:53 +0000 2017,@379463 We love them! Great use of Printifnity and the colours look fab.,
1099511,379464,Mon Oct 23 08:25:11 +0000 2017,"Loving our mini cards from @MOO.... attractive, useful and sooo many uses! https://t.co/oC64y9fHJM",1099510,MOO,Mon Oct 23 10:36:40 +0000 2017,"@379464 We know we can't eat them, but yum. They look amazing and the MiniCards work so well.",
1099513,379465,Sun Oct 22 15:42:22 +0000 2017,Love my new #BusinessCards – great quality printing from @MOO https://t.co/DxJ0Y6azsm,1099512,MOO,Mon Oct 23 10:33:01 +0000 2017,"@379465 They look amazing, the colour came out so well.",
1099515,379466,Sun Oct 22 11:42:20 +0000 2017,Screenshoot from the webpage of @MOO . I love you guys! https://t.co/SF1subzRGl,1099514,MOO,Mon Oct 23 10:32:12 +0000 2017,@379466 We do love cookies. Any excuse to include them in our day :D,
1130097,386353,Sat Oct 14 15:16:21 +0000 2017,paper porn 😩👌 @MOO https://t.co/NWcTPbLaRC,1130096,MOO,Sun Oct 15 11:15:45 +0000 2017,@386353 Excellent! Thanks for sharing.,
1169963,162556,Tue Oct 24 18:51:13 +0000 2017,@MOO Thank you!,1169965,MOO,Tue Oct 24 20:19:16 +0000 2017,@162556 You're most welcome!,
1169964,162556,Tue Oct 24 17:20:28 +0000 2017,"@MOO hi, can I print with Pantones through you guys?",1169967,MOO,Tue Oct 24 18:28:43 +0000 2017,@162556 We print in CMYK &amp; designs submitted in RGB/Pantone colors will be converted by our system. We're unable to offer color matching/spot colors,
1169964,162556,Tue Oct 24 17:20:28 +0000 2017,"@MOO hi, can I print with Pantones through you guys?",1169966,MOO,Tue Oct 24 18:29:41 +0000 2017,"@162556 For color accuracy, we recommend converting to CMYK and manually adjusting your colors prior to uploading your files.",
1169964,162556,Tue Oct 24 17:20:28 +0000 2017,"@MOO hi, can I print with Pantones through you guys?",1169962,MOO,Tue Oct 24 18:29:50 +0000 2017,"@162556 For more info about the color settings, check out this link:
https://t.co/0UtDHHvVgO",1169963
