customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000864,337783,Sun Oct 22 17:21:17 +0000 2017,@nationalrailenq are trains running from london cannon street to Sittingbourne today?,1000863,nationalrailenq,Sun Oct 22 17:24:23 +0000 2017,"@337783 Hi, there are direct trains on this route today, the next two are at 1837 &amp; 1937.",
1000866,264010,Sun Oct 22 17:18:51 +0000 2017,@nationalrailenq Thanks but what does that mean? Is it likely to be remedied?,1000865,nationalrailenq,Sun Oct 22 17:22:11 +0000 2017,"@264010 There is a fault with equipment in the area - this can control the signalling, communications/track. Staff are working on this.",
1000868,264010,Sun Oct 22 17:13:25 +0000 2017,@nationalrailenq no trains hebdnen bridge again. Why this time ?  Will the following ones actually run,1000867,nationalrailenq,Sun Oct 22 17:16:57 +0000 2017,"@264010 Hi Shaun, there is a problem with lineside equipment, we currently estimate this will continue until 1900.",1000866
1000869,264010,Sun Oct 22 17:17:38 +0000 2017,@nationalrailenq Will the 1942 run or not   Shown delayed at mo but will you cancel it later this messing our travel plans further. Transport is your job!,1000870,nationalrailenq,Sun Oct 22 17:20:22 +0000 2017,"@264010 We provide information on train times &amp; disruptions, we do not operate or cancel trains. The 1943 is delayed with no eta.",
1002158,357227,Sun Oct 22 14:43:21 +0000 2017,@nationalrailenq Middlesbrough. Unless I read it wrongly?,1002160,nationalrailenq,Sun Oct 22 14:46:23 +0000 2017,"@357227 Thanks. There is a train from Manchester Airport to Middlesbrough at 1533, so I suspect you searched the wrong way round.",1002161
1002159,357227,Sun Oct 22 14:39:43 +0000 2017,@nationalrailenq No Manchester Airport train at 1530 apparently. Next one is 1629. Old data?,1002157,nationalrailenq,Sun Oct 22 14:42:14 +0000 2017,@357227 From which station please?,1002158
1002161,357227,Sun Oct 22 14:47:46 +0000 2017,@nationalrailenq Ahhh! Ha perhaps so! Thank you 😃 heading for a warming coffee 😃👌,1002162,nationalrailenq,Sun Oct 22 14:49:09 +0000 2017,"@357227 No problem, live trains can trip you up sometimes!",
1002164,357227,Sun Oct 22 14:38:09 +0000 2017,@nationalrailenq Too late I'm out of wifi range now. Said there was a train when there wasn't one!,1002166,nationalrailenq,Sun Oct 22 14:40:50 +0000 2017,@357227 Was this on the Live Trains part of the app?,1002167
1002165,357227,Sun Oct 22 14:34:55 +0000 2017,@nationalrailenq Why is there a difference in train times from the iPad app to the mobile one? #coldplatform,1002163,nationalrailenq,Sun Oct 22 14:37:09 +0000 2017,"@357227 Hi, can you send us screenshots of both of these so we can compare them?","1002159,1002164"
1003450,318754,Sun Oct 22 15:15:57 +0000 2017,"@nationalrailenq If disruption continues at 18:00, can I board the 18:17 VTEC service?",1003452,nationalrailenq,Sun Oct 22 15:18:52 +0000 2017,@318754 You would need to check this with @242596 as they agree &amp; withdraw this ticket acceptance.,1003453
