customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1019223,361165,Sun Oct 22 18:57:45 +0000 2017,@NeweggService why has it taken over 2 weeks for my order to be moving in my direction,1019222,NeweggService,Sun Oct 22 19:00:03 +0000 2017,"@361165 Hello, we would like to take a look into this for you.  Can we have you DM us your order number please?  -L",
1038486,365689,Sat Oct 14 08:14:22 +0000 2017,Waiting for your @116593 package like ....shipping taking 5ever #gtx1080ti,1038485,NeweggService,Sat Oct 14 15:41:18 +0000 2017,@365689 Hi! I'd like to check on the status of your shipping.  Can you send us a DM with your order number to check? -C,
1039101,365840,Sun Oct 22 22:47:57 +0000 2017,@NeweggService Livid. Your agent blamed ME for YOUR BS time. I've asked to resolve this since Oct 10th. Here it is the 22nd and I'm being blamed!,1039099,NeweggService,Sun Oct 22 22:50:06 +0000 2017,@365840 Let's take a look into this for you. May I have you send us a DM with your information please? -L,1039100
1039103,365840,Sun Oct 22 22:41:37 +0000 2017,"@116593 sells defective products, BSes you until it is past their 'return policy' then refuses to refund/RMA and blames customers?! IRATE",1039102,NeweggService,Sun Oct 22 22:46:10 +0000 2017,"@365840 Hey, sorry to hear, we do have a set return policy that can be found on the item page, but let's see what we can do.1 of 2",1039101
1039105,365840,Sun Oct 22 22:45:30 +0000 2017,Hey @NeweggService How about getting back to those ebay messages in a timely manner? Or not blaming customers for your BS time? IRATE,1039104,NeweggService,Sun Oct 22 22:47:18 +0000 2017,@365840 Can we have you DM us your order number please? 2 of 2 -L,
1050331,339494,Thu Nov 30 14:36:46 +0000 2017,"@116593 @160676 @23589 Too bad @116593 failed to ship this order.  I am still ordering but I have now ordered from @115821 instead. Newegg has a been a constant disappointment, I am not sure why I keep giving them a chance.",1050330,NeweggService,Sat Dec 02 01:23:17 +0000 2017,"@339494 @116593 @160676 @23589 @115821 Hi there, AshleyLee, I deeply apologize for this. Please send our team a direct message! We will look into this issue right away. -J.",
1068059,372036,Sat Oct 14 22:28:39 +0000 2017,@372037 @116593 What’s the dimensions? I have a small mini itx case just wondering if it will fit.,1068058,NeweggService,Sat Oct 14 22:40:23 +0000 2017,"@372036 Hi Eric! The dimensions to this PSU are 3.35"" x 5.91"" x 5.91"" -C",
1090487,377288,Mon Oct 23 18:02:22 +0000 2017,@377289 You can get parts really cheap on Newegg just look out for the Cyber Monday day deals and you can build a pretty decent PC for cheap.,1090486,NeweggService,Mon Oct 23 18:04:59 +0000 2017,@377288 @377289  https://t.co/IG2e1PwnuH,
1090492,373192,Mon Oct 23 17:41:26 +0000 2017,@NeweggService question about RMA,1090490,NeweggService,Mon Oct 23 17:49:58 +0000 2017,@373192 Hi there! Please direct message us with your RMA number. We'll gladly assist you. -J,1090491
1090495,377290,Mon Oct 23 16:24:27 +0000 2017,"@NeweggService Ça serait bien que ça soit un peu plus publicisé par exemple, j'ai eu à lire pas mal de forums pour trouver cette information!",1090493,NeweggService,Mon Oct 23 16:27:23 +0000 2017,@377290 C'est une merveilleuse rétroaction! Je ferai en sorte de suggérer cela à notre équipe de site Web. -J,1090494
1090497,377290,Mon Oct 23 15:48:39 +0000 2017,Ç'a l'air que Newegg te donne un shipping label gratuit pour les retours si tu demandes poliment par chat. #Nice,1090496,NeweggService,Mon Oct 23 16:05:23 +0000 2017,@377290 Nous faisons de notre mieux pour aider tous nos clients! Merci pour vos mots genre. Passez un bon lundi! -J,1090495
1090499,377291,Mon Oct 23 16:17:06 +0000 2017,"I just bought:  Fractal Design Focus G Mini Black MicroATX Mid Tower Computer Case via @116593 https://t.co/gX73ysy9N7

@47175",1090498,NeweggService,Mon Oct 23 16:22:53 +0000 2017,@377291 @116593 @47175  https://t.co/68JLhoFcy2,
1094127,278325,Fri Oct 13 19:48:14 +0000 2017,@116593 great 2 dead motherboards in 3 weeks,1094126,NeweggService,Fri Oct 13 20:03:11 +0000 2017,Hello @278325 we would gladly assist you with this. Can you DM us your order number or information?-Nick,
1104284,380598,Mon Oct 23 21:43:42 +0000 2017,@116593 @189751 @188052 @236406 @161452 Does it actually play cassettes?,1104282,NeweggService,Mon Oct 23 21:59:02 +0000 2017,"@380598 @116593 @189751 @188052 @236406 @161452 Sadly, it does not play cassettes. It should though! -J https://t.co/kfbOK1YudP",1104283
1104287,193834,Mon Oct 23 21:47:12 +0000 2017,"errr, not again, #Newegg delivery issues; item is lost even tho it says delivered, why is it so inconsistent shipping to my address?",1104286,NeweggService,Mon Oct 23 21:55:15 +0000 2017,@193834 Oh no! We deeply apologize for that. Please direct message us your order number. We would like to look into this for you. -J,
