customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1007621,300232,Sun Oct 22 19:47:19 +0000 2017,@NikeSupport Oops... don’t do it!!! That will take away my mile.,1007620,NikeSupport,Sun Oct 22 19:54:57 +0000 2017,@300232 No problem. Let us know if we can help with anything else.,
1007623,300232,Sun Oct 22 19:40:23 +0000 2017,@NikeSupport App version https://t.co/x7oHkfratM,1007622,NikeSupport,Sun Oct 22 19:45:31 +0000 2017,@300232 Keep in mind editing the run will delete GPS info and split times. Thoughts? (2/2),1007621
1007623,300232,Sun Oct 22 19:40:23 +0000 2017,@NikeSupport App version https://t.co/x7oHkfratM,1007624,NikeSupport,Sun Oct 22 19:45:00 +0000 2017,@300232 Got it. It looks like the run was just short of a 5k at 4.998 km. Would you like us to add the mileage for you? (1/2),
1007628,300232,Sun Oct 22 19:30:45 +0000 2017,"@NikeSupport No luck, even refreshed the runs, still doesn’t show as a PR for 5k",1007626,NikeSupport,Sun Oct 22 19:35:56 +0000 2017,"@300232 Thanks for giving that a try. What device, operating system and NRC app version are you using?","1007627,1007625"
1007630,300232,Sun Oct 22 19:18:17 +0000 2017,"@NikeSupport Afraid not, still shows my old 5k record, today was 23:30 https://t.co/c9TKgmZY9e",1007629,NikeSupport,Sun Oct 22 19:21:56 +0000 2017,@300232 Go ahead and uninstall the NRC app&gt; restart device&gt; reinstall the NRC app. Any luck?,1007628
1007632,300232,Sun Oct 22 18:24:04 +0000 2017,@NikeSupport handle is loretta5ue on NikePlus site if you want/need to take a peek,1007631,NikeSupport,Sun Oct 22 19:12:23 +0000 2017,@300232 Here to help. Go ahead and log out&gt; restart device&gt; log back in. All better?,1007630
1007659,334824,Sun Oct 22 19:27:56 +0000 2017,"@NikeSupport hey guys I don’t know what you have done with the app but it sucks. I restart it a lot
Of times Every time that I try to go out https://t.co/BkAe2pHON9",1007658,NikeSupport,Sun Oct 22 19:35:29 +0000 2017,@334824 Let's figure this out. Can you pass us your NikePlus email via DM? Click the link below. https://t.co/dsJjx1OYXB,
1008462,358636,Sat Oct 14 00:00:08 +0000 2017,@NikeSupport,1008461,NikeSupport,Sat Oct 14 13:16:27 +0000 2017,"@358636 We're here to help, Kelen. Can you elaborate on what you're experiencing?",
1009960,358975,Sun Oct 22 20:29:12 +0000 2017,"@NikeSupport hello, app has a problem with plan creating!!!",1009959,NikeSupport,Sun Oct 22 20:34:00 +0000 2017,"@358975 Let's get to the bottom of this, Ivan. Are you getting an error message when trying to create a plan?",
1009962,358976,Mon Oct 23 10:02:11 +0000 2017,"@NikeSupport Furthermore, it was perfectly working in my iphone5s.",1009965,NikeSupport,Mon Oct 23 15:08:29 +0000 2017,@358976 Can you tell us where you're located?,1009966
1009964,358976,Sun Oct 22 20:03:30 +0000 2017,@NikeSupport does not working properly on my oppo A57,1009961,NikeSupport,Sun Oct 22 20:09:56 +0000 2017,@358976 Here to help. Can you elaborate on what you're experiencing?,"1009962,1009963"
1009969,358977,Sun Oct 22 18:18:18 +0000 2017,@129913 absolutely failed me today. Serious connectivity issues.😭 Still ran 10miles. Back on track for the @76280! 😊 https://t.co/DzRU10yDCe,1009967,NikeSupport,Sun Oct 22 20:07:56 +0000 2017,"@358977 Mind if we step in, Roxanne? Can you elaborate on what you're experiencing?",1009968
1009970,358977,Sun Oct 22 20:51:47 +0000 2017,@NikeSupport I’ve used Nike Run Club for a few years and have never experienced this- it was odd! Thanks for getting in touch 😊,1009971,NikeSupport,Sun Oct 22 21:04:30 +0000 2017,"@358977 Got it. What device, operating system and NRC app version are you using?",1009972
1009972,358977,Mon Oct 23 02:04:51 +0000 2017,"@NikeSupport iPhone 6, iOS 11.0.3, not sure of the Nike Run Club version.",1009973,NikeSupport,Mon Oct 23 15:06:27 +0000 2017,@358977 Go to Settings&gt; About version. Do you see it?,1009974
1009974,358977,Mon Oct 23 15:30:11 +0000 2017,@NikeSupport Thanks - I have 5.9.0,1009975,NikeSupport,Mon Oct 23 15:35:40 +0000 2017,@358977 Got it. Go ahead and log out of the NRC app&gt; restart device&gt; log back in. All better?,
1010966,308293,Thu Oct 12 15:49:51 +0000 2017,@NikeSupport Puedes revisar con el de __email__,1010967,NikeSupport,Tue Oct 17 12:04:26 +0000 2017,@308293 Hemos enviado un reset de contraseña. Te recomendamos echar un vistazo en tu bandeja de entrada o correo no deseado.,
1015416,360257,Thu Oct 26 17:16:01 +0000 2017,@NikeSupport Nike app still not working 🙄 only registered 2 out of 3 mile run 👎🏻,1015418,NikeSupport,Thu Oct 26 17:32:57 +0000 2017,@360257 We're here for you. Go ahead and uninstall the NRC app&gt; restart your devices&gt; reinstall the app&gt; go for a test run. Better?,1015419
1015417,360257,Sun Oct 22 18:42:35 +0000 2017,"@NikeSupport Ok. Thank you, for your help",1015415,NikeSupport,Sun Oct 22 18:46:54 +0000 2017,@360257 You're welcome. Keep us in the loop.,1015416
