customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1012679,359624,Sat Oct 14 14:32:30 +0000 2017,Honestly @132897 costumer chat service is amazing. 👌👌,1012678,NortonSupport,Sat Oct 14 14:35:15 +0000 2017,@359624 Thanks for your message. :) Feel free to reach us if you need any help in future. -Steffi (cc: @132897),
1012681,359625,Sat Oct 14 17:07:58 +0000 2017,"@NortonSupport For the record, I won't be renewing NMS on 6 of my devices anymore. You guys better start getting serious in this business. Many issues.",1012683,NortonSupport,Sat Oct 14 17:13:34 +0000 2017,@359625 We do see that the issue is fixed from our end. Could you please try login and let us know if you need further help with this. -Steffi,1012684
1012682,359625,Sat Oct 14 14:10:16 +0000 2017,@NortonSupport Did you post an announcement on this? Can i have the link?,1012680,NortonSupport,Sat Oct 14 14:19:28 +0000 2017,"@359625 Sorry, we have not made an announcement on this. We are trying to get this issue sorted out as soon as possible. - Steffi",1012681
1012684,359625,Sat Oct 14 17:16:23 +0000 2017,@NortonSupport its alright. I am already checking out mobile security solutions from Kaspersky and Avira.,1012685,NortonSupport,Sat Oct 14 17:20:12 +0000 2017,@359625 We certainly understand your frustration. if you need any help with Norton you can tweet us anytime. We can help you! -Steffi,
1012687,359625,Sat Oct 14 13:40:01 +0000 2017,@NortonSupport What's wrong with your Mobile Security platform? I can't view any devices,1012686,NortonSupport,Sat Oct 14 13:48:16 +0000 2017,"@359625 Hi kugan, We are aware of the issue our concerned team is working towards the fix. Once we have an update we will keep you posted. -Steffi",1012682
1016299,360458,Sun Oct 22 21:41:26 +0000 2017,@NortonSupport Nope didn't give that option on account pages. Doubt if it will have applied to other 4 licenses either,1016301,NortonSupport,Sun Oct 22 21:50:20 +0000 2017,@360458 That's weird! We would like collect more details about your subscription. Please send us a DM here. We will look into this for you. -Charlie,
1016300,360458,Sun Oct 22 18:21:50 +0000 2017,@NortonSupport Yes there was no option allowing me,1016298,NortonSupport,Sun Oct 22 18:45:52 +0000 2017,"@360458 You can click on the link ""Enter a new product key"" to type in your new key? Did you get a chance to try that? - Charlie",1016299
101654,138272,Thu Nov 30 17:40:00 +0000 2017,"@NortonSupport No, my phone doesn't support memory cards.",101653,NortonSupport,Thu Nov 30 17:42:10 +0000 2017,"@138272 Also, please make sure the app is updated -Anirban",
101654,138272,Thu Nov 30 17:40:00 +0000 2017,"@NortonSupport No, my phone doesn't support memory cards.",101655,NortonSupport,Thu Nov 30 17:41:53 +0000 2017,@138272 Alright. Please confirm the phone model and the version of android. Let me check with this-Anirban,
101656,138272,Thu Nov 30 17:50:29 +0000 2017,"@NortonSupport The app is updated, the model is Pixel 2 XL and the Android version is 8.1.0 Beta 2",101660,NortonSupport,Thu Nov 30 17:53:13 +0000 2017,@138272 Thanks for the information. Let me quickly check and get back to you -Anirban,
101658,138272,Thu Nov 30 17:08:51 +0000 2017,@132897 the cleaning app you guys offer for Android is telling me that I have a 128GB phone when I only have a 64GB phone... Is this going to screw things up for me? https://t.co/3urtOQKDs9,101657,NortonSupport,Thu Nov 30 17:38:25 +0000 2017,"@138272 Hi, Sorry for the trouble. Is there a memory card installed or external storage connected? -Anirban",101654
101658,138272,Thu Nov 30 17:08:51 +0000 2017,@132897 the cleaning app you guys offer for Android is telling me that I have a 128GB phone when I only have a 64GB phone... Is this going to screw things up for me? https://t.co/3urtOQKDs9,101659,NortonSupport,Sun Dec 03 19:01:15 +0000 2017,"@138272 Hi Braeden! While we're checking with the concerned team, could you please confirm if you still have the same issue? -Karthik",
101662,NortonSupport,Thu Nov 30 15:04:07 +0000 2017,@138273 That' odd! This does not look like our support number. Did you share any information of your Norton account details? -Karthik,101661,NortonSupport,Thu Nov 30 15:32:05 +0000 2017,@138273 This doesn't look like us! Feel free to tweet us if you need any further help with this. -Karthik,
101663,138273,Thu Nov 30 14:59:26 +0000 2017,some from norton rang me earlier and tried to hack my computer on 07713926242 do not answer this phone number at any cost please let everyone know not to answer this number,101662,NortonSupport,Thu Nov 30 15:04:07 +0000 2017,@138273 That' odd! This does not look like our support number. Did you share any information of your Norton account details? -Karthik,101661
1023767,362260,Tue Oct 24 23:56:16 +0000 2017,"@NortonSupport Ran Live Update, double checked and also rebooted. Seems quicker now. Thanks",1023769,NortonSupport,Tue Oct 24 23:59:35 +0000 2017,"@362260 You're welcome! Glad you got this under control. If you ever need any help with your Norton product, we are just a tweet away! :) -Karthik",
1023768,362260,Tue Oct 24 23:15:44 +0000 2017,@NortonSupport Will do.,1023766,NortonSupport,Tue Oct 24 23:18:07 +0000 2017,@362260 Great! Let us know about the status. -Karthik,1023767
1023771,362260,Tue Oct 24 23:08:50 +0000 2017,@NortonSupport @132897 Literally just booted the laptop up and noticed a scan was needed. Has been stalling for months looking at start up files but finds no issue,1023770,NortonSupport,Tue Oct 24 23:12:44 +0000 2017,@362260 Could you please try running 'Live Update' till you have current updates up-to-date and try running scan. -Karthik,1023768
1023773,362260,Tue Oct 24 23:04:04 +0000 2017,@132897 you need to improve the Virus Scan. Current “quick scan” has been over 30 min so far. #notquick #stalled,1023772,NortonSupport,Tue Oct 24 23:06:57 +0000 2017,"@362260 Sorry about that, Bryan! Did you try restarting your computer and check if that helps? -Karthik (cc: @132897)",1023771
