customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1131075,254070,Tue Oct 24 03:14:33 +0000 2017,"@OfficeSupport I don’t think so. I usually don’t add pics, but for this note I wanted too; however, it didn’t let me. It says it can’t insert it and that the pic may have a problem; which it says for all pics I try. It is the iOS app on my iPad Air 2. Thanks for your help.",1131077,OfficeSupport,Tue Oct 24 03:40:25 +0000 2017,"@254070 1/2 Try to reset OneNote app and delete your Login credentials, then restart your device. Sign in using your Microsoft account",
1131075,254070,Tue Oct 24 03:14:33 +0000 2017,"@OfficeSupport I don’t think so. I usually don’t add pics, but for this note I wanted too; however, it didn’t let me. It says it can’t insert it and that the pic may have a problem; which it says for all pics I try. It is the iOS app on my iPad Air 2. Thanks for your help.",1131076,OfficeSupport,Sat Oct 28 10:36:51 +0000 2017,"@254070 Hi, Ryan! Were we able to resolve your issue? If so, please let us know about your experience here: https://t.co/yd4PE6ncmF.",
1131075,254070,Tue Oct 24 03:14:33 +0000 2017,"@OfficeSupport I don’t think so. I usually don’t add pics, but for this note I wanted too; however, it didn’t let me. It says it can’t insert it and that the pic may have a problem; which it says for all pics I try. It is the iOS app on my iPad Air 2. Thanks for your help.",1131074,OfficeSupport,Tue Oct 24 03:40:26 +0000 2017,@254070 2/2 and try inserting photos. Let us know if this works for you.,
1131079,254070,Tue Oct 24 00:42:37 +0000 2017,@OfficeSupport why can’t I add pics in one note?!? https://t.co/SZIQsEfLyr,1131078,OfficeSupport,Tue Oct 24 02:35:25 +0000 2017,"@254070 Hi, Ryan. Help is here. Have you made any changes prior to having this issue? Are you using OneNote app or the desktop version? https://t.co/Iyk9OK8PbO",1131075
1186199,398920,Wed Oct 25 18:30:35 +0000 2017,@MicrosoftHelps @OfficeSupport I tweeted @OfficeSupport and got no response.  Going on 72 hours with no public folders access.  Can you provide an update?,1186201,OfficeSupport,Wed Oct 25 21:27:00 +0000 2017,"@398920 Sorry for the delay, Steven. This has already been fixed. Can you confirm if everything is working on your end?",1186202
1186202,398920,Wed Oct 25 21:37:44 +0000 2017,@OfficeSupport It's still a no go for our domain.  No access to public folders through Outlook or OWA.  What's next?,1186203,OfficeSupport,Wed Oct 25 23:06:24 +0000 2017,@398920 We're sorry this is happening. We've sent you a DM so we can gather more info about this. Kindly check your inbox.,
1264403,416095,Thu Oct 26 11:52:59 +0000 2017,@OfficeSupport Business,1264405,OfficeSupport,Thu Oct 26 13:49:30 +0000 2017,@416095 Thanks for the info. Can you confirm if this is happening with any particular Office app?,1264406
1264404,416095,Thu Oct 26 10:36:21 +0000 2017,@OfficeSupport it's Office Online.,1264402,OfficeSupport,Thu Oct 26 11:52:25 +0000 2017,"@416095 Thanks for confirming. To further verify, is it a personal or a business account?",1264403
1264406,416095,Thu Oct 26 15:05:42 +0000 2017,@OfficeSupport No. Just the search bar in general. This is the search bar like in the file explorer in desktop where you can search different files.,1264407,OfficeSupport,Thu Oct 26 16:45:35 +0000 2017,"@416095 Got it. So we can better assist you, please share a screenshot that includes the entire screen. Feel free to DM us.",1264408
1264410,416095,Thu Oct 26 09:13:51 +0000 2017,"@OfficeSupport when searching in the Search Bar. It only returns ""[Object] [Object]"" as result.",1264409,OfficeSupport,Thu Oct 26 10:33:00 +0000 2017,@416095 Let's get this checked. What version of Office are you using? Here's how to check: https://t.co/GCl5QKOrpo. Update us.,1264404
1264412,416095,Thu Oct 26 06:16:31 +0000 2017,Day 3. Still not fixed. @OfficeSupport @122427 https://t.co/BFz5tRgBLf,1264411,OfficeSupport,Thu Oct 26 08:17:34 +0000 2017,"@416095 Hi, Edward. We're here to help. Could you give us more details regarding your concern? Kindly send us a DM. https://t.co/Iyk9OK8PbO",1264410
128639,144947,Thu Nov 23 22:40:17 +0000 2017,@OfficeSupport yes.,128638,OfficeSupport,Fri Nov 24 01:36:30 +0000 2017,@144947 Hmm. We suggest that you try these steps for the shape issue here: https://t.co/VM1k5JT8xH. Let us know how things go.,
128639,144947,Thu Nov 23 22:40:17 +0000 2017,@OfficeSupport yes.,128640,OfficeSupport,Fri Nov 24 20:07:29 +0000 2017,@144947 Hello. Just doing a follow-up on your case. Are you still experiencing the issue?,128650
128642,144947,Thu Nov 23 20:16:37 +0000 2017,"@OfficeSupport Can't be bothered to resolve. Found a way to hide these messages. Not ideal. If you have seen these issues before, please do send the 'official' link to the Wiki article for resolution.",128641,OfficeSupport,Thu Nov 23 22:23:27 +0000 2017,@144947 That's strange. Have you tried using a different browser and check if the issue still persists?,128639
128644,144947,Wed Nov 22 11:47:34 +0000 2017,@OfficeSupport No.. except that Office Apps on Mac want to update ever other day.,128645,OfficeSupport,Wed Nov 22 12:36:00 +0000 2017,@144947 Let's see. Have you tried any troubleshooting steps to sort this out?,
128644,144947,Wed Nov 22 11:47:34 +0000 2017,@OfficeSupport No.. except that Office Apps on Mac want to update ever other day.,128643,OfficeSupport,Thu Nov 23 19:10:00 +0000 2017,@144947 Hi. Do you still need help? We want to make sure that everything is sorted on your end.,128642
128647,144947,Tue Nov 21 20:39:15 +0000 2017,Dear @115890 @120366 @OfficeSupport - How do I fix this: Excel can’t download this shape https://t.co/CmSZdqOEsW,128646,OfficeSupport,Tue Nov 21 22:17:00 +0000 2017,@144947 Hello! It's our pleasure to assist you. Were there any recent changes to your device prior to this issue?,128644
128650,144947,Fri Nov 24 23:30:11 +0000 2017,@OfficeSupport Yes. Do you have any reasons for why this message appears? And why it's a huge White box that covers the content of the spreadsheet?,128652,OfficeSupport,Tue Nov 28 05:11:29 +0000 2017,@144947 Was your issue taken care of? We’d love to hear back from you about your experience with us! Please let us know here: https://t.co/37muLFav5r.,
128650,144947,Fri Nov 24 23:30:11 +0000 2017,@OfficeSupport Yes. Do you have any reasons for why this message appears? And why it's a huge White box that covers the content of the spreadsheet?,128651,OfficeSupport,Sat Nov 25 03:25:54 +0000 2017,@144947 In this case. It would be best if we ask the assistance of our Answer Desk team. Here's the link where you can reach them: https://t.co/qu5un5mgjT. https://t.co/Iyk9OK8PbO,
1297417,423189,Wed Oct 25 23:24:24 +0000 2017,"@OfficeSupport Same on OWA, this if for Office 365 that I am having issues and it could be my DNS",1297415,OfficeSupport,Thu Oct 26 21:21:00 +0000 2017,@423189 Sorry for the delay. Can you confirm if this is also happening when trying in another location?,1297416
1297419,423189,Wed Oct 25 22:26:36 +0000 2017,@OfficeSupport no emails are coming in today! How can I resolve this...,1297418,OfficeSupport,Wed Oct 25 23:21:00 +0000 2017,"@423189 We're here to help, Stéphane. Can you confirm if this is also happening when trying through OWA?",1297417
