customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1057623,369724,Sat Oct 14 19:21:54 +0000 2017,@PandoraSupport Is premium FREEmium? Work has ads and skip limits BUT... it still doesn't make sense why I only hear 2 Best Coast songs out of dozens,1057625,PandoraSupport,Sat Oct 14 21:36:49 +0000 2017,"@369724 Premium is our paid on-demand service. Are you listening to a station on our free model? If so, it's radio only!",
1057624,369724,Sat Oct 14 16:30:27 +0000 2017,"@PandoraSupport aye, Best Coast has 5 albums yet I'm hearing the same 2 songs and a LOT of music that doesn't belong in this playlist?",1057622,PandoraSupport,Sat Oct 14 19:11:29 +0000 2017,"@369724 Hi Miranda, are you listening on Pandora Premium? Let me know!",1057623
1057665,364242,Sat Oct 14 15:07:30 +0000 2017,@129941 ran a commercial in the middle of the song. 😨👎🏾,1057663,PandoraSupport,Sat Oct 14 19:09:54 +0000 2017,@364242 Oh no 😓 What's your Pandora email address? What is the make and model of your device? I'd like to send troubleshooting steps.,1057664
1057667,369735,Sat Oct 14 20:04:47 +0000 2017,@PandoraSupport Apple iPhone 7.,1057669,PandoraSupport,Sat Oct 14 22:18:28 +0000 2017,@369735 Thanks for letting me know. Try these steps https://t.co/HabcxLinHm . Hope this helps!,1057670
1057668,369735,Sat Oct 14 14:52:02 +0000 2017,I’m convinced @129941 has a bug or something cuz it shuts down my entire phone at least twice a day.,1057666,PandoraSupport,Sat Oct 14 19:08:00 +0000 2017,@369735 That's def some thing buggy. What's the make and model of your device? I'll send over troubleshooting steps. Let me know.,1057667
1057682,369737,Sat Oct 14 12:49:43 +0000 2017,I love how I asked @129941 not to play explicit content (I use it at work) and all kinds of b*..n*..sh* come out the speaker 😂🙃🙃🙃,1057681,PandoraSupport,Sat Oct 14 19:07:30 +0000 2017,"@369737 Sorry that's happening. Can you DM us your Pandora email address, the station this happened on, and the tracks that played?",
1057684,369738,Sat Oct 14 19:17:02 +0000 2017,@PandoraSupport Did both. The downloads came back about an hour later.,1057686,PandoraSupport,Sat Oct 14 22:08:00 +0000 2017,@369738 Thanks for letting me know. Signing out or uninstalling deletes your downloads. Hope this helps!,"1057687,1057688"
1057685,369738,Sat Oct 14 03:46:29 +0000 2017,When @129941 randomly deletes all your downloads....confused why I'm evening paying for premium now.,1057683,PandoraSupport,Sat Oct 14 19:06:00 +0000 2017,"@369738 Hi Erika, sorry for the trouble. Did you reinstall the app or log out of your account? Let me know.",1057684
1057695,369740,Sat Oct 14 01:51:03 +0000 2017,@129941 is going to have to tell me why after a whole year and a half of trying why I’m not abt to make an Anita Baker station!,1057693,PandoraSupport,Sat Oct 14 19:05:30 +0000 2017,@369740 Well that's not right. What your Pandora account email address? Let's get that station created.,1057694
1057697,369741,Sat Oct 14 00:55:17 +0000 2017,@129941 why are you playing country songs on rap stations 🤔🤔,1057696,PandoraSupport,Sat Oct 14 19:02:52 +0000 2017,"@369741 Uh oh...can you DM your Pandora email address, the station this happened on, and the tracks so that I can take a look? Thanks!",
1057701,369743,Sat Oct 14 00:08:36 +0000 2017,thank you @129941 for the new update it’s 🔥,1057700,PandoraSupport,Sat Oct 14 19:02:24 +0000 2017,@369743 Aha! Glad you like it!,
1057703,369744,Sat Oct 14 19:40:14 +0000 2017,"@PandoraSupport It took a couple of hours but I’m back online now, thank you",1057705,PandoraSupport,Sat Oct 14 22:08:26 +0000 2017,"@369744 Happy to hear it, Roman!",
1057704,369744,Fri Oct 13 22:46:19 +0000 2017,"@129941 umm, my app will not play, I’ve deleted, reloaded, restored, done everything, will not work, suggestions??",1057702,PandoraSupport,Sat Oct 14 19:02:24 +0000 2017,@369744 Sorry you're still having trouble. Please email us about this issue here https://t.co/KX7pjhCKoO Thanks!,1057703
1057716,257184,Sat Oct 14 19:15:10 +0000 2017,@PandoraSupport All good!! It started to work last night! Right on time for a jamming session 🙌🏼 #music,1057718,PandoraSupport,Sat Oct 14 22:07:33 +0000 2017,"@257184 Happy to hear it, Caleb!",
1057717,257184,Fri Oct 13 22:42:04 +0000 2017,@129941 what’s going with the app? Songs keep sleeping and nothing its playing,1057715,PandoraSupport,Sat Oct 14 19:01:00 +0000 2017,"@257184 Sorry to learn that, Caleb. What is the make and model of your device? I'll send some troubleshooting steps. Let me know!",1057716
1071958,372957,Sat Oct 14 21:14:26 +0000 2017,"@PandoraSupport What's the magic word to get you to reply &amp; tell me how I can get my 30-day shelf back? ""I'm tired of this track"" is vital.",1071956,PandoraSupport,Sat Oct 14 22:19:37 +0000 2017,"@372957 Hi there, sorry for any trouble. Are you saying you've lost a 30-day trial? Let me know.",1071957
1071964,372959,Sat Oct 14 20:46:14 +0000 2017,@129941 u did an update now my bluetooth isn’t discoverable..,1071963,PandoraSupport,Sat Oct 14 22:16:00 +0000 2017,@372959 Sorry for any trouble with bluetooth. Please write to us here https://t.co/KX7pjhCKoO and we'll help out.,
1071966,372960,Sat Oct 14 20:05:12 +0000 2017,@129941 your site isn't letting me reset my password 😡,1071965,PandoraSupport,Sat Oct 14 22:09:30 +0000 2017,@372960 Sorry for the trouble. Write in to us here https://t.co/KX7pjhCKoO and we'll reset your password!,
1072026,372974,Fri Sep 22 17:34:23 +0000 2017,"@129941 i can no longer listen to music or do anything on my phone, i have to literally turn the alarm off and than go back in at nite",1072024,PandoraSupport,Fri Sep 22 20:06:00 +0000 2017,@372974 That's alarming! Can you please send us an email with these details so that we can help troubleshoot? https://t.co/KX7pjhCKoO,1072025
1084943,375925,Mon Oct 23 17:19:45 +0000 2017,@PandoraSupport How do I submit a feature request?,1084942,PandoraSupport,Mon Oct 23 17:29:35 +0000 2017,@375925 Send it to us here: https://t.co/KX7pjhCKoO,
1084945,311923,Mon Oct 23 18:03:46 +0000 2017,"@PandoraSupport It’s happening again, didn’t touch anything and now it’s back to only playing one song then stopping.",1084947,PandoraSupport,Mon Oct 23 18:20:00 +0000 2017,"@311923 To clarify, were you able to try the following? Check on Safari settings &gt; see if ""Allow All Auto-Play"" is on. If not, toggle it on.","1084948,1084949"
1084946,311923,Mon Oct 23 14:46:42 +0000 2017,"@PandoraSupport Safari, but it seems to have fixed itself this morning. Not sure what happened.",1084944,PandoraSupport,Mon Oct 23 14:55:32 +0000 2017,"@311923 Thanks! We're looking into some web issues, but one thing to check: Safari settings &gt; see if ""Allow All Auto-Play"" is on.",1084945
1084949,311923,Mon Oct 23 18:22:19 +0000 2017,"@PandoraSupport Yes, it has always been turned on.",1084950,PandoraSupport,Mon Oct 23 19:17:32 +0000 2017,"@311923 Thanks! We're looking into it - for now, would recommend trying a different browser.",1084951
1084951,311923,Thu Oct 26 00:58:46 +0000 2017,@PandoraSupport Everything seems to be working correctly now.,1084952,PandoraSupport,Thu Oct 26 15:18:32 +0000 2017,"@311923 Happy to hear it, Brant!",
1084954,311923,Sun Oct 22 20:33:01 +0000 2017,@129941 why do my songs no longer continuously play on the web? It only plays 1 song then stops. I haven’t changed anything.,1084953,PandoraSupport,Mon Oct 23 14:09:00 +0000 2017,@311923 Are you using Safari or Edge as your main web browser?,1084946
1084957,375926,Sun Oct 22 21:40:58 +0000 2017,@129941 your site won't play the next song unless i refresh the page &amp; that's kinda infuriating (i just want to listen to the smiths),1084955,PandoraSupport,Mon Oct 23 14:00:48 +0000 2017,@375926 Are you using Edge or Safari as your browser?,1084956
108957,140176,Thu Nov 23 19:08:02 +0000 2017,excuse me @129941 can you explain to me why country music- which i don't listen to- is playing over top of my lil peep songs??,108955,PandoraSupport,Thu Nov 23 19:37:31 +0000 2017,@140176 This is a bug we are looking into. Sorry for the inconvenience. We appreciate your patience in the meantime!,108956
108961,140178,Thu Nov 23 17:08:55 +0000 2017,"@PandoraSupport No, the yoko Kanno station. Jake dot Kohl at live dot Com.

Maybe I am not understanding the algorithms, so it could be me, but lately it's been not the same?",108959,PandoraSupport,Thu Nov 23 17:22:31 +0000 2017,"@140178 We won't be playing all of your Thumbs up on that station, but some of those tracks will come up from time to time. Remember, Pandora is a music discovery service so you will get different recommendations. For more help email us through here https://t.co/KX7pjhCKoO",108960
108963,140178,Thu Nov 23 01:28:56 +0000 2017,I had a faithful @129941 radio that has 68 songs that are thumbs-up and now the station doesn't play the majority of those songs. I've thumbs down triple the amount of songs and none of my favs play. https://t.co/kyiksTO8cY,108962,PandoraSupport,Thu Nov 23 17:05:40 +0000 2017,@140178 Are you referring to your Thumbprint Radio Station? What songs are playing that are out of place? What is your Pandora account email address? Let me know.,108961
108965,140179,Thu Nov 23 15:59:17 +0000 2017,.@129941 bing Crosby holiday station is horrible. Gwen and marroon 5 but no Dean or actual bing? Not a funny joke.,108964,PandoraSupport,Thu Nov 23 17:19:27 +0000 2017,"@140179 Sorry for the trouble. That shouldn't be happening. Would you like to help us report this issue by providing more information? DM us your Pandora account email address, if you can. Thanks!",
108967,140180,Thu Nov 23 03:03:10 +0000 2017,@129941 playing unedited versions of songs tonight.  #nothanks.  I got a 2 year old in the house.  No me gusta.,108966,PandoraSupport,Thu Nov 23 17:17:02 +0000 2017,@140180 Sorry to learn that's happening! We are tracking an issue like this. Would you like to help by providing more information? Let us know by DMing your Pandora account email address. Thanks!,
108969,140181,Wed Nov 22 20:11:26 +0000 2017,@PandoraSupport My Christmas station isn't playing Christmas tunes... Is there a glitch in the matrix?,108968,PandoraSupport,Thu Nov 23 17:14:00 +0000 2017,@140181 Sounds like an error. What is the name of your Christmas station? What is your Pandora account email address? Please let us know. Thanks!,
108972,140182,Wed Nov 22 19:39:41 +0000 2017,@129941 wtf is up with my Frank Sinatra holiday station???? used to play only the great older Christmas songs - all the greats but now all I'm getting is simple plan Gwen Stefani and country Christmas music that is not Frank Sinatra holiday please fix ASAP,108970,PandoraSupport,Thu Nov 23 17:13:00 +0000 2017,@140182 Sorry for the trouble. Definitely sounds like an issue. Can you let me know your Pandora account email address so we can gather more info and report to our engineers? Thank you!,108971
108974,140183,Thu Nov 23 04:33:46 +0000 2017,"@PandoraSupport streaming down? All stations “currently unavailable. Please choose another station.”  Have deleted and reinstalled, tried on desktop computer as well, same result. What’s up??",108973,PandoraSupport,Thu Nov 23 17:06:24 +0000 2017,"@140183 Sorry you are experiencing this, Jennifer. What is your Pandora account email address? Let me know.",
108976,140184,Thu Nov 23 00:08:59 +0000 2017,@129941 why am I paying for a subscription if the app is going to shut down on me anyway?,108975,PandoraSupport,Thu Nov 23 17:03:43 +0000 2017,@140184 Sorry that's happening. What is the make and model of your device?,
108978,140185,Wed Nov 22 18:59:43 +0000 2017,"@PandoraSupport So I tried uninstalling, but when I reinstalled it now tells me Pandora is conducting system maintenance, which can't be true because the phone app works just fine, even on the same network. TV is Sony Xbr55x810c",108977,PandoraSupport,Thu Nov 23 17:01:41 +0000 2017,"@140185 Hi Darris, thanks for bringing this to our attention. Have you been in contact with a user support specialist via email yet? If not, please let us know your Pandora account email address so that we can help troubleshoot. Thanks!",
108980,140186,Wed Nov 22 18:42:56 +0000 2017,@129941 have ya’ll been hacked? New wave instrumentals with nature themes is not really the tool NIN genre. https://t.co/W9TXSRpbVv,108979,PandoraSupport,Thu Nov 23 17:00:03 +0000 2017,"@140186 Hey Wilson, this looks like an issue we are currently tracking. Can you please DM us your Pandora account email address? We'll get back to you after that. Thanks!",
1102240,380088,Fri Oct 13 20:42:13 +0000 2017,"@129941 How long does the free premium gift last for? Also THANK YOU for it, favorite music service just proving yourselves more!",1102239,PandoraSupport,Fri Oct 13 22:26:29 +0000 2017,@380088 7-days! Glad you're excited about it!,
1108442,117872,Mon Oct 23 20:31:26 +0000 2017,@pandorasupport https://t.co/5wn1Sjdfsh,1108441,PandoraSupport,Mon Oct 23 20:55:05 +0000 2017,@117872 Please DM us for info. https://t.co/EWREYKIPkZ,
1108444,381589,Mon Oct 23 19:53:31 +0000 2017,@129941 *doesn’t (I just cringed.),1108443,PandoraSupport,Mon Oct 23 19:58:52 +0000 2017,@381589 It's all good - can you tell us what type of device you're using?,
1138250,388108,Thu Oct 26 20:43:12 +0000 2017,@PandoraSupport It’s a older iPad dedicated to our audio and video.  The guys came back again today so maybe they have us back up and running.,1138248,PandoraSupport,Thu Oct 26 21:24:31 +0000 2017,@388108 Try this troubleshooting suggestion: https://t.co/HabcxLinHm. Let me know how it goes. Thanks!,1138249
1138254,388109,Thu Oct 26 16:54:58 +0000 2017,@129941 my app has been forcing closed for a while now. I think an update is needed or something.,1138252,PandoraSupport,Thu Oct 26 19:06:34 +0000 2017,@388109 Sorry that's happened. What is the make and model of your device? I'll send troubleshooting help.,1138253
1138257,388110,Thu Oct 26 20:29:29 +0000 2017,"@129941 is there an option to only listen to one artist? When on Drake's radio, he's honestly the only artist I wish to hear 🤦🏽‍♀️",1138255,PandoraSupport,Thu Oct 26 21:18:29 +0000 2017,"@388110 Hi Jay, sounds like you'd prefer our on-demand service: Pandora Premium! For more info, navigate here https://t.co/FHIy4ksnh2",1138256
