customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1007700,358460,Sun Oct 22 15:18:58 +0000 2017,@PearsonSupport are these ones I have to pay for additionally to mymathlab or can you supply links.,1007699,PearsonSupport,Sun Oct 22 15:26:00 +0000 2017,"@358460 You may check on this link:
 https://t.co/cGaSwdCZBr and check if this might be helpful for you. 
Thank you.",
1007702,358460,Sun Oct 22 14:47:22 +0000 2017,@PearsonSupport its more of a math question the program is not helpful in explaining where u went wrong do u have a tutorial account,1007701,PearsonSupport,Sun Oct 22 15:03:35 +0000 2017,"@358460 We're sorry,but we only deal with technical issues.For tutorials,we do have a demonstration and navigation of tools for Pearson.",1007700
1007704,358460,Sun Oct 22 14:38:22 +0000 2017,"@PearsonSupport I am struggling with one of the mymathlab problems, are you guys able to help me. It won't tell me what I did wrong.",1007703,PearsonSupport,Sun Oct 22 14:44:26 +0000 2017,"@358460 Our apologies. May we know what the technical issue are you dealing with right now?
Thank you.",1007702
1010258,359047,Sat Oct 14 13:19:29 +0000 2017,@PearsonSupport it's after 9 and I still can't log on??,1010256,PearsonSupport,Sat Oct 14 13:46:00 +0000 2017,"@359047 Apologies for the trouble, kindly try to log in to your account. Thank you so much!",1010257
101199,138148,Thu Nov 30 15:48:48 +0000 2017,"@PearsonSupport Thanks I was trying to rebook a theory test,I have managed to do it now using my phone, rather then my computer, so no worries :)",101198,PearsonSupport,Thu Nov 30 16:00:40 +0000 2017,"@138148 Oh, that's a great news Caig! If you'll have any technical difficulties, please free to contact us again and we will do our best to assist you since we value our dear customers. Good luck to your test and have a wonderful day!
^Shiera",
101201,138148,Thu Nov 30 15:32:40 +0000 2017,"@4166 All I want to do is book a Theory test, Why is your useless website not letting me ? Why does it say it can't for security purposes ? Why do you make something that should be so simple so hard ?",101200,PearsonSupport,Thu Nov 30 15:42:30 +0000 2017,"@138148 Sorry for the trouble. May we know the website that you are trying to access and the brief description of your issue for us to proper investigate your case. No worries, we are willing to help you.",101199
1030609,363842,Mon Oct 23 04:24:47 +0000 2017,@PearsonSupport Thanks fam 👍🏾,1030608,PearsonSupport,Mon Oct 23 04:27:49 +0000 2017,"@363842 And, thank you for understanding. Have a good evening.",
1030611,363842,Mon Oct 23 03:11:41 +0000 2017,@PearsonSupport yo! Your site tripping! I gotta get this HW done before 11:59.,1030610,PearsonSupport,Mon Oct 23 04:15:29 +0000 2017,@363842 The sign-in issue on MyLabs courses had been resolved. Please do https://t.co/EcRvUrzMKf before you log back on to your course.,1030609
1030613,363843,Mon Oct 23 04:24:09 +0000 2017,math xl down?,1030612,PearsonSupport,Mon Oct 23 04:25:53 +0000 2017,@363843 Trouble signing in or opening pages in your course? Please follow the steps at https://t.co/0ipxd1TYmr.,
1030615,363844,Mon Oct 23 03:05:42 +0000 2017,@PearsonSupport Lol you wanna ask my teacher to put back the due date or nah????,1030614,PearsonSupport,Mon Oct 23 04:24:29 +0000 2017,@363844 We apologize for the inconvenience. Please request from your instructor to reset the due date. Thank you for your patience.,
