customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1053198,368867,Sat Oct 21 15:19:07 +0000 2017,"@SCsupport just upgraded to Pro Unlimited, was charged $15 even though I was just charged for the Limited plan on 10/17. Will I be refunded?",1053200,SCsupport,Mon Oct 23 14:11:48 +0000 2017,"@368867 Hi, I have refunded you the amount for monthly Pro. Best /S",1064480
1053198,368867,Sat Oct 21 15:19:07 +0000 2017,"@SCsupport just upgraded to Pro Unlimited, was charged $15 even though I was just charged for the Limited plan on 10/17. Will I be refunded?",1053199,SCsupport,Mon Oct 23 12:43:41 +0000 2017,"@368867 Hi, yes, if this was a monthly payment. Send over your account and I will take a closer look at this. Cheers /S",1061090
1053198,368867,Sat Oct 21 15:19:07 +0000 2017,"@SCsupport just upgraded to Pro Unlimited, was charged $15 even though I was just charged for the Limited plan on 10/17. Will I be refunded?",1053197,SCsupport,Mon Oct 23 14:49:22 +0000 2017,@368867 np!,
1056556,369456,Mon Oct 23 03:06:48 +0000 2017,@SCsupport WHAT ANDROID USERS CAN CHANGE THEIR PROFILE PICS ON THEIR PHONE AND WE CANT WTF,1056554,SCsupport,Mon Oct 23 11:25:29 +0000 2017,"@369456 Hi, this is not possible on mobile at the moment. I have passed on your feedback here. Cheers /S",1056555
1056559,369457,Mon Oct 23 10:32:53 +0000 2017,Hey @SCsupport do you speak french? I got a problem with payement failled,1056557,SCsupport,Mon Oct 23 11:23:25 +0000 2017,"@369457 Hey there, please fill out this ticket form in French : https://t.co/DCS9j4wgNT and we'll get back to you in French. Thanks /S",1056558
1056561,369458,Mon Oct 23 10:55:14 +0000 2017,@SCsupport please fix the repost issue asap! hope our re-repostet content will be displayed in our follewers feed somehow? thanks!,1056560,SCsupport,Mon Oct 23 11:23:24 +0000 2017,@369458 Sorry for the trouble caused here. We are on it. Keep an eye out here for any updates : https://t.co/H8R8LoQVNH,
1056564,148847,Fri Oct 20 18:57:33 +0000 2017,"now that reposts are broken, imagine getting one from carmack or some shit and u don't even notice lmao xD

good job @SCsupport",1056562,SCsupport,Mon Oct 23 11:23:23 +0000 2017,@148847 Sorry for the trouble caused here. We are on it. Keep an eye out here for any updates : https://t.co/9anKTSU2Gj,1056563
1056582,369463,Fri Oct 20 05:18:22 +0000 2017,@SCsupport  one of my songs gets a loading error on mobile app now out of nowhere. It's been up for 5 months. Any help available?,1056581,SCsupport,Mon Oct 23 10:25:22 +0000 2017,"@369463 Hi, could you send me on the link to the track ? Cheers /S",
1056584,369464,Sat Oct 21 07:25:17 +0000 2017,@SCsupport fix your repost button BRUH,1056583,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369464 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056586,369465,Fri Oct 20 20:50:33 +0000 2017,"hey @SCsupport @126654 there seems to be an issue with new reposts not showing in user pages. the individual tracks show as reposted but when you switch to your profile and select the reposts tab, things are missing. no discernible pattern",1056585,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369465 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056589,369466,Sat Oct 21 21:22:31 +0000 2017,"@SCsupport Hi, most of the tracks I repost do not show up in my timeline or in my profile, and my timeline in hours late, whats wrong?",1056587,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369466 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,1056588
1056597,369468,Sat Oct 21 13:14:09 +0000 2017,"@SCsupport what's going on with the repost problems? are you working on it? do we need to wait until monday at least for a solution? this ist very bad!!
https://t.co/L9NHo7wURx",1056596,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369468 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Tha...,
1056600,369469,Fri Oct 20 14:18:45 +0000 2017,@SCsupport @126654 is there a problem with reposts?? nothing going into stream!! comments not working either.. please look at fixing it!,1056598,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369469 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,1056599
1056613,369473,Sun Oct 22 00:09:28 +0000 2017,"@SCsupport one of my tracks is not working for a lot of people and just one, it doesn't let them play/like and if they try to repost it doesn't appear",1056612,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369473 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Tha...,
1056614,369473,Sun Oct 22 00:09:50 +0000 2017,@SCsupport and it's only one the rest all can be reposted/played/liked,1056619,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369473 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Tha...,
1056615,369473,Sun Oct 22 00:08:46 +0000 2017,@SCsupport dm me,1056616,SCsupport,Mon Oct 23 12:47:24 +0000 2017,"@369473 We don't send Direct Messages via Twitter, but I would be happy to help with your issue here! /S",
1056618,369474,Sat Oct 21 22:33:54 +0000 2017,@SCsupport why cant I repost music? I updated everything.. you niggas got all this money and dont do shit to better your website.,1056617,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369474 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056622,369475,Sun Oct 22 00:49:31 +0000 2017,@SCsupport yo I'm trying to repost a song and it won't show up on my profile once I do. Looks like it isn't showing for other either. Help?,1056620,SCsupport,Mon Oct 23 10:23:27 +0000 2017,@369475 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Tha...,1056621
1056622,369475,Sun Oct 22 00:49:31 +0000 2017,@SCsupport yo I'm trying to repost a song and it won't show up on my profile once I do. Looks like it isn't showing for other either. Help?,1056623,SCsupport,Tue Oct 24 13:03:17 +0000 2017,"@369475 Hi, we have identified the general issue so do not require more info here. Thank you though!",
1056625,369476,Thu Oct 19 22:07:24 +0000 2017,"@SCsupport tracks keep saying ""not available in the united kindgom"" for only like 10 seconds??",1056624,SCsupport,Mon Oct 23 10:23:26 +0000 2017,"@369476 Hey there, please fill out this support ticket form: https://t.co/ahEALLOaqe and we'll go into more detail. Best /S",
1056627,369477,Sun Oct 22 18:40:38 +0000 2017,"@SCsupport Hi, a repost won't appear on my feed or page, tried a few times over the past 2 days https://t.co/ZKBTb1clWU using chrome",1056626,SCsupport,Mon Oct 23 10:23:26 +0000 2017,@369477 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056629,369478,Sun Oct 22 16:14:42 +0000 2017,@SCsupport I have other artists tracks stuck on my page even after I’m un-reposting them. Can you please remove them?,1056628,SCsupport,Mon Oct 23 10:23:26 +0000 2017,@369478 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056631,369479,Sun Oct 22 22:09:06 +0000 2017,@SCsupport a number of people and labels have reposted my track and it is not showing up on there page. fix this please,1056630,SCsupport,Mon Oct 23 10:23:26 +0000 2017,@369479 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056633,369480,Sun Oct 22 19:52:14 +0000 2017,@SCsupport Im having trouble seeing my reposts. None of them show up. I use the android app and I browns Soundcloud using MacBook safari.,1056632,SCsupport,Mon Oct 23 10:23:26 +0000 2017,@369480 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056637,369481,Sun Oct 22 20:10:15 +0000 2017,@126654 @4218 @SCsupport my (&amp; others) reposts of this tune not fed into our recent streams. Can u fix? https://t.co/tjByik2h4k,1056634,SCsupport,Mon Oct 23 10:23:26 +0000 2017,@369481 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,"1056635,1056636"
1056650,297310,Sun Oct 22 22:18:35 +0000 2017,@SCsupport why is it that people are reposting my track and for 90% of them it isn't working lol? this is ridiculous,1056649,SCsupport,Mon Oct 23 10:23:26 +0000 2017,@297310 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056652,369485,Fri Oct 20 19:32:08 +0000 2017,@126654 @SCsupport reposts are not appearing on profiles or in artist feeds. Need resolve ASAP please help.,1056651,SCsupport,Mon Oct 23 10:19:56 +0000 2017,@369485 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056655,369486,Sat Oct 21 17:49:04 +0000 2017,@SCsupport why are some of the reposts of my tracks not appearing on other people’s profile? Seems to be happening a lot,1056654,SCsupport,Mon Oct 23 10:19:55 +0000 2017,@369486 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056657,369487,Sat Oct 21 18:46:37 +0000 2017,@SCsupport @126654 ya'll gonna fix reposts or just keep fuckin with them so they never work,1056656,SCsupport,Mon Oct 23 10:19:54 +0000 2017,@369487 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056659,369488,Sat Oct 21 20:25:14 +0000 2017,"@SCsupport since a day or so, my SoundCloud profile's dashboard doesn't update when I make reposts or upload new tracks",1056658,SCsupport,Mon Oct 23 10:19:53 +0000 2017,@369488 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj T...,
1056662,297310,Sun Oct 22 18:14:38 +0000 2017,Reposts literally don't seem to work at all now lol.. @SCsupport we're all migrating to spotify.. byeeee,1056660,SCsupport,Mon Oct 23 10:19:52 +0000 2017,@297310 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,1056661
1056665,369489,Sun Oct 22 19:47:01 +0000 2017,Day 3 of SoundCloud reposts not working. Lil b was jumped.... This is on your hands @SCsupport @126654,1056664,SCsupport,Mon Oct 23 10:19:52 +0000 2017,@369489 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056667,369490,Sun Oct 22 21:56:03 +0000 2017,@SCsupport none of my reposts are showing up on ppls pages for a specific trackk help pls.,1056666,SCsupport,Mon Oct 23 10:19:51 +0000 2017,@369490 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056669,369478,Mon Oct 23 03:02:29 +0000 2017,@SCsupport hey guys I have Reposts on my page that are still there after un-reposting them. Why won’t they go away?,1056668,SCsupport,Mon Oct 23 10:19:49 +0000 2017,@369478 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056672,369492,Fri Oct 20 21:46:26 +0000 2017,@SCsupport reposts are broken smh,1056671,SCsupport,Mon Oct 23 10:19:44 +0000 2017,@369492 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056683,369489,Fri Oct 20 22:54:48 +0000 2017,Y'all realize reposts are broken right? @SCsupport,1056682,SCsupport,Mon Oct 23 10:19:44 +0000 2017,@369489 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056685,369487,Sat Oct 21 01:53:19 +0000 2017,@SCsupport whaaaaat is going on with reposts???????,1056684,SCsupport,Mon Oct 23 10:19:43 +0000 2017,@369487 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056687,369493,Sat Oct 21 04:26:45 +0000 2017,@SCsupport can y'all fix this repost shit lol lots of people having issues,1056686,SCsupport,Mon Oct 23 10:19:42 +0000 2017,@369493 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Th...,
1056689,369494,Sat Oct 21 14:53:10 +0000 2017,@SCsupport My new reposts do not appear in my profile!,1056688,SCsupport,Mon Oct 23 10:19:42 +0000 2017,@369494 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056691,369495,Sat Oct 21 18:15:54 +0000 2017,".@126654 @SCsupport fix the reposts, it doesnt show for people when you repost something and you cant unrepost something.",1056690,SCsupport,Mon Oct 23 10:19:41 +0000 2017,@369495 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056695,320969,Sat Oct 21 22:14:21 +0000 2017,@SCsupport yo can yall fix reposts please they're broken as hell rn,1056694,SCsupport,Mon Oct 23 10:19:39 +0000 2017,@320969 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056697,369496,Sun Oct 22 08:54:24 +0000 2017,"@SCsupport still isnt working , some people cant repost or even see it https://t.co/sfecJdlTGc",1056696,SCsupport,Mon Oct 23 10:19:37 +0000 2017,@369496 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056700,369497,Sun Oct 22 10:13:44 +0000 2017,@scsupport the repost option is bugging. you have to repost for a few times before it shows up 😦,1056698,SCsupport,Mon Oct 23 10:19:36 +0000 2017,@369497 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Th...,1056699
1056703,369499,Sun Oct 22 19:58:34 +0000 2017,"@SCsupport when I repost a track, it sometimes doesn't show on my profile, only if I repost it again... its really annoying, please fix",1056702,SCsupport,Mon Oct 23 10:19:35 +0000 2017,@369499 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056710,369501,Sun Oct 22 21:32:44 +0000 2017,"yo i can't repost or unpost music
 fix this pls @scsupport",1056709,SCsupport,Mon Oct 23 10:19:35 +0000 2017,@369501 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056713,369502,Mon Oct 23 02:27:29 +0000 2017,"@SCsupport my reposts are not showing up on my profile, can u help pls",1056711,SCsupport,Mon Oct 23 10:19:34 +0000 2017,@369502 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,1056712
1056715,369503,Mon Oct 23 09:43:07 +0000 2017,@SCsupport fix the reposts ffs,1056714,SCsupport,Mon Oct 23 10:19:34 +0000 2017,@369503 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Thanks.,
1056718,369504,Mon Oct 23 10:10:39 +0000 2017,@SCsupport repost not working sometimes it does sometimes not says it has been reposted but when i go to my reposts on profile is not there,1056716,SCsupport,Mon Oct 23 10:19:33 +0000 2017,@369504 We're currently investigating issues with reposts. We'll update our status blog going forward: https://t.co/9anKTSU2Gj Tha...,1056717
