customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1002543,357309,Thu Oct 12 04:23:17 +0000 2017,@sizehelpteam I need help with a return,1002542,sizehelpteam,Thu Oct 12 04:32:37 +0000 2017,"@357309 - Please can you DM your order number, full name and address for assistance

Thanks

Matt",
1011448,359317,Sun Oct 22 16:18:20 +0000 2017,"@sizehelpteam Hey Ahmed, he doesn't have Twitter but I can give u all the details if that works",1011447,sizehelpteam,Sun Oct 22 17:50:31 +0000 2017,@359317 - Tell him to email us on: __email__ and we will be happly to help. //Ahmed,
1011450,359317,Sun Oct 22 14:50:16 +0000 2017,"@sizehelpteam hi my brother received the wrong shoes in his order, just wondering what the procedure is now",1011449,sizehelpteam,Sun Oct 22 16:16:10 +0000 2017,@359317 - Please tell your brother to DM us and we will look into it for him. //Ahmed,1011448
1011453,359318,Sun Oct 22 21:44:40 +0000 2017,"@sizehelpteam 83897473 thats my order number need this cancelled asap.
Thanks",1011455,sizehelpteam,Mon Oct 23 07:02:47 +0000 2017,"@359318 Hello there, 

I'm sorry to hear this, so we can assist you further via DM, please can you follow us. 

Thanks, Connor.",
1011454,359318,Sun Oct 22 18:39:39 +0000 2017,@sizehelpteam ????,1011451,sizehelpteam,Sun Oct 22 19:53:52 +0000 2017,@359318 - Please DM us with you order information and we will be happy to look into this for you. //Ahmed,"1011452,1011453"
1018930,361098,Thu Nov 30 20:47:29 +0000 2017,@sizehelpteam placed a order two weeks ago and haven't even received a email to say it's been dispatched,1018929,sizehelpteam,Thu Nov 30 21:27:21 +0000 2017,"@361098 Hi Liam, Please DM us with your order number and full address including postcode and I will look into this for you. Thanks Ben,",
1019107,361137,Thu Nov 30 20:42:23 +0000 2017,@sizehelpteam i sent off an item for a refund on saturday but on my account it says its still on the way to me???,1019106,sizehelpteam,Thu Nov 30 21:20:20 +0000 2017,"@361137 Hi, Please DM us with your full name, Order number and full address including postcode and I will look into this for you. Thanks Ben.",
1019182,361155,Thu Nov 30 20:07:54 +0000 2017,@sizehelpteam @120314 wesh bande d'enculés j'ai commandé chez vous la semaine dernière mon colis est même pas encore expédié c'est comment ?,1019183,sizehelpteam,Fri Dec 01 08:30:27 +0000 2017,"@361155 Bonjour, merci de nous envoyer votre numéro de commande en DM",
1019182,361155,Thu Nov 30 20:07:54 +0000 2017,@sizehelpteam @120314 wesh bande d'enculés j'ai commandé chez vous la semaine dernière mon colis est même pas encore expédié c'est comment ?,1019181,sizehelpteam,Thu Nov 30 21:18:43 +0000 2017,"@361155 @120314 Hi, Please DM us with your order number, full name and address including postcode. Thanks Ben.",
1019481,265935,Thu Nov 30 19:01:45 +0000 2017,@sizehelpteam Any chance of a reply? @sizehelpteam,1019480,sizehelpteam,Thu Nov 30 21:12:39 +0000 2017,"@265935 Hi, For security please DM us with your full address including postcode and I will have a look into this for you. Thanks Ben,",
1019665,361261,Thu Nov 30 21:45:29 +0000 2017,@sizehelpteam I have nobody is replying,1019667,sizehelpteam,Fri Dec 01 02:24:21 +0000 2017,@361261 Please DM us with your order number and full address including postcode and I will have a look into this for you. Debbie,
1019666,361261,Thu Nov 30 19:01:27 +0000 2017,@sizehelpteam still waiting for pour lot to get back to me ! I’ve ordered a tracksuit only the top arrived. They’re telling me I need to fill a missing form and wait 14 days but I want to return the hoody because it’s evident I’m not getting the bottoms where do I stand?! Dpmo,1019669,sizehelpteam,Fri Dec 01 02:54:36 +0000 2017,@361261 - Test,
1019666,361261,Thu Nov 30 19:01:27 +0000 2017,@sizehelpteam still waiting for pour lot to get back to me ! I’ve ordered a tracksuit only the top arrived. They’re telling me I need to fill a missing form and wait 14 days but I want to return the hoody because it’s evident I’m not getting the bottoms where do I stand?! Dpmo,1019664,sizehelpteam,Thu Nov 30 21:11:12 +0000 2017,"@361261 Hi Levi, Please DM us with your order number and full address including postcode and I will have a look into this for you. Thanks Ben,",1019665
1019666,361261,Thu Nov 30 19:01:27 +0000 2017,@sizehelpteam still waiting for pour lot to get back to me ! I’ve ordered a tracksuit only the top arrived. They’re telling me I need to fill a missing form and wait 14 days but I want to return the hoody because it’s evident I’m not getting the bottoms where do I stand?! Dpmo,1019668,sizehelpteam,Fri Dec 01 02:17:20 +0000 2017,"@361261 - Our messages are responded to in order, oldest first.

You will receive a response soon

Thanks

Matt",
1019742,361282,Thu Nov 30 18:49:58 +0000 2017,@sizehelpteam Sure thing - can you follow me so I can do that please (I barely use Twitter so not as familiar with it as Instagram). Thank you,1019740,sizehelpteam,Thu Nov 30 21:09:59 +0000 2017,"@361282 Hi, We are now following you. Thanks Ben.",1019741
1019744,361282,Thu Nov 30 15:52:30 +0000 2017,@sizehelpteam major problems with all my Size? orders. I chose collect in store but all the addresses you gave DPD don’t include store name so my deliveries are being refused. Please help me ASAP. Thanks,1019743,sizehelpteam,Thu Nov 30 18:47:35 +0000 2017,"@361282 Hello,

Could you please DM us with you're full name, order number and billing address?

Thank you",1019742
1019744,361282,Thu Nov 30 15:52:30 +0000 2017,@sizehelpteam major problems with all my Size? orders. I chose collect in store but all the addresses you gave DPD don’t include store name so my deliveries are being refused. Please help me ASAP. Thanks,1019745,sizehelpteam,Thu Nov 30 20:45:52 +0000 2017,"@361282 Hi, We are now following you. You are now able to DM us. Thanks Ben.",
1019744,361282,Thu Nov 30 15:52:30 +0000 2017,@sizehelpteam major problems with all my Size? orders. I chose collect in store but all the addresses you gave DPD don’t include store name so my deliveries are being refused. Please help me ASAP. Thanks,1019746,sizehelpteam,Fri Dec 01 01:11:27 +0000 2017,"@361282 - My apologies, we are now following you, feel free to DM your order details

Thanks

Matt",
