customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000353,356831,Thu Oct 12 03:30:30 +0000 2017,Can I use my free drink coupons that expired in August on my flight next week?? I still have 2 left! @SouthwestAir,1000352,SouthwestAir,Thu Oct 12 05:11:03 +0000 2017,"@356831 We can't accept expired drink coupons, Anna. Sorry to disappoint! ^LB",
1000355,356832,Thu Oct 12 05:07:45 +0000 2017,Shout out to @SouthwestAir for finding an item we lost on the plane and returning it to us!  Thank you!,1000354,SouthwestAir,Thu Oct 12 05:08:57 +0000 2017,"@356832 Phew! We're so happy to know we could help, Erin! ^EC",
1000544,356872,Sun Oct 22 17:16:09 +0000 2017,@SouthwestAir Thanks for the free TV!  Go Bears! https://t.co/UvP9qJ9quj,1000543,SouthwestAir,Sun Oct 22 17:17:48 +0000 2017,"@356872 Enjoy the game, Dave. Thanks for sharing the skies with us! ^MS",
1000546,356873,Sun Oct 22 17:12:56 +0000 2017,"If I brought over two glasses of champagne to a dog like in the @SouthwestAir commercial, I'd just play with the dog and drink both. Win win",1000545,SouthwestAir,Sun Oct 22 17:17:13 +0000 2017,"@356873 If we got to see you on one of our flights, we'd have a real win-win situation ourselves. ^MS",
1000548,356874,Sun Oct 22 17:10:50 +0000 2017,@southwestair The new seats on your planes suck. My shoulders sit above the back of the seat....,1000547,SouthwestAir,Sun Oct 22 17:14:41 +0000 2017,"@356874 We regret any discomfort onboard, Ben. We've taken your feedback to Heart, we hope for a more pleasant experience next time. ^KJ",
1001518,357091,Sun Oct 22 17:36:07 +0000 2017,@SouthwestAir add first class.  Your boarding process is horrible.,1001517,SouthwestAir,Sun Oct 22 17:40:03 +0000 2017,"@357091 Our boarding process has its benefits &amp; challenges. We regret any inconvenience due to our open seating policy, Troy! ^KM",
1001520,357092,Sun Oct 22 17:31:01 +0000 2017,eating @southwestair peanuts from a flight I took a week ago while taking a break from swiffering my apartment,1001519,SouthwestAir,Sun Oct 22 17:32:54 +0000 2017,"@357092 Sounds like a nice little Sunday afternoon, Valerie! Hope to see you back onboard soon! ^SH",
1001522,357093,Sun Oct 22 17:32:31 +0000 2017,@SouthwestAir Rodger that! 3999 is the number I appreciate the assist.,1001525,SouthwestAir,Sun Oct 22 17:37:07 +0000 2017,"@357093 We're addressing a mechanical issue, &amp; it's taking longer than expected. We're shooting for a 12:52 departure time. Hang in there! ^SH","1001526,1001527"
1001524,357093,Sun Oct 22 17:24:27 +0000 2017,"@southwestair the delay is just fine, concourse is kind of fantastic! #flightdelay #southwest… https://t.co/8XrHHVHHbg",1001521,SouthwestAir,Sun Oct 22 17:30:53 +0000 2017,"@357093 Our apologies for the delay, Phil. What's your flight #? We'd be happy to update you. Thanks! ^SH","1001522,1001523"
1002482,357305,Sun Oct 22 14:43:16 +0000 2017,"Disappointed A-List flyer, booked daughter for flight to college. Early Bird lost, C group. No help from customer service @SouthwestAir",1002480,SouthwestAir,Sun Oct 22 14:58:13 +0000 2017,@357305 We hate to see you upset. Mind DMing your confirmation number so we can take a look! ^SJ https://t.co/mQmfkXW4oV,1002481
