customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001684,310032,Sun Oct 22 17:45:45 +0000 2017,"@sprintcare Why? Last time you told me there are no connection issues.  I'm done, looking forward to moving on in 6 months, 6 months of bad service.",1001686,sprintcare,Sun Oct 22 17:50:21 +0000 2017,@310032 We regret to hear about your dissatisfaction. if you change your mind we are here to help and ready to assist.,
1001685,310032,Sun Oct 22 17:39:22 +0000 2017,"@115714 once again no service at home!  Maybe @115911 shouldn't merge with you, might make them less reliable. https://t.co/NdE5s5PnDq",1001683,sprintcare,Sun Oct 22 17:42:10 +0000 2017,@310032 We apologize for the issues you have experienced. We will reach out to you momentarily to address your account concerns.,1001684
1001688,357128,Sun Oct 22 17:53:17 +0000 2017,@sprintcare No need I have been trying to leave yall for TMobile &amp; all I need is my phone unlocked but of course yall couldnt get it right the first 6xs,1001690,sprintcare,Sun Oct 22 18:02:35 +0000 2017,"@357128 We would love to be given a chance to work with you on this. If you do change you mind please let us know, we would be happy to help. -DS",1001691
1001689,357128,Sun Oct 22 17:19:36 +0000 2017,There is nothing I hate more than @115714 all I wanna do is leave but no even that they have to fucking complicate just unlock my damn phone https://t.co/h6IU9CHVSh,1001687,sprintcare,Sun Oct 22 17:40:09 +0000 2017,"@357128 Wow, what's going on? We want to help you. Please send us a Direct Message, so that we can further assist you. -DS",1001688
1001693,136459,Sun Oct 22 17:38:51 +0000 2017,"@sprintcare No I’m ok. I don’t have coverage right now and have “full bars and LTE” I’m over it, and have been for over a year.",1001695,sprintcare,Sun Oct 22 17:40:01 +0000 2017,@136459 I understand but if there is anything we can do to change your mind about leaving please reach back out to us. We are here to help.,1001696
1001694,136459,Sun Oct 22 17:33:56 +0000 2017,Leaving @115714 for @115725 this week. Gonna save 100$ a month AND have service. I literally could not be more excited about the switch.,1001697,sprintcare,Sun Oct 22 17:36:44 +0000 2017,@136459 We hate to hear you leaving the sprint family. But if you can send a phone number through direct message we can,
1001694,136459,Sun Oct 22 17:33:56 +0000 2017,Leaving @115714 for @115725 this week. Gonna save 100$ a month AND have service. I literally could not be more excited about the switch.,1001692,sprintcare,Sun Oct 22 17:36:48 +0000 2017,@136459 see what our account service team can do to save you as a loyal customer.,1001693
1001701,357129,Sun Oct 22 17:05:48 +0000 2017,Fuck @115714 !!! LTE showing on my phone but also says “no internet connection” y’all some crooks,1001698,sprintcare,Sun Oct 22 17:35:06 +0000 2017,@357129 (2/2) Do you have issues in one or multiple locations? How long have you been having issues? - WR,"1001699,1001700"
1001701,357129,Sun Oct 22 17:05:48 +0000 2017,Fuck @115714 !!! LTE showing on my phone but also says “no internet connection” y’all some crooks,1001702,sprintcare,Sun Oct 22 17:34:57 +0000 2017,@357129 (1/2) Hello there! That's definitely not the kind of feedback we want to hear. - WR,
1001703,563826,Sun Oct 22 17:59:48 +0000 2017,"@357129 @115714 Same bro, I thought it was me. I have LTE then it’ll be 3g then it’ll be 1x back to LTE then says no internet connection",1890653,sprintcare,Sun Oct 22 18:32:10 +0000 2017,"@563826 Let's check on that service for you. What's your nearest cross street and ZIP code? Send us a DM, so that we can further assist you. - MJ",
1002625,357324,Sun Oct 22 15:00:31 +0000 2017,@sprintcare We have but then it says upgraded security send code to his phone number.,1002627,sprintcare,Sun Oct 22 15:22:06 +0000 2017,"@357324 For the account holder, besides receiving the code, there's an option to enter PIN or answer. For this option, the code is not needed. - WR",1002628
1002626,357324,Sun Oct 22 14:26:17 +0000 2017,"@sprintcare Son lost his phone but needed to upgrade.Wants 2 order online.4got password,tried 2 reset but wants 2 send code via text.Advice?",1002630,sprintcare,Sun Oct 22 14:54:02 +0000 2017,@357324 (1/2) Good morning. Thanks for bringing this to our attention. We would love to help. - WR,
