customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1029599,326964,Mon Oct 23 03:01:44 +0000 2017,"@TacoBellTeam Ithaca, NY",1029598,TacoBellTeam,Mon Oct 23 03:06:03 +0000 2017,@326964 We'll look into that.,
1029601,326964,Sat Oct 21 22:51:15 +0000 2017,Ordered a Grilled Stuft Nacho b/c it was on the drive thru screen... to be told they didn’t know what I’m talking about? @TacoBellTeam,1029600,TacoBellTeam,Mon Oct 23 03:00:01 +0000 2017,@326964 Which location was this?,1029599
1029603,363597,Sat Oct 21 19:59:13 +0000 2017,@TacoBellTeam WE DO NOT WANT A CRISPY CHICKEN QUESADILLA WE JUST WANT THE NAKED CHICKEN CHIPS DAMN IT,1029602,TacoBellTeam,Mon Oct 23 02:58:51 +0000 2017,@363597 You can find those at your local Taco Bell right now.,
1034376,364697,Thu Oct 12 09:50:47 +0000 2017,ALRIGHT @118625 YALL HAVE SOME EXPLAINING TO DO. I ORDER A CRUNCHWRAP SUPREME AND THIS IS ALL THATS IN IT. WHERES ASHTON ?! https://t.co/EDV6eFr1KV,1034375,TacoBellTeam,Thu Oct 12 19:30:04 +0000 2017,@364697 That's not right. DM us. Let's talk. https://t.co/FUsmRWStIs,
1048898,367895,Fri Oct 13 00:22:56 +0000 2017,@118625 they messed up my order AND found a hair in the wrong food item I got,1048897,TacoBellTeam,Fri Oct 13 00:26:58 +0000 2017,@367895 We take this very seriously. DM us. We want to talk. https://t.co/FUsmRWStIs,
104902,139174,Wed Nov 29 16:34:34 +0000 2017,"Dear @118625 ,
Ours has been a life long love affair for the ages.  But this morning I ordered a bacon breakfast quesadilla and you gave me sausage. I feel so betrayed. It's like you don't even listen to me anymore! How do we rekindle the spark?
Signed, Depressed in Denver",104901,TacoBellTeam,Thu Nov 30 18:12:55 +0000 2017,@139174 Hey Gabe. Let's talk. DM us. https://t.co/FUsmRWStIs,
104904,139175,Wed Nov 29 17:41:30 +0000 2017,"@118625 please do something about the location at 525 General Motors Rd in Milford,MI. should not have to wait 25+min for my food. Read the Google reviews. Terrible/embarrassing for your brand. https://t.co/cRO5Kmqyvt",104903,TacoBellTeam,Thu Nov 30 17:58:20 +0000 2017,@139175 Thanks for letting us know. We're on it.,
104906,139176,Wed Nov 29 17:45:04 +0000 2017,Service so bad it’s non-existent @118625 https://t.co/RjzONLEke3,104905,TacoBellTeam,Thu Nov 30 17:54:30 +0000 2017,@139176 Let's talk. DM us.,
104908,139177,Thu Nov 30 18:15:14 +0000 2017,"@TacoBellTeam Hermitage, TN on Lebanon Pike",104910,TacoBellTeam,Fri Dec 01 18:44:41 +0000 2017,"@139177 Thanks, Patrick. We're on it.",
104909,139177,Wed Nov 29 17:46:27 +0000 2017,"I will never understand why it is so hard for @118625 employees to not put beans on something. “Customer orders no beans, let’s put as many as we can fit in this burrito.”",104907,TacoBellTeam,Thu Nov 30 17:53:57 +0000 2017,@139177 That's not cool. Where is this happening?,104908
104912,139178,Wed Nov 29 17:47:42 +0000 2017,@TacoBellTeam best thing about lunch. Spending all of it waiting for 2 tacos. Canceling order and leaving with nothing. Now I’m late. Hungry. And very unhappy. Very. Unhappy.,104911,TacoBellTeam,Thu Nov 30 17:52:54 +0000 2017,@139178 This isn't okay. DM us.,
1079875,374729,Mon Oct 23 17:59:12 +0000 2017,"@TacoBellTeam Va Beach, VA on Northampton. I had a soft tortilla to put over it which helped make it work.",1079874,TacoBellTeam,Mon Oct 23 19:40:37 +0000 2017,"@374729 Thanks for the heads up, Joseph. We'll reach out to the team there.",
1079877,374729,Sat Oct 21 03:27:08 +0000 2017,Really @118625 ? https://t.co/2dtuqBGG5B,1079876,TacoBellTeam,Mon Oct 23 17:54:28 +0000 2017,@374729 That's not cool. Where did you get this?,1079875
1079879,374730,Mon Oct 23 17:59:25 +0000 2017,"@TacoBellTeam Ripon, Wi. Am I wrong to say this is little to no meat?",1079878,TacoBellTeam,Mon Oct 23 19:40:07 +0000 2017,"@374730 No, it's not okay. Thanks for letting us know about this, Parker. We'll follow up with the team at that restaurant.",
1079881,374730,Mon Oct 23 15:05:08 +0000 2017,@118625 @TacoBellTeam I have had ex's wrong me less than this. There is more meet on a spooky skeleton. https://t.co/tHleBXIUKl,1079880,TacoBellTeam,Mon Oct 23 17:58:50 +0000 2017,@374730 That's not cool. Which location was this from?,1079879
1079883,374731,Mon Oct 23 19:41:33 +0000 2017,@TacoBellTeam Love Taco Bell just hope our local one can live up to its potential. :D,1079885,TacoBellTeam,Mon Oct 23 20:14:37 +0000 2017,@374731 We hear you. Thanks again for letting us know what happened. We're follow up with the team.,1079886
1079884,374731,Mon Oct 23 18:00:23 +0000 2017,"@TacoBellTeam Lenoir, NC",1079882,TacoBellTeam,Mon Oct 23 19:39:31 +0000 2017,@374731 Thanks for the heads up. We're on it.,1079883
1079889,374731,Mon Oct 23 07:13:51 +0000 2017,@TacoBellTeam this is a sad sad taco no lettuce means no meat? https://t.co/nOvwrvw7UL,1079887,TacoBellTeam,Mon Oct 23 17:59:10 +0000 2017,@374731 Oh no. Where did you get this?,"1079884,1079888"
1079892,374732,Mon Oct 23 18:00:28 +0000 2017,@TacoBellTeam @118625 it was the Beville and S. Clyde Clyse Morris. Just for the record i will still continue to get my mexican pizzas there ☺,1079890,TacoBellTeam,Mon Oct 23 19:39:04 +0000 2017,@374732  https://t.co/v05N1tedrz,1079891
1079895,374732,Sun Oct 22 23:42:20 +0000 2017,"So all i wanted all day was a mexican pizza from @118625 so i finally get it and it was stale, cold and tasted horrible. Talk about sad!!!",1079893,TacoBellTeam,Mon Oct 23 17:42:36 +0000 2017,@374732 That's not okay. Which location did you go to?,"1079894,1079892"
1079897,374733,Mon Oct 23 18:03:59 +0000 2017,@TacoBellTeam Romeoville Illinois. Weber Road,1079896,TacoBellTeam,Mon Oct 23 19:34:12 +0000 2017,@374733 Thanks for the heads up. We're on it.,
1079899,374733,Mon Oct 23 03:04:29 +0000 2017,@118625 just opened this quesarito.. standard size spoon for scale.. what's going on? Is this normal now? #cravingkilled https://t.co/RXlD2kUaqw,1079898,TacoBellTeam,Mon Oct 23 18:02:39 +0000 2017,@374733 That's not right. Which location was this from?,1079897
