customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1002220,357237,Sun Oct 01 16:20:10 +0000 2017,@TfL any reason morning route cost £1 and return in afternoon cost £2.60!?,1002219,TfL,Sat Oct 14 12:07:52 +0000 2017,@357237 can you DM us your 12 digit Oyster card number and we'll take a look.,
1002223,357238,Sat Oct 14 11:31:38 +0000 2017,@TfL is there a lift at Tottenham Court Road station coming from Epping?,1002224,TfL,Sat Oct 14 12:02:18 +0000 2017,"@357238 Hi, its step free from platform to street level with lift. A little step from train to platform 1/2",
1002223,357238,Sat Oct 14 11:31:38 +0000 2017,@TfL is there a lift at Tottenham Court Road station coming from Epping?,1002221,TfL,Sat Oct 14 12:03:02 +0000 2017,@357238 2/22 - okay for wheelchairs &amp; push chairs but no ramp for mobility scooters.,1002222
1011378,291734,Sun Oct 22 20:48:02 +0000 2017,@TfL What if there’s still some money on them?,1011376,TfL,Sun Oct 22 20:51:23 +0000 2017,"@291734 we can contact you to arrange a bank transfer, otherwise, we'll send you a cheque in GBP. Thanks ^Jae",1011377
1011381,291734,Sun Oct 22 20:03:29 +0000 2017,"@TfL Found these in my flat, 16 Oyster Card.
What can I do with them? https://t.co/QARtJNVWFI",1011380,TfL,Sun Oct 22 20:43:32 +0000 2017,"@291734 Hi Send them into us at 14 Pier Walk, London, SE10 0ES. Thanks ^Jae",1011378
1011384,359299,Sun Oct 22 20:44:30 +0000 2017,"@TfL I do, would this work out the cheapest way?",1011382,TfL,Sun Oct 22 20:49:58 +0000 2017,@359299 yes indeed it would. Please see link I've provided: https://t.co/abGfeLBzeD,1011383
1011386,359299,Sun Oct 22 20:07:39 +0000 2017,"Back in London in a few weeks for 3-4 days and wondering what’s the best way to pay for the tubes, any ideas @TfL",1011385,TfL,Sun Oct 22 20:42:38 +0000 2017,@359299 Hi do you have a contactless payment card?,1011384
1011389,359300,Sun Oct 22 20:44:15 +0000 2017,"@TfL I can't do that - the online account now only shows the new card, and yesterday wouldn't accept any of my security answers :(",1011391,TfL,Sun Oct 22 20:57:28 +0000 2017,@359300 Give the Oyster team a call tomorrow on 0343 222 1234 (open 8am-8pm daily). They'll setup the transfer for collection in about 30mins.Chiedu,1011392
1011390,359300,Sun Oct 22 19:37:47 +0000 2017,Argh. Forgot to ring @TfL to get my Travelcard moved onto the replacement Oyster card and they're now closed :(,1011388,TfL,Sun Oct 22 20:43:34 +0000 2017,"@359300
Hi

If you have access to your Oyster online account you can do the transfer yourself. 
Hope this helps.

Regards
Chiedu",1011389
1011396,359301,Sun Oct 22 20:16:46 +0000 2017,Hi @TfL how do I make a complaint about one of your staff?,1011394,TfL,Sun Oct 22 20:38:40 +0000 2017,@359301 Hi you can make a staff complaint here:https://t.co/ZpM4GOGdBV,1011395
1011399,359302,Sun Oct 22 20:22:46 +0000 2017,Got charged £7.70 for a journey to London Euston where I couldn’t tap out as the machines were broken 😑 @TfL could I have a refund please?,1011397,TfL,Sun Oct 22 20:35:33 +0000 2017,@359302 your journey to show up on our system. The number to call is 0343 222 1234. Lines are open 8am -8pm. Thanks ^Jae (2/2),1011398
1011399,359302,Sun Oct 22 20:22:46 +0000 2017,Got charged £7.70 for a journey to London Euston where I couldn’t tap out as the machines were broken 😑 @TfL could I have a refund please?,1011400,TfL,Sun Oct 22 20:35:26 +0000 2017,"@359302 Hi Sabrina, you can get a refund but you would need to call up tomorrow to be refunded as it will take 24 hours for (1/2)",
1011402,359303,Sun Oct 22 14:57:51 +0000 2017,"@TfL hi, friend has managed to leave an empty suitcase on the northern line from Euston to bank, who should she contact to get it back?",1011403,TfL,Sun Oct 22 20:19:20 +0000 2017,"@359303 1/2 Hi Vicky, please ask your friend to use our online form to report the loss: https://t.co/cj7tToKBfg If found, the Lost Property office",
1011402,359303,Sun Oct 22 14:57:51 +0000 2017,"@TfL hi, friend has managed to leave an empty suitcase on the northern line from Euston to bank, who should she contact to get it back?",1011401,TfL,Sun Oct 22 20:19:29 +0000 2017,@359303 2/2 will contact them.,
1012999,359707,Sun Oct 22 17:24:53 +0000 2017,"@TfL touched in with my photocard to find train delayed, tried touching out and charged £1.20, how do I claim a refund without phoning?",1012998,TfL,Sun Oct 22 18:14:05 +0000 2017,@359707 get this refunded back to you. Thanks ^Jae,
1012999,359707,Sun Oct 22 17:24:53 +0000 2017,"@TfL touched in with my photocard to find train delayed, tried touching out and charged £1.20, how do I claim a refund without phoning?",1013000,TfL,Sun Oct 22 18:13:48 +0000 2017,"@359707 Hi, you will need to wait until our system updates with journeys made today and if you give us a call on 0343 222 1234 you should be able to",
1013002,359708,Sun Oct 22 17:30:30 +0000 2017,Baffled as to why the eastbound circle line tube has just suddenly changed into a westbound mid journey? Wtf @TfL,1013006,TfL,Sun Oct 22 18:05:21 +0000 2017,@359708 line controller may have to change the destination or direction of a train at short notice giving very little time to communicate (2/4),
1013002,359708,Sun Oct 22 17:30:30 +0000 2017,Baffled as to why the eastbound circle line tube has just suddenly changed into a westbound mid journey? Wtf @TfL,1013005,TfL,Sun Oct 22 18:05:29 +0000 2017,@359708 this to customers.The line controller has to make decisions based on what is happening on the line at that moment in time meaning (3/4),
1013002,359708,Sun Oct 22 17:30:30 +0000 2017,Baffled as to why the eastbound circle line tube has just suddenly changed into a westbound mid journey? Wtf @TfL,1013001,TfL,Sun Oct 22 18:06:01 +0000 2017,@359708 Please be assured however that it is always our intention to run our services according to the timetable. Thanks,
1013002,359708,Sun Oct 22 17:30:30 +0000 2017,Baffled as to why the eastbound circle line tube has just suddenly changed into a westbound mid journey? Wtf @TfL,1013003,TfL,Sun Oct 22 18:05:37 +0000 2017,@359708 the information can change very quickly (4/4),
1013002,359708,Sun Oct 22 17:30:30 +0000 2017,Baffled as to why the eastbound circle line tube has just suddenly changed into a westbound mid journey? Wtf @TfL,1013004,TfL,Sun Oct 22 18:05:14 +0000 2017,"@359708 Hi Grace, when minor disruptions occur trains are inevitably not where they are timetabled to be, this may mean the (1/4)",
1013009,359709,Sun Oct 22 11:45:14 +0000 2017,@TfL Hi. I see Q13 cycle markings on road but no Q13 PDF route map on your site. Are you able to provide one please?,1013007,TfL,Sun Oct 22 17:52:29 +0000 2017,"@359709 Hi Conan, is this what you're looking for - https://t.co/QXmKGMCoiH? Thanks, Jo.",1013008
1015314,143268,Sat Oct 14 14:36:52 +0000 2017,@TfL Thank you so much,1015313,TfL,Sat Oct 14 14:40:30 +0000 2017,"@143268 No worries Martin. Let us know if you need anything else, if not, enjoy your weekend.  ^Tariq",
1015316,143268,Sat Oct 14 14:17:43 +0000 2017,@TfL CR0 6SW arriving today around 18.45,1015319,TfL,Sat Oct 14 14:26:55 +0000 2017,@143268 The return trip would involve take the 38 or 56 bus from Dalston Junction Station to Essex Road Station,
1015316,143268,Sat Oct 14 14:17:43 +0000 2017,@TfL CR0 6SW arriving today around 18.45,1015318,TfL,Sat Oct 14 14:27:30 +0000 2017,@143268 Boarding the Great Northern Rail from Essex Road at 22:54 to Highbury &amp; Islington and then the Victoria Line to Victoria,
1015316,143268,Sat Oct 14 14:17:43 +0000 2017,@TfL CR0 6SW arriving today around 18.45,1015317,TfL,Sat Oct 14 14:28:09 +0000 2017,"@143268 You have to get back on the Rail from Victoria, there's a train at 23:24 to East Croydon from where you can board the 367 bus",
1015316,143268,Sat Oct 14 14:17:43 +0000 2017,@TfL CR0 6SW arriving today around 18.45,1015315,TfL,Sat Oct 14 14:21:38 +0000 2017,@143268 Can you to Sandilands Tram stop? I've planned the route to  the E8 address here &gt; https://t.co/k88tqZAws0,1015314
1015322,143268,Sat Oct 14 13:29:54 +0000 2017,"@TfL hiya, can you tell me why your journey planner/app cannot plan a journey between CR0 and E8 3DF? Cannot find any results to your search",1015321,TfL,Sat Oct 14 14:16:56 +0000 2017,"@143268 Hi Martin, I can try to plan the journey on your behalf. Do you have the full postcode for the CR0 address?",1015316
1015324,360227,Sat Oct 14 14:35:58 +0000 2017,"@TfL Great! And just to check that's £5 for the deposit? I'm not looking to top it up just yet, just to purchase a card.",1015323,TfL,Sat Oct 14 14:37:04 +0000 2017,@360227 Yes that's right,
1015326,360227,Sat Oct 14 14:25:20 +0000 2017,@TfL Are there facilities for me to buy a new Oyster card at Vauxhall station?,1015325,TfL,Sat Oct 14 14:29:21 +0000 2017,"@360227 Hi Heidi, you can purchase an Oyster card for £5 from ticket machine at Vauxhall Underground station   ^Tariq",1015324
1016285,360456,Sun Oct 22 17:13:16 +0000 2017,"@TfL Was on Metropolitan, now let off. What happened?",1016284,TfL,Sun Oct 22 18:57:11 +0000 2017,"@360456 Hi Richard, this was due to a an earlier customer incident at Wembley Park. Thanks",
1016287,360456,Sun Oct 22 16:57:02 +0000 2017,@TfL Stuck on a train at Wembley Park and the driver won't let us out.,1016286,TfL,Sun Oct 22 17:10:31 +0000 2017,@360456 can you confirm what line your on please? Thanks ^Jae,1016285
1016319,360463,Sun Oct 22 17:11:09 +0000 2017,@TfL any idea what the hold up is south of preston road towards Wembley Park on the @320024 been here best part of 15 mins on a red signal,1016317,TfL,Sun Oct 22 19:00:38 +0000 2017,"@360463 @320024 Hi Myles, this is due to a an earlier customer incident at Wembley Park. Thanks ^Jae",1016318
1016324,360464,Sun Oct 22 17:16:08 +0000 2017,"@TfL why is Wembley Park station shut?? You're aware there's 80,000 people trying to go home I assume, not a single person here to explain",1016322,TfL,Sun Oct 22 18:59:55 +0000 2017,@360464 staff should have made announcements. I'm sorry if this was not the case.,1016323
1016324,360464,Sun Oct 22 17:16:08 +0000 2017,"@TfL why is Wembley Park station shut?? You're aware there's 80,000 people trying to go home I assume, not a single person here to explain",1016326,TfL,Sun Oct 22 18:59:15 +0000 2017,@360464 platforms as it can cause a safety risk. (2/2),
