customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000960,356973,Thu Oct 12 04:02:10 +0000 2017,@TwitterSupport @123765  As requested earlier Either delete that account or help me regaining access to my ID @34675,1000959,TwitterSupport,Thu Oct 12 04:17:09 +0000 2017,@356973 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1010638,359154,Sun Oct 22 20:39:55 +0000 2017,@TwitterSupport I need help with my account,1010637,TwitterSupport,Sun Oct 22 20:42:48 +0000 2017,@359154 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1010640,359155,Sun Oct 22 19:10:44 +0000 2017,@123765 @TwitterSupport need your help,1010639,TwitterSupport,Sun Oct 22 19:18:25 +0000 2017,"@359155 Hi there, we're here to help. Please send us a message and we can work on getting this sorted. https://t.co/5TkIRqD4sE",
1011513,359325,Sat Oct 14 12:19:41 +0000 2017,@TwitterSupport hi im new to twitter-but dont know if my tweets are getting thru-can you help?,1011512,TwitterSupport,Sat Oct 14 12:47:12 +0000 2017,"@359325 Hi there, we're here to help. Please send us a message and we can work on getting this sorted. https://t.co/5TkIRqD4sE",
1013646,359856,Thu Oct 12 10:50:36 +0000 2017,"@44443 
@TwitterSupport @784 
  He is using my personal info. 
https://t.co/Z53xf32Cse",1013644,TwitterSupport,Thu Oct 12 11:35:57 +0000 2017,@359856 We are here to help. Please send us a message and we'll get started looking into this for you. https://t.co/5TkIRqD4sE,1013645
1015472,360268,Sun Oct 22 17:33:51 +0000 2017,@TwitterSupport can you help me having problems logging in to another account ?,1015471,TwitterSupport,Sun Oct 22 17:40:05 +0000 2017,@360268 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1015474,360269,Sun Oct 22 17:15:19 +0000 2017,@TwitterSupport help,1015473,TwitterSupport,Sun Oct 22 17:16:12 +0000 2017,@360269 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1015476,360270,Sun Oct 22 17:09:22 +0000 2017,@TwitterSupport I’m being harassed https://t.co/gjxo1xCx4E,1015475,TwitterSupport,Sun Oct 22 17:10:39 +0000 2017,@360270 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1021523,361747,Sun Oct 22 22:52:19 +0000 2017,@TwitterSupport this account is doxxing and harassing https://t.co/Ff85N1JDuF,1021522,TwitterSupport,Sun Oct 22 22:56:21 +0000 2017,@361747 We are here to help. Please send us a message and we'll get started looking into this for you. https://t.co/5TkIRqD4sE,
1021525,361748,Sun Oct 22 22:27:39 +0000 2017,".@TwitterSupport Sir, this man👉@39937👈has been Target abusing women, sending Rape threats to them. Take a look at his timelines and stop him.",1021524,TwitterSupport,Sun Oct 22 22:31:05 +0000 2017,"@361748 Hi there, we're here to help. Please send us a message and we can work on getting this sorted. https://t.co/5TkIRqD4sE",
1021527,361749,Sun Oct 22 21:06:57 +0000 2017,@TwitterSupport I need help with something!,1021526,TwitterSupport,Sun Oct 22 21:07:50 +0000 2017,@361749 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1021529,361750,Sun Oct 22 20:50:36 +0000 2017,@TwitterSupport I need help,1021528,TwitterSupport,Sun Oct 22 21:05:42 +0000 2017,@361750 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1022465,361939,Sat Oct 14 16:12:56 +0000 2017,@361940 @TwitterSupport @12 Ban this racist.,1022464,TwitterSupport,Sat Oct 14 16:21:33 +0000 2017,"@361939 Hi, please send us a message and we'll look into this with you. https://t.co/5TkIRqD4sE",
1022469,361942,Sat Oct 14 15:20:22 +0000 2017,@TwitterSupport suspend @44843 he is a bully and a liar,1022468,TwitterSupport,Sat Oct 14 15:31:21 +0000 2017,@361942 Thanks for letting us know about this. Please send us a message and we can begin working on this issue. https://t.co/5TkIRqD4sE,
1023022,362079,Thu Oct 12 16:09:11 +0000 2017,"@TwitterSupport Hi, How can I reset my password?",1023021,TwitterSupport,Thu Oct 12 16:10:46 +0000 2017,"@362079 Hi, please send us a message and we'll look into this with you. https://t.co/5TkIRqD4sE",
1023024,362080,Thu Oct 12 14:37:58 +0000 2017,@TwitterSupport HI i am not able to login to my twitter account from my mobile whereas i am able to do the same from my desktop.,1023023,TwitterSupport,Thu Oct 12 14:51:30 +0000 2017,"@362080 Thanks for reaching out, we are happy to help. Please send us a message and we can get started. https://t.co/5TkIRqD4sE",
1023775,362261,Tue Oct 24 23:38:23 +0000 2017,@TwitterSupport Twitter Help,1023774,TwitterSupport,Tue Oct 24 23:39:55 +0000 2017,@362261 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/eXwzpNPj8C,
1023777,362262,Tue Oct 24 23:13:17 +0000 2017,@TwitterSupport I’m being bullied https://t.co/vwWlF2nrhY,1023776,TwitterSupport,Tue Oct 24 23:15:19 +0000 2017,"@362262 Hi there, we're here to help. Please send us a message and we can work on getting this sorted. https://t.co/eXwzpNPj8C",
1023779,119334,Tue Oct 24 23:08:54 +0000 2017,@362263 Bot/troll. Reported to @TwitterSupport . Blocked .,1023778,TwitterSupport,Tue Oct 24 23:12:05 +0000 2017,"@119334 Hi there, we're here to help. Please send us a message and we can work on getting this sorted. https://t.co/eXwzpNPj8C",
1023782,362264,Tue Oct 24 22:38:46 +0000 2017,@twittersupport I'm being bullied please help!!!!,1023781,TwitterSupport,Tue Oct 24 22:46:31 +0000 2017,@362264 We are here to help. Please send us a message and we'll get started looking into this for you. https://t.co/eXwzpNPj8C,
1028008,363277,Mon Oct 23 00:07:40 +0000 2017,@363278 @363279 @44643 @TwitterSupport please suspend this persons account they're bullying me thank you.,1028007,TwitterSupport,Mon Oct 23 00:08:49 +0000 2017,@363277 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1028018,363280,Sun Oct 22 23:29:21 +0000 2017,@363281 @12 Pls @TwitterSupport @12 we are reporting this account @363282 for threatening people with hatred https://t.co/XnzYnzwAUX,1028017,TwitterSupport,Sun Oct 22 23:36:23 +0000 2017,@363280 We are here to help. Please send us a message and we'll get started looking into this for you. https://t.co/5TkIRqD4sE,
1030562,363832,Sun Oct 22 16:30:27 +0000 2017,@TwitterSupport I tweeted yesterday as well @TwitterSupport I would appreciate some help!,1030561,TwitterSupport,Mon Oct 23 03:45:08 +0000 2017,@363832 Thanks for letting us know about this. Please send us a message and we can begin working on this issue. https://t.co/5TkIRqD4sE,
1034173,364657,Mon Oct 23 05:44:36 +0000 2017,"@TwitterSupport please help me , I'm logged out of my other account @45284",1034172,TwitterSupport,Mon Oct 23 06:05:44 +0000 2017,@364657 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1034175,364658,Mon Oct 23 04:23:57 +0000 2017,@TwitterSupport I need help !!,1034174,TwitterSupport,Mon Oct 23 05:14:03 +0000 2017,@364658 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1034958,364823,Sat Oct 14 18:01:08 +0000 2017,"@TwitterSupport @123765 This person has been harassing me online 2two days now!His ID's R garthbrooks
       @48733",1034957,TwitterSupport,Sat Oct 14 18:01:52 +0000 2017,@364823 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1034960,364824,Sat Oct 14 17:34:18 +0000 2017,Everyone block and report and try get  @72704 suspended for harassment and bullying and hate speech.  @TwitterSupport help please https://t.co/6X7R2BSOEU,1034959,TwitterSupport,Sat Oct 14 17:36:36 +0000 2017,"@364824 Hi, please send us a message and we'll look into this with you. https://t.co/5TkIRqD4sE",
1034968,364825,Sat Oct 14 17:26:17 +0000 2017,i lost access to my previous account @45326 but someone seems to still be tweeting from it. please delete this account @TwitterSupport,1034967,TwitterSupport,Sat Oct 14 17:34:13 +0000 2017,"@364825 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this. https://t.co/5TkIRqD4sE",
1034970,364826,Sat Oct 14 16:45:07 +0000 2017,@TwitterSupport this is literally the most annoying thing please help my poor soul,1034969,TwitterSupport,Sat Oct 14 16:46:17 +0000 2017,@364826 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
1038463,365680,Mon Oct 23 02:04:40 +0000 2017,@TwitterSupport PLEASE HELP ME https://t.co/UPKIQLhJJc,1038462,TwitterSupport,Mon Oct 23 02:35:30 +0000 2017,@365680 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/5TkIRqD4sE,
