customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
100004,137902,Thu Nov 30 17:26:14 +0000 2017,@Uber_Support  you morons,100003,Uber_Support,Thu Nov 30 17:27:41 +0000 2017,@137902 Sorry for any inconvenience. Kindly send us your email address and details of your concern so our team can assist.,
100006,137903,Thu Nov 30 17:20:12 +0000 2017,Hey @Uber_Support your driver cancels and you charge me for it WTF have you lost your fucking mind.,100005,Uber_Support,Thu Nov 30 17:27:21 +0000 2017,@137903 Here to help! Send us a note via https://t.co/e8HVorX5rh so our team can connect.,
100008,137904,Thu Nov 30 17:19:51 +0000 2017,This is what happens when an UBER driver does not know the city @115873 @5835 @5836 @127586 @ https://t.co/Sd82ILWZ8Z,100007,Uber_Support,Thu Nov 30 17:27:17 +0000 2017,@137904 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.,
100010,137905,Thu Nov 30 17:17:54 +0000 2017,so i use @115873 about 3 times a week minimum and have also been a fan until the driver fully extorted my friends and I on Saturday night,100009,Uber_Support,Thu Nov 30 17:26:47 +0000 2017,@137905 We're so sorry for the trouble. Send us a note via https://t.co/z8NNR56eyf so we can assist.,
100012,137906,Thu Nov 30 17:15:01 +0000 2017,@115877 why you not delivering to my address dm me please,100011,Uber_Support,Thu Nov 30 17:26:28 +0000 2017,@137906 Here to help. Send us a note at https://t.co/NcKEnQDmxQ so we can connect.,
100014,137907,Thu Nov 30 17:15:49 +0000 2017,@Uber_Support I was recently charge and I am not currently using Uber. Who do I contact about the charge?,100013,Uber_Support,Thu Nov 30 17:25:43 +0000 2017,@137907 Sorry about the trouble! Please send us a note here: https://t.co/kGIXas5Cxg so one of our team can take a look into this issue for you.,
100017,137366,Thu Nov 30 16:58:35 +0000 2017,@115877 @5838 Thanks guys for keeping me hungry tonight.,100015,Uber_Support,Thu Nov 30 17:24:55 +0000 2017,"@137366 Hi, Ananda! Go ahead and check your app! We've reached out to you via in-app support which you can respond to directly for further details as we'll be streamlining all communication through the support function. We appreciate your patience while we work to resolve this.",100016
1000173,177315,Fri Nov 03 22:22:11 +0000 2017,@Uber_Support I need to know when you all will fix your instant pay system?,1000172,Uber_Support,Fri Nov 03 22:58:38 +0000 2017,"@177315 We see that you've reached out directly to our support team via in-app, and we will continue communications there moving forward.",
1000177,177315,Fri Nov 03 22:11:07 +0000 2017,Zzzzzzzzzzzz @115873 @Uber_Support ok cool jus further lets me know the fraudulence is at an all time high. #GoodLookin,1000174,Uber_Support,Fri Nov 03 22:18:56 +0000 2017,@177315 Thanks for reaching out to us about this. Please reach out to us directly using this link https://t.co/GNvRsn58uY and leave a brief note.,"1000173,1000175,1000176"
100020,137908,Thu Nov 30 17:21:46 +0000 2017,@115873 police your drivers! PA driver w/ plate MVP VIP harrased me and my 3 yr old and almost caused an accident. Does not inspire confidence in your company.,100019,Uber_Support,Thu Nov 30 17:24:51 +0000 2017,@137908 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,
100022,137909,Thu Nov 30 17:13:06 +0000 2017,@115873 won't let me change my profile pic... I'm stuck w this creepy thing forever https://t.co/nQdxqWmIxB,100021,Uber_Support,Thu Nov 30 17:24:42 +0000 2017,@137909 Find out more info about Updating account settings here; https://t.co/ACn231rQL4.,
1000237,356804,Sun Oct 22 17:20:26 +0000 2017,Fuck @115873 they charged my account twice last night with separate transactions and don’t have a number to contact in order to dispute it,1000236,Uber_Support,Sun Oct 22 17:28:22 +0000 2017,@356804 We're here to help! Send us a note via https://t.co/dInR3racif so our team can assist.,
1000239,356805,Sun Oct 22 17:21:56 +0000 2017,My mum has left her phone in an #uber but needs a code via text to access the 'left something behind?' page. @115873 help!,1000238,Uber_Support,Sun Oct 22 17:28:04 +0000 2017,@356805 That's not ok! Send us a note at https://t.co/rOtqyWzf0B and our team will follow up right away.,
100024,137910,Thu Nov 30 17:10:21 +0000 2017,@Uber_Support @137911 @Uber_Support I paid R120 once for a same trip that would've cost me R9 had I taken a taxi.,100023,Uber_Support,Thu Nov 30 17:22:20 +0000 2017,@137910 We can definitely take a closer look! Contact us here; https://t.co/ue84RGNpRP,
1000241,356806,Sun Oct 22 19:52:22 +0000 2017,@Uber_Support Thank u for your quick response. I’ve just done that now. How can I tell when it’s been credited?,1000243,Uber_Support,Mon Oct 23 00:21:05 +0000 2017,"@356806 Happy to explain. Our response to your inquiry will be sent via in-app Help, and you can also view it from your Uber account email address.",
1000242,356806,Sun Oct 22 17:25:51 +0000 2017,@115873 I was charged the cancellation fee which should be refunded and I’d like to report the driver for doing this.,1000240,Uber_Support,Sun Oct 22 17:27:37 +0000 2017,@356806 Hi there! Please send us a note at https://t.co/QsI1vsvcif and we'll be happy to look into this for you.,1000241
1000246,356807,Sun Oct 22 11:53:12 +0000 2017,@115877 meal selected from vegetarian menu and a non veg meal gets delivered . Now you guys don’t care about religion also ! Refund !!,1000245,Uber_Support,Sun Oct 22 17:25:06 +0000 2017,@356807 We're here to help! We just sent you a DM.,
1000248,356808,Sun Oct 22 17:19:24 +0000 2017,Changed my number and @115873 blocked my account for the second time. I should sue for emotional distress.,1000247,Uber_Support,Sun Oct 22 17:23:11 +0000 2017,@356808 We're sorry to hear this was your experience. Contact us via https://t.co/Md7v036OoC and we'll be in touch.,
1000250,356809,Sun Oct 22 17:13:10 +0000 2017,"@115873  before I tell my credit card company to investigate you criminal twats, you’ve got 24hrs to refund this https://t.co/HIzfbV8BWa",1000249,Uber_Support,Sun Oct 22 17:16:58 +0000 2017,@356809 Sorry for the trouble.  Send us a DM with your email address and our team will follow up.,
100027,137920,Thu Nov 30 17:09:57 +0000 2017,"@Uber_Support @137911 Your team don't reply to my notes
 Please you help me out of this problem.",100072,Uber_Support,Thu Nov 30 17:15:01 +0000 2017,"@137920 We've just followed up with your DM, Aditya. Please check there for more information.",
100028,137931,Fri Dec 01 02:44:20 +0000 2017,"@Uber_Support I signed up for ride passes &amp; for about 4 months I’ve been getting that, why is it that this month I’m getting route passes when I never signed up for such?",100094,Uber_Support,Fri Dec 01 02:58:33 +0000 2017,@137931 Hi there! Please visit; https://t.co/1fyML2Nor6 for more info. Please let us know if you have any other questions or concerns.,100095
100029,137911,Thu Nov 30 16:54:14 +0000 2017,@Uber_Support pathetic sercice got over charged https://t.co/HYptohUEVi,100025,Uber_Support,Thu Nov 30 17:07:18 +0000 2017,"@137911 Sorry for the trouble! Send us a note here, https://t.co/oEOANqFpjc and our team will be in touch.","100026,100024,100027,100028"
100032,120150,Thu Nov 30 17:15:00 +0000 2017,"@Uber_Support your ""support"" sucks",100031,Uber_Support,Thu Nov 30 17:21:51 +0000 2017,@120150 We're here to help! Send us a DM with your email address and more details so we can follow up.,
