customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1001678,357126,Sun Oct 22 16:50:13 +0000 2017,When you make a 📸📕 on @43912 &amp; you think the book will come soon but the @115817 takes it from NJ to the Bronx back to NJ. I from the Bronx,1001677,UPSHelp,Sun Oct 22 17:35:29 +0000 2017,@357126 Click the link to DM us with your tracking number if you're needing assistance. ^E.W. https://t.co/wKJHDXWGRQ,
1001680,357127,Sun Oct 22 17:26:10 +0000 2017,"Wish @115817 would actually leave packages at my door when they say they do. Every time I have to play ""find the package"" on neighbors porches.",1001679,UPSHelp,Sun Oct 22 17:33:28 +0000 2017,@357127 Let's figure out what's going on. Send the tracking number + your contact # to DM. ^DS https://t.co/wKJHDXWGRQ,
1001682,273284,Sun Oct 22 16:55:14 +0000 2017,"@115817 #wtf if this isnt properly sorted out by mon. 10/23/17,i am going 2 sue u! https://t.co/M7H9psEFn7",1001681,UPSHelp,Sun Oct 22 17:18:29 +0000 2017,"@273284 Click the link to DM your track #, phone #, and complete address. ^E.W. https://t.co/wKJHDXWGRQ",
1002189,115718,Sat Oct 14 12:33:52 +0000 2017,.@115817 When you don’t deliver the Next Day when someone pays for Next Day. It should include Saturday delivery. Next Day doesn’t mean 4 day.,1002188,UPSHelp,Sat Oct 14 12:43:00 +0000 2017,@115718 The shipper has the option to choose Next day Saturday delivery. Your shipper did not choose that service.^DS,
1003203,357466,Sun Oct 22 14:45:16 +0000 2017,"@115817 @UPSHelp thousands of packages held up in Carolina, PR.What are you doing to move them to final destinations, especially to #Vieques ??",1003201,UPSHelp,Sun Oct 22 14:51:01 +0000 2017,@357466 Do you have a package that you're needing assistance with? ^E.W. https://t.co/wKJHDXWGRQ,1003202
1005140,357904,Sun Oct 22 15:03:32 +0000 2017,Nog steeds bezig met #kiala @115817 om mijn onverschuldigde betaling terug te krijgen van niet geleverde dienst. Kastje-muur. Customer service?,1005139,UPSHelp,Sun Oct 22 15:21:33 +0000 2017,"@357904 Hello, let us know how we can assist you. CLick the link to DM us directly. ^E.W. https://t.co/wKJHDXWGRQ",
1005143,357905,Sun Oct 22 15:12:56 +0000 2017,@UPSHelp Can I get a package sent to back to the sender,1005141,UPSHelp,Sun Oct 22 15:17:27 +0000 2017,@357905 Please DM us the details of your concern. Include your tracking and phone number. We're here to help. ^LG https://t.co/wKJHDXWGRQ,1005142
1005861,358070,Thu Oct 12 08:38:03 +0000 2017,@115817 - what a horrendous company! Truly awful first experience &amp; will never use again. Colleague also having a bad first experience too!,1005859,UPSHelp,Thu Oct 12 08:41:27 +0000 2017,@358070 Sorry to hear it was unpleasant. If any assistance is needed on a future delivery feel free to message us ^EA,1005860
1006769,358234,Sun Oct 22 19:19:47 +0000 2017,"@UPSHelp @115817 Where's my package at guys. It says delivered yesterday at front door. I was home all day, no ring at doorbell, nothing.",1006767,UPSHelp,Sun Oct 22 19:36:52 +0000 2017,@358234 What's your tracking number? Click the link to DM us with your tracking and phone number.  ^E.W. https://t.co/wKJHDXWGRQ,1006768
1006771,358235,Sun Oct 22 19:04:00 +0000 2017,"@346069 @346070 @346071 @115817 @118706 @UPSHelp I am so sorry for the trouble you are experiencing. I suggest you continue to be vocal on Twitter, they don’t like the bad public PR.",1006770,UPSHelp,Sun Oct 22 19:15:34 +0000 2017,@358235 Please DM us the details of your concern. Include your tracking and phone number. We're here to help. ^LG https://t.co/wKJHDXWGRQ,
1006772,346069,Sun Oct 22 19:10:20 +0000 2017,@358235 @346070 @346071 @115817 @118706 @UPSHelp Oh I will! Thank you for listening,1890984,UPSHelp,Sun Oct 22 19:14:27 +0000 2017,@346069 Please DM us the details of your concern. Include your tracking and phone number. We're here to help. ^LG https://t.co/wKJHDXWGRQ,
100862,138054,Thu Nov 30 17:05:53 +0000 2017,@115817 DELIVERED A PACKAGE &amp; LEFT IT AT THE FRONT DOOR/PORCH.  @115817 DID NOT REQUIRE A SIGNATURE FROM THE CUSTOMER #UPS SHOULD PAY FOR THE DEVICE THATWAS STOLEN @115911 @TMobileHelp @138064  @120330 @138065 @138066,100863,UPSHelp,Thu Nov 30 17:17:02 +0000 2017,@138054 Please message us the tracking number so we can look into this for you. ^MS https://t.co/wKJHDXWGRQ,
1009814,358939,Sun Oct 22 19:59:48 +0000 2017,trying to make contact with an actual person at @115817 is damn near impossible. @UPSHelp save me as a customer,1009813,UPSHelp,Sun Oct 22 20:29:57 +0000 2017,@358939 Let us know how we can assist you. Click the link to DM us with your tracking and phone number. ^E.W. https://t.co/wKJHDXWGRQ,
1011209,359258,Sun Oct 22 21:00:58 +0000 2017,"UPS driver: Sign here.

Me: *signs, The dress is blue &amp; black*",1011208,UPSHelp,Sun Oct 22 21:10:00 +0000 2017,"@359258 First of all, it was white and gold. Lol! Have a good day,  ^E.W. https://t.co/wKJHDXWGRQ",
1011865,359420,Thu Oct 12 11:55:31 +0000 2017,@UPSHelp A refund check wouldn't be a bad Idea. I paid $330 for overnight delivery.,1011864,UPSHelp,Thu Oct 12 12:04:00 +0000 2017,"@359420 I'm sorry for the delayed delivery. If the delay is caused by mother nature, we are unable to process a refund. ^AR",
1012582,359607,Sat Oct 14 14:25:51 +0000 2017,@UPSHelp I have a question,1012581,UPSHelp,Sat Oct 14 14:42:30 +0000 2017,@359607 Let us know how we can assist you. Click the link to slide into our DMs. ^E.W. https://t.co/wKJHDXWGRQ,
1012732,359644,Sun Oct 22 16:45:22 +0000 2017,"@UPSHelp @115817 please help! Ive been waiting on my package for ages already and now it says on the app “exception” last location was PA.
HELP",1012731,UPSHelp,Sun Oct 22 17:52:32 +0000 2017,@359644 Let's figure out what's going on. Send the tracking number + your contact # to DM. ^DS https://t.co/wKJHDXWGRQ,
1013439,350875,Thu Oct 12 12:17:58 +0000 2017,"@115817 I’m tying to track my package and this annoying message won’t go away. Even when I click the blue icon to the left, NOTHING HAPPENS 🗣 https://t.co/WP2k413QV4",1013438,UPSHelp,Thu Oct 12 12:51:02 +0000 2017,@350875 Our team would like to give you an update on your package. Please DM the tracking number. ^TV https://t.co/wKJHDXWGRQ,
1013952,308027,Sat Oct 14 13:48:08 +0000 2017,@359927 @115817 Exactly! Then he was trying to say I was lying. &amp; didn’t wanna give me his name. I told him it’s fine I’ll tell him this route &amp; hung up.,1013951,UPSHelp,Sat Oct 14 14:49:00 +0000 2017,@308027 We're  here to help. DM us your tracking and phone number. ^LG https://t.co/wKJHDXWGRQ,
1013954,308027,Sat Oct 14 13:29:21 +0000 2017,@359927 I’m waiting to talk to a supervisor. I feel bad now having 2 bother these people cause @115817 ain’t worth a fuck!,1013955,UPSHelp,Sat Oct 14 15:38:00 +0000 2017,"@308027 Eric, have you been contacted by a UPS Supervisor?  ^LG https://t.co/wKJHDXWGRQ",1017990
1013959,359928,Sat Oct 14 14:21:38 +0000 2017,Gotta love @115817. Just got an email saying my package’s new scheduled delivery is yesterday. It has also now “arrived” in Louisville 3X.,1013958,UPSHelp,Sat Oct 14 14:48:00 +0000 2017,@359928 Sorry to hear this happened. Please click the link to DM us with your tracking and phone number. ^E.W. https://t.co/wKJHDXWGRQ,
1014911,360130,Thu Oct 12 13:06:03 +0000 2017,Waiting on ups to deliver my shit 👀,1014910,UPSHelp,Thu Oct 12 13:21:05 +0000 2017,"@360130 Our team would like to give you an update, please DM the tracking number. ^TV https://t.co/wKJHDXWGRQ",
