customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1006873,358261,Sat Oct 14 15:35:55 +0000 2017,"@USCellularCares 52806, it’s been happening for a few days now.",1006875,USCellularCares,Sat Oct 14 15:39:50 +0000 2017,@358261 We had trouble in that area yesterday but it has been resolved. Have you power cycled your device since yesterday? ^JD,1006876
1006874,358261,Sat Oct 14 15:17:26 +0000 2017,Anyone else w US Cellular having internet problems?? 😤,1006872,USCellularCares,Sat Oct 14 15:21:36 +0000 2017,@358261 Where are you experiencing trouble (zip code)? ^JD,1006873
1006876,358261,Sat Oct 14 15:41:01 +0000 2017,@USCellularCares Yes I’ve done it two times.,1006877,USCellularCares,Sat Oct 14 15:45:32 +0000 2017,@358261 What data plan do you have? ^JD,
1007706,358461,Sun Oct 22 19:46:33 +0000 2017,@127718 What’s the best way to get an apple watch that is rosegold &amp; waterproof? How many series 3 are there? 👀,1007705,USCellularCares,Sun Oct 22 19:57:54 +0000 2017,"@358461 you can order online, visit a store, or call our sales team, 888-289-8722, and we will be happy to get you a watch. ^AS",
1007708,351338,Sun Oct 22 18:41:10 +0000 2017,@127718 you have coverage in myrtle beach right? And raleigh? I never have service or am in roaming soon as i leave my town. Why is this,1007707,USCellularCares,Sun Oct 22 19:08:19 +0000 2017,@351338 Here is a link to our coverage map: https://t.co/9ZW0vi54i3. ^AS,
1016678,360544,Sun Oct 22 19:51:08 +0000 2017,@USCellularCares can someone send me a message and tell me when I can upgrade? I don’t currently have a voice and can’t call,1016677,USCellularCares,Sun Oct 22 20:02:38 +0000 2017,"@360544 if you'd like to send me an email I can check for you, __email__. Put ""Allie"" in the subject line. ^AS",
1023784,362265,Thu Oct 12 15:47:04 +0000 2017,US cellular is the fucking worst phone company ever,1023783,USCellularCares,Thu Oct 12 16:05:29 +0000 2017,@362265 What's going on? ^LC,
1053874,369010,Sat Oct 14 20:49:14 +0000 2017,@USCellularCares Yes iPhone 7,1053876,USCellularCares,Sat Oct 14 20:56:37 +0000 2017,@369010 Taxes are due upfront. Any possible down payment would be determined when you apply for service. ^AH,1053877
1053875,369010,Sat Oct 14 20:17:05 +0000 2017,@USCellularCares So I just need to pay for the phone plan and bring my old phone in and I don’t have to pay for anything else??,1053873,USCellularCares,Sat Oct 14 20:37:00 +0000 2017,"@369010 Are you porting your number from another carrier? If so, what model phone? ^AH",1053874
1053877,369010,Sun Oct 15 00:17:54 +0000 2017,@USCellularCares How come when I went to the store they told me that I had to pay an additional $10 in FEES every month for the device protection plan?,1053878,USCellularCares,Sun Oct 15 13:11:06 +0000 2017,"@369010 Hi Jason. If you took advantage of a promotion that requires $8.99 device protection, it would be needed. ^JD",1053879
1053879,369010,Sun Oct 15 14:06:58 +0000 2017,@USCellularCares I was told that in order to get the free iPhone promotion then I had to get the device protection plan. Is that not a requirement?,1053880,USCellularCares,Sun Oct 15 14:18:11 +0000 2017,"@369010 Yes, it would be a requirement. ^JD","1053881,1053882"
1053881,369010,Sun Oct 15 16:01:37 +0000 2017,@USCellularCares Isn’t that your thing?  No hidden fees?,1053883,USCellularCares,Sun Oct 15 16:14:56 +0000 2017,"@369010 If you want to take advantage of that particular offer, you would need to agree to the monthly fee for device protection + in advance. ^AP","1053884,1053885"
1053884,369010,Sun Oct 15 16:41:36 +0000 2017,@USCellularCares Exactly. A hidden fee. Exactly what you tell us there won’t be in your commercials. https://t.co/VtNPshn3yZ,1053886,USCellularCares,Sun Oct 15 16:50:51 +0000 2017,@369010 Device protection + is a service that protects your phone. ^AP,
1053885,369010,Sun Oct 15 16:41:54 +0000 2017,@USCellularCares Hidden right here in the fine print. https://t.co/jZFgz16Fru,1053887,USCellularCares,Sun Oct 15 16:51:05 +0000 2017,@369010 If you’re within 15 days of purchase you can return the device and opt out of the service. ^AP,"1053888,1053889"
1053892,369010,Sat Oct 14 19:56:51 +0000 2017,@127718 are there really no hidden fees on the free iPhone 8 deal???,1053891,USCellularCares,Sat Oct 14 20:00:38 +0000 2017,@369010 The installment charge and you get a $100.00 rebate at the point of sale which makes it free. ^AH,1053875
1053892,369010,Sat Oct 14 19:56:51 +0000 2017,@127718 are there really no hidden fees on the free iPhone 8 deal???,1053893,USCellularCares,Sat Oct 14 19:59:55 +0000 2017,@369010 There are no hidden fees on our Total Plans. If you qualify for the iPhone 8 promotion you get credits each month to offset. ^AH,
1062931,370997,Mon Oct 23 13:14:14 +0000 2017,"@USCellularCares 27862,no traveling",1062933,USCellularCares,Mon Oct 23 13:25:19 +0000 2017,@370997 I appreciate that. I need to look into this further. Can you please dm your phone number? ^AP,
1062932,370997,Mon Oct 23 13:06:47 +0000 2017,"@USCellularCares Began about 2 weeks ago, switched devices in June",1062930,USCellularCares,Mon Oct 23 13:13:32 +0000 2017,@370997 Thanks for the information. Please provide your zip code. Have you done any traveling lately? ^AP,1062931
1062935,370997,Sun Oct 22 23:37:26 +0000 2017,Uscellular service is really starting to piss me off...The only place I have service is at home....on WiFi #wtf #pissed,1062934,USCellularCares,Mon Oct 23 13:03:37 +0000 2017,@370997 Let’s check into this. When did this begin? Did you recently change devices? ^AP,1062932
1062937,369470,Mon Oct 23 09:12:32 +0000 2017,@USCellularCares 97541 Guarantee there is no outages since I haven’t been able to use my phone at home for months now. How do I get refunded for partial use?,1062936,USCellularCares,Mon Oct 23 13:04:56 +0000 2017,@369470 have you contacted us before about this issue? ^SL,
1062939,369470,Sun Oct 22 09:35:14 +0000 2017,@127718 is horrible. Thanks for never having service when I need it at home. How do I receive a refund for lack of services?,1062938,USCellularCares,Sun Oct 22 15:39:27 +0000 2017,@369470 What zip code are you having an issue in? I will check to see if there is a reported outage in the area. ^AS,1062937
