customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000806,356938,Sun Oct 22 17:27:04 +0000 2017,@VerizonSupport Is regarding y’all bad service. Don’t act like I don’t tweet to y’all every week about it.,1000808,VerizonSupport,Sun Oct 22 17:29:30 +0000 2017,@356938 Our teams will be glad to assist. We just want to make sure it's the right one. Are you having trouble with Wireless (mobile) service? ^DDD,
1000807,356938,Sun Oct 22 17:18:34 +0000 2017,"@115725 my monthly payment is due today, idk if I should pay for another month of absolute garbage service. What y’all think?",1000805,VerizonSupport,Sun Oct 22 17:23:00 +0000 2017,@356938 We'd like to help. Is this regarding Fios or Wireless (mobile) service? ^DDD,1000806
1000816,356941,Mon Oct 23 14:50:57 +0000 2017,@VerizonSupport Issue with my bill. I was supposed to receive a call back but never did.,1000818,VerizonSupport,Mon Oct 23 14:53:30 +0000 2017,@356941 What seems to be going on with the bill today?  We want to help get this corrected for you. ^BCW,1000819
1000817,356941,Sun Oct 22 17:08:20 +0000 2017,@115722 terrible customer service. I've been on the phone for 40 min and issue still not resolved.,1000815,VerizonSupport,Sun Oct 22 17:17:00 +0000 2017,"@356941 We can assist you right here. What's going on?
^TNT",1000816
1000819,356941,Mon Oct 23 15:43:17 +0000 2017,"@VerizonSupport I received 2 bills. one in my name, one in my husband's name. same service, two different prices.",1000820,VerizonSupport,Mon Oct 23 15:49:00 +0000 2017,@356941 Are you still speaking with a representative?  ^CAR,1000821
1000821,356941,Mon Oct 23 17:01:09 +0000 2017,"@VerizonSupport I tried to. They were supposed to call my yesterday, but no one ever did",1000822,VerizonSupport,Mon Oct 23 17:03:29 +0000 2017,@356941 Can you please follow and DM us?  ^CAR,
1000824,356942,Sun Oct 22 17:12:46 +0000 2017,"@115722 we don’t pay $10,000 a month for Redzone for it to not work in our living room. Please fix this.",1000823,VerizonSupport,Sun Oct 22 17:15:00 +0000 2017,@356942 Let's fix it! What happens when you try to watch it? ^DDD,
1001760,357139,Sun Oct 22 17:45:38 +0000 2017,"@VerizonSupport Unable to use TV or internet at all. Checked all cable connections, restarted all devices and boxes. Getting this on TV: https://t.co/LujBDCZgpW",1001762,VerizonSupport,Sun Oct 22 17:47:04 +0000 2017,"@357139 Have you checked the battery backup unit to see if the battery power light is on?
^TDC",
1001761,357139,Sun Oct 22 17:35:51 +0000 2017,@VerizonSupport is there a fios outage in Hoboken right now? Having issues with TV &amp; internet,1001759,VerizonSupport,Sun Oct 22 17:37:33 +0000 2017,"@357139 Let us look into it for you. What is going on with your services?
^TNT",1001760
1001764,316656,Sun Oct 22 17:44:39 +0000 2017,@VerizonSupport It’s a blue one but yes,1001766,VerizonSupport,Sun Oct 22 17:48:00 +0000 2017,@316656 Thank you. Please follow and DM us so we can investigate further. ^DDD,
1001765,316656,Sun Oct 22 17:32:26 +0000 2017,Hey @115722 why is it that my WiFi disconnects on every device when the desktop gets turned off?,1001763,VerizonSupport,Sun Oct 22 17:37:32 +0000 2017,@316656 That sounds odd! Is the desktop connected to one of the yellow Ethernet ports on the back or your router? ^DDD,1001764
1001768,356942,Sun Oct 22 17:31:33 +0000 2017,@VerizonSupport I just specified in the tweet above what happens,1001767,VerizonSupport,Sun Oct 22 17:36:30 +0000 2017,"@356942 Can you try reseating your coax cable at the box? Let us know if that helps.
^TNT",
1001772,357140,Sun Oct 22 17:32:23 +0000 2017,@115725 bring back Univision. My mom needs it. Thanks. 541,1001771,VerizonSupport,Sun Oct 22 17:35:31 +0000 2017,@357140 This is the latest information we have regarding this issue: https://t.co/dEwTFMImHW ^DDD,
1001774,357141,Sun Oct 22 17:30:32 +0000 2017,@VerizonSupport I hate Verizon! Came to fix - still not working. Trapped in voicemail hell! I better get a credit for this. #IHaveALifeToo #hiremorestaff,1001773,VerizonSupport,Sun Oct 22 17:35:31 +0000 2017,"@357141 Please follow and DM us the details we will take a closer look at it for you.
^TNT",
1001775,357141,Thu Oct 19 01:34:41 +0000 2017,@VerizonSupport 35 minutes later I got through on the phone - ONT is dead - sending someone out to repair/replace - hopefully they get it fixed,1001776,VerizonSupport,Thu Oct 19 01:36:59 +0000 2017,@357141 We're happy to hear you were able to get connected to an agent. The technician will take good care of you. ^NHP,
1001778,357141,Thu Oct 19 01:11:49 +0000 2017,"@VerizonSupport Nothing works...26 minutes on hold now #notahappycamper was told ""wait time of 4 minutes""",1001777,VerizonSupport,Thu Oct 19 01:21:00 +0000 2017,"@357141 We'd like to investigate this further. Please send us a DM to continue. 
^HSB",1001775
1001780,357141,Thu Oct 19 00:58:21 +0000 2017,@VerizonSupport Ran the entire troubleshooting guide in the app (took &gt;1 hour so far) and am now on hold on the phone - which lies. 4 min wait more like 14+,1001779,VerizonSupport,Thu Oct 19 01:06:53 +0000 2017,"@357141 Were you able to try to reboot the battery backup unit?
^HSB",1001778
1001782,357141,Thu Oct 19 00:09:47 +0000 2017,@VerizonSupport $$$ per month and yet do-it-yourself tech support - so what do we do now #normallyigetpaidforthis,1001783,VerizonSupport,Thu Oct 19 00:29:37 +0000 2017,@357141 This will clear any errors in the unit. After 3 mins reconnect the battery then the power cord and allow the unit a few mins to reboot. ^JRA,
1001782,357141,Thu Oct 19 00:09:47 +0000 2017,@VerizonSupport $$$ per month and yet do-it-yourself tech support - so what do we do now #normallyigetpaidforthis,1001781,VerizonSupport,Thu Oct 19 00:28:37 +0000 2017,@357141 With no system status light we may need a manual reboot. Remove the power then battery for 3 minutes. This will let all power drain. 1/2^JRA,1001780
1001784,357141,Wed Oct 18 11:38:09 +0000 2017,@VerizonSupport Nothing!  No lights on now - I have go to work - so if you need me to check more stuff it will have to wait... https://t.co/yTiqHrIyf7,1001785,VerizonSupport,Wed Oct 18 11:41:29 +0000 2017,@357141 No worries.  Just reach back out to us once you're home.  We'll want to unplug that device and remove the battery. ^BCW,
1001788,357141,Wed Oct 18 11:12:12 +0000 2017,@VerizonSupport Only other thing in the house marked Verizon https://t.co/kgXa3XI12F,1001787,VerizonSupport,Wed Oct 18 11:17:35 +0000 2017,"@357141 Can you press and hold the alarm silence button for 30secs? This will reboot your services and should help restore. 

^CAR",1001784
1001790,357141,Wed Oct 18 11:06:40 +0000 2017,@VerizonSupport My cable box and router are plugged directly into the wall - no UPS - so unless you can send a photo of what I'm looking for... #haveadayjob,1882590,VerizonSupport,Wed Oct 18 11:11:25 +0000 2017,@357141 It should look something like this https://t.co/7pd0lpH8ZN ^BCW,
1001793,357141,Wed Oct 18 10:52:03 +0000 2017,@115722 frozen for 20 min - no signal on multiple channels on all TVs - cycled router &amp; no wifi either https://t.co/uQnLY5KkZB,1001789,VerizonSupport,Wed Oct 18 10:55:30 +0000 2017,@357141 Can you locate the battery backup unit for our services?  We want to see what lights are lit on that device. ^BCW,"1001790,1001788,1001791,1001792"
1001795,357142,Sun Oct 22 17:28:23 +0000 2017,Hello @VerizonSupport why is this happening https://t.co/U7ueU62pPW,1001794,VerizonSupport,Sun Oct 22 17:30:00 +0000 2017,@357142 Let's work on it! Please follow and DM us at your convenience. ^DDD,
1002144,357224,Sun Oct 22 14:52:33 +0000 2017,@VerizonSupport Ah only happening on one. All connections secure. Reset box?,1002146,VerizonSupport,Sun Oct 22 14:56:33 +0000 2017,@357224 Issues like this are typically caused by a cable that is not making a good connection.  Can you reseat the coax on the back of the box? ^BCW,1002147
1002145,357224,Sun Oct 22 14:40:26 +0000 2017,@VerizonSupport The audio has been cutting out on AMC. You will have lot of The Walking Dead fans mad at you if this keeps up. ;),1002143,VerizonSupport,Sun Oct 22 14:42:26 +0000 2017,@357224 Does this occur on mutliple TV's?  ^CAR,1002144
1002147,357224,Sun Oct 22 15:02:18 +0000 2017,@VerizonSupport Reseated the coax and that worked! Thanks for the prompt customer service...best CS I've had with Verizon. Thanks!,1002148,VerizonSupport,Sun Oct 22 15:26:00 +0000 2017,@357224 Now worries at all my friend.  Enjoy the shows :) ^BCW,
1002150,357224,Sun Oct 22 14:36:19 +0000 2017,Verizon FIOS better figure out the crappy digital streaming issue before tonight! #TheWalkingDeadMarathon #TWD .@115722,1002149,VerizonSupport,Sun Oct 22 14:38:00 +0000 2017,@357224 Let's see what might be going on with that.  Are you having tv issues right now? ^BCW,1002145
1002152,356231,Sun Oct 22 14:35:18 +0000 2017,@115722 Need instructions on how to port home number(Fios) to mobile. Can you send me instructions?,1002151,VerizonSupport,Sun Oct 22 14:38:00 +0000 2017,@356231 You want to forward your home phone to your cell phone? ^CAR,
1002730,357348,Sun Oct 22 14:50:34 +0000 2017,"@115714 customer service is THE WORST of all time, and that’s coming from a former @115722 customer. Help me find a new carrier!",1002729,VerizonSupport,Sun Oct 22 14:54:00 +0000 2017,"@357348 Let me partner you with our Verizon Wireless team @115990.  
^CAR",
1002988,357418,Thu Oct 12 06:47:17 +0000 2017,@357419 You need some Verizon internet,1002987,VerizonSupport,Thu Oct 12 06:49:24 +0000 2017,"@357418 We agree. 
^TXA",
1003335,357499,Sat Oct 14 12:41:22 +0000 2017,@VerizonSupport I would expect a credit then for the inconvenience.  There is probably a system wide outage in this area again.  I need a ticket #?,1003334,VerizonSupport,Sat Oct 14 12:51:53 +0000 2017,"@357499 You can always check for any outages and updates in your area at this link. https://t.co/CdxLxvZQOg
^ADP",
1003337,357499,Sat Oct 14 12:29:28 +0000 2017,"@VerizonSupport Called in a service outage this morning 7:30AM EDT, went thru prompts no resolution, until Monday!? Really?",1003336,VerizonSupport,Sat Oct 14 12:33:23 +0000 2017,@357499 We do not like to make you wait. The weekends do get booked up pretty quick. Monday would be the soonest we will be able to make it. ^KMG,1003335
1003341,291879,Sat Oct 14 12:41:22 +0000 2017,@VerizonSupport any FIOS locations in MD that we can return equipment and get information,1003340,VerizonSupport,Sat Oct 14 12:50:24 +0000 2017,"@291879 You can get a return box at this link. https://t.co/AxVN61H2qW
^ADP",
1004181,357681,Sun Oct 22 15:20:56 +0000 2017,@357682 @115725 They’re all the same when it comes to customer service (or lack thereof). All that separates them is actual service.,1004180,VerizonSupport,Sun Oct 22 15:26:27 +0000 2017,@357681 What's going on?  ^CAR,
