customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000948,356971,Thu Oct 12 05:18:14 +0000 2017,@VirginAmerica @120943 So this is NOT ok? 😭 https://t.co/m5NLltywdY,1000950,VirginAmerica,Thu Oct 12 05:23:47 +0000 2017,@356971 @120943 I would suggest putting your makeup brushes in a bag to be on the safe side. Target and Macy's have some cute ones! -Sara,1000951
1000949,356971,Thu Oct 12 04:53:21 +0000 2017,Am I allowed to bring an empty glass mason jar on the plane ?! @VirginAmerica #TSA @120943,1000947,VirginAmerica,Thu Oct 12 04:59:32 +0000 2017,"@356971 @120943 You may not, unfortunately.   -Julie",1000948
1002676,357337,Sun Oct 22 14:25:18 +0000 2017,@VirginAmerica 1950. Already know why it was delayed. Just seems silly. Really hope this isn’t as common as it seems.,1002675,VirginAmerica,Sun Oct 22 14:33:04 +0000 2017,@357337 Thank you for your patience. ~Angel,
1002677,357337,Sun Oct 22 14:16:45 +0000 2017,Both times I’ve flown @VirginAmerica it’s been delayed. Wtf?,1002678,VirginAmerica,Sun Oct 22 14:21:48 +0000 2017,@357337 Very sorry. Is there a flight number we can check status on for you? ~Angel,
1002680,138240,Sun Oct 22 14:16:07 +0000 2017,Cool @VirginAmerica  photo on approach to JFK. That's the moon off the wing tip. https://t.co/vgi8T0z8V4,1002679,VirginAmerica,Sun Oct 22 14:21:07 +0000 2017,@138240 Very cool! ~Angel,
1003781,357585,Thu Oct 12 07:05:34 +0000 2017,@VirginAmerica @AlaskaAir https://t.co/Jm38bAtUds,1003780,VirginAmerica,Thu Oct 12 07:06:31 +0000 2017,"@357585 If you're booking with Alaska miles and having issues, you'll need to contact Alaska reservations. -Sara",
1003788,218974,Thu Oct 12 06:36:37 +0000 2017,"Hi @VirginAmerica if the people who designed your arm rests travelled on these planes, they would do it differently. Painful on the elbows 🤢",1003787,VirginAmerica,Thu Oct 12 06:37:41 +0000 2017,"@218974 I apologize for the frustration, Paul. -Sara",
1004789,357818,Sat Oct 14 13:01:42 +0000 2017,@VirginAmerica just got my boarding pass for tonight and it doesn't say tsa precheck. Is there a way I can add this info now to get it?,1004788,VirginAmerica,Sat Oct 14 13:13:31 +0000 2017,@357818 I can add it. Can you DM your TSA number and your confirmation code  -Maeghan https://t.co/f5NIYX3JhL,
1004791,357819,Sat Oct 14 12:36:24 +0000 2017,@VirginAmerica first time flying with you guys at Logan. Likely the the last. #onlyoneline,1004790,VirginAmerica,Sat Oct 14 12:50:03 +0000 2017,@357819 Sorry to hear this can you DM your confirmation code so I can look into this  -Maeghan https://t.co/f5NIYX3JhL,
1005331,357955,Sun Oct 22 15:16:34 +0000 2017,Flying the skies with @VirginAmerica let do this #FLLbound,1005330,VirginAmerica,Sun Oct 22 15:17:14 +0000 2017,@357955 #HappyTravels ~Angel,
1005333,357956,Sun Oct 22 15:06:34 +0000 2017,Giving all praises and blessings to the gate attendant that worked flight 1715 to Dallas. You were awesome and very helpful @VirginAmerica,1005332,VirginAmerica,Sun Oct 22 15:10:45 +0000 2017,@357956 Thank you for sharing! We'll make sure and pass the kind words along. ~Angel,
