customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000059,340446,Sun Oct 22 16:45:07 +0000 2017,"@VirginAtlantic what time do I have to arrive at LAS airport, If my flight departs at 16.45, I've already checked in.",1000058,VirginAtlantic,Sun Oct 22 16:49:20 +0000 2017,"@340446 Hey Sarah, we advise generally between 2-3hrs just so you have enough time to go through security and to allow for any queues ^E",
1003354,207282,Sat Oct 14 12:57:29 +0000 2017,@VirginAtlantic recently flying with your was a crap experience which damage luggage and no staff to report due to a busy airport! Thanks,1003353,VirginAtlantic,Sat Oct 14 12:58:46 +0000 2017,"@207282 Hi Tazzy, sorry to hear this. please feed this back to us here https://t.co/zGViDr7gZf ^R",
1003381,357512,Sat Oct 14 12:53:22 +0000 2017,@VirginAtlantic Will I get a reply at some point today?,1003380,VirginAtlantic,Sat Oct 14 12:56:15 +0000 2017,"@357512 Sorry we missed your reply, please feed your experience back to us here https://t.co/zGViDr7gZf ^R",
1003385,357512,Fri Oct 13 13:52:13 +0000 2017,"@VirginAtlantic Thank you for the worst flight of my life. I have never seen such a poorly kept plane, and the service was terrible. #badday",1003382,VirginAtlantic,Fri Oct 13 14:12:40 +0000 2017,"@357512 Sorry to hear about this Mitchell, may I ask which flight you were on? ^E","1003383,1003381,1003384"
1003387,273900,Sat Oct 14 12:44:23 +0000 2017,See you Wednesday @VirginAtlantic for hop across the pond to NYC. 💖Virginatlantic 😀 https://t.co/ox0DciHGiG,1003386,VirginAtlantic,Sat Oct 14 12:46:39 +0000 2017,@273900 😎^R https://t.co/SbCYPTNje6,
1003413,357518,Sat Oct 14 12:15:45 +0000 2017,@VirginAtlantic 29 days until my favourite airline whisk me away to New York for my post 40th celebrations with hubby @165567 excited!,1003412,VirginAtlantic,Sat Oct 14 12:27:15 +0000 2017,@357518 @165567 See you soon 😎^R https://t.co/F5PxjFTCyJ,
1006628,358199,Thu Oct 12 09:27:14 +0000 2017,@VirginAtlantic VS7 moved to VS141,1006630,VirginAtlantic,Thu Oct 12 10:46:38 +0000 2017,@358199 Thanks for confirming. Unfortunately the flight was cancelled due to operational issues and the VS141 is the next available flight. ^H,
1006629,358199,Thu Oct 12 08:11:00 +0000 2017,Thanks for cancelling my flight tomorrow @VirginAtlantic the new flight now arrives too late for me to get my destination. More expense!,1006627,VirginAtlantic,Thu Oct 12 08:57:59 +0000 2017,@358199 Sorry you've been caught up in this Mark. Please can you confirm the flight number that was originally booked? ^H,1006628
1007395,358381,Sat Oct 14 13:07:05 +0000 2017,@VirginAtlantic My Upper Class seats have been changed 4 Premium Economy due 2 aircraft change. Long time gold member. Can you fix?,1007394,VirginAtlantic,Sat Oct 14 13:15:09 +0000 2017,"@358381 Hi Raynard, sorry to hear this, feel free to DM your booking and I can see if we can help from here ^R",
1007535,358419,Sun Oct 22 19:50:51 +0000 2017,"Complete &amp; total customer service FAILURE by @358420 and @VirginAtlantic. Flight booked 6 months (Rome-&gt;DC) is now a) returning a full day later, b) has addl stop in NYC, c) w/ an overnight stay in NY. Both refusing to swap flight for existing comparable returns. Never again. F-",1007534,VirginAtlantic,Sun Oct 22 19:59:25 +0000 2017,"@358419 Hi Stephanie, please can you DM me your flight details and booking reference so I can take a look? ^CB",
1007539,308395,Sun Oct 22 19:46:00 +0000 2017,"@VirginAtlantic Hi there. If someone working as a manager at a fellow Virgin company and traveling to the USA asked for free upgrades, would they get any? 😉",1007537,VirginAtlantic,Sun Oct 22 19:57:16 +0000 2017,@308395 Hmmmm if you did it would be wonderful but it's not something we would normally do ^CB https://t.co/zEiEK024kO,1007538
1009149,358790,Sun Oct 22 19:59:44 +0000 2017,Just landed @VirginAtlantic JFK VS127 laptop emergency resolved by amazing crew! #bestairlineever #thanks,1009147,VirginAtlantic,Sun Oct 22 20:14:57 +0000 2017,@358790 Awww I'm so glad that our crew were able to save the day!! Did you catch any of their names? ^CB https://t.co/3JTESSmIrZ,1009148
1009563,358887,Thu Oct 12 09:52:17 +0000 2017,@VirginAtlantic hi if we've left something on this mornings flight orl to mcr who do we contact to see if it's been handed in please thanks,1009561,VirginAtlantic,Thu Oct 12 10:58:48 +0000 2017,"@358887 Hey Lesley, our baggage team may be able to help with lost property. Please give them a call on 0344 209 7304. ^H",1009562
1009565,358888,Thu Oct 12 09:50:19 +0000 2017,"@VirginAtlantic hello, I need help pre booking seats. I only have Thomas Cook reference no.",1009564,VirginAtlantic,Thu Oct 12 10:56:47 +0000 2017,"@358888 Hi Harmony, please DM us the booking details and we will look into this for you. ^H",
1009567,358889,Thu Oct 12 08:19:51 +0000 2017,"@VirginAtlantic Not a very sensitive or appropriate newsletter, didn't anybody think to check? https://t.co/PPik5XaNuq",1009566,VirginAtlantic,Thu Oct 12 10:54:04 +0000 2017,"@358889 Hi Jeremy, we've just responded to your Facebook post on this. ^H",
1009569,301624,Thu Oct 12 09:06:21 +0000 2017,Another excellent on-time flight with @VirginAtlantic  on VS44 Fantastic engaging crew Lara and Simon   Will be back soon,1009568,VirginAtlantic,Thu Oct 12 10:22:34 +0000 2017,@301624 Thanks Alan! We'll pass this on to Lara and Simon's respective bosses 🙂 ^H,
1009574,358891,Thu Oct 12 09:02:27 +0000 2017,@VirginAtlantic this is disgusting. I've already paid £1000+ for my flights and you want another £120 for booking seats?,1009572,VirginAtlantic,Thu Oct 12 10:21:10 +0000 2017,@358891 It is free within 24 hours when checking in online. Sorry you're not happy with the policy. ^H,1009573
1009580,358892,Thu Oct 12 08:35:42 +0000 2017,@VirginAtlantic I ask for a receipt (&amp; nothing else) from my email address associated with my flying club account and you ask me for this?! https://t.co/5B3Bt5kt7R,1009578,VirginAtlantic,Thu Oct 12 10:09:30 +0000 2017,"@358892 Hi Joshua, this is a data protection measure. Is this for a receipt from a flight you have already taken? ^H",1009579
1011091,359233,Fri Dec 01 14:40:09 +0000 2017,@VirginAtlantic Hey there. How do I find out how much I paid for a previous flight? The your app and website will tell me miles but not $dollars$,1011089,VirginAtlantic,Fri Dec 01 15:46:48 +0000 2017,@359233 Have you taken the flight now Anika? ^H,1011090
1011252,359275,Sun Oct 22 20:44:39 +0000 2017,@VirginAtlantic The upside to this is I will be cc'ing in a LOT of people to this email - anyone know Richard Branson's email?!,1011251,VirginAtlantic,Sun Oct 22 20:54:38 +0000 2017,@359275 I am so sorry about the experience you've encountered this evening. If you DM me I can see who is handling your claim ^CB,
1011416,359307,Sat Oct 14 14:08:00 +0000 2017,"@VirginAtlantic Is it possible to get a confirmation of delay, I have emailed and phoned but still not got one? I was supposed to flight Saturday but delayed due to Irma",1011415,VirginAtlantic,Sat Oct 14 14:27:42 +0000 2017,"@359307 Yeah of course, you'll just need to email a request to __email__ ^E",
