customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000479,356852,Sun Oct 22 17:51:57 +0000 2017,@VirginTrains The guard was very helpful and carriage very comfortable temperature now. Thank you 😊 #andbreath,1000481,VirginTrains,Sun Oct 22 17:54:17 +0000 2017,@356852 Good to hear. ^PA,
1000480,356852,Sun Oct 22 17:24:43 +0000 2017,@VirginTrains currently on the 15:40 Euston -Glasgow watching the passengers become prune like. Please turn the heating aff #aircontosaveus,1000478,VirginTrains,Sun Oct 22 17:25:50 +0000 2017,"@356852 If you speak to staff, they can assist. ^PA",1000479
1000484,356853,Sun Oct 22 17:22:25 +0000 2017,@VirginTrains I'm on your services a hell of a lot more than @LondonMidland. You guys can look after your stations. They cant :),1000483,VirginTrains,Sun Oct 22 17:24:28 +0000 2017,@356853 @LondonMidland Good to hear. ^PA,
1000494,356857,Sun Oct 22 17:14:46 +0000 2017,@VirginTrains your wifi is shite!!!! Had to knock it off to write this!!,1000493,VirginTrains,Sun Oct 22 17:18:20 +0000 2017,@356857 What issues are you having? ^PA,
1001344,357063,Sun Oct 22 17:41:04 +0000 2017,@VirginTrains Scandalous that you replace your 18:45 service from Leeds to King's Cross with an East Mindlands train. First class paid for.,1001343,VirginTrains,Sun Oct 22 17:44:14 +0000 2017,@357063 This is one for our friends at @120576 to help with. ^PA,
1001345,357063,Sun Oct 22 17:47:58 +0000 2017,@VirginTrains Strange how the operator advised you do this repeatedly. Not the quality of service I paid for.,1011620,VirginTrains,Sun Oct 22 17:51:00 +0000 2017,@357063 Again it's for our friends at @120576 ^PA,
1001355,357064,Sun Oct 22 18:30:02 +0000 2017,@VirginTrains @VirginTrains We're travelling from Euston to Glasgow on the 16th December and returning on the 30th! Thanks,1001357,VirginTrains,Sun Oct 22 18:31:27 +0000 2017,@357064 16th are released and the 30th are due to be released tomorrow. ^PA,1001358
1001356,357064,Sun Oct 22 17:40:08 +0000 2017,@VirginTrains - Euston to Glasgow December 2017 disruption!! The evening standard telling me I'm going to have to get a bus replacement?,1001354,VirginTrains,Sun Oct 22 17:43:36 +0000 2017,"@357064 There will be engineering works over Christmas, which date are you looking at? ^PA",1001355
1001358,357064,Sun Oct 22 18:49:56 +0000 2017,"@VirginTrains Thanks, we have booked tickets already....but is there disruption on the line?",1001359,VirginTrains,Sun Oct 22 18:51:59 +0000 2017,@357064 Which dates? ^PA,1001360
1001360,357064,Sun Oct 22 18:53:57 +0000 2017,@VirginTrains 16th and 30th December?,1001361,VirginTrains,Sun Oct 22 18:55:29 +0000 2017,@357064 16th there won't be and 30th there shouldn't be either. ^PA,1001362
