customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1004281,307205,Sun Oct 22 15:03:39 +0000 2017,@VMUcare hey what's up #no service,1004280,VMUcare,Sun Oct 22 15:07:42 +0000 2017,"@307205 Hey @307205, we are not sure. Can you please DM us your info so we can look into it?",
1004283,357704,Sun Oct 22 04:20:27 +0000 2017,My Email is __email__ virgin mobile closed the account on my old phone because they changed there plans and couldn't get...,1004282,VMUcare,Sun Oct 22 14:03:43 +0000 2017,"@357704 The system has not been decommissioned on 8/31, which means service was discontinued as communicated.",
1004283,357704,Sun Oct 22 04:20:27 +0000 2017,My Email is __email__ virgin mobile closed the account on my old phone because they changed there plans and couldn't get...,1004284,VMUcare,Sun Oct 22 14:03:29 +0000 2017,@357704 We began notifying customers in February 2017.,
1004283,357704,Sun Oct 22 04:20:27 +0000 2017,My Email is __email__ virgin mobile closed the account on my old phone because they changed there plans and couldn't get...,1004285,VMUcare,Sun Oct 22 14:02:57 +0000 2017,"@357704 Hi @357704,  We decided to discontinue the Data Done Right and Custom plans.",
1004289,357705,Sun Oct 22 04:58:29 +0000 2017,I hate texting Na’Dasia she don’t text back fast enough she must be got virgin mobile,1004286,VMUcare,Sun Oct 22 13:55:37 +0000 2017,@357705 Maybe it's not her service... just saying https://t.co/Qa1kvo7ISi,"1004287,1004288"
1004291,157349,Sun Oct 22 05:39:57 +0000 2017,My Samsung J7 Perx lags so much. I get too many black screens. This phone isnt even 2 months old. Pls help @124441 @134924,1004290,VMUcare,Sun Oct 22 13:38:58 +0000 2017,@157349 We are sorry to hear this @157349. Can you please DM us your account info so we can look into this? Thank you!,
1004294,357707,Sun Oct 22 04:16:12 +0000 2017,Virgin Mobile makes me feel a certain way thinking about cellphones and the future.,1004292,VMUcare,Sun Oct 22 13:37:43 +0000 2017,@357707 And which way is that @357707?,1004293
1004296,169016,Sun Oct 22 17:15:15 +0000 2017,@VMUcare @124441 I made the switch to #innercircle early on for the $1 a year for 12 months. Greatest thing I ever did! I tell everybody!,1004298,VMUcare,Sun Oct 22 17:25:05 +0000 2017,@169016 @124441 Yay! We are glad to have you! https://t.co/wTNdSpptjR,1004299
1004297,169016,Sun Oct 22 06:08:05 +0000 2017,@169015 Kingsman 1 makes me think that Samuel l Jackson is running @124441 $1 plan,1004300,VMUcare,Sun Oct 22 13:35:58 +0000 2017,"@169016 Hey @169016, great movie reference, love it! No, it's absolutely true. $1/mo for 6 months if you buy an iPhone at the Apple Store.",
1004297,169016,Sun Oct 22 06:08:05 +0000 2017,@169015 Kingsman 1 makes me think that Samuel l Jackson is running @124441 $1 plan,1004295,VMUcare,Sun Oct 22 13:36:44 +0000 2017,"@169016 @169016, you can also get this promotion by bringing an eligible unlocked device, check it out: https://t.co/4PolRnddeq",1004296
1016346,360469,Sun Oct 22 19:06:37 +0000 2017,"@VMUcare Two days on the phone hasn’t resolved it so I doubt a tweet will. Plus, I’m the UK.",1016345,VMUcare,Sun Oct 22 19:09:59 +0000 2017,@360469 I'm sorry to hear about your troubles! You'll need to reach out to @44608 since you're in the UK. Cheers!,
1016348,360469,Sun Oct 22 18:46:19 +0000 2017,"Never known a company as stress-inducing, unhelpful and frustrating as Virgin mobile. At least I can opt out with them at the end of Oct!",1016347,VMUcare,Sun Oct 22 18:48:34 +0000 2017,"@360469 Hi @360469, what seems to be the problem?",1016346
1016358,360472,Sun Oct 22 17:56:06 +0000 2017,@124441 #VirginMobile High Speed. It tells me I have NO service incredibly fast!,1016357,VMUcare,Sun Oct 22 18:16:22 +0000 2017,"@360472 Hi @360472, Please DM us your info so we can look into it. Thank you.",
