customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1002733,357349,Sun Oct 22 13:58:38 +0000 2017,"@43956 Walmart carries super cute stuff now too. Danskin and Avia brands, all super reasonable",1002732,Walmart,Sun Oct 22 14:34:30 +0000 2017,@357349 Woot woot! Thanks for the shout out. -Jazz,
1002737,357351,Sun Oct 22 14:07:04 +0000 2017,I got a free @21873 Cookie Layer Crunch sample from the #Freeosk at @Walmart https://t.co/38trDedQqS,1002736,Walmart,Sun Oct 22 14:25:54 +0000 2017,@357351 Betcha it tasted like a little drop of heaven! -Jazz,
1005757,358052,Sun Oct 22 12:50:43 +0000 2017,I love when Walmart radio plays oldies. One of the things that gets me through the day.,1005756,Walmart,Sun Oct 22 18:49:49 +0000 2017,"@358052 They bring back memories, huh? I love them too. -Rad",
1006122,358123,Sat Oct 14 07:55:16 +0000 2017,Can’t wait to meet you guys at @walmart’s in-store launch on November 11th! Get your headphones &amp; speakers and I’ll sign ‘em for you. More https://t.co/lFOPjAVLjC,1006121,Walmart,Sat Oct 14 12:39:39 +0000 2017,@358123 We're absolutely stoked! The countdown is on. -Kinga,
1006124,294980,Sat Oct 14 04:10:18 +0000 2017,Signing event on 10/14! Come out and say hello! @Walmart  @32904 https://t.co/nZXPcWWle4,1006123,Walmart,Sat Oct 14 12:29:05 +0000 2017,@294980 We're really looking forward to your visit today! -Kinga,
1012006,359454,Sun Oct 22 13:56:41 +0000 2017,"After an hour of waiting for my car, I'll go on record and say that @Walmart has a pretty good playlist of 90s music going today.",1012005,Walmart,Sun Oct 22 17:58:03 +0000 2017,"@359454 Coach, we hear you jammin! Glad we could provide you some entertainment while your car's being serviced. -Rad",
1012009,359455,Sat Oct 21 20:18:14 +0000 2017,I really wanna go to Walmart and look at the cute Halloween tights they have,1012007,Walmart,Sun Oct 22 17:39:37 +0000 2017,@359455 What's keeping you? -Rad,1012008
1012013,359457,Sat Oct 21 20:33:54 +0000 2017,Look at this cute wood cut out I found at Walmart yesterday! They had two and I bought both of them lol. When it... https://t.co/2ABrLRM9pN,1012012,Walmart,Sun Oct 22 17:36:42 +0000 2017,@359457 Wow! I like your creativity. -Rad,
1012015,359458,Sun Oct 22 17:24:57 +0000 2017,@Walmart Thank you 😊 But I've been looking for a scooby doo costume and I can't find it guys😔,1012017,Walmart,Sun Oct 22 18:11:28 +0000 2017,"@359458 Scooby Doo costume for you? Check this out, bruh https://t.co/SLegd1pHfk -Rad",
1012016,359458,Sun Oct 22 04:53:16 +0000 2017,"Love going to walmart at 1 in the morning.

Its my happy place",1012014,Walmart,Sun Oct 22 17:23:50 +0000 2017,"@359458 We
   Are
      Always
          Happy
             To
                 See
                     You! -Rad",1012015
1014355,360016,Sat Oct 21 18:38:04 +0000 2017,ive been buying my jewelry @Walmart cause their chockers are super cuteee 🤗,1014354,Walmart,Sun Oct 22 18:43:44 +0000 2017,@360016 That's true! Make a bold statement this season with our wide selection of fashion jewelry. -Rad,
1014357,360017,Sat Oct 21 18:03:33 +0000 2017,Two thumbs up to @Walmart my mom's bday cake was well done,1014356,Walmart,Sun Oct 22 18:40:11 +0000 2017,@360017 #ThankYou for making us a part of your mom's special day. Tell her HAPPY BIRTHDAY from us. -Rad,
1014378,239215,Sun Oct 22 17:38:15 +0000 2017,"@Walmart I prefer buying all Great Value brand over any other brand while shopping @Walmart. Better quality, more for your money and saving money.",1014377,Walmart,Sun Oct 22 18:26:36 +0000 2017,@239215 That's right. #ItsTheRealDeal indeed! -Rad,
1014380,239215,Sun Oct 22 01:06:02 +0000 2017,This is what a @Walmart Great Value meal looks like in real life after its cooked. I shop all my groceries at Walmart. Not anywhere else. https://t.co/d3DW7eUI6d,1014379,Walmart,Sun Oct 22 02:16:43 +0000 2017,"@239215 Ohhh, thank you, Chau! I will certainly have to try this. I wish I had some tater tots right now. 😋 -Pia",1014378
1014382,360026,Sun Oct 22 17:34:53 +0000 2017,"I LOVE the #Halloween-themed #soap! Have others, too. Walmart. $2. This one’s scent is “pumpkin… https://t.co/xolKvBeoLP",1014381,Walmart,Sun Oct 22 18:24:16 +0000 2017,@360026 Really cool! Are you all set for #Halloween? -Rad,
1014384,360027,Sun Oct 22 17:32:59 +0000 2017,"Kudos to the team at @Walmart in Lakewood, CO. Left a bag, next cust took it; looked at footage and replaced items. #GreatCustomerService",1014383,Walmart,Sun Oct 22 18:19:26 +0000 2017,"@360027 We got you, Alexa! We'll pass the word on. -Rad",
1014417,360035,Sun Oct 22 17:05:16 +0000 2017,Walmart honestly has cute clothes,1014416,Walmart,Sun Oct 22 18:06:16 +0000 2017,@360035 We do. We do! -Rad,
